event_id,category,slice,leg,ticker,evaluator_window_positive,left_ts,right_ts,scheduled_start_ts,window1_open_cents,window1_close_cents,leg_direction,raw_bbo_rows,distinct_top_states,true_print_rows,print_floor_cents,print_floor_ts,reason,quote_10s_floor_limit_cents,quote_10s_first_touch_ts,quote_10s_first_span_seconds,quote_10s_first_span_min_ask_cents,quote_10s_first_span_max_ask_cents,quote_10s_longest_span_seconds,quote_10s_qualifying_span_count,quote_30s_floor_limit_cents,quote_30s_first_touch_ts,quote_30s_first_span_seconds,quote_30s_first_span_min_ask_cents,quote_30s_first_span_max_ask_cents,quote_30s_longest_span_seconds,quote_30s_qualifying_span_count,quote_60s_floor_limit_cents,quote_60s_first_touch_ts,quote_60s_first_span_seconds,quote_60s_first_span_min_ask_cents,quote_60s_first_span_max_ask_cents,quote_60s_longest_span_seconds,quote_60s_qualifying_span_count,quote_300s_floor_limit_cents,quote_300s_first_touch_ts,quote_300s_first_span_seconds,quote_300s_first_span_min_ask_cents,quote_300s_first_span_max_ask_cents,quote_300s_longest_span_seconds,quote_300s_qualifying_span_count
KXATPCHALLENGERMATCH-26JUL12BROBAR,ATP_CHALL,fit,BRO,KXATPCHALLENGERMATCH-26JUL12BROBAR-BRO,True,1783825200.0,1784046240.0,1783854000.0,,78,UNKNOWN,33917,10819,89,71,1783862469.706984,,71,1783860219.0,2263.0,71,71,2263.0,2,71,1783860219.0,2263.0,71,71,2263.0,2,71,1783860219.0,2263.0,71,71,2263.0,2,71,1783860219.0,2263.0,71,71,2263.0,1
KXATPCHALLENGERMATCH-26JUL12BROGIU,ATP_CHALL,fit,BRO,KXATPCHALLENGERMATCH-26JUL12BROGIU-BRO,True,1783841400.0,1783859100.0,1783870200.0,47,49,CLIMBING,801,7,21,47,1783841619.469661,,47,1783841400.0,5448.0,47,47,5448.0,1,47,1783841400.0,5448.0,47,47,5448.0,1,47,1783841400.0,5448.0,47,47,5448.0,1,47,1783841400.0,5448.0,47,47,5448.0,1
KXATPCHALLENGERMATCH-26JUL12BROGIU,ATP_CHALL,fit,GIU,KXATPCHALLENGERMATCH-26JUL12BROGIU-GIU,True,1783841400.0,1783859100.0,1783870200.0,53,53,FLAT,675,4,13,52,1783849104.719057,,52,1783856219.0,359.0,52,52,359.0,1,52,1783856219.0,359.0,52,52,359.0,1,52,1783856219.0,359.0,52,52,359.0,1,52,1783856219.0,359.0,52,52,359.0,1
KXATPCHALLENGERMATCH-26JUL12BROHUA,ATP_CHALL,fit,BRO,KXATPCHALLENGERMATCH-26JUL12BROHUA-BRO,True,1783825200.0,1783852800.0,1783854000.0,66,63,FALLING,3640,131,75,63,1783851804.838746,,63,1783851420.0,384.0,63,63,806.0,2,63,1783851420.0,384.0,63,63,806.0,2,63,1783851420.0,384.0,63,63,806.0,2,63,1783851420.0,384.0,63,63,806.0,2
KXATPCHALLENGERMATCH-26JUL12BROHUA,ATP_CHALL,fit,HUA,KXATPCHALLENGERMATCH-26JUL12BROHUA-HUA,True,1783825200.0,1783852800.0,1783854000.0,28,38,CLIMBING,5367,41,135,28,1783828569.691685,,27,1783825200.0,1693.0,27,27,1693.0,2,27,1783825200.0,1693.0,27,27,1693.0,2,27,1783825200.0,1693.0,27,27,1693.0,2,27,1783825200.0,1693.0,27,27,1693.0,2
KXATPCHALLENGERMATCH-26JUL12BRUGAD,ATP_CHALL,fit,BRU,KXATPCHALLENGERMATCH-26JUL12BRUGAD-BRU,False,1783825200.0,1783854000.0,1783854000.0,,,UNKNOWN,,,,,,unresolved evaluator boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXATPCHALLENGERMATCH-26JUL12BRUGAD,ATP_CHALL,fit,GAD,KXATPCHALLENGERMATCH-26JUL12BRUGAD-GAD,False,1783825200.0,1783854000.0,1783854000.0,,,UNKNOWN,,,,,,unresolved evaluator boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXATPCHALLENGERMATCH-26JUL12CALRAD,ATP_CHALL,fit,CAL,KXATPCHALLENGERMATCH-26JUL12CALRAD-CAL,True,1783868400.0,1783887900.0,1783897200.0,60,,UNKNOWN,3426,100,14,60,1783871906.999376,,57,1783868444.0,30.0,57,57,41.0,37,57,1783868444.0,30.0,57,57,41.0,10,58,1783868400.0,3032.0,57,58,3032.0,1,58,1783868400.0,3032.0,57,58,3032.0,1
KXATPCHALLENGERMATCH-26JUL12CALRAD,ATP_CHALL,fit,RAD,KXATPCHALLENGERMATCH-26JUL12CALRAD-RAD,True,1783868400.0,1783887900.0,1783897200.0,42,40,FALLING,5388,157,8,40,1783887699.944767,,41,1783883596.0,4304.0,41,41,4304.0,1,41,1783883596.0,4304.0,41,41,4304.0,1,41,1783883596.0,4304.0,41,41,4304.0,1,41,1783883596.0,4304.0,41,41,4304.0,1
KXATPCHALLENGERMATCH-26JUL12CHAJON,ATP_CHALL,fit,CHA,KXATPCHALLENGERMATCH-26JUL12CHAJON-CHA,True,1783825200.0,1783854300.0,1783854000.0,44,42,FALLING,11051,203,3,42,1783853918.184797,,42,1783846875.0,7425.0,42,42,7425.0,1,42,1783846875.0,7425.0,42,42,7425.0,1,42,1783846875.0,7425.0,42,42,7425.0,1,42,1783846875.0,7425.0,42,42,7425.0,1
KXATPCHALLENGERMATCH-26JUL12CHAJON,ATP_CHALL,fit,JON,KXATPCHALLENGERMATCH-26JUL12CHAJON-JON,True,1783825200.0,1783854300.0,1783854000.0,57,60,CLIMBING,11884,133,14,57,1783829769.60897,,56,1783825200.0,292.0,56,56,623.0,4,56,1783825200.0,292.0,56,56,623.0,4,56,1783825200.0,292.0,56,56,623.0,4,56,1783825522.0,623.0,56,56,623.0,2
KXATPCHALLENGERMATCH-26JUL12CHISEA,ATP_CHALL,fit,CHI,KXATPCHALLENGERMATCH-26JUL12CHISEA-CHI,True,1783836000.0,1783853700.0,1783864800.0,32,32,FLAT,537,3,5,32,1783844751.813768,,32,1783837382.0,16318.0,32,32,16318.0,1,32,1783837382.0,16318.0,32,32,16318.0,1,32,1783837382.0,16318.0,32,32,16318.0,1,32,1783837382.0,16318.0,32,32,16318.0,1
KXATPCHALLENGERMATCH-26JUL12CHISEA,ATP_CHALL,fit,SEA,KXATPCHALLENGERMATCH-26JUL12CHISEA-SEA,True,1783836000.0,1783853700.0,1783864800.0,68,68,FLAT,389,3,7,68,1783840266.570896,,65,1783836000.0,10847.0,65,65,10847.0,1,65,1783836000.0,10847.0,65,65,10847.0,1,65,1783836000.0,10847.0,65,65,10847.0,1,65,1783836000.0,10847.0,65,65,10847.0,1
KXATPCHALLENGERMATCH-26JUL12CHOGAS,ATP_CHALL,fit,CHO,KXATPCHALLENGERMATCH-26JUL12CHOGAS-CHO,True,1783839600.0,1783858440.0,1783868400.0,61,62,CLIMBING,1031,12,97,61,1783841121.30159,,60,1783839600.0,7247.0,60,60,7247.0,1,60,1783839600.0,7247.0,60,60,7247.0,1,60,1783839600.0,7247.0,60,60,7247.0,1,60,1783839600.0,7247.0,60,60,7247.0,1
KXATPCHALLENGERMATCH-26JUL12CHOGAS,ATP_CHALL,fit,GAS,KXATPCHALLENGERMATCH-26JUL12CHOGAS-GAS,True,1783839600.0,1783858440.0,1783868400.0,39,39,FLAT,655,2,9,39,1783844265.819618,,39,1783839600.0,18840.0,39,39,18840.0,1,39,1783839600.0,18840.0,39,39,18840.0,1,39,1783839600.0,18840.0,39,39,18840.0,1,39,1783839600.0,18840.0,39,39,18840.0,1
KXATPCHALLENGERMATCH-26JUL12CRIBAS,ATP_CHALL,fit,BAS,KXATPCHALLENGERMATCH-26JUL12CRIBAS-BAS,True,1783829400.0,1783851300.0,1783858200.0,66,66,FLAT,548,9,9,64,1783836906.382057,,65,1783829400.0,18600.0,65,65,18600.0,3,65,1783829400.0,18600.0,65,65,18600.0,3,65,1783829400.0,18600.0,65,65,18600.0,3,65,1783829400.0,18600.0,65,65,18600.0,3
KXATPCHALLENGERMATCH-26JUL12CRIBAS,ATP_CHALL,fit,CRI,KXATPCHALLENGERMATCH-26JUL12CRIBAS-CRI,True,1783829400.0,1783851300.0,1783858200.0,37,36,FALLING,677,19,2,36,1783837410.422405,,36,1783832914.0,13934.0,36,36,13934.0,4,36,1783832914.0,13934.0,36,36,13934.0,4,36,1783832914.0,13934.0,36,36,13934.0,4,36,1783832914.0,13934.0,36,36,13934.0,2
