ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1784300388,2026-07-17 14:59:48,4568,COL,BBO,57,20,62,24,59.5,,,,
1784300388,2026-07-17 14:59:48,4568,COL,BBO,57,20,62,13,59.5,,,,
1784300388,2026-07-17 14:59:48,4568,CER,TRADE,,,,,,42,14.0,no,eb175339-c98d-786e-8d07-c66618417546
1784300388,2026-07-17 14:59:48,4568,COL,TRADE,,,,,,62,12.0,yes,6c063fe9-c48a-5cba-f775-feff93691ea2
1784300388,2026-07-17 14:59:48,4568,COL,TRADE,,,,,,62,14.0,yes,d44c8ceb-4a13-5a0d-fb66-636768163af7
1784300391,2026-07-17 14:59:51,4565,CER,BBO,42,28,44,80,43.0,,,,
1784300391,2026-07-17 14:59:51,4565,COL,BBO,57,20,62,13,59.5,,,,
1784300391,2026-07-17 14:59:51,4565,COL,BBO,57,20,62,13,59.5,,,,
1784300391,2026-07-17 14:59:51,4565,COL,BBO,57,20,62,13,59.5,,,,
1784300391,2026-07-17 14:59:51,4565,COL,BBO,57,20,62,25,59.5,,,,
1784300393,2026-07-17 14:59:53,4563,CER,BBO,42,28,44,80,43.0,,,,
1784300393,2026-07-17 14:59:53,4563,COL,BBO,57,20,62,26,59.5,,,,
1784300394,2026-07-17 14:59:54,4562,CER,BBO,42,14,44,80,43.0,,,,
1784300394,2026-07-17 14:59:54,4562,COL,BBO,57,20,62,14,59.5,,,,
1784300394,2026-07-17 14:59:54,4562,COL,BBO,57,20,63,500,60.0,,,,
1784300395,2026-07-17 14:59:55,4561,CER,BBO,42,14,44,80,43.0,,,,
1784300395,2026-07-17 14:59:55,4561,CER,BBO,42,14,44,80,43.0,,,,
1784300395,2026-07-17 14:59:55,4561,COL,BBO,57,20,63,500,60.0,,,,
1784300395,2026-07-17 14:59:55,4561,COL,BBO,57,20,63,500,60.0,,,,
1784300395,2026-07-17 14:59:55,4561,COL,BBO,57,20,63,500,60.0,,,,
1784300395,2026-07-17 14:59:55,4561,COL,BBO,57,20,62,14,59.5,,,,
1784300395,2026-07-17 14:59:55,4561,COL,BBO,57,20,62,7,59.5,,,,
1784300395,2026-07-17 14:59:55,4561,COL,BBO,57,20,62,7,59.5,,,,
1784300409,2026-07-17 15:00:09,4547,COL,BBO,57,20,62,7,59.5,,,,
1784300410,2026-07-17 15:00:10,4546,CER,BBO,42,14,44,80,43.0,,,,
1784300410,2026-07-17 15:00:10,4546,CER,BBO,42,14,44,80,43.0,,,,
1784300410,2026-07-17 15:00:10,4546,COL,BBO,57,20,62,7,59.5,,,,
1784300410,2026-07-17 15:00:10,4546,COL,BBO,57,20,62,7,59.5,,,,
1784300410,2026-07-17 15:00:10,4546,COL,BBO,57,20,62,12,59.5,,,,
1784300435,2026-07-17 15:00:35,4521,COL,BBO,57,20,62,32,59.5,,,,
1784300450,2026-07-17 15:00:50,4506,CER,BBO,42,14,44,80,43.0,,,,
1784300450,2026-07-17 15:00:50,4506,COL,BBO,57,21,61,114,59.0,,,,
1784300508,2026-07-17 15:01:48,4448,CER,BBO,42,14,44,80,43.0,,,,
1784300508,2026-07-17 15:01:48,4448,COL,BBO,57,21,61,114,59.0,,,,
1784300517,2026-07-17 15:01:57,4439,COL,BBO,57,21,61,94,59.0,,,,
1784300565,2026-07-17 15:02:45,4391,COL,TRADE,,,,,,61,41.49,yes,3ac75a40-8f4e-64d2-0f50-a72bc2a9aadb
1784300589,2026-07-17 15:03:09,4367,CER,BBO,42,14,44,100,43.0,,,,
1784300589,2026-07-17 15:03:09,4367,COL,BBO,57,1,61,52,59.0,,,,
1784300595,2026-07-17 15:03:15,4361,CER,TRADE,,,,,,44,5.29,yes,abf239d8-1a24-7f83-c3b5-b219b654a617
1784300595,2026-07-17 15:03:15,4361,CER,TRADE,,,,,,44,13.0,yes,787df230-6d09-711e-cfb2-97f2edbc97a5
1784300595,2026-07-17 15:03:15,4361,CER,TRADE,,,,,,44,18.0,yes,f75bd463-8d91-7013-f700-0389067d45db
1784300595,2026-07-17 15:03:15,4361,CER,TRADE,,,,,,44,49.71,yes,cfaaa794-edc4-7b29-ee47-bcac4c37c744
1784300596,2026-07-17 15:03:16,4360,CER,BBO,42,14,44,51,43.0,,,,
1784300596,2026-07-17 15:03:16,4360,CER,BBO,42,14,44,33,43.0,,,,
1784300596,2026-07-17 15:03:16,4360,CER,BBO,42,14,44,20,43.0,,,,
1784300596,2026-07-17 15:03:16,4360,CER,BBO,42,14,44,15,43.0,,,,
1784300596,2026-07-17 15:03:16,4360,CER,BBO,42,14,44,15,43.0,,,,
1784300597,2026-07-17 15:03:17,4359,CER,BBO,42,14,44,15,43.0,,,,
1784300597,2026-07-17 15:03:17,4359,CER,BBO,42,15,44,15,43.0,,,,
1784300600,2026-07-17 15:03:20,4356,CER,BBO,42,15,44,15,43.0,,,,
1784300602,2026-07-17 15:03:22,4354,CER,BBO,42,15,44,15,43.0,,,,
1784300602,2026-07-17 15:03:22,4354,CER,BBO,42,15,44,15,43.0,,,,
1784300602,2026-07-17 15:03:22,4354,CER,BBO,42,15,44,15,43.0,,,,
1784300602,2026-07-17 15:03:22,4354,CER,BBO,42,15,44,15,43.0,,,,
1784300602,2026-07-17 15:03:22,4354,COL,BBO,57,1,61,52,59.0,,,,
1784300603,2026-07-17 15:03:23,4353,CER,BBO,42,14,44,15,43.0,,,,
1784300603,2026-07-17 15:03:23,4353,CER,BBO,43,1,44,15,43.5,,,,
1784300604,2026-07-17 15:03:24,4352,CER,BBO,43,1,44,20,43.5,,,,
1784300608,2026-07-17 15:03:28,4348,CER,BBO,43,1,44,15,43.5,,,,
1784300609,2026-07-17 15:03:29,4347,CER,BBO,42,14,44,15,43.0,,,,
1784300609,2026-07-17 15:03:29,4347,CER,BBO,42,15,44,15,43.0,,,,
1784300619,2026-07-17 15:03:39,4337,CER,BBO,42,15,44,15,43.0,,,,
1784300620,2026-07-17 15:03:40,4336,CER,BBO,42,15,44,15,43.0,,,,
1784300620,2026-07-17 15:03:40,4336,CER,BBO,42,15,44,70,43.0,,,,
1784300620,2026-07-17 15:03:40,4336,CER,BBO,42,15,43,54,42.5,,,,
1784300620,2026-07-17 15:03:40,4336,COL,BBO,57,1,61,52,59.0,,,,
1784300620,2026-07-17 15:03:40,4336,COL,BBO,57,1,61,52,59.0,,,,
1784300620,2026-07-17 15:03:40,4336,COL,BBO,57,1,61,52,59.0,,,,
