ts_epoch,ts_et,t_minus_bell_s,leg,row_type,best_bid,bid_sz,best_ask,ask_sz,mid,print_price,print_size,taker_side,trade_id
1783855622,2026-07-12 07:27:02,23578,POL,BBO,80,1139,82,753,81.0,,,,
1783855639,2026-07-12 07:27:19,23561,KUH,BBO,19,100,20,1354,19.5,,,,
1783855653,2026-07-12 07:27:33,23547,POL,BBO,80,1139,81,100,80.5,,,,
1783855678,2026-07-12 07:27:58,23522,KUH,BBO,18,193,20,1354,19.0,,,,
1783855684,2026-07-12 07:28:04,23516,POL,BBO,80,1139,82,753,81.0,,,,
1783855699,2026-07-12 07:28:19,23501,KUH,BBO,19,100,20,1354,19.5,,,,
1783855712,2026-07-12 07:28:32,23488,POL,BBO,80,1139,81,100,80.5,,,,
1783855738,2026-07-12 07:28:58,23462,KUH,BBO,18,193,20,1354,19.0,,,,
1783855743,2026-07-12 07:29:03,23457,POL,BBO,80,1139,82,753,81.0,,,,
1783855758,2026-07-12 07:29:18,23442,KUH,BBO,19,100,20,1354,19.5,,,,
1783855770,2026-07-12 07:29:30,23430,POL,BBO,80,1139,81,100,80.5,,,,
1783855798,2026-07-12 07:29:58,23402,KUH,BBO,18,193,20,1354,19.0,,,,
1783855804,2026-07-12 07:30:04,23396,POL,BBO,80,1139,82,753,81.0,,,,
1783855819,2026-07-12 07:30:19,23381,KUH,BBO,19,100,20,1354,19.5,,,,
1783855831,2026-07-12 07:30:31,23369,POL,BBO,80,1139,81,100,80.5,,,,
1783855857,2026-07-12 07:30:57,23343,KUH,BBO,18,193,20,1354,19.0,,,,
1783855857,2026-07-12 07:30:57,23343,POL,BBO,80,1139,82,753,81.0,,,,
1783855877,2026-07-12 07:31:17,23323,KUH,BBO,19,100,20,1354,19.5,,,,
1783855877,2026-07-12 07:31:17,23323,POL,BBO,80,1139,81,100,80.5,,,,
1783855920,2026-07-12 07:32:00,23280,KUH,BBO,18,193,20,1354,19.0,,,,
1783855925,2026-07-12 07:32:05,23275,POL,BBO,80,1139,82,753,81.0,,,,
1783855937,2026-07-12 07:32:17,23263,KUH,BBO,19,100,20,1354,19.5,,,,
1783855949,2026-07-12 07:32:29,23251,POL,BBO,80,1139,81,100,80.5,,,,
1783855979,2026-07-12 07:32:59,23221,KUH,BBO,18,193,20,1354,19.0,,,,
1783855987,2026-07-12 07:33:07,23213,POL,BBO,80,1139,82,753,81.0,,,,
