ticker,cell,side,fill_price,fill_ts,bid_at_fill,ask_at_fill,spread_at_fill,mid_at_fill,mid_30min_before,price_change_30min,direction_30min,oscillation_range,n_window_snaps,paired
KXWTAMATCH-26APR25NOSSAM-NOS,WTA_MAIN_leader_60-64,leader,61,2026-04-26 04:46:39 AM ET,61,62,1,61.5,61.0,1.0,TRENDING_UP,1.0,6,True
KXATPCHALLENGERMATCH-26APR26GUNKRA-GUN,ATP_CHALL_underdog_25-29,underdog,28,2026-04-26 05:48:48 AM ET,22,23,1,22.5,29.0,-0.5,OSCILLATING,1.0,5,False
KXATPMATCH-26APR26FONJOD-FON,ATP_MAIN_underdog_45-49,underdog,46,2026-04-26 05:55:42 AM ET,45,46,1,45.5,46.5,-1.0,TRENDING_DOWN,1.0,5,False
KXWTAMATCH-26APR25POTOST-POT,WTA_MAIN_underdog_45-49,underdog,47,2026-04-26 06:09:21 AM ET,46,48,2,47.0,47.5,0.0,FLAT,0.0,6,False
KXWTACHALLENGERMATCH-26APR26BELLEW-BEL,WTA_CHALL_leader_60-64,leader,60,2026-04-26 08:12:29 AM ET,60,61,1,60.5,60.5,0.0,FLAT,0.0,6,False
KXATPMATCH-26APR26KOPRIN-KOP,ATP_MAIN_underdog_40-44,underdog,41,2026-04-26 08:56:29 AM ET,41,42,1,41.5,41.5,0.0,FLAT,0.0,6,True
KXWTAMATCH-26APR25ZHERYB-ZHE,WTA_MAIN_underdog_20-24,underdog,21,2026-04-26 10:41:00 AM ET,21,22,1,21.5,21.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR26KENBAS-KEN,ATP_CHALL_underdog_30-34,underdog,32,2026-04-26 11:21:34 AM ET,32,33,1,32.5,32.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR26KENBAS-BAS,ATP_CHALL_leader_70-74,leader,70,2026-04-26 11:22:38 AM ET,68,69,1,68.5,70.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR26NEUFON-NEU,ATP_CHALL_leader_80-84,leader,79,2026-04-26 11:40:19 AM ET,79,81,2,80.0,80.0,0.0,OSCILLATING,0.5,6,False
