ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz,bid_depth_5,ask_depth_5
1783868510,2026-07-12 11:01:50 AM,21,5.0,19,1.0,515.0,1503.0
1783868510,2026-07-12 11:01:50 AM,21,2333.0,19,1.0,2943.0,1481.0
1783868510,2026-07-12 11:01:50 AM,21,2338.0,19,1.0,2948.0,1481.0
1783868510,2026-07-12 11:01:50 AM,22,5.0,19,1.0,2726.0,5531.0
1783868510,2026-07-12 11:01:50 AM,22,33.0,19,1.0,2754.0,5531.0
1783868510,2026-07-12 11:01:50 AM,22,133.0,19,1.0,2854.0,5531.0
1783868510,2026-07-12 11:01:50 AM,23,5.0,19,1.0,2688.0,18382.0
1783868510,2026-07-12 11:01:50 AM,23,10.0,19,1.0,2693.0,17175.0
1783868510,2026-07-12 11:01:50 AM,23,110.0,19,1.0,10097.0,15975.0
1783868510,2026-07-12 11:01:50 AM,23,115.0,19,1.0,10092.0,16297.0
1783868510,2026-07-12 11:01:50 AM,23,143.0,19,1.0,9858.0,4391.0
1783868510,2026-07-12 11:01:50 AM,23,163.0,19,1.0,10045.0,14317.0
1783868510,2026-07-12 11:01:50 AM,23,615.0,19,1.0,10564.0,10497.0
1783868510,2026-07-12 11:01:50 AM,23,643.0,19,1.0,10592.0,3297.0
1783868510,2026-07-12 11:01:50 AM,24,5.0,19,1.0,9726.0,10317.0
1783868510,2026-07-12 11:01:50 AM,24,33.0,19,1.0,9749.0,10311.0
1783868510,2026-07-12 11:01:50 AM,25,5.0,19,1.0,9752.0,10311.0
1783868510,2026-07-12 11:01:50 AM,25,10.0,19,1.0,9652.0,10311.0
1783868510,2026-07-12 11:01:50 AM,25,15.0,19,1.0,9633.0,4705.0
1783868510,2026-07-12 11:01:50 AM,25,115.0,19,1.0,9733.0,3455.0
1783868511,2026-07-12 11:01:51 AM,26,5.0,19,1.0,7150.0,8530.0
1783868511,2026-07-12 11:01:51 AM,26,30.0,19,1.0,7147.0,8530.0
1783868511,2026-07-12 11:01:51 AM,27,5.0,19,1.0,6881.0,12387.0
1783868511,2026-07-12 11:01:51 AM,28,5.0,19,1.0,22585.0,12387.0
1783868511,2026-07-12 11:01:51 AM,28,105.0,19,1.0,29436.0,12376.0
1783868511,2026-07-12 11:01:51 AM,28,22237.0,19,1.0,51568.0,12376.0
1783868511,2026-07-12 11:01:51 AM,28,27237.0,19,1.0,41139.0,10176.0
1783868511,2026-07-12 11:01:51 AM,28,27242.0,19,1.0,35243.0,11257.0
1783868511,2026-07-12 11:01:51 AM,28,27247.0,19,1.0,35248.0,9713.0
1783868511,2026-07-12 11:01:51 AM,28,41708.0,19,1.0,61132.0,35923.0
1783868512,2026-07-12 11:01:52 AM,28,41808.0,19,1.0,61432.0,24750.0
1783868512,2026-07-12 11:01:52 AM,28,43008.0,19,1.0,63832.0,24750.0
1783868512,2026-07-12 11:01:52 AM,28,46008.0,19,1.0,68032.0,24750.0
1783868512,2026-07-12 11:01:52 AM,28,49008.0,19,1.0,71082.0,27750.0
1783868512,2026-07-12 11:01:52 AM,28,49013.0,19,1.0,74082.0,18670.0
1783868512,2026-07-12 11:01:52 AM,28,56361.0,19,1.0,86480.0,40323.0
1783868515,2026-07-12 11:01:55 AM,28,56351.0,19,1.0,107487.0,73386.0
1783868515,2026-07-12 11:01:55 AM,28,56356.0,19,1.0,107492.0,73386.0
1783868515,2026-07-12 11:01:55 AM,28,56361.0,19,1.0,101099.0,56752.0
1783868516,2026-07-12 11:01:56 AM,28,56241.0,19,1.0,117617.0,93685.0
1783868516,2026-07-12 11:01:56 AM,28,56246.0,19,1.0,117522.0,84085.0
1783868516,2026-07-12 11:01:56 AM,28,56346.0,19,1.0,107482.0,75022.0
1783868516,2026-07-12 11:01:56 AM,28,56351.0,19,1.0,107487.0,75022.0
1783868517,2026-07-12 11:01:57 AM,28,56241.0,19,1.0,117617.0,87585.0
1783868520,2026-07-12 11:02:00 AM,28,29109.0,19,1.0,98865.0,102780.0
1783868520,2026-07-12 11:02:00 AM,28,34109.0,19,1.0,104865.0,102780.0
1783868520,2026-07-12 11:02:00 AM,28,56241.0,19,1.0,126997.0,102780.0
1783868521,2026-07-12 11:02:01 AM,28,21909.0,19,1.0,86115.0,48035.0
1783868521,2026-07-12 11:02:01 AM,28,24909.0,19,1.0,92215.0,102785.0
1783868521,2026-07-12 11:02:01 AM,28,27909.0,19,1.0,95265.0,102785.0
1783868521,2026-07-12 11:02:01 AM,28,29109.0,19,1.0,97665.0,102785.0
1783868521,2026-07-12 11:02:01 AM,28,43105.0,19,1.0,107311.0,48035.0
1783868521,2026-07-12 11:02:01 AM,28,44305.0,19,1.0,108511.0,48035.0
1783868522,2026-07-12 11:02:02 AM,28,44405.0,19,1.0,108611.0,48035.0
1783868522,2026-07-12 11:02:02 AM,28,47405.0,19,1.0,114611.0,48035.0
1783868522,2026-07-12 11:02:02 AM,28,50405.0,19,1.0,117611.0,48035.0
