cell,trigger,combo,is_active,total,scalp_pre,dca_fires,dca_wins,dca_knife,no_opp,fire_rate_pct,win_rate_pct,dca_ev_per_fire_c,cell_roi_delta_pct
WTA_CHALL_leader_55-59,10,A,True,90,4,14,7,7,72,15.6,50.0,-218.9,-5.97
WTA_CHALL_leader_55-59,10,B,True,90,4,14,7,7,72,15.6,50.0,-243.9,-6.66
WTA_CHALL_leader_55-59,15,A,True,90,8,10,3,7,72,11.1,30.0,-421.5,-8.22
WTA_CHALL_leader_55-59,15,B,True,90,8,10,3,7,72,11.1,30.0,-444.0,-8.65
WTA_CHALL_leader_55-59,20,A,True,90,9,9,2,7,72,10.0,22.2,-485.0,-8.51
WTA_CHALL_leader_55-59,20,B,True,90,9,9,2,7,72,10.0,22.2,-507.2,-8.90
WTA_CHALL_leader_55-59,25,A,True,90,10,8,1,7,72,8.9,12.5,-570.6,-8.90
WTA_CHALL_leader_55-59,25,B,True,90,10,8,1,7,72,8.9,12.5,-586.2,-9.14
WTA_CHALL_underdog_40-44,3,A,True,79,2,21,11,10,56,26.6,52.4,-47.1,-2.98
WTA_CHALL_underdog_40-44,3,B,True,79,2,21,11,10,56,26.6,52.4,-55.0,-3.48
WTA_CHALL_underdog_40-44,5,A,True,79,3,20,10,10,56,25.3,50.0,-62.8,-3.78
WTA_CHALL_underdog_40-44,5,B,True,79,3,20,10,10,56,25.3,50.0,-75.2,-4.54
WTA_CHALL_underdog_40-44,7,A,True,79,4,19,9,10,56,24.1,47.4,-81.1,-4.64
WTA_CHALL_underdog_40-44,7,B,True,79,4,19,9,10,56,24.1,47.4,-97.6,-5.59
WTA_CHALL_underdog_40-44,10,A,True,79,6,17,7,10,56,21.5,41.2,-132.6,-6.80
WTA_CHALL_underdog_40-44,10,B,True,79,6,17,7,10,56,21.5,41.2,-153.2,-7.85
WTA_CHALL_underdog_40-44,15,A,True,79,8,15,5,10,56,19.0,33.3,-192.0,-8.68
WTA_CHALL_underdog_40-44,15,B,True,79,8,15,5,10,56,19.0,33.3,-217.0,-9.81
WTA_CHALL_underdog_40-44,20,A,True,79,9,14,4,10,56,17.7,28.6,-218.2,-9.21
WTA_CHALL_underdog_40-44,20,B,True,79,9,14,4,10,56,17.7,28.6,-246.8,-10.41
WTA_CHALL_underdog_40-44,25,A,True,79,11,11,2,9,57,13.9,18.2,-303.2,-10.05
WTA_CHALL_underdog_40-44,25,B,True,79,11,11,2,9,57,13.9,18.2,-325.9,-10.80
WTA_MAIN_leader_50-54,3,A,True,253,19,30,23,7,204,11.9,76.7,-48.0,-1.09
WTA_MAIN_leader_50-54,3,B,True,253,19,30,23,7,204,11.9,76.7,-59.5,-1.36
WTA_MAIN_leader_50-54,5,A,True,250,18,25,21,4,207,10.0,84.0,30.4,0.58
WTA_MAIN_leader_50-54,5,B,True,250,18,25,21,4,207,10.0,84.0,9.4,0.18
WTA_MAIN_leader_50-54,7,A,True,250,24,19,15,4,207,7.6,78.9,-5.3,-0.08
WTA_MAIN_leader_50-54,7,B,True,250,24,19,15,4,207,7.6,78.9,-32.9,-0.48
WTA_MAIN_leader_50-54,10,A,True,249,25,15,13,2,209,6.0,86.7,78.0,0.90
WTA_MAIN_leader_50-54,10,B,True,249,25,15,13,2,209,6.0,86.7,34.7,0.40
WTA_MAIN_leader_50-54,15,A,True,249,30,10,8,2,209,4.0,80.0,42.0,0.32
WTA_MAIN_leader_50-54,15,B,True,249,30,10,8,2,209,4.0,80.0,-18.0,-0.14
WTA_MAIN_leader_50-54,20,A,True,249,33,7,5,2,209,2.8,71.4,-11.4,-0.06
WTA_MAIN_leader_50-54,20,B,True,249,33,7,5,2,209,2.8,71.4,-82.9,-0.45
WTA_MAIN_leader_50-54,25,A,True,247,32,6,4,2,209,2.4,66.7,-30.0,-0.14
WTA_MAIN_leader_50-54,25,B,True,247,32,6,5,1,209,2.4,83.3,15.8,0.07
WTA_MAIN_leader_55-59,3,A,False,329,18,21,14,7,290,6.4,66.7,-167.1,-1.87
WTA_MAIN_leader_55-59,3,B,False,329,18,21,14,7,290,6.4,66.7,-177.1,-1.98
WTA_MAIN_leader_55-59,5,A,False,329,20,15,12,3,294,4.6,80.0,-22.0,-0.18
WTA_MAIN_leader_55-59,5,B,False,329,20,15,13,2,294,4.6,86.7,24.3,0.19
WTA_MAIN_leader_55-59,7,A,False,329,26,9,6,3,294,2.7,66.7,-143.3,-0.69
WTA_MAIN_leader_55-59,7,B,False,329,26,9,7,2,294,2.7,77.8,-57.2,-0.27
WTA_MAIN_leader_55-59,10,A,False,329,26,9,6,3,294,2.7,66.7,-128.3,-0.62
WTA_MAIN_leader_55-59,10,B,False,329,26,9,7,2,294,2.7,77.8,-53.9,-0.26
WTA_MAIN_leader_55-59,15,A,False,329,28,7,4,3,294,2.1,57.1,-197.1,-0.74
WTA_MAIN_leader_55-59,15,B,False,329,28,7,4,3,294,2.1,57.1,-240.0,-0.90
WTA_MAIN_leader_55-59,20,A,False,329,29,6,3,3,294,1.8,50.0,-242.5,-0.78
WTA_MAIN_leader_55-59,20,B,False,329,29,6,3,3,294,1.8,50.0,-292.5,-0.94
WTA_MAIN_leader_55-59,25,A,False,329,30,5,2,3,294,1.5,40.0,-316.0,-0.84
WTA_MAIN_leader_55-59,25,B,False,329,30,5,2,3,294,1.5,40.0,-366.0,-0.98
