V3 ANALYSIS — Per-cell exit target sweep with tick replay
Entry: ask-1 (leaders), bid+1+offset (underdogs)
DCA: strategy B (blended target) where applicable
Baby sizing: 10ct entry, 5ct DCA

==============================================================================================================
ATP_CHALL_leader_55-59 | n=70 trajs | avg_entry=58.8c | peak p50=+40c p75=+40c p90=+40c | offset=-1 | dca=11
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
   +30c  64.9  64.9  79.3  +1.48% $-0.158   57   37
 hold99  59.6  59.6  79.7  +4.16% $+0.031   57   34
  BEST (ROI, WR>50%): +27c | ROI=+5.77% EV=$+0.203/trade WR=70%

==============================================================================================================
ATP_CHALL_leader_65-69 | n=52 trajs | avg_entry=68.7c | peak p50=+30c p75=+30c p90=+31c | offset=-1 | dca=17
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  94.2  94.2  72.7  -1.67% $-0.253   52   49
    +4c  94.2  94.2  73.7  -0.29% $-0.148   52   49
    +5c  94.2  94.2  73.7  +1.10% $-0.047   52   49
    +6c  94.2  94.2  73.7  +2.49% $+0.054   52   49
    +7c  94.2  94.2  75.7  +3.91% $+0.178   52   49
    +8c  94.2  94.2  77.2  +5.34% $+0.303   52   49
    +9c  94.2  94.2  77.2  +6.75% $+0.411   52   49
   +10c  92.3  92.3  77.2  +5.93% $+0.313   52   48
   +11c  92.3  92.3  77.7  +7.32% $+0.428   52   48
   +12c  90.4  90.4  78.7  +6.46% $+0.338   52   47
   +13c  90.4  90.4  79.2  +7.83% $+0.455   52   47
   +14c  90.4  90.4  79.2  +9.19% $+0.561   52   47
   +15c  90.4  90.4  79.2 +10.54% $+0.666   52   47
   +16c  86.5  86.5  79.2  +7.09% $+0.319   52   45
   +17c  84.6  84.6  80.2  +6.02% $+0.219   52   44
   +18c  84.6  84.6  80.7  +7.32% $+0.335   52   44
   +19c  84.6  84.6  81.7  +8.67% $+0.469   52   44
   +20c  84.6  84.6  81.7  +9.94% $+0.571   52   44
   +21c  80.8  80.8  82.7  +6.20% $+0.227   52   42
   +22c  80.8  80.8  82.7  +7.42% $+0.325   52   42
   +23c  80.8  80.8  82.7  +8.64% $+0.423   52   42
   +24c  80.8  80.8  82.7  +9.86% $+0.521   52   42
   +25c  80.8  80.8  83.2 +11.14% $+0.642   52   42
   +26c  80.8  80.8  83.2 +12.36% $+0.741   52   42
   +27c  80.8  80.8  83.2 +13.58% $+0.840   52   42
   +28c  80.8  80.8  83.2 +14.80% $+0.939   52   42
   +29c  80.8  80.8  83.2 +16.03% $+1.038   52   42
   +30c  80.8  80.8  83.2 +17.25% $+1.137   52   42
 hold99  80.8  80.8  83.2 +21.01% $+1.489   52   42 <<<
  BEST (ROI, WR>50%): hold99 | ROI=+21.01% EV=$+1.489/trade WR=81%

==============================================================================================================
ATP_CHALL_leader_70-74 | n=37 trajs | avg_entry=72.8c | peak p50=+26c p75=+26c p90=+27c | offset=+1 | dca=11
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  94.6  94.6  83.7  -1.59% $-0.249   37   35
    +4c  94.6  94.6  84.5  -0.27% $-0.135   37   35
    +5c  91.9  91.9  87.0  -1.84% $-0.308   37   34
    +6c  91.9  91.9  88.7  -0.55% $-0.184   37   34
    +7c  91.9  91.9  88.7  +0.74% $-0.070   37   34
    +8c  91.9  91.9  90.4  +2.04% $+0.062   37   34
    +9c  86.5  86.5  90.4  -2.74% $-0.454   37   32
   +10c  86.5  86.5  90.4  -1.52% $-0.346   37   32
   +11c  83.8  83.8  90.4  -0.89% $-0.299   37   31
   +12c  83.8  83.8  91.2  +0.30% $-0.180   37   31
   +13c  83.8  83.8  91.2  +1.49% $-0.074   37   31
   +14c  83.8  83.8  91.2  +2.67% $+0.031   37   31
   +15c  83.8  83.8  91.2  +3.85% $+0.136   37   31
   +16c  83.8  83.8  92.0  +5.05% $+0.262   37   31
   +17c  83.8  83.8  92.9  +6.26% $+0.391   37   31
   +18c  83.8  83.8  93.7  +7.47% $+0.522   37   31
   +19c  83.8  83.8  93.7  +8.66% $+0.631   37   31
   +20c  81.1  81.1  94.5  +6.40% $+0.405   37   30
   +21c  78.4  78.4  95.4  +6.45% $+0.422   37   29
   +22c  78.4  78.4  95.4  +7.57% $+0.526   37   29
   +23c  78.4  78.4  95.4  +8.68% $+0.630   37   29
   +24c  78.4  78.4  96.2  +9.83% $+0.765   37   29
   +25c  78.4  78.4  96.2 +10.95% $+0.870   37   29
   +26c  78.4  78.4  97.0 +12.10% $+1.009   37   29
   +27c  78.4  78.4  97.0 +12.96% $+1.097   37   29
   +28c  78.4  78.4  97.0 +13.82% $+1.185   37   29
   +29c  78.4  78.4  97.0 +14.64% $+1.270   37   29
   +30c  78.4  78.4  97.0 +15.46% $+1.355   37   29
 hold99  78.4  78.4  97.0 +15.66% $+1.376   37   29 <<<
  BEST (ROI, WR>50%): hold99 | ROI=+15.66% EV=$+1.376/trade WR=78%

==============================================================================================================
ATP_CHALL_leader_75-79 | n=36 trajs | avg_entry=78.8c | peak p50=+20c p75=+20c p90=+21c | offset=+0 | dca=27
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  97.2  97.2  82.3  +0.98% $+0.021   36   35
    +4c  94.4  94.4  83.8  -0.67% $-0.174   36   34
    +5c  94.4  94.4  85.9  +0.62% $-0.051   36   34
    +6c  94.4  94.4  87.4  +1.91% $+0.071   36   34
    +7c  94.4  94.4  88.1  +3.19% $+0.189   36   34
    +8c  94.4  94.4  88.1  +4.44% $+0.299   36   34
    +9c  94.4  94.4  88.1  +5.69% $+0.408   36   34
   +10c  91.7  94.4  88.8  +7.78% $+0.615   36   33
   +11c  91.7  94.4  89.5  +9.04% $+0.738   36   33
   +12c  91.7  94.4  89.5 +10.26% $+0.846   36   33
   +13c  91.7  94.4  91.0 +11.59% $+0.990   36   33 <<<
   +14c  86.1  88.9  91.7  +6.20% $+0.429   36   31
   +15c  83.3  86.1  92.4  +4.05% $+0.200   36   30
   +16c  83.3  86.1  92.4  +5.17% $+0.301   36   30
   +17c  83.3  86.1  92.4  +6.28% $+0.403   36   30
   +18c  83.3  86.1  92.4  +7.40% $+0.504   36   30
   +19c  83.3  86.1  92.4  +8.52% $+0.606   36   30
   +20c  80.6  83.3  92.4  +6.06% $+0.332   36   29
   +21c  80.6  83.3  92.4  +6.65% $+0.390   36   29
   +22c  80.6  83.3  92.4  +7.16% $+0.443   36   29
   +23c  80.6  83.3  92.4  +7.64% $+0.493   36   29
   +24c  80.6  83.3  92.4  +8.12% $+0.543   36   29
   +25c  80.6  83.3  92.4  +8.59% $+0.593   36   29
   +26c  80.6  83.3  92.4  +9.07% $+0.643   36   29
   +27c  80.6  83.3  92.4  +9.55% $+0.693   36   29
   +28c  80.6  83.3  92.4 +10.02% $+0.743   36   29
   +29c  77.8  80.6  92.4  +6.57% $+0.381   36   28
   +30c  77.8  80.6  92.4  +6.61% $+0.385   36   28
 hold99  77.8  80.6  92.4  +6.65% $+0.389   36   28
  BEST (ROI, WR>50%): +13c | ROI=+11.59% EV=$+0.990/trade WR=92%

==============================================================================================================
ATP_CHALL_leader_80-84 | n=26 trajs | avg_entry=81.9c | peak p50=+17c p75=+17c p90=+17c | offset=-1 | dca=14
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  96.2  96.2  89.7  -0.36% $-0.138   26   25
    +4c  96.2  96.2  89.7  +0.83% $-0.033   26   25
    +5c  96.2  96.2  89.7  +2.01% $+0.073   26   25
    +6c  96.2  96.2  89.7  +3.20% $+0.179   26   25
    +7c  96.2  96.2  91.0  +4.39% $+0.296   26   25
    +8c  96.2  96.2  93.7  +5.60% $+0.431   26   25
    +9c  96.2  96.2  96.3  +6.81% $+0.573   26   25
   +10c  96.2  96.2  97.6  +8.03% $+0.706   26   25
   +11c  96.2  96.2 101.5  +9.28% $+0.881   26   25
   +12c  96.2  96.2 101.5 +10.49% $+1.004   26   25
   +13c  96.2  96.2 101.5 +11.70% $+1.127   26   25
   +14c  96.2  96.2 101.5 +12.92% $+1.250   26   25
   +15c  96.2  96.2 101.5 +14.13% $+1.373   26   25
   +16c  96.2  96.2 102.8 +15.38% $+1.525   26   25
   +17c  92.3  96.2 104.1 +16.67% $+1.685   26   24
   +18c  92.3  96.2 104.1 +17.51% $+1.781   26   24
   +19c  92.3  96.2 104.1 +18.36% $+1.877   26   24
   +20c  92.3  96.2 104.1 +19.16% $+1.969   26   24
   +21c  92.3  96.2 104.1 +19.95% $+2.062   26   24
   +22c  92.3  96.2 104.1 +20.75% $+2.154   26   24
   +23c  92.3  96.2 104.1 +20.80% $+2.160   26   24 <<<
   +24c  92.3  96.2 104.1 +20.80% $+2.160   26   24
   +25c  92.3  96.2 104.1 +20.80% $+2.160   26   24
   +26c  92.3  96.2 104.1 +20.80% $+2.160   26   24
   +27c  92.3  96.2 104.1 +20.80% $+2.160   26   24
   +28c  92.3  96.2 104.1 +20.80% $+2.160   26   24
   +29c  92.3  96.2 104.1 +20.80% $+2.160   26   24
   +30c  92.3  96.2 104.1 +20.80% $+2.160   26   24
 hold99  92.3  96.2 104.1 +20.80% $+2.160   26   24
  BEST (ROI, WR>50%): +23c | ROI=+20.80% EV=$+2.160/trade WR=92%

==============================================================================================================
ATP_CHALL_underdog_10-14 | n=19 trajs | avg_entry=12.4c | peak p50=+19c p75=+61c p90=+87c | offset=-1 | dca=5
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  78.9  78.9  13.8  -1.65% $-0.097   19   15
    +4c  73.7  73.7  13.9  -2.19% $-0.105   19   14
    +5c  68.4  68.4  14.2  -3.32% $-0.139   19   13
    +6c  63.2  63.2  14.4  -5.25% $-0.184   19   12
    +7c  57.9  57.9  14.4  -8.56% $-0.247   19   11
    +8c  57.9  57.9  14.4  -3.72% $-0.184   19   11
    +9c  57.9  57.9  14.6  +1.50% $-0.100   19   11
   +10c  57.9  57.9  14.6  +6.40% $-0.034   19   11
   +11c  57.9  57.9  14.6 +11.30% $+0.032   19   11
   +12c  57.9  57.9  14.6 +16.20% $+0.097   19   11
   +13c  57.9  57.9  14.6 +21.10% $+0.163   19   11
   +14c  57.9  57.9  14.6 +26.00% $+0.229   19   11
   +15c  52.6  52.6  14.8 +19.57% $+0.126   19   10
   +16c  52.6  52.6  14.8 +24.06% $+0.187   19   10
   +17c  52.6  52.6  14.8 +28.56% $+0.247   19   10
   +18c  52.6  52.6  14.8 +33.05% $+0.308   19   10
   +19c  52.6  52.6  15.0 +38.72% $+0.416   19   10
   +20c  52.6  52.6  15.0 +43.29% $+0.479   19   10
   +21c  52.6  52.6  15.0 +47.85% $+0.542   19   10 <<<
   +22c  42.1  42.1  15.0 +19.61% $+0.100   19    8
   +23c  42.1  42.1  15.0 +23.15% $+0.147   19    8
   +24c  42.1  42.1  15.0 +26.69% $+0.195   19    8
   +25c  36.8  36.8  15.0 +12.40% $-0.034   19    7
   +26c  36.8  36.8  15.2 +17.10% $+0.071   19    7
   +27c  36.8  36.8  15.2 +20.20% $+0.113   19    7
   +28c  36.8  36.8  15.2 +23.30% $+0.155   19    7
   +29c  36.8  36.8  15.2 +26.40% $+0.197   19    7
   +30c  36.8  36.8  15.2 +29.49% $+0.239   19    7
 hold99  10.5  15.8  15.9 +11.67% $-0.016   19    2
  BEST (ROI, WR>50%): +21c | ROI=+47.85% EV=$+0.542/trade WR=53%

==============================================================================================================
ATP_CHALL_underdog_15-19 | n=30 trajs | avg_entry=18.1c | peak p50=+15c p75=+42c p90=+64c | offset=-1 | dca=8
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  73.3  73.3  20.5 -14.47% $-0.363   30   22
    +4c  73.3  73.3  20.6 -10.19% $-0.275   30   22
    +5c  70.0  70.0  20.6 -10.29% $-0.290   30   21
    +6c  66.7  66.7  20.8 -10.65% $-0.312   30   20
    +7c  66.7  66.7  21.0  -6.66% $-0.225   30   20
    +8c  63.3  63.3  21.1  -7.68% $-0.245   30   19
    +9c  63.3  63.3  21.3  -3.81% $-0.157   30   19
   +10c  56.7  56.7  21.7 -10.27% $-0.310   30   17
   +11c  56.7  56.7  21.7  -6.90% $-0.240   30   17
   +12c  56.7  56.7  21.7  -3.54% $-0.170   30   17
   +13c  56.7  56.7  21.7  -0.18% $-0.100   30   17
   +14c  50.0  50.0  22.2  -8.20% $-0.260   30   15
   +15c  50.0  50.0  22.2  -5.17% $-0.195   30   15
   +16c  50.0  50.0  22.2  -2.13% $-0.130   30   15
   +17c  50.0  50.0  22.2  +0.90% $-0.065   30   15
   +18c  50.0  50.0  22.4  +4.38% $+0.028   30   15
   +19c  46.7  46.7  22.6  +0.91% $-0.050   30   14
   +20c  43.3  43.3  22.7  -3.60% $-0.125   30   13
   +21c  43.3  43.3  22.7  -0.91% $-0.065   30   13
   +22c  40.0  40.0  22.7  -5.98% $-0.195   30   12
   +23c  36.7  36.7  22.7 -11.76% $-0.330   30   11
   +24c  36.7  36.7  22.7  -9.49% $-0.280   30   11
   +25c  33.3  33.3  22.7 -15.59% $-0.435   30   10
   +26c  33.3  33.3  22.7 -13.53% $-0.390   30   10
   +27c  33.3  33.3  22.7 -11.46% $-0.345   30   10
   +28c  30.0  30.0  22.9 -18.23% $-0.465   30    9
   +29c  30.0  30.0  22.9 -16.36% $-0.423   30    9
   +30c  30.0  30.0  22.9 -14.49% $-0.382   30    9
 hold99   6.7  10.0  23.2 -49.43% $-1.150   30    2
  BEST (EV only): +18c | ROI=+4.38% EV=$+0.028/trade WR=50%

==============================================================================================================
ATP_CHALL_underdog_20-24 | n=44 trajs | avg_entry=23.4c | peak p50=+37c p75=+75c p90=+76c | offset=-1 | dca=5
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  93.2  93.2  27.5  +4.94% $+0.097   44   41
    +4c  93.2  93.2  27.7  +9.06% $+0.212   44   41
    +5c  93.2  93.2  28.1 +13.19% $+0.335   44   41
    +6c  90.9  90.9  28.6 +14.50% $+0.367   44   40
    +7c  86.4  86.4  29.2 +12.68% $+0.308   44   38
    +8c  86.4  86.4  29.4 +16.57% $+0.427   44   38
    +9c  86.4  86.4  29.6 +20.49% $+0.549   44   38
   +10c  86.4  86.4  29.6 +24.37% $+0.662   44   38
   +11c  84.1  84.1  29.8 +24.90% $+0.678   44   37
   +12c  79.5  79.5  30.0 +21.71% $+0.577   44   35
   +13c  79.5  79.5  30.0 +25.29% $+0.683   44   35
   +14c  77.3  77.3  30.0 +25.21% $+0.666   44   34
   +15c  75.0  75.0  30.0 +24.85% $+0.645   44   33
   +16c  75.0  75.0  30.2 +28.30% $+0.761   44   33
   +17c  75.0  75.0  30.4 +31.77% $+0.880   44   33
   +18c  75.0  75.0  30.4 +35.16% $+0.981   44   33
   +19c  70.5  70.5  30.6 +30.13% $+0.830   44   31
   +20c  70.5  70.5  30.6 +33.31% $+0.925   44   31
   +21c  68.2  68.2  30.6 +32.12% $+0.874   44   30
   +22c  65.9  65.9  30.6 +30.72% $+0.816   44   29
   +23c  61.4  61.4  30.8 +24.58% $+0.626   44   27
   +24c  61.4  61.4  30.8 +27.35% $+0.709   44   27
   +25c  61.4  61.4  30.8 +30.13% $+0.792   44   27
   +26c  61.4  61.4  30.8 +32.91% $+0.875   44   27
   +27c  61.4  61.4  31.0 +35.86% $+0.988   44   27 <<<
   +28c  56.8  56.8  31.0 +28.20% $+0.738   44   25
   +29c  54.5  54.5  31.0 +25.59% $+0.641   44   24
   +30c  52.3  52.3  31.0 +22.76% $+0.537   44   23
 hold99  29.5  29.5  31.9 +34.25% $+0.860   44   13
  BEST (ROI, WR>50%): +27c | ROI=+35.86% EV=$+0.988/trade WR=61%

==============================================================================================================
ATP_CHALL_underdog_25-29 | n=39 trajs | avg_entry=27.3c | peak p50=+19c p75=+51c p90=+71c | offset=-1 | dca=16
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  84.6  84.6  29.2  -5.32% $-0.214   39   33
    +4c  82.1  82.1  29.4  -4.90% $-0.204   39   32
    +5c  82.1  82.1  29.4  -1.71% $-0.112   39   32
    +6c  79.5  79.5  29.7  -1.47% $-0.109   39   31
    +7c  76.9  76.9  29.9  -1.59% $-0.119   39   30
    +8c  74.4  76.9  30.0  +1.35% $-0.027   39   29
    +9c  71.8  74.4  30.1  +0.84% $-0.042   39   28
   +10c  71.8  74.4  30.1  +3.69% $+0.042   39   28
   +11c  71.8  74.4  30.1  +6.54% $+0.127   39   28 <<<
   +12c  69.2  71.8  30.3  +5.72% $+0.094   39   27
   +13c  66.7  69.2  30.3  +4.26% $+0.045   39   26
   +14c  64.1  66.7  30.4  +2.94% $+0.008   39   25
   +15c  64.1  66.7  30.6  +5.84% $+0.104   39   25
   +16c  59.0  61.5  30.9  +0.22% $-0.068   39   23
   +17c  59.0  61.5  30.9  +2.58% $+0.004   39   23
   +18c  59.0  61.5  30.9  +4.95% $+0.076   39   23
   +19c  56.4  59.0  31.0  +3.01% $+0.012   39   22
   +20c  56.4  59.0  31.0  +5.28% $+0.081   39   22
   +21c  53.8  56.4  31.0  +2.58% $-0.019   39   21
   +22c  51.3  53.8  31.2  +0.16% $-0.097   39   20
   +23c  48.7  51.3  31.3  -2.45% $-0.181   39   19
   +24c  46.2  48.7  31.3  -5.91% $-0.297   39   18
   +25c  43.6  46.2  31.3  -9.49% $-0.426   39   17
   +26c  43.6  46.2  31.3  -7.74% $-0.373   39   17
   +27c  43.6  46.2  31.3  -6.00% $-0.321   39   17
   +28c  43.6  46.2  31.3  -4.25% $-0.268   39   17
   +29c  43.6  46.2  31.3  -2.51% $-0.215   39   17
   +30c  41.0  43.6  31.4  -6.29% $-0.319   39   16
 hold99  12.8  20.5  32.6 -34.44% $-1.146   39    5
  BEST (ROI, WR>50%): +11c | ROI=+6.54% EV=$+0.127/trade WR=72%

==============================================================================================================
ATP_CHALL_underdog_30-34 [DISABLED] | n=67 trajs | avg_entry=32.5c | peak p50=+20c p75=+66c p90=+66c | offset=+0 | dca=30
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  80.6  82.1  32.8 -10.16% $-0.347   67   54
    +4c  76.1  77.6  32.8 -12.71% $-0.437   67   51
    +5c  74.6  76.1  32.9 -11.99% $-0.416   67   50
    +6c  74.6  76.1  32.9  -9.67% $-0.340   67   50
    +7c  74.6  76.1  32.9  -7.36% $-0.265   67   50
    +8c  71.6  73.1  32.9  -8.75% $-0.316   67   48
    +9c  68.7  70.1  32.9 -10.34% $-0.372   67   46
   +10c  65.7  67.2  33.0 -12.13% $-0.431   67   44
   +11c  64.2  65.7  33.0 -12.11% $-0.428   67   43
   +12c  62.7  64.2  33.0 -12.17% $-0.430   67   42
   +13c  61.2  62.7  33.0 -12.31% $-0.437   67   41
   +14c  61.2  62.7  33.0 -10.41% $-0.375   67   41
   +15c  58.2  59.7  33.1 -12.86% $-0.461   67   39
   +16c  55.2  56.7  33.1 -15.21% $-0.537   67   37
   +17c  55.2  56.7  33.1 -13.48% $-0.480   67   37
   +18c  53.7  55.2  33.1 -14.05% $-0.501   67   36
   +19c  52.2  53.7  33.2 -14.71% $-0.526   67   35
   +20c  52.2  53.7  33.2 -13.07% $-0.472   67   35
   +21c  49.3  50.7  33.2 -16.40% $-0.578   67   33
   +22c  47.8  49.3  33.2 -17.37% $-0.609   67   32
   +23c  46.3  47.8  33.2 -18.43% $-0.643   67   31
   +24c  46.3  47.8  33.2 -16.98% $-0.596   67   31
   +25c  43.3  44.8  33.3 -20.77% $-0.725   67   29
   +26c  43.3  44.8  33.3 -19.40% $-0.681   67   29
   +27c  41.8  43.3  33.3 -21.28% $-0.748   67   28
   +28c  41.8  43.3  33.3 -19.98% $-0.705   67   28
   +29c  40.3  41.8  33.3 -21.53% $-0.755   67   27
   +30c  38.8  40.3  33.3 -23.12% $-0.810   67   26
 hold99  25.4  26.9  33.5 -19.27% $-0.699   67   17
  *** DISABLE — no exit target produces positive ROI ***

==============================================================================================================
ATP_CHALL_underdog_35-39 | n=67 trajs | avg_entry=38.5c | peak p50=+32c p75=+60c p90=+61c | offset=+0 | dca=2
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  94.0  94.0  49.9  +0.93% $+0.031   67   63
    +4c  92.5  92.5  50.2  +1.75% $+0.065   67   62
    +5c  91.0  91.0  50.2  +2.51% $+0.090   67   61
    +6c  91.0  91.0  51.5  +4.85% $+0.228   67   61
    +7c  91.0  91.0  51.8  +7.24% $+0.356   67   61
    +8c  89.6  89.6  52.4  +7.83% $+0.387   67   60
    +9c  89.6  89.6  53.7 +10.15% $+0.540   67   60
   +10c  89.6  89.6  54.3 +12.50% $+0.681   67   60
   +11c  88.1  88.1  54.5 +12.95% $+0.707   67   59 <<<
   +12c  80.6  80.6  55.1  +6.96% $+0.382   67   54
   +13c  74.6  76.1  55.3  +2.73% $+0.146   67   50
   +14c  73.1  74.6  55.3  +2.66% $+0.140   67   49
   +15c  70.1  71.6  55.3  +0.45% $+0.012   67   47
   +16c  68.7  70.1  55.3  +0.20% $-0.007   67   46
   +17c  59.7  62.7  55.6  -7.72% $-0.448   67   40
   +18c  59.7  62.7  55.6  -6.14% $-0.360   67   40
   +19c  59.7  62.7  55.6  -4.56% $-0.273   67   40
   +20c  59.7  62.7  55.6  -2.98% $-0.186   67   40
   +21c  58.2  61.2  55.6  -3.72% $-0.228   67   39
   +22c  58.2  61.2  55.6  -2.18% $-0.143   67   39
   +23c  58.2  61.2  55.6  -0.64% $-0.058   67   39
   +24c  56.7  59.7  55.6  -1.52% $-0.112   67   38
   +25c  55.2  58.2  55.6  -2.53% $-0.166   67   37
   +26c  55.2  58.2  55.6  -1.07% $-0.085   67   37
   +27c  53.7  56.7  55.6  -2.17% $-0.148   67   36
   +28c  53.7  56.7  55.6  -0.75% $-0.069   67   36
   +29c  52.2  55.2  55.6  -1.94% $-0.141   67   35
   +30c  50.7  53.7  55.6  -3.20% $-0.217   67   34
 hold99  34.3  37.3  56.2  -3.92% $-0.237   67   23
  BEST (ROI, WR>50%): +11c | ROI=+12.95% EV=$+0.707/trade WR=88%

==============================================================================================================
ATP_CHALL_underdog_40-44 | n=65 trajs | avg_entry=43.7c | peak p50=+55c p75=+55c p90=+55c | offset=+2 | dca=1
   exit   WR%  win%  cost    ROI%  EV$/tr    n sold
    +3c  93.8  93.8  61.5  +0.92% $+0.035   65   61
    +4c  93.8  93.8  61.8  +3.09% $+0.171   65   61
    +5c  92.3  92.3  62.4  +4.81% $+0.283   65   60
    +6c  90.8  90.8  62.4  +5.17% $+0.300   65   59
    +7c  87.7  87.7  63.1  +3.69% $+0.209   65   57
    +8c  84.6  84.6  63.1  +2.05% $+0.096   65   55
    +9c  81.5  83.1  63.4  +1.81% $+0.088   65   53
   +10c  81.5  83.1  63.4  +3.69% $+0.206   65   53
   +11c  81.5  83.1  63.4  +5.56% $+0.325   65   53
   +12c  81.5  83.1  63.4  +7.44% $+0.443   65   53
   +13c  81.5  83.1  63.4  +9.32% $+0.562   65   53
   +14c  80.0  81.5  63.4  +9.15% $+0.546   65   52
   +15c  80.0  81.5  63.4 +10.99% $+0.662   65   52
   +16c  80.0  81.5  63.4 +12.83% $+0.778   65   52
   +17c  76.9  78.5  63.8 +10.39% $+0.627   65   50
   +18c  75.4  76.9  63.8  +9.98% $+0.596   65   49
   +19c  75.4  76.9  63.8 +11.71% $+0.706   65   49
   +20c  75.4  76.9  63.8 +13.45% $+0.816   65   49
