ts_et,ticker,bid,ask,mid
2026-04-17 08:21:40 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,26,32.5
2026-04-17 08:21:41 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,25,32.0
2026-04-17 08:21:41 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,24,31.5
2026-04-17 08:23:48 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,23,31.0
2026-04-17 08:24:39 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,22,30.5
2026-04-17 08:24:39 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,21,30.0
2026-04-17 08:40:53 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,20,29.5
2026-04-17 08:41:05 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,19,29.0
2026-04-17 08:41:49 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,18,28.5
2026-04-17 08:41:56 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,17,28.0
2026-04-17 08:42:01 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,16,27.5
2026-04-17 08:42:24 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,15,27.0
2026-04-17 08:42:31 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,14,26.5
2026-04-17 08:42:34 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,15,27.0
2026-04-17 08:42:35 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,14,26.5
2026-04-17 08:42:35 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,15,27.0
2026-04-17 08:42:35 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,16,27.5
2026-04-17 08:43:06 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,15,27.0
2026-04-17 08:43:07 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,14,26.5
2026-04-17 08:45:00 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,13,26.0
2026-04-17 08:45:45 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,12,25.5
2026-04-17 08:46:17 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,11,25.0
2026-04-17 08:49:18 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,10,24.5
2026-04-17 08:49:20 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,11,25.0
2026-04-17 08:49:38 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,10,24.5
2026-04-17 08:49:38 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,11,25.0
2026-04-17 08:49:48 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,10,24.5
2026-04-17 08:50:59 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,9,24.0
2026-04-17 08:57:21 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,8,23.5
2026-04-17 08:58:07 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,7,23.0
2026-04-17 08:58:11 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,8,23.5
2026-04-17 08:58:13 PM,KXATPCHALLENGERMATCH-26APR17TABZIN-ZIN,39,7,23.0
