ticker_id,n_ticks,duration_sec,entry_bid,entry_ask,final_bid,final_ask
KXATPCHALLENGERMATCH-26MAR24NEUMAR-NEU,100000,11849,76,81,98,99
KXATPCHALLENGERMATCH-26MAR24NUNSOT-NUN,100000,5132,18,30,1,5
KXATPCHALLENGERMATCH-26MAR24PAUMUL-PAU,100000,5561,23,25,1,7
KXATPCHALLENGERMATCH-26MAR24PIEDEJ-DEJ,100000,11047,79,82,98,99
KXATPCHALLENGERMATCH-26MAR24SAKJOR-JOR,100000,10106,38,39,1,8
KXATPCHALLENGERMATCH-26MAR24SAKJOR-SAK,100000,10107,62,63,93,98
KXATPCHALLENGERMATCH-26MAR24SHICUI-CUI,100000,6629,60,62,1,2
KXATPCHALLENGERMATCH-26MAR24TUNNOG-TUN,96695,6125,57,61,1,4
KXATPCHALLENGERMATCH-26MAR24ZHUVAN-ZHU,100000,4416,58,59,1,8
KXATPCHALLENGERMATCH-26MAR25ANDSCH-AND,100000,4342,37,38,1,2
KXATPCHALLENGERMATCH-26MAR25BERSOT-SOT,100000,5851,76,78,98,99
KXATPCHALLENGERMATCH-26MAR25JANVIL-JAN,96792,4732,72,74,1,2
KXATPCHALLENGERMATCH-26MAR25JANVIL-VIL,97470,4670,26,28,98,99
KXATPCHALLENGERMATCH-26MAR25NIKKIN-KIN,100000,5872,59,61,1,3
KXATPCHALLENGERMATCH-26MAR25PELSAC-PEL,100000,7902,71,73,1,2
KXATPCHALLENGERMATCH-26MAR25PELSAC-SAC,100000,7930,30,34,97,99
KXATPCHALLENGERMATCH-26MAR25PRAGUI-GUI,100000,10883,58,61,1,16
KXATPCHALLENGERMATCH-26MAR26CANMUL-CAN,100000,9995,23,25,1,2
KXATPCHALLENGERMATCH-26MAR26DALGIU-GIU,100000,9828,58,61,1,2
KXATPCHALLENGERMATCH-26MAR26JUSNIK-JUS,45943,3385,69,73,98,99
KXATPCHALLENGERMATCH-26MAR26JUSNIK-NIK,51264,3488,30,32,1,2
KXATPCHALLENGERMATCH-26MAR26MEJROD-MEJ,45003,1460,32,34,98,99
KXATPCHALLENGERMATCH-26MAR26RIBBUR-BUR,100000,49948,82,83,96,99
KXATPCHALLENGERMATCH-26MAR26RIBBUR-RIB,100000,6898,17,18,1,3
KXATPCHALLENGERMATCH-26MAR27BARBUR-BAR,57911,3179,25,26,1,3
KXATPCHALLENGERMATCH-26MAR27GENVAS-GEN,43140,4496,57,67,98,99
KXATPCHALLENGERMATCH-26MAR27OFNCEC-CEC,100000,7111,31,34,1,8
KXATPCHALLENGERMATCH-26MAR27SAFHOU-HOU,34087,4266,23,25,1,2
KXATPCHALLENGERMATCH-26MAR27SAFHOU-SAF,30604,4357,75,79,99,99
KXATPCHALLENGERMATCH-26MAR27VILSOT-VIL,87131,4598,21,23,1,2
KXATPCHALLENGERMATCH-26MAR28BURPRA-PRA,100000,6134,21,22,1,2
KXATPCHALLENGERMATCH-26MAR28GOJFIC-FIC,80360,5454,25,26,1,2
KXATPCHALLENGERMATCH-26MAR28JUSSOT-JUS,100000,5531,62,63,1,2
KXATPCHALLENGERMATCH-26MAR28JUSSOT-SOT,100000,5606,38,39,98,99
KXATPCHALLENGERMATCH-26MAR28TULDEC-DEC,58359,9159,24,29,1,2
KXATPCHALLENGERMATCH-26MAR28TULDEC-TUL,56015,9495,77,79,98,99
KXATPCHALLENGERMATCH-26MAR29ALTMED-ALT,100000,5823,37,39,1,2
KXATPCHALLENGERMATCH-26MAR29ALTMED-MED,88763,5803,59,61,98,99
KXATPCHALLENGERMATCH-26MAR29CHAFER-FER,63329,4924,42,45,1,2
KXATPCHALLENGERMATCH-26MAR29CIGZEI-CIG,48615,5136,24,25,1,3
KXATPCHALLENGERMATCH-26MAR29COUTOR-COU,71654,23419,44,45,1,2
KXATPCHALLENGERMATCH-26MAR29COUTOR-TOR,71879,23637,59,60,98,99
KXATPCHALLENGERMATCH-26MAR29CREFOR-CRE,100000,6932,39,44,1,5
KXATPCHALLENGERMATCH-26MAR29CREFOR-FOR,100000,6835,56,59,95,99
KXATPCHALLENGERMATCH-26MAR29DONVAN-VAN,100000,82141,34,41,1,3
KXATPCHALLENGERMATCH-26MAR29FARBUR-BUR,100000,10150,57,60,94,99
KXATPCHALLENGERMATCH-26MAR29FARBUR-FAR,100000,10149,41,44,1,4
KXATPCHALLENGERMATCH-26MAR29GUEWES-GUE,50366,5900,78,79,98,99
KXATPCHALLENGERMATCH-26MAR29GUEWES-WES,56232,5904,21,23,1,2
KXATPCHALLENGERMATCH-26MAR29MARALM-ALM,100000,43481,41,42,1,2
KXATPCHALLENGERMATCH-26MAR29MARALM-MAR,100000,79781,59,61,98,99
KXATPCHALLENGERMATCH-26MAR29MCKZEB-ZEB,67950,3819,28,38,1,2
KXATPCHALLENGERMATCH-26MAR29MORTAK-MOR,100000,12607,55,60,98,99
KXATPCHALLENGERMATCH-26MAR29MORTAK-TAK,100000,12607,42,44,1,2
KXATPCHALLENGERMATCH-26MAR29OVESAT-OVE,100000,10542,80,81,98,99
KXATPCHALLENGERMATCH-26MAR29OVESAT-SAT,100000,10470,16,21,1,2
KXATPCHALLENGERMATCH-26MAR29TOKHSU-TOK,87790,4282,24,27,1,2
KXATPCHALLENGERMATCH-26MAR30ALVTOR-ALV,100000,8475,25,26,1,3
KXATPCHALLENGERMATCH-26MAR30BARDEV-BAR,100000,6590,79,81,1,6
KXATPCHALLENGERMATCH-26MAR30BARDEV-DEV,100000,6544,21,23,94,99
KXATPCHALLENGERMATCH-26MAR30KRUALB-KRU,21940,4610,66,71,98,99
KXATPCHALLENGERMATCH-26MAR30MATSAM-MAT,100000,6138,61,62,98,99
KXATPCHALLENGERMATCH-26MAR30MATSAM-SAM,100000,6161,38,39,1,2
KXATPCHALLENGERMATCH-26MAR30NAPMEN-MEN,100000,6389,37,38,98,99
KXATPCHALLENGERMATCH-26MAR30NIKLEI-LEI,100000,9689,16,18,1,2
KXATPCHALLENGERMATCH-26MAR30TOBPOL-POL,100000,9790,32,34,3,8
KXATPCHALLENGERMATCH-26MAR30TOBPOL-TOB,100000,9893,75,84,90,99
KXATPCHALLENGERMATCH-26MAR30WENBOU-WEN,100000,8294,70,72,96,99
KXATPCHALLENGERMATCH-26MAR31DAMSHE-DAM,100000,7271,58,61,98,99
KXATPCHALLENGERMATCH-26MAR31DUTPRA-DUT,100000,7381,28,30,1,5
KXATPCHALLENGERMATCH-26MAR31DUTPRA-PRA,100000,7393,71,72,93,99
KXATPCHALLENGERMATCH-26MAR31FENPAV-PAV,82405,7041,77,82,98,99
KXATPCHALLENGERMATCH-26MAR31FICALV-ALV,55238,6672,31,34,1,2
KXATPCHALLENGERMATCH-26MAR31FICALV-FIC,75253,5807,66,70,98,99
KXATPCHALLENGERMATCH-26MAR31GUEKAS-GUE,100000,8657,37,40,87,99
KXATPCHALLENGERMATCH-26MAR31GUEKAS-KAS,100000,8781,58,60,1,7
KXATPCHALLENGERMATCH-26MAR31HERMEJ-HER,100000,9698,18,20,1,2
KXATPCHALLENGERMATCH-26MAR31HUESAK-HUE,100000,14698,25,29,98,99
KXATPCHALLENGERMATCH-26MAR31MANTOB-TOB,100000,3090,26,28,98,99
KXATPCHALLENGERMATCH-26MAR31MORMAT-MAT,100000,7069,38,40,1,2
KXATPCHALLENGERMATCH-26MAR31MORMAT-MOR,100000,7295,59,61,98,99
KXATPCHALLENGERMATCH-26MAR31NEGDEM-DEM,100000,6053,23,25,93,99
KXATPCHALLENGERMATCH-26MAR31ROYBUT-BUT,84979,6089,27,28,1,4
KXATPCHALLENGERMATCH-26MAR31ROYBUT-ROY,91494,6068,71,73,95,99
KXATPCHALLENGERMATCH-26MAR31WINALU-ALU,100000,15513,22,43,97,99
KXATPMATCH-26APR01DARBEL-BEL,40905,3900,16,18,1,2
KXATPMATCH-26APR01SHEVAN-SHE,76509,4810,36,39,1,2
KXATPMATCH-26APR01SHEVAN-VAN,80313,4880,62,65,98,99
KXATPMATCH-26APR01SHEZHA-SHE,100000,6413,76,77,98,99
KXATPMATCH-26APR01SHEZHA-ZHA,100000,6421,23,24,1,2
KXATPMATCH-26APR01TRUMAJ-MAJ,91007,6372,65,66,1,2
KXATPMATCH-26APR02MICPOP-MIC,100000,6105,65,66,1,2
KXATPMATCH-26APR02MOUTRU-MOU,100000,9292,65,66,1,3
KXATPMATCH-26APR02MOUTRU-TRU,100000,9319,31,35,86,99
KXATPMATCH-26APR03ALTMAR-ALT,100000,17949,28,38,1,12
KXATPMATCH-26APR03ALTMAR-MAR,100000,7095,66,69,90,99
KXATPMATCH-26APR03ETCPAU-PAU,100000,5770,66,67,98,99
KXATPMATCH-26APR03POPTIA-POP,100000,9892,38,39,1,14
KXATPMATCH-26APR03POPTIA-TIA,100000,9905,62,65,64,99
KXATPMATCH-26APR03SHETIR-SHE,100000,8963,69,70,1,2
KXATPMATCH-26APR04BUSGOF-GOF,100000,7385,20,25,91,99
KXATPMATCH-26APR04MAEBLO-BLO,92678,6299,63,64,98,99
KXATPMATCH-26APR04MAEBLO-MAE,95674,6453,36,38,1,2
KXATPMATCH-26APR04NAVVAN-NAV,100000,12708,60,62,88,99
KXATPMATCH-26APR04NAVVAN-VAN,100000,12699,38,40,1,12
KXATPMATCH-26APR04PAUTIA-PAU,100000,15127,71,72,58,99
KXATPMATCH-26APR04STRBAS-BAS,77982,4231,38,40,97,99
KXATPMATCH-26APR04STRBAS-STR,83222,4220,59,63,1,3
KXATPMATCH-26APR05ATMTIA-ATM,4422,22427,39,40,40,46
KXATPMATCH-26APR05ATMTIA-TIA,46870,69591,62,64,55,61
KXATPMATCH-26APR05BAEWAW-BAE,82505,6325,69,70,98,99
KXATPMATCH-26APR05BAEWAW-WAW,84030,6171,31,33,1,2
KXATPMATCH-26APR05BURPAU-BUR,100000,9636,32,33,1,2
KXATPMATCH-26APR05BURPAU-PAU,100000,9625,68,69,83,99
KXATPMATCH-26APR05FUCTAB-TAB,76191,4775,70,71,98,99
KXATPMATCH-26APR05GOFNAV-GOF,100000,9843,35,38,1,4
KXATPMATCH-26APR05GOFNAV-NAV,100000,9825,63,66,96,99
KXATPMATCH-26APR05MONGRI-MON,100000,7948,32,33,90,99
KXATPMATCH-26APR05NORKEC-NOR,100000,10043,54,57,98,99
KXATPMATCH-26APR06BAUBER-BAU,9815,1257,22,23,1,2
KXATPMATCH-26APR06BAUBER-BER,95490,106231,66,69,96,99
KXATPMATCH-26APR06CILSHE-CIL,100000,105842,60,63,98,99
KXATPMATCH-26APR06LEHNAV-LEH,100000,10487,76,77,98,99
KXATPMATCH-26APR06LEHNAV-NAV,100000,10489,22,24,1,2
KXATPMATCH-26APR07MONBUB-BUB,88231,4445,67,68,98,99
KXATPMATCH-26APR07MONBUB-MON,100000,4357,31,35,1,5
KXATPMATCH-26APR07RUBBER-BER,54629,3997,25,26,98,99
KXATPMATCH-26APR08FONRIN-FON,100000,8857,75,76,98,99
KXATPMATCH-26APR08FONRIN-RIN,100000,9044,22,23,1,5
KXATPMATCH-26APR08MEDBER-BER,33362,2595,32,33,98,99
KXATPMATCH-26APR08MEDBER-MED,37587,2568,69,70,1,2
KXATPMATCH-26APR09BLODE-DE,100000,6266,75,77,98,99
KXATPMATCH-26APR09VACHUR-HUR,100000,10400,38,39,1,5
KXATPMATCH-26APR09VACHUR-VAC,100000,10399,61,62,93,99
KXATPMATCH-26APR10VACDE-DE,100000,8558,66,67,1,7
KXATPMATCH-26APR11CARMOL-CAR,100000,10889,37,38,1,6
KXATPMATCH-26APR11CARMOL-MOL,100000,10888,63,64,93,99
KXATPMATCH-26APR11DEJBON-BON,46043,4465,31,35,1,2
KXATPMATCH-26APR11DEJBON-DEJ,72353,27571,61,62,98,99
KXATPMATCH-26APR11MARCAR-CAR,100000,8243,65,67,1,3
KXATPMATCH-26APR11NAVGOF-GOF,75834,4382,31,32,1,2
KXATPMATCH-26APR11NAVGOF-NAV,78157,4393,68,69,98,99
KXATPMATCH-26APR11OFNSAN-SAN,50418,4356,16,19,1,2
KXATPMATCH-26APR11QUIBAS-QUI,100000,7984,64,65,97,99
KXATPMATCH-26APR11SHEDED-SHE,100000,23781,68,69,1,3
KXATPMATCH-26APR11TRUBUD-TRU,100000,11881,67,68,94,99
KXATPMATCH-26APR12DEDNAG-DED,100000,9267,63,64,96,99
KXATPMATCH-26APR12DEDNAG-NAG,100000,9298,36,38,1,6
KXATPMATCH-26APR12HUETOP-HUE,37930,2994,42,43,97,99
KXATPMATCH-26APR12MUNJOD-JOD,100000,127309,69,73,97,99
KXATPMATCH-26APR12MUNJOD-MUN,100000,150916,26,39,1,2
KXATPMATCH-26APR12NAKFIL-FIL,2351,47258,75,76,71,74
KXATPMATCH-26APR12NAKFIL-NAK,246,9168,26,27,27,40
KXATPMATCH-26APR12NORWAW-NOR,100000,9912,76,77,98,99
KXATPMATCH-26APR12NORWAW-WAW,100000,8955,25,26,1,13
KXATPMATCH-26APR12RINMIC-MIC,100000,123788,40,44,1,2
KXATPMATCH-26APR12RINMIC-RIN,100000,122309,56,61,98,99
KXATPMATCH-26APR12STRCER-STR,6924,26117,16,18,16,25
KXATPMATCH-26APR12UGOKHA-UGO,88386,4389,41,42,95,99
KXATPMATCH-26APR12ZHADAR-DAR,100000,180747,75,76,98,99
KXATPMATCH-26APR12ZHADAR-ZHA,100000,7418,25,26,1,2
KXATPMATCH-26APR13DEOFN-OFN,100000,77396,21,23,1,2
KXATPMATCH-26APR13MARSON-MAR,100000,9367,63,64,1,3
KXATPMATCH-26APR13VANHUE-HUE,96241,6409,22,24,1,2
KXATPMATCH-26MAR17ATMALT-ALT,10484,1378,32,33,32,33
KXATPMATCH-26MAR17ATMALT-ATM,18846,1392,67,68,67,68
KXATPMATCH-26MAR18CAZBAR-BAR,41519,3442,34,41,1,2
KXATPMATCH-26MAR18CAZBAR-CAZ,45732,3461,60,61,90,99
KXATPMATCH-26MAR18WALBAE-BAE,288,2182,56,57,56,58
KXATPMATCH-26MAR20BUBBER-BER,865,9861,38,40,39,40
KXATPMATCH-26MAR20BUBBER-BUB,764,6906,61,62,60,61
KXATPMATCH-26MAR20MAJTIE-MAJ,81910,6104,22,23,92,99
KXATPMATCH-26MAR20MOUMAC-MAC,100000,6427,60,63,1,12
KXATPMATCH-26MAR20MOUMAC-MOU,100000,6181,35,39,87,99
KXATPMATCH-26MAR20NAVVAC-VAC,76902,4949,67,68,98,99
KXATPMATCH-26MAR20VUKJOD-JOD,37644,3236,76,78,97,99
