match_id,tour,side,pinnacle_open,pinnacle_close,kalshi_open,kalshi_close,max_bounce,entry_mid,match_result,cell_exit_cents
KXATPMATCH-26MAR27LEHFIL-LEH,ATP_MAIN,underdog,41.4,70.3,40.5,40.0,59.0,40.0,win,58
KXATPMATCH-26MAR27LEHFIL-FIL,ATP_MAIN,leader,58.6,29.7,59.5,60.0,0.0,60.0,loss,36
KXWTAMATCH-26MAR20STABUC-BUC,WTA_MAIN,leader,62.8,61.5,61.5,62.0,2.0,62.0,loss,0
KXWTAMATCH-26MAR20STABUC-STA,WTA_MAIN,underdog,37.2,38.5,37.5,38.0,0.0,38.0,loss,0
KXATPMATCH-26APR05RINKHA-RIN,ATP_MAIN,underdog,33.0,33.0,35.5,36.0,64.0,36.0,win,0
KXATPMATCH-26APR05RINKHA-KHA,ATP_MAIN,leader,67.0,67.0,69.0,69.0,5.0,69.0,loss,0
KXWTAMATCH-26MAR19ANITOM-ANI,WTA_MAIN,leader,82.9,83.1,85.5,86.0,0.0,86.0,win,15
KXWTAMATCH-26MAR19ANITOM-TOM,WTA_MAIN,underdog,17.1,16.9,15.5,16.0,1.0,16.0,loss,31
KXATPMATCH-26MAR20MOUMAC-MOU,ATP_MAIN,underdog,49.5,40.9,37.0,37.0,62.5,37.0,win,31
KXATPMATCH-26MAR20MOUMAC-MAC,ATP_MAIN,leader,50.5,59.1,61.5,62.0,14.5,62.0,loss,36
KXATPMATCH-26APR06BAUBER-BAU,ATP_MAIN,underdog,35.2,29.3,22.5,22.0,27.5,22.0,loss,25
KXATPMATCH-26APR06BAUBER-BER,ATP_MAIN,leader,64.8,32.7,67.5,68.0,32.0,68.0,win,0
KXWTAMATCH-26MAR23ANIBEN-BEN,WTA_MAIN,underdog,43.3,43.2,40.0,40.0,59.5,40.0,win,60
KXWTAMATCH-26MAR23ANIBEN-ANI,WTA_MAIN,leader,56.7,56.8,60.0,60.0,8.0,60.0,loss,0
KXWTAMATCH-26APR04KEYSTA-STA,WTA_MAIN,underdog,20.5,18.7,18.5,18.0,81.0,18.0,loss,31
KXWTAMATCH-26APR04KEYSTA-KEY,WTA_MAIN,leader,79.5,81.3,82.5,82.0,0.5,82.0,loss,0
KXATPMATCH-26APR04NAVVAN-NAV,ATP_MAIN,leader,50.4,63.1,61.0,61.0,38.5,61.0,loss,36
KXWTAMATCH-26APR01KAWMAR-MAR,WTA_MAIN,underdog,46.2,28.4,31.0,31.0,19.0,31.0,loss,17
KXWTAMATCH-26MAR31TOMKAL-TOM,WTA_MAIN,underdog,19.1,8.3,19.5,20.0,30.5,20.0,loss,0
KXWTAMATCH-26MAR31TOMKAL-KAL,WTA_MAIN,leader,80.9,91.7,80.5,80.0,19.0,80.0,win,0
KXATPMATCH-26APR05NORKEC-NOR,ATP_MAIN,leader,57.1,39.8,55.5,56.0,44.0,56.0,win,0
KXATPMATCH-26APR05NORKEC-KEC,ATP_MAIN,underdog,42.9,42.9,44.5,44.0,29.5,44.0,loss,0
KXATPMATCH-26APR07MONBUB-MON,ATP_MAIN,underdog,34.8,34.8,33.0,33.0,17.0,33.0,loss,17
KXATPMATCH-26APR07MONBUB-BUB,ATP_MAIN,leader,65.2,65.2,67.5,68.0,32.0,68.0,win,0
KXWTAMATCH-26MAR19SONBEN-BEN,WTA_MAIN,leader,76.1,76.3,79.5,80.0,0.0,80.0,loss,0
KXWTAMATCH-26MAR19SONBEN-SON,WTA_MAIN,underdog,23.9,23.7,21.5,22.0,12.0,22.0,loss,25
KXATPMATCH-26APR06CILSHE-SHE,ATP_MAIN,underdog,49.8,44.1,46.5,46.0,6.0,46.0,loss,0
KXATPMATCH-26APR06CILSHE-CIL,ATP_MAIN,leader,50.2,55.9,61.5,62.0,38.0,62.0,win,36
KXATPMATCH-26MAR18CAZBAR-CAZ,ATP_MAIN,leader,42.1,62.8,60.5,60.0,39.0,60.0,win,36
KXATPMATCH-26MAR18CAZBAR-BAR,ATP_MAIN,underdog,57.9,37.2,37.5,38.0,12.5,38.0,loss,31
KXATPMATCH-26APR05ATMTIA-TIA,ATP_MAIN,leader,56.1,56.1,63.0,63.0,0.5,63.0,loss,36
KXATPMATCH-26APR05ATMTIA-ATM,ATP_MAIN,underdog,43.9,50.0,39.5,40.0,10.5,40.0,loss,58
KXATPMATCH-26APR07RUBBER-RUB,ATP_MAIN,leader,67.0,67.0,73.0,73.0,10.5,73.0,loss,0
KXATPMATCH-26APR07RUBBER-BER,ATP_MAIN,underdog,33.0,35.5,25.5,26.0,74.0,26.0,win,23
KXATPMATCH-26APR05GOFNAV-NAV,ATP_MAIN,leader,61.2,25.5,64.0,64.0,35.5,64.0,win,36
KXATPMATCH-26APR05GOFNAV-GOF,ATP_MAIN,underdog,38.8,38.8,36.5,37.0,36.0,37.0,loss,31
