cell_id,dca_drop,exit_target,strategy_AB,n_trades,win_rate,mean_roi,median_roi,p25_roi,p75_roi,max_loss,total_pnl_baby
ATP_CHALL_leader_55-59,26,3,A,88,80.7,-2.93,5.08,5.08,18.66,755,-2385
ATP_CHALL_leader_55-59,26,3,B,88,81.8,-4.58,5.08,5.08,5.3,755,-3480
ATP_CHALL_leader_55-59,26,4,A,88,80.7,-2.61,6.78,6.78,6.78,755,-2215
ATP_CHALL_leader_55-59,26,4,B,88,81.8,-4.03,6.78,6.78,6.78,755,-3160
ATP_CHALL_leader_55-59,26,5,A,88,83.0,0.63,8.47,8.47,8.47,755,-280
ATP_CHALL_leader_55-59,26,5,B,88,84.1,-0.97,8.47,8.47,8.47,755,-1345
ATP_CHALL_leader_55-59,27,hold99,A,88,60.2,10.9,67.8,-100.0,67.8,750,3665
ATP_CHALL_leader_55-59,27,hold99,B,88,60.2,10.9,67.8,-100.0,67.8,750,3665
ATP_CHALL_leader_55-59,27,1,A,88,79.5,-3.95,1.69,1.69,20.0,750,-2770
ATP_CHALL_leader_55-59,27,1,B,88,79.5,-7.02,1.69,1.69,2.0,750,-4795
ATP_CHALL_leader_55-59,27,2,A,88,79.5,-4.36,3.39,3.39,3.39,750,-3075
ATP_CHALL_leader_55-59,27,2,B,88,79.5,-6.61,3.39,3.39,3.39,750,-4560
ATP_CHALL_leader_55-59,27,3,A,88,80.7,-2.49,5.08,5.08,5.08,750,-2190
ATP_CHALL_leader_55-59,27,3,B,88,81.8,-3.74,5.08,5.08,5.77,750,-3015
ATP_CHALL_leader_55-59,27,4,A,88,80.7,-2.7,6.78,6.78,6.78,750,-2260
ATP_CHALL_leader_55-59,27,4,B,88,81.8,-3.93,6.78,6.78,6.78,750,-3070
ATP_CHALL_leader_55-59,27,5,A,88,83.0,0.55,8.47,8.47,8.47,750,-330
ATP_CHALL_leader_55-59,27,5,B,88,84.1,-0.86,8.47,8.47,8.47,750,-1260
ATP_CHALL_leader_55-59,28,hold99,A,88,60.2,10.83,67.8,-100.0,67.8,745,3580
ATP_CHALL_leader_55-59,28,hold99,B,88,60.2,10.83,67.8,-100.0,67.8,745,3580
ATP_CHALL_leader_55-59,28,1,A,88,79.5,-3.81,1.69,1.69,20.81,745,-2655
ATP_CHALL_leader_55-59,28,1,B,88,79.5,-6.9,1.69,1.69,2.68,745,-4680
ATP_CHALL_leader_55-59,28,2,A,88,79.5,-4.26,3.39,3.39,3.39,745,-2980
ATP_CHALL_leader_55-59,28,2,B,88,79.5,-6.52,3.39,3.39,3.39,745,-4465
ATP_CHALL_leader_55-59,28,3,A,88,80.7,-2.37,5.08,5.08,5.08,745,-2085
ATP_CHALL_leader_55-59,28,3,B,88,81.8,-3.63,5.08,5.08,6.3,745,-2910
ATP_CHALL_leader_55-59,28,4,A,88,80.7,-2.58,6.78,6.78,6.78,745,-2155
ATP_CHALL_leader_55-59,28,4,B,88,81.8,-3.82,6.78,6.78,6.78,745,-2965
ATP_CHALL_leader_55-59,28,5,A,88,83.0,0.68,8.47,8.47,8.47,745,-225
ATP_CHALL_leader_55-59,28,5,B,88,84.1,-0.74,8.47,8.47,8.47,745,-1155
ATP_CHALL_leader_55-59,29,hold99,A,88,60.2,11.12,67.8,-100.0,67.8,740,3830
ATP_CHALL_leader_55-59,29,hold99,B,88,60.2,11.12,67.8,-100.0,67.8,740,3830
ATP_CHALL_leader_55-59,29,1,A,88,79.5,-3.67,1.69,1.69,21.62,740,-2540
ATP_CHALL_leader_55-59,29,1,B,88,79.5,-7.13,1.69,1.35,1.69,740,-4790
ATP_CHALL_leader_55-59,29,2,A,88,79.5,-4.15,3.39,3.39,3.39,740,-2885
ATP_CHALL_leader_55-59,29,2,B,88,79.5,-6.68,3.39,3.38,3.39,740,-4535
ATP_CHALL_leader_55-59,29,3,A,88,80.7,-2.26,5.08,5.08,5.08,740,-1980
ATP_CHALL_leader_55-59,29,3,B,88,81.8,-3.82,5.08,5.08,5.33,740,-3000
ATP_CHALL_leader_55-59,29,4,A,88,80.7,-2.7,6.78,6.78,6.78,740,-2215
ATP_CHALL_leader_55-59,29,4,B,88,81.8,-4.01,6.78,6.78,6.78,740,-3070
ATP_CHALL_leader_55-59,29,5,A,88,83.0,0.57,8.47,8.47,8.47,740,-290
ATP_CHALL_leader_55-59,29,5,B,88,84.1,-0.95,8.47,8.47,8.47,740,-1280
ATP_CHALL_leader_55-59,30,hold99,A,88,60.2,11.01,67.8,-100.0,67.8,735,3730
ATP_CHALL_leader_55-59,30,hold99,B,88,60.2,11.01,67.8,-100.0,67.8,735,3730
ATP_CHALL_leader_55-59,30,1,A,88,78.4,-4.92,1.69,1.69,22.45,735,-3180
ATP_CHALL_leader_55-59,30,1,B,88,78.4,-8.16,1.69,1.69,2.04,735,-5280
ATP_CHALL_leader_55-59,30,2,A,88,78.4,-5.45,3.39,3.39,3.39,735,-3560
ATP_CHALL_leader_55-59,30,2,B,88,78.4,-7.77,3.39,3.39,3.39,735,-5060
ATP_CHALL_leader_55-59,30,3,A,88,79.5,-3.57,5.08,5.08,5.08,735,-2660
ATP_CHALL_leader_55-59,30,3,B,88,80.7,-4.92,5.08,5.08,5.08,735,-3530
ATP_CHALL_leader_55-59,30,4,A,88,79.5,-4.05,6.78,6.78,6.78,735,-2915
ATP_CHALL_leader_55-59,30,4,B,88,80.7,-5.14,6.78,6.78,6.78,735,-3620
ATP_CHALL_leader_55-59,30,5,A,88,81.8,-0.79,8.47,8.47,8.47,735,-1005
ATP_CHALL_leader_55-59,30,5,B,88,83.0,-2.09,8.47,8.47,8.47,735,-1845
ATP_CHALL_leader_55-59,31,hold99,A,88,60.2,11.29,67.8,-100.0,67.8,730,3975
ATP_CHALL_leader_55-59,31,hold99,B,88,60.2,11.29,67.8,-100.0,67.8,730,3975
ATP_CHALL_leader_55-59,31,1,A,88,78.4,-4.78,1.69,1.69,23.29,730,-3070
ATP_CHALL_leader_55-59,31,1,B,88,78.4,-8.05,1.69,1.69,2.74,730,-5170
ATP_CHALL_leader_55-59,31,2,A,88,78.4,-5.35,3.39,3.39,3.39,730,-3470
ATP_CHALL_leader_55-59,31,2,B,88,78.4,-7.69,3.39,3.39,3.39,730,-4970
ATP_CHALL_leader_55-59,31,3,A,88,79.5,-3.46,5.08,5.08,5.08,730,-2560
ATP_CHALL_leader_55-59,31,3,B,88,80.7,-4.81,5.08,5.08,5.08,730,-3430
ATP_CHALL_leader_55-59,31,4,A,88,79.5,-3.94,6.78,6.78,6.78,730,-2820
ATP_CHALL_leader_55-59,31,4,B,88,80.7,-5.04,6.78,6.78,6.78,730,-3525
ATP_CHALL_leader_55-59,31,5,A,88,81.8,-0.67,8.47,8.47,8.47,730,-910
ATP_CHALL_leader_55-59,31,5,B,88,83.0,-1.98,8.47,8.47,8.47,730,-1750
ATP_CHALL_leader_55-59,32,hold99,A,88,60.2,10.73,67.8,-100.0,67.8,725,3500
ATP_CHALL_leader_55-59,32,hold99,B,88,60.2,10.73,67.8,-100.0,67.8,725,3500
ATP_CHALL_leader_55-59,32,1,A,88,78.4,-4.12,1.69,1.69,24.14,725,-2725
ATP_CHALL_leader_55-59,32,1,B,88,78.4,-7.49,1.69,1.38,1.69,725,-4870
ATP_CHALL_leader_55-59,32,2,A,88,78.4,-4.76,3.39,3.39,3.39,725,-3160
ATP_CHALL_leader_55-59,32,2,B,88,78.4,-7.09,3.39,3.39,3.39,725,-4645
ATP_CHALL_leader_55-59,32,3,A,88,79.5,-2.88,5.08,5.08,5.08,725,-2255
ATP_CHALL_leader_55-59,32,3,B,88,80.7,-4.27,5.08,5.08,5.08,725,-3140
ATP_CHALL_leader_55-59,32,4,A,88,79.5,-3.84,6.78,6.78,6.78,725,-2725
ATP_CHALL_leader_55-59,32,4,B,88,80.7,-5.2,6.78,6.78,6.78,725,-3595
ATP_CHALL_leader_55-59,32,5,A,88,81.8,-0.56,8.47,8.47,8.47,725,-815
ATP_CHALL_leader_55-59,32,5,B,88,83.0,-2.16,8.47,8.47,8.47,725,-1835
ATP_CHALL_leader_55-59,33,hold99,A,88,60.2,10.98,67.8,-100.0,67.8,720,3735
ATP_CHALL_leader_55-59,33,hold99,B,88,60.2,10.98,67.8,-100.0,67.8,720,3735
ATP_CHALL_leader_55-59,33,1,A,88,76.1,-6.83,1.69,1.69,25.0,720,-4420
ATP_CHALL_leader_55-59,33,1,B,88,76.1,-9.7,1.69,1.69,2.08,720,-6235
ATP_CHALL_leader_55-59,33,2,A,88,76.1,-7.55,3.39,3.39,3.39,720,-4905
ATP_CHALL_leader_55-59,33,2,B,88,76.1,-9.38,3.39,3.39,3.39,720,-6060
ATP_CHALL_leader_55-59,33,3,A,88,77.3,-5.71,5.08,5.08,5.08,720,-4020
ATP_CHALL_leader_55-59,33,3,B,88,78.4,-6.58,5.08,5.08,5.08,720,-4575
ATP_CHALL_leader_55-59,33,4,A,88,78.4,-5.22,6.78,6.78,6.78,720,-3575
ATP_CHALL_leader_55-59,33,4,B,88,79.5,-6.33,6.78,6.78,6.78,720,-4280
ATP_CHALL_leader_55-59,33,5,A,88,80.7,-1.95,8.47,8.47,8.47,720,-1680
ATP_CHALL_leader_55-59,33,5,B,88,81.8,-3.3,8.47,8.47,8.47,720,-2535
ATP_CHALL_leader_55-59,34,hold99,A,88,60.2,10.32,67.8,-100.0,67.8,715,3230
ATP_CHALL_leader_55-59,34,hold99,B,88,60.2,10.32,67.8,-100.0,67.8,715,3230
ATP_CHALL_leader_55-59,34,1,A,88,76.1,-6.22,1.69,1.69,25.87,715,-4090
ATP_CHALL_leader_55-59,34,1,B,88,76.1,-8.85,1.69,1.69,2.8,715,-5740
ATP_CHALL_leader_55-59,34,2,A,88,76.1,-7.76,3.39,3.39,3.39,715,-5000
ATP_CHALL_leader_55-59,34,2,B,88,76.1,-9.33,3.39,3.39,3.39,715,-5990
ATP_CHALL_leader_55-59,34,3,A,88,77.3,-5.91,5.08,5.08,5.08,715,-4110
ATP_CHALL_leader_55-59,34,3,B,88,78.4,-6.53,5.08,5.08,5.08,715,-4500
ATP_CHALL_leader_55-59,34,4,A,88,78.4,-5.41,6.78,6.78,6.78,715,-3670
ATP_CHALL_leader_55-59,34,4,B,88,79.5,-6.27,6.78,6.78,6.78,715,-4210
ATP_CHALL_leader_55-59,34,5,A,88,80.7,-2.43,8.47,8.47,8.47,715,-1975
ATP_CHALL_leader_55-59,34,5,B,88,81.8,-3.26,8.47,8.47,8.47,715,-2500
ATP_CHALL_leader_55-59,35,hold99,A,88,60.2,10.55,67.8,-100.0,67.8,710,3455
ATP_CHALL_leader_55-59,35,hold99,B,88,60.2,10.55,67.8,-100.0,67.8,710,3455
ATP_CHALL_leader_55-59,35,1,A,88,76.1,-6.12,1.69,1.69,26.76,710,-3990
ATP_CHALL_leader_55-59,35,1,B,88,77.3,-7.85,1.69,1.41,1.69,710,-5070
ATP_CHALL_leader_55-59,35,2,A,88,76.1,-7.69,3.39,3.39,3.39,710,-4920
ATP_CHALL_leader_55-59,35,2,B,88,76.1,-9.42,3.39,3.39,3.39,710,-6000
ATP_CHALL_leader_55-59,35,3,A,88,77.3,-5.83,5.08,5.08,5.08,710,-4020
ATP_CHALL_leader_55-59,35,3,B,88,78.4,-6.64,5.08,5.08,5.08,710,-4530
ATP_CHALL_leader_55-59,35,4,A,88,78.4,-5.32,6.78,6.78,6.78,710,-3580
ATP_CHALL_leader_55-59,35,4,B,88,79.5,-6.4,6.78,6.78,6.78,710,-4255
ATP_CHALL_leader_55-59,35,5,A,88,80.7,-2.34,8.47,8.47,8.47,710,-1890
ATP_CHALL_leader_55-59,35,5,B,88,81.8,-3.39,8.47,8.47,8.47,710,-2550
ATP_CHALL_leader_60-64,20,hold99,A,70,60.0,5.27,59.68,-100.0,78.92,830,740
ATP_CHALL_leader_60-64,20,hold99,B,70,60.0,5.27,59.68,-100.0,78.92,830,740
ATP_CHALL_leader_60-64,20,1,A,70,85.7,-3.96,1.61,1.61,1.96,830,-3340
ATP_CHALL_leader_60-64,20,1,B,70,87.1,-4.17,1.61,1.2,1.61,830,-3460
ATP_CHALL_leader_60-64,20,2,A,70,82.9,-7.34,3.23,3.23,3.23,830,-5195
ATP_CHALL_leader_60-64,20,2,B,70,84.3,-7.5,3.23,3.01,3.23,830,-5285
ATP_CHALL_leader_60-64,20,3,A,70,82.9,-7.11,4.84,4.84,4.84,830,-5095
ATP_CHALL_leader_60-64,20,3,B,70,84.3,-7.03,4.84,4.82,4.84,830,-5050
ATP_CHALL_leader_60-64,20,4,A,70,81.4,-6.26,6.45,6.45,6.45,830,-4735
ATP_CHALL_leader_60-64,20,4,B,70,84.3,-4.47,6.45,6.45,6.45,830,-3700
ATP_CHALL_leader_60-64,20,5,A,70,81.4,-5.8,8.06,8.06,8.06,830,-4510
ATP_CHALL_leader_60-64,20,5,B,70,82.9,-5.51,8.06,8.06,8.06,830,-4345
ATP_CHALL_leader_60-64,21,hold99,A,70,58.6,4.88,59.68,-100.0,80.0,825,320
ATP_CHALL_leader_60-64,21,hold99,B,70,58.6,4.88,59.68,-100.0,80.0,825,320
ATP_CHALL_leader_60-64,21,1,A,70,84.3,-4.03,1.61,1.61,1.61,825,-3325
ATP_CHALL_leader_60-64,21,1,B,70,85.7,-4.21,1.61,1.61,1.66,825,-3430
ATP_CHALL_leader_60-64,21,2,A,70,81.4,-7.41,3.23,3.23,3.23,825,-5170
ATP_CHALL_leader_60-64,21,2,B,70,82.9,-7.57,3.23,3.23,3.23,825,-5260
ATP_CHALL_leader_60-64,21,3,A,70,81.4,-7.18,4.84,4.84,4.84,825,-5075
ATP_CHALL_leader_60-64,21,3,B,70,82.9,-7.13,4.84,4.84,4.84,825,-5045
ATP_CHALL_leader_60-64,21,4,A,70,80.0,-6.34,6.45,6.45,6.45,825,-4720
ATP_CHALL_leader_60-64,21,4,B,70,82.9,-4.55,6.45,6.45,6.45,825,-3685
ATP_CHALL_leader_60-64,21,5,A,70,80.0,-5.88,8.06,8.06,8.06,825,-4495
ATP_CHALL_leader_60-64,21,5,B,70,81.4,-5.6,8.06,8.06,8.06,825,-4330
ATP_CHALL_leader_60-64,22,hold99,A,70,60.0,5.19,59.68,-100.0,81.1,820,545
ATP_CHALL_leader_60-64,22,hold99,B,70,60.0,5.19,59.68,-100.0,81.1,820,545
ATP_CHALL_leader_60-64,22,1,A,70,84.3,-3.94,1.61,1.61,1.61,820,-3235
ATP_CHALL_leader_60-64,22,1,B,70,85.7,-4.12,1.61,1.61,1.82,820,-3340
ATP_CHALL_leader_60-64,22,2,A,70,81.4,-7.32,3.23,3.23,3.23,820,-5070
ATP_CHALL_leader_60-64,22,2,B,70,82.9,-7.48,3.23,3.23,3.23,820,-5160
ATP_CHALL_leader_60-64,22,3,A,70,81.4,-7.1,4.84,4.84,4.84,820,-4980
ATP_CHALL_leader_60-64,22,3,B,70,82.9,-7.05,4.84,4.84,4.84,820,-4950
ATP_CHALL_leader_60-64,22,4,A,70,80.0,-6.27,6.45,6.45,6.45,820,-4630
ATP_CHALL_leader_60-64,22,4,B,70,82.9,-4.46,6.45,6.45,6.45,820,-3595
ATP_CHALL_leader_60-64,22,5,A,70,80.0,-5.81,8.06,8.06,8.06,820,-4405
ATP_CHALL_leader_60-64,22,5,B,70,81.4,-5.52,8.06,8.06,8.06,820,-4240
ATP_CHALL_leader_60-64,23,hold99,A,70,60.0,5.51,59.68,-100.0,82.21,815,770
ATP_CHALL_leader_60-64,23,hold99,B,70,60.0,5.51,59.68,-100.0,82.21,815,770
ATP_CHALL_leader_60-64,23,1,A,70,84.3,-3.85,1.61,1.61,1.61,815,-3145
ATP_CHALL_leader_60-64,23,1,B,70,85.7,-4.29,1.61,1.23,1.61,815,-3400
ATP_CHALL_leader_60-64,23,2,A,70,81.4,-7.23,3.23,3.23,3.23,815,-4970
ATP_CHALL_leader_60-64,23,2,B,70,82.9,-7.65,3.23,3.07,3.23,815,-5210
ATP_CHALL_leader_60-64,23,3,A,70,81.4,-7.02,4.84,4.84,4.84,815,-4885
ATP_CHALL_leader_60-64,23,3,B,70,82.9,-7.2,4.84,4.84,4.84,815,-4990
ATP_CHALL_leader_60-64,23,4,A,70,80.0,-6.19,6.45,6.45,6.45,815,-4540
ATP_CHALL_leader_60-64,23,4,B,70,82.9,-4.62,6.45,6.45,6.45,815,-3640
ATP_CHALL_leader_60-64,23,5,A,70,80.0,-5.73,8.06,8.06,8.06,815,-4315
ATP_CHALL_leader_60-64,23,5,B,70,82.9,-4.1,8.06,8.06,8.06,815,-3385
ATP_CHALL_leader_60-64,24,hold99,A,70,60.0,5.5,59.68,-100.0,83.33,810,690
ATP_CHALL_leader_60-64,24,hold99,B,70,60.0,5.5,59.68,-100.0,83.33,810,690
ATP_CHALL_leader_60-64,24,1,A,70,84.3,-3.12,1.61,1.61,1.61,810,-2810
ATP_CHALL_leader_60-64,24,1,B,70,84.3,-4.81,1.61,1.61,1.61,810,-3770
ATP_CHALL_leader_60-64,24,2,A,70,81.4,-6.52,3.23,3.23,3.23,810,-4640
ATP_CHALL_leader_60-64,24,2,B,70,81.4,-8.22,3.23,3.23,3.23,810,-5600
ATP_CHALL_leader_60-64,24,3,A,70,81.4,-6.35,4.84,4.84,4.84,810,-4575
ATP_CHALL_leader_60-64,24,3,B,70,81.4,-7.83,4.84,4.84,4.84,810,-5415
ATP_CHALL_leader_60-64,24,4,A,70,80.0,-5.56,6.45,6.45,6.45,810,-4250
ATP_CHALL_leader_60-64,24,4,B,70,81.4,-5.3,6.45,6.45,6.45,810,-4100
ATP_CHALL_leader_60-64,24,5,A,70,80.0,-5.13,8.06,8.06,8.06,810,-4040
ATP_CHALL_leader_60-64,24,5,B,70,81.4,-4.83,8.06,8.06,8.06,810,-3875
ATP_CHALL_leader_60-64,25,hold99,A,70,60.0,5.45,59.68,-100.0,67.09,805,600
ATP_CHALL_leader_60-64,25,hold99,B,70,60.0,5.45,59.68,-100.0,67.09,805,600
ATP_CHALL_leader_60-64,25,1,A,70,84.3,-3.04,1.61,1.61,1.61,805,-2725
ATP_CHALL_leader_60-64,25,1,B,70,84.3,-4.74,1.61,1.61,1.61,805,-3685
ATP_CHALL_leader_60-64,25,2,A,70,81.4,-6.44,3.23,3.23,3.23,805,-4545
ATP_CHALL_leader_60-64,25,2,B,70,81.4,-8.14,3.23,3.23,3.23,805,-5505
ATP_CHALL_leader_60-64,25,3,A,70,81.4,-6.28,4.84,4.84,4.84,805,-4485
ATP_CHALL_leader_60-64,25,3,B,70,81.4,-7.77,4.84,4.84,4.84,805,-5325
ATP_CHALL_leader_60-64,25,4,A,70,80.0,-5.5,6.45,6.45,6.45,805,-4165
ATP_CHALL_leader_60-64,25,4,B,70,81.4,-5.23,6.45,6.45,6.45,805,-4015
ATP_CHALL_leader_60-64,25,5,A,70,80.0,-5.06,8.06,8.06,8.06,805,-3955
ATP_CHALL_leader_60-64,25,5,B,70,81.4,-4.77,8.06,8.06,8.06,805,-3790
ATP_CHALL_leader_60-64,26,hold99,A,70,60.0,5.75,59.68,-100.0,67.37,800,815
ATP_CHALL_leader_60-64,26,hold99,B,70,60.0,5.75,59.68,-100.0,67.37,800,815
ATP_CHALL_leader_60-64,26,1,A,70,82.9,-4.64,1.61,1.61,1.61,800,-3585
ATP_CHALL_leader_60-64,26,1,B,70,82.9,-6.33,1.61,1.25,1.61,800,-4530
ATP_CHALL_leader_60-64,26,2,A,70,80.0,-8.07,3.23,3.23,3.23,800,-5410
ATP_CHALL_leader_60-64,26,2,B,70,80.0,-9.76,3.23,3.12,3.23,800,-6355
ATP_CHALL_leader_60-64,26,3,A,70,81.4,-6.2,4.84,4.84,4.84,800,-4395
ATP_CHALL_leader_60-64,26,3,B,70,81.4,-7.89,4.84,4.84,4.84,800,-5340
ATP_CHALL_leader_60-64,26,4,A,70,80.0,-5.43,6.45,6.45,6.45,800,-4080
ATP_CHALL_leader_60-64,26,4,B,70,81.4,-5.35,6.45,6.45,6.45,800,-4035
ATP_CHALL_leader_60-64,26,5,A,70,80.0,-4.99,8.06,8.06,8.06,800,-3870
ATP_CHALL_leader_60-64,26,5,B,70,81.4,-4.89,8.06,8.06,8.06,800,-3810
ATP_CHALL_leader_60-64,27,hold99,A,70,60.0,5.28,59.68,-100.0,60.08,795,390
ATP_CHALL_leader_60-64,27,hold99,B,70,60.0,5.28,59.68,-100.0,60.08,795,390
ATP_CHALL_leader_60-64,27,1,A,70,82.9,-4.56,1.61,1.61,1.61,795,-3500
ATP_CHALL_leader_60-64,27,1,B,70,82.9,-6.26,1.61,1.61,1.61,795,-4445
ATP_CHALL_leader_60-64,27,2,A,70,80.0,-7.99,3.23,3.23,3.23,795,-5315
ATP_CHALL_leader_60-64,27,2,B,70,80.0,-9.69,3.23,3.23,3.23,795,-6260
ATP_CHALL_leader_60-64,27,3,A,70,81.4,-6.12,4.84,4.84,4.84,795,-4305
ATP_CHALL_leader_60-64,27,3,B,70,81.4,-7.82,4.84,4.84,4.84,795,-5250
ATP_CHALL_leader_60-64,27,4,A,70,80.0,-5.36,6.45,6.45,6.45,795,-3995
ATP_CHALL_leader_60-64,27,4,B,70,81.4,-5.28,6.45,6.45,6.45,795,-3950
ATP_CHALL_leader_60-64,27,5,A,70,80.0,-4.92,8.06,8.06,8.06,795,-3785
ATP_CHALL_leader_60-64,27,5,B,70,81.4,-4.82,8.06,8.06,8.06,795,-3725
ATP_CHALL_leader_60-64,28,hold99,A,70,60.0,4.74,59.68,-100.0,59.68,790,-55
ATP_CHALL_leader_60-64,28,hold99,B,70,60.0,4.74,59.68,-100.0,59.68,790,-55
ATP_CHALL_leader_60-64,28,1,A,70,82.9,-4.49,1.61,1.61,1.61,790,-3415
ATP_CHALL_leader_60-64,28,1,B,70,82.9,-6.2,1.61,1.61,1.61,790,-4360
ATP_CHALL_leader_60-64,28,2,A,70,80.0,-7.92,3.23,3.23,3.23,790,-5220
ATP_CHALL_leader_60-64,28,2,B,70,80.0,-9.63,3.23,3.23,3.23,790,-6165
ATP_CHALL_leader_60-64,28,3,A,70,81.4,-6.05,4.84,4.84,4.84,790,-4215
ATP_CHALL_leader_60-64,28,3,B,70,81.4,-7.75,4.84,4.84,4.84,790,-5160
ATP_CHALL_leader_60-64,28,4,A,70,80.0,-5.3,6.45,6.45,6.45,790,-3910
ATP_CHALL_leader_60-64,28,4,B,70,81.4,-5.21,6.45,6.45,6.45,790,-3865
ATP_CHALL_leader_60-64,28,5,A,70,80.0,-4.86,8.06,8.06,8.06,790,-3700
ATP_CHALL_leader_60-64,28,5,B,70,81.4,-4.75,8.06,8.06,8.06,790,-3640
ATP_CHALL_leader_60-64,29,hold99,A,70,60.0,4.99,59.68,-100.0,59.68,785,140
ATP_CHALL_leader_60-64,29,hold99,B,70,60.0,4.99,59.68,-100.0,59.68,785,140
ATP_CHALL_leader_60-64,29,1,A,70,82.9,-4.41,1.61,1.61,1.61,785,-3330
ATP_CHALL_leader_60-64,29,1,B,70,82.9,-6.32,1.61,1.27,1.61,785,-4380
ATP_CHALL_leader_60-64,29,2,A,70,80.0,-7.84,3.23,3.23,3.23,785,-5125
ATP_CHALL_leader_60-64,29,2,B,70,80.0,-9.75,3.23,3.18,3.23,785,-6175
ATP_CHALL_leader_60-64,29,3,A,70,81.4,-6.24,4.84,4.84,4.84,785,-4285
ATP_CHALL_leader_60-64,29,3,B,70,81.4,-7.88,4.84,4.84,4.84,785,-5185
ATP_CHALL_leader_60-64,29,4,A,70,80.0,-5.51,6.45,6.45,6.45,785,-3990
ATP_CHALL_leader_60-64,29,4,B,70,81.4,-5.34,6.45,6.45,6.45,785,-3900
ATP_CHALL_leader_60-64,29,5,A,70,80.0,-5.07,8.06,8.06,8.06,785,-3785
ATP_CHALL_leader_60-64,29,5,B,70,81.4,-4.88,8.06,8.06,8.06,785,-3680
ATP_CHALL_leader_60-64,30,hold99,A,70,60.0,5.23,59.68,-100.0,59.68,780,335
ATP_CHALL_leader_60-64,30,hold99,B,70,60.0,5.23,59.68,-100.0,59.68,780,335
ATP_CHALL_leader_60-64,30,1,A,70,82.9,-4.34,1.61,1.61,1.61,780,-3245
ATP_CHALL_leader_60-64,30,1,B,70,82.9,-6.26,1.61,1.61,1.61,780,-4295
ATP_CHALL_leader_60-64,30,2,A,70,80.0,-7.76,3.23,3.23,3.23,780,-5030
ATP_CHALL_leader_60-64,30,2,B,70,80.0,-9.68,3.23,3.23,3.23,780,-6080
ATP_CHALL_leader_60-64,30,3,A,70,81.4,-6.18,4.84,4.84,4.84,780,-4200
ATP_CHALL_leader_60-64,30,3,B,70,81.4,-7.82,4.84,4.84,4.84,780,-5100
ATP_CHALL_leader_60-64,30,4,A,70,80.0,-5.45,6.45,6.45,6.45,780,-3910
ATP_CHALL_leader_60-64,30,4,B,70,81.4,-5.29,6.45,6.45,6.45,780,-3820
ATP_CHALL_leader_60-64,30,5,A,70,80.0,-5.01,8.06,8.06,8.06,780,-3705
ATP_CHALL_leader_60-64,30,5,B,70,81.4,-4.82,8.06,8.06,8.06,780,-3600
ATP_CHALL_leader_65-69,15,hold99,A,70,70.0,8.3,43.48,-100.0,54.69,960,2540
ATP_CHALL_leader_65-69,15,hold99,B,70,70.0,8.3,43.48,-100.0,54.69,960,2540
ATP_CHALL_leader_65-69,15,1,A,70,88.6,4.61,1.45,1.45,9.38,960,1570
ATP_CHALL_leader_65-69,15,1,B,70,92.9,7.07,1.45,1.45,1.56,960,3220
ATP_CHALL_leader_65-69,15,2,A,70,87.1,2.36,2.9,2.9,10.94,960,285
ATP_CHALL_leader_65-69,15,2,B,70,90.0,3.41,2.9,2.9,3.12,960,990
ATP_CHALL_leader_65-69,15,3,A,70,87.1,2.03,4.35,4.35,12.5,960,-140
