ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784460225,2026-07-19 07:23:45 AM,38,100,42,185
1784460241,2026-07-19 07:24:01 AM,38,100,41,100
1784460259,2026-07-19 07:24:19 AM,37,539,41,100
1784460262,2026-07-19 07:24:22 AM,37,539,42,1050
1784460283,2026-07-19 07:24:43 AM,38,100,42,1050
1784460300,2026-07-19 07:25:00 AM,38,100,41,100
1784460319,2026-07-19 07:25:19 AM,37,539,41,100
1784460322,2026-07-19 07:25:22 AM,37,539,42,1050
1784460343,2026-07-19 07:25:43 AM,38,100,42,1050
1784460359,2026-07-19 07:25:59 AM,38,100,41,100
1784460359,2026-07-19 07:25:59 AM,38,100,42,1050
1784460378,2026-07-19 07:26:18 AM,37,539,41,100
1784460382,2026-07-19 07:26:22 AM,37,539,42,1050
1784460403,2026-07-19 07:26:43 AM,38,100,42,1050
1784460418,2026-07-19 07:26:58 AM,38,100,41,100
1784460439,2026-07-19 07:27:19 AM,37,539,41,100
1784460443,2026-07-19 07:27:23 AM,37,539,42,1050
1784460464,2026-07-19 07:27:44 AM,38,100,42,1050
1784460479,2026-07-19 07:27:59 AM,38,100,41,100
1784460499,2026-07-19 07:28:19 AM,37,539,41,100
1784460502,2026-07-19 07:28:22 AM,37,539,42,1050
1784460526,2026-07-19 07:28:46 AM,38,100,42,1050
1784460539,2026-07-19 07:28:59 AM,38,100,41,100
1784460559,2026-07-19 07:29:19 AM,37,539,41,100
1784460563,2026-07-19 07:29:23 AM,37,539,42,1050
1784460584,2026-07-19 07:29:44 AM,38,100,42,1050
1784460599,2026-07-19 07:29:59 AM,38,100,41,100
1784460927,2026-07-19 07:35:27 AM,38,100,41,200
1784460927,2026-07-19 07:35:27 AM,38,100,41,300
1784460927,2026-07-19 07:35:27 AM,38,100,41,400
1784460927,2026-07-19 07:35:27 AM,38,100,41,500
1784460928,2026-07-19 07:35:28 AM,38,100,41,585
1784461742,2026-07-19 07:49:02 AM,38,105,41,585
1784461844,2026-07-19 07:50:44 AM,38,100,41,585
1784461879,2026-07-19 07:51:19 AM,37,19,41,585
1784461882,2026-07-19 07:51:22 AM,37,19,41,485
1784461886,2026-07-19 07:51:26 AM,37,27,41,485
1784461902,2026-07-19 07:51:42 AM,38,100,41,485
1784461917,2026-07-19 07:51:57 AM,38,100,41,585
1784461999,2026-07-19 07:53:19 AM,37,27,41,585
1784462002,2026-07-19 07:53:22 AM,37,27,41,485
1784462024,2026-07-19 07:53:44 AM,38,100,41,485
1784462038,2026-07-19 07:53:58 AM,38,100,41,585
1784462120,2026-07-19 07:55:20 AM,37,27,41,585
1784462123,2026-07-19 07:55:23 AM,37,27,41,485
1784462143,2026-07-19 07:55:43 AM,38,100,41,485
1784462159,2026-07-19 07:55:59 AM,38,100,41,585
1784462239,2026-07-19 07:57:19 AM,37,27,41,585
1784462242,2026-07-19 07:57:22 AM,37,27,41,485
1784462267,2026-07-19 07:57:47 AM,38,100,41,485
1784462284,2026-07-19 07:58:04 AM,38,100,41,585
1784462359,2026-07-19 07:59:19 AM,37,27,41,585
1784462362,2026-07-19 07:59:22 AM,37,27,41,485
1784462385,2026-07-19 07:59:45 AM,38,100,41,485
1784462400,2026-07-19 08:00:00 AM,38,100,41,585
1784462450,2026-07-19 08:00:50 AM,38,100,41,100
1784463245,2026-07-19 08:14:05 AM,38,100,41,200
1784463245,2026-07-19 08:14:05 AM,38,100,41,300
1784463245,2026-07-19 08:14:05 AM,38,100,41,400
1784463246,2026-07-19 08:14:06 AM,38,100,41,500
1784463246,2026-07-19 08:14:06 AM,38,100,41,570
1784463369,2026-07-19 08:16:09 AM,38,110,41,570
1784463369,2026-07-19 08:16:09 AM,38,110,41,580
1784463592,2026-07-19 08:19:52 AM,38,110,41,570
1784463598,2026-07-19 08:19:58 AM,38,117,41,570
1784463599,2026-07-19 08:19:59 AM,38,107,41,570
1784463655,2026-07-19 08:20:55 AM,38,100,41,570
1784463712,2026-07-19 08:21:52 AM,38,110,41,570
1784463712,2026-07-19 08:21:52 AM,38,110,41,580
1784463735,2026-07-19 08:22:15 AM,38,100,41,570
1784463739,2026-07-19 08:22:19 AM,37,19,41,570
1784463742,2026-07-19 08:22:22 AM,37,19,41,470
1784463751,2026-07-19 08:22:31 AM,37,28,41,470
1784463765,2026-07-19 08:22:45 AM,38,100,41,470
1784463780,2026-07-19 08:23:00 AM,38,100,41,570
1784463858,2026-07-19 08:24:18 AM,38,110,41,570
1784463858,2026-07-19 08:24:18 AM,38,110,41,580
1784463874,2026-07-19 08:24:34 AM,38,10,41,580
1784463884,2026-07-19 08:24:44 AM,38,110,41,480
1784463908,2026-07-19 08:25:08 AM,38,110,41,580
1784463934,2026-07-19 08:25:34 AM,38,10,41,480
1784463947,2026-07-19 08:25:47 AM,38,110,41,480
1784463965,2026-07-19 08:26:05 AM,38,110,41,580
1784463989,2026-07-19 08:26:29 AM,38,10,41,580
1784463994,2026-07-19 08:26:34 AM,38,10,41,480
1784464026,2026-07-19 08:27:06 AM,38,110,41,580
1784464045,2026-07-19 08:27:25 AM,38,10,41,580
1784464050,2026-07-19 08:27:30 AM,38,10,41,480
1784464062,2026-07-19 08:27:42 AM,38,10,41,481
1784464079,2026-07-19 08:27:59 AM,38,110,41,581
1784464108,2026-07-19 08:28:28 AM,38,10,41,581
1784464114,2026-07-19 08:28:34 AM,38,10,41,481
1784464145,2026-07-19 08:29:05 AM,38,110,41,581
1784464196,2026-07-19 08:29:56 AM,38,110,41,481
1784464199,2026-07-19 08:29:59 AM,38,110,41,581
1784464260,2026-07-19 08:31:00 AM,38,110,41,481
1784464261,2026-07-19 08:31:01 AM,38,110,41,581
1784464294,2026-07-19 08:31:34 AM,38,10,41,581
1784464315,2026-07-19 08:31:55 AM,38,110,41,481
1784464329,2026-07-19 08:32:09 AM,38,110,41,581
1784464367,2026-07-19 08:32:47 AM,38,110,41,481
1784464385,2026-07-19 08:33:05 AM,38,110,41,581
1784464401,2026-07-19 08:33:21 AM,38,10,41,581
1784464404,2026-07-19 08:33:24 AM,38,10,41,481
1784464426,2026-07-19 08:33:46 AM,38,110,41,481
1784464427,2026-07-19 08:33:47 AM,38,110,41,581
1784464519,2026-07-19 08:35:19 AM,38,10,41,581
1784464523,2026-07-19 08:35:23 AM,38,10,41,481
1784464547,2026-07-19 08:35:47 AM,38,110,41,481
1784464559,2026-07-19 08:35:59 AM,38,110,41,581
1784464639,2026-07-19 08:37:19 AM,38,10,41,581
1784464643,2026-07-19 08:37:23 AM,38,10,41,481
1784464662,2026-07-19 08:37:42 AM,38,110,41,481
1784464681,2026-07-19 08:38:01 AM,38,110,41,581
1784464699,2026-07-19 08:38:19 AM,38,10,41,581
1784464702,2026-07-19 08:38:22 AM,38,10,41,481
1784464722,2026-07-19 08:38:42 AM,38,110,41,481
1784464722,2026-07-19 08:38:42 AM,38,110,41,581
1784464830,2026-07-19 08:40:30 AM,37,19,41,471
1784464849,2026-07-19 08:40:49 AM,38,100,41,471
1784464856,2026-07-19 08:40:56 AM,38,110,41,471
1784464856,2026-07-19 08:40:56 AM,38,110,41,481
1784464857,2026-07-19 08:40:57 AM,38,110,41,581
1784464877,2026-07-19 08:41:17 AM,38,110,41,584
1784464939,2026-07-19 08:42:19 AM,38,10,41,584
1784464942,2026-07-19 08:42:22 AM,38,10,41,484
1784464958,2026-07-19 08:42:38 AM,38,10,41,474
1784464963,2026-07-19 08:42:43 AM,38,110,41,474
1784464987,2026-07-19 08:43:07 AM,38,110,41,574
1784465007,2026-07-19 08:43:27 AM,38,100,41,574
1784465061,2026-07-19 08:44:21 AM,37,19,41,574
1784465063,2026-07-19 08:44:23 AM,37,19,41,474
1784465087,2026-07-19 08:44:47 AM,38,100,41,474
1784465100,2026-07-19 08:45:00 AM,38,100,41,574
1784465148,2026-07-19 08:45:48 AM,38,100,41,474
1784465163,2026-07-19 08:46:03 AM,38,100,41,574
1784465250,2026-07-19 08:47:30 AM,37,19,41,400
1784465269,2026-07-19 08:47:49 AM,38,100,41,400
1784465281,2026-07-19 08:48:01 AM,38,100,41,500
1784465311,2026-07-19 08:48:31 AM,38,10,41,510
1784465311,2026-07-19 08:48:31 AM,38,110,41,500
1784465311,2026-07-19 08:48:31 AM,38,110,41,510
1784465317,2026-07-19 08:48:37 AM,38,10,41,410
1784465335,2026-07-19 08:48:55 AM,38,110,41,410
1784465338,2026-07-19 08:48:58 AM,38,110,41,510
1784465424,2026-07-19 08:50:24 AM,38,10,41,510
1784465426,2026-07-19 08:50:26 AM,38,10,41,410
1784465459,2026-07-19 08:50:59 AM,38,110,41,410
1784465473,2026-07-19 08:51:13 AM,38,110,41,510
1784465545,2026-07-19 08:52:25 AM,38,10,41,510
1784465553,2026-07-19 08:52:33 AM,38,10,41,410
1784465588,2026-07-19 08:53:08 AM,38,110,41,510
1784465671,2026-07-19 08:54:31 AM,38,10,41,410
1784465690,2026-07-19 08:54:50 AM,38,110,41,410
1784465712,2026-07-19 08:55:12 AM,38,110,41,510
1784465722,2026-07-19 08:55:22 AM,38,10,41,510
1784465723,2026-07-19 08:55:23 AM,38,10,41,410
1784465725,2026-07-19 08:55:25 AM,38,10,41,400
1784465743,2026-07-19 08:55:43 AM,38,110,41,400
1784465743,2026-07-19 08:55:43 AM,38,110,41,500
1784465753,2026-07-19 08:55:53 AM,38,100,41,500
1784465788,2026-07-19 08:56:28 AM,37,19,41,400
1784465788,2026-07-19 08:56:28 AM,37,19,41,500
1784465802,2026-07-19 08:56:42 AM,38,100,41,400
1784465802,2026-07-19 08:56:42 AM,38,100,41,500
1784465828,2026-07-19 08:57:08 AM,38,110,41,500
