cell,status,N,avg_entry,TWP,mispricing,scalp_WR_pct,exit_cents,ROI_pct,dollar_per_fill,daily_fires,daily_dollar,dca_A_roi,dca_A_trigger,dca_A_fire_rate,dca_A_win_rate,dca_B_roi,dca_B_trigger,dca_B_fire_rate,dca_B_win_rate,avg_duration_h,win_count,loss_count,confidence,recommendation
ATP_MAIN_leader_70-74,ACTIVE,60,72.3,0.733,1.0,81.7,17,19.4,1.40,1.07,1.50,-0.2,7,4.0,76.0,-0.3,7,4.0,76.0,33.5,44,16,HIGH,KEEP
ATP_MAIN_leader_75-79,disabled,12,77.2,0.833,6.1,83.3,14,16.3,1.26,0.21,0.27,-0.2,25,1.2,66.7,-0.3,5,4.0,80.0,30.7,10,2,LOW,STAY-OFF
ATP_MAIN_underdog_20-24,disabled,11,22.5,0.182,-4.3,36.4,25,30.2,0.68,0.20,0.13,-2.9,10,9.9,30.0,-2.0,10,9.9,35.0,34.2,2,9,LOW,STAY-OFF
ATP_MAIN_underdog_25-29,disabled,20,27.4,0.200,-7.4,65.0,22,43.4,1.19,0.36,0.43,-0.4,5,5.5,48.5,-0.6,5,5.5,48.5,27.7,4,16,LOW,STAY-OFF
ATP_MAIN_underdog_30-34,ACTIVE,36,31.5,0.306,-1.0,66.7,15,31.1,0.98,0.64,0.63,0.5,3,9.9,67.6,0.1,3,9.9,67.6,33.2,11,25,MEDIUM,KEEP
ATP_MAIN_underdog_35-39,disabled,23,37.3,0.522,14.8,91.3,12,32.8,1.22,0.41,0.50,-0.6,5,6.0,66.7,-0.5,7,5.5,69.2,33.8,12,11,LOW,RE-ENABLE
ATP_MAIN_underdog_40-44,disabled,37,42.0,0.297,-12.2,78.4,9,10.7,0.45,0.66,0.30,-0.1,20,2.6,66.7,-0.5,20,2.6,66.7,31.3,11,26,MEDIUM,STAY-OFF
ATP_MAIN_underdog_45-49,ACTIVE,40,47.2,0.400,-7.2,90.0,4,6.2,0.29,0.71,0.21,-0.1,7,3.9,85.7,-0.3,7,3.9,85.7,27.8,16,24,MEDIUM,KEEP
WTA_CHALL_leader_55-59,ACTIVE,14,57.1,0.500,-7.1,50.0,20,11.2,0.64,0.25,0.16,-5.7,7,16.7,53.3,-6.3,7,16.7,53.3,13.5,7,7,LOW,KEEP
WTA_CHALL_underdog_40-44,ACTIVE,16,41.9,0.562,14.4,56.2,30,55.2,2.31,0.29,0.66,-3.0,3,26.6,52.4,-3.5,3,26.6,52.4,12.0,9,7,LOW,KEEP
WTA_MAIN_leader_50-54,ACTIVE,43,51.5,0.535,2.0,88.4,10,17.6,0.91,0.77,0.70,0.9,10,6.0,86.7,0.4,10,6.0,86.7,26.1,23,20,MEDIUM,KEEP
WTA_MAIN_leader_55-59,disabled,31,56.8,0.387,-18.1,67.7,10,1.8,0.10,0.55,0.06,-0.2,5,4.6,80.0,0.2,5,4.6,86.7,24.9,12,19,MEDIUM,STAY-OFF
WTA_MAIN_leader_60-64,disabled,20,62.1,0.650,2.9,95.0,8,12.4,0.77,0.36,0.28,0.2,7,4.7,87.5,0.6,10,3.0,100.0,27.4,13,7,LOW,RE-ENABLE
WTA_MAIN_leader_65-69,ACTIVE,26,66.6,0.846,18.0,88.5,23,33.5,2.23,0.46,1.04,0.3,10,7.6,72.4,-0.1,5,7.9,73.3,25.6,22,4,LOW,KEEP
WTA_MAIN_leader_70-74,ACTIVE,17,71.5,0.765,5.0,76.5,25,28.2,2.02,0.30,0.61,-2.5,15,6.7,50.0,-1.7,15,6.7,59.1,23.8,13,4,LOW,KEEP
WTA_MAIN_leader_80-84,ACTIVE,9,81.3,0.667,-14.7,66.7,17,7.8,0.63,0.16,0.10,-2.5,25,3.7,37.5,0.8,10,5.0,90.9,22.8,6,3,LOW,KEEP
WTA_MAIN_leader_85-89,ACTIVE,8,86.0,0.625,-23.5,62.5,14,-0.2,-0.02,0.14,-0.00,-2.4,25,1.8,0.0,-0.6,15,2.5,71.4,19.4,5,3,LOW,RETUNE
WTA_MAIN_underdog_15-19,disabled,9,17.3,0.000,-17.3,44.4,31,27.1,0.47,0.16,0.08,-0.1,3,9.4,31.6,-0.3,3,9.4,31.6,22.6,0,9,LOW,STAY-OFF
WTA_MAIN_underdog_20-24,disabled,9,21.8,0.222,0.4,55.6,22,58.2,1.27,0.16,0.20,-3.5,5,9.6,33.3,-3.7,15,6.2,20.0,29.1,2,7,LOW,STAY-OFF
WTA_MAIN_underdog_25-29,ACTIVE,19,27.2,0.158,-11.4,57.9,21,28.1,0.76,0.34,0.26,-1.5,10,8.2,42.1,-1.9,5,10.3,45.8,23.3,3,16,LOW,KEEP
WTA_MAIN_underdog_30-34,disabled,18,31.7,0.167,-15.0,50.0,16,2.6,0.08,0.32,0.03,-1.0,5,9.6,58.6,-0.7,5,9.6,62.1,22.0,3,15,LOW,STAY-OFF
WTA_MAIN_underdog_35-39,disabled,29,36.9,0.276,-9.3,75.9,11,16.9,0.62,0.52,0.32,-2.8,20,2.9,14.3,-2.9,20,2.9,14.3,26.5,8,21,LOW,STAY-OFF
WTA_MAIN_underdog_40-44,disabled,21,42.3,0.238,-18.5,76.2,5,-1.1,-0.05,0.38,-0.02,-1.3,10,4.3,63.6,-1.4,15,2.0,40.0,24.8,5,16,LOW,STAY-OFF
WTA_MAIN_underdog_45-49,ACTIVE,29,47.0,0.483,1.3,82.8,11,19.9,0.93,0.52,0.48,-0.5,7,10.5,73.9,-1.0,5,11.0,75.0,24.0,14,15,LOW,KEEP
