ticker,cell,type,entry_price,exit_price,result,pnl_cents,pnl_dollars,ts
KXATPMATCH-26APR20VANDED-VAN,?,settlement,70,1,LOSS,-690,-6.9,2026-04-20 09:52:09 AM ET
KXATPMATCH-26APR20VANDED-DED,?,settlement,40,99,WIN,354,3.54,2026-04-20 09:52:24 AM ET
KXATPCHALLENGERMATCH-26APR20GULREH-GUL,?,settlement,36,99,WIN,630,6.3,2026-04-20 10:27:21 AM ET
KXATPCHALLENGERMATCH-26APR20GULREH-REH,?,settlement,31,1,LOSS,-150,-1.5,2026-04-20 10:27:21 AM ET
KXATPMATCH-26APR20BLABON-BLA,?,settlement,42,1,LOSS,-410,-4.1,2026-04-20 10:29:18 AM ET
KXATPMATCH-26APR20BLABON-BON,?,settlement,70,99,WIN,290,2.9,2026-04-20 10:29:18 AM ET
KXATPMATCH-26APR20VALMAR-MAR,?,settlement,44,1,LOSS,-430,-4.3,2026-04-20 11:00:00 AM ET
KXATPCHALLENGERMATCH-26APR20SQUSAK-SQU,?,settlement,39,1,LOSS,-380,-3.8,2026-04-20 11:30:26 AM ET
KXATPCHALLENGERMATCH-26APR20SQUSAK-SAK,?,settlement,28,99,WIN,355,3.55,2026-04-20 11:30:26 AM ET
KXATPMATCH-26APR20LAJARN-LAJ,?,settlement,40,99,WIN,590,5.9,2026-04-20 01:15:53 PM ET
KXATPMATCH-26APR20PRIOCO-PRI,?,settlement,70,99,WIN,435,4.35,2026-04-20 01:57:27 PM ET
KXATPMATCH-26APR20KYPKOU-KOU,?,settlement,40,1,LOSS,-390,-3.9,2026-04-20 02:54:27 PM ET
KXATPMATCH-26APR20PIRBAR-BAR,?,settlement,42,1,LOSS,-410,-4.1,2026-04-20 04:06:28 PM ET
KXATPCHALLENGERMATCH-26APR20NISSMI-SMI,?,settlement,32,1,LOSS,-310,-3.1,2026-04-20 09:11:34 PM ET
KXATPCHALLENGERMATCH-26APR20NISSMI-NIS,?,settlement,69,99,WIN,300,3.0,2026-04-20 09:12:02 PM ET
KXATPCHALLENGERMATCH-26APR20NOGGAL-NOG,?,settlement,38,1,LOSS,-555,-5.55,2026-04-20 11:31:18 PM ET
KXATPCHALLENGERMATCH-26APR21SHIPAR-SHI,?,settlement,84,99,WIN,75,0.75,2026-04-21 02:30:13 AM ET
KXATPCHALLENGERMATCH-26APR21SHIPAR-PAR,?,settlement,19,1,LOSS,-180,-1.8,2026-04-21 02:30:13 AM ET
KXATPCHALLENGERMATCH-26APR21FOMORL-FOM,?,settlement,59,99,WIN,400,4.0,2026-04-21 03:12:30 AM ET
KXATPCHALLENGERMATCH-26APR21FOMORL-ORL,?,settlement,36,1,LOSS,-350,-3.5,2026-04-21 03:22:49 AM ET
KXATPCHALLENGERMATCH-26APR21BLAYEV-YEV,?,settlement,38,1,LOSS,-518,-5.18,2026-04-21 03:56:29 AM ET
KXATPCHALLENGERMATCH-26APR21SHARIE-RIE,?,settlement,53,99,WIN,690,6.9,2026-04-21 03:59:18 AM ET
KXATPCHALLENGERMATCH-26APR21BLAYEV-BLA,?,settlement,64,99,WIN,350,3.5,2026-04-21 04:02:37 AM ET
KXATPCHALLENGERMATCH-26APR21KOTKUK-KUK,?,settlement,37,99,WIN,930,9.3,2026-04-21 04:07:24 AM ET
KXATPCHALLENGERMATCH-26APR21KOTKUK-KOT,?,settlement,59,1,LOSS,-580,-5.8,2026-04-21 04:07:24 AM ET
KXATPCHALLENGERMATCH-26APR21OSTPIE-PIE,?,settlement,55,1,LOSS,-540,-5.4,2026-04-21 04:23:35 AM ET
KXATPCHALLENGERMATCH-26APR21TOPCRE-TOP,?,settlement,56,1,LOSS,-275,-2.75,2026-04-21 04:52:24 AM ET
KXATPCHALLENGERMATCH-26APR21TOPCRE-CRE,?,settlement,44,99,WIN,220,2.2,2026-04-21 04:57:11 AM ET
KXATPCHALLENGERMATCH-26APR21SKAPRI-SKA,?,settlement,99,99,WIN,0,0.0,2026-04-21 05:08:00 AM ET
KXATPCHALLENGERMATCH-26APR21BERJIA-BER,?,settlement,59,1,LOSS,-580,-5.8,2026-04-21 05:22:22 AM ET
KXATPCHALLENGERMATCH-26APR21GAKNUR-GAK,?,settlement,84,99,WIN,150,1.5,2026-04-21 06:12:32 AM ET
KXWTAMATCH-26APR21MARSAM-MAR,?,settlement,49,1,LOSS,-480,-4.8,2026-04-21 06:20:48 AM ET
KXATPCHALLENGERMATCH-26APR21POLGHI-GHI,?,settlement,34,99,WIN,1300,13.0,2026-04-21 06:25:49 AM ET
KXATPCHALLENGERMATCH-26APR21POLGHI-POL,?,settlement,70,1,LOSS,-1035,-10.35,2026-04-21 06:25:49 AM ET
KXWTAMATCH-26APR21MARJIM-MAR,?,settlement,70,99,WIN,290,2.9,2026-04-21 06:34:15 AM ET
KXATPCHALLENGERMATCH-26APR21COPROM-COP,?,settlement,53,1,LOSS,-780,-7.8,2026-04-21 06:38:46 AM ET
KXATPCHALLENGERMATCH-26APR21KIRARN-KIR,?,settlement,37,1,LOSS,-540,-5.4,2026-04-21 06:51:37 AM ET
KXATPMATCH-26APR21LLAMOL-MOL,?,settlement,25,99,WIN,740,7.4,2026-04-21 07:11:33 AM ET
KXWTAMATCH-26APR21JEAMAS-JEA,?,settlement,31,99,WIN,680,6.8,2026-04-21 07:22:33 AM ET
KXATPCHALLENGERMATCH-26APR21HERDEN-DEN,?,settlement,28,1,LOSS,-135,-1.35,2026-04-21 07:52:11 AM ET
KXATPCHALLENGERMATCH-26APR21HERDEN-HER,?,settlement,39,99,WIN,600,6.0,2026-04-21 07:52:11 AM ET
KXWTAMATCH-26APR21BARCHA-CHA,?,settlement,37,99,WIN,620,6.2,2026-04-21 07:59:27 AM ET
KXWTAMATCH-26APR21BARCHA-BAR,?,settlement,60,1,LOSS,-590,-5.9,2026-04-21 07:59:27 AM ET
KXATPCHALLENGERMATCH-26APR21WISERH-WIS,?,settlement,30,99,WIN,690,6.9,2026-04-21 08:00:49 AM ET
KXWTAMATCH-26APR21SIEBEG-BEG,?,settlement,31,1,LOSS,-300,-3.0,2026-04-21 08:03:04 AM ET
KXWTAMATCH-26APR21BLIKAL-BLI,?,settlement,46,1,LOSS,-900,-9.0,2026-04-21 08:47:15 AM ET
KXWTAMATCH-26APR21BLIKAL-KAL,?,settlement,38,99,WIN,305,3.05,2026-04-21 08:47:15 AM ET
KXWTAMATCH-26APR21UDVGRA-GRA,?,settlement,45,99,WIN,540,5.4,2026-04-21 09:41:40 AM ET
KXWTAMATCH-26APR21UDVGRA-UDV,?,settlement,48,1,LOSS,-705,-7.05,2026-04-21 09:41:40 AM ET
KXATPMATCH-26APR21DEDBON-DED,?,settlement,30,1,LOSS,-435,-4.35,2026-04-21 09:59:07 AM ET
KXATPMATCH-26APR21FARHAR-FAR,?,settlement,61,99,WIN,380,3.8,2026-04-21 10:05:27 AM ET
KXATPMATCH-26APR21FARHAR-HAR,?,settlement,35,1,LOSS,-340,-3.4,2026-04-21 10:05:27 AM ET
KXWTAMATCH-26APR21BADGRA-BAD,?,settlement,84,1,LOSS,-830,-8.3,2026-04-21 11:00:21 AM ET
KXWTAMATCH-26APR21BADGRA-GRA,?,settlement,15,99,WIN,840,8.4,2026-04-21 11:00:21 AM ET
KXWTAMATCH-26APR21STAPAV-STA,?,settlement,74,1,LOSS,-730,-7.3,2026-04-21 11:17:57 AM ET
KXWTAMATCH-26APR21STAPAV-PAV,?,settlement,25,99,WIN,740,7.4,2026-04-21 11:17:57 AM ET
KXWTAMATCH-26APR21VOLKOR-VOL,?,settlement,64,99,WIN,350,3.5,2026-04-21 11:22:21 AM ET
KXWTAMATCH-26APR21VOLKOR-KOR,?,settlement,32,1,LOSS,-310,-3.1,2026-04-21 11:22:21 AM ET
KXATPCHALLENGERMATCH-26APR21MMORON-MMO,?,settlement,80,1,LOSS,-395,-3.95,2026-04-21 11:24:43 AM ET
KXATPMATCH-26APR21ECHBUD-ECH,?,settlement,25,1,LOSS,-240,-2.4,2026-04-21 11:29:54 AM ET
KXWTAMATCH-26APR21MONLIN-MON,?,settlement,38,1,LOSS,-370,-3.7,2026-04-21 11:38:36 AM ET
