ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXWTAMATCH-26APR26PEGKOS-PEG,58,0,,WTA_MAIN_leader_55-59,WTA_MAIN_leader_55-59,,,settle_loss,1,-570,-57.00,leader,2026-04-25 11:21:58 PM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,10,0,,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,,,settle_loss,1,-90,-9.00,underdog,2026-04-25 11:33:06 PM ET
KXATPMATCH-26APR26LEHMIC-MIC,31,0,,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,,,settle_loss,1,-300,-30.00,underdog,2026-04-25 11:40:35 PM ET
KXATPMATCH-26APR26PRIETC-PRI,47,0,,ATP_MAIN_underdog_45-49,ATP_MAIN_underdog_45-49,,,scalp,51,40,4.00,underdog,2026-04-25 11:50:44 PM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-FEL,58,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,scalp,63,50,5.00,leader,2026-04-26 12:14:08 AM ET
KXATPCHALLENGERMATCH-26APR26FELDEL-DEL,44,0,,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_45-49,,,scalp,57,130,13.00,underdog,2026-04-26 12:14:09 AM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,91,0,,ATP_CHALL_leader_90-94,ATP_CHALL_leader_85-89,,,settle_win,99,80,8.00,leader,2026-04-26 12:14:09 AM ET
KXWTAMATCH-26APR25CIRGAU-CIR,19,0,,WTA_MAIN_underdog_15-19,WTA_MAIN_underdog_20-24,,,scalp,41,220,22.00,underdog,2026-04-26 12:32:03 AM ET
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,31,0,,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,,,settle_loss,1,-300,-30.00,underdog,2026-04-26 12:35:12 AM ET
KXWTAMATCH-26APR25CIRGAU-GAU,80,0,,WTA_MAIN_leader_80-84,WTA_MAIN_leader_80-84,,,scalp,97,170,17.00,leader,2026-04-26 12:43:51 AM ET
KXATPMATCH-26APR26NORTIR-TIR,43,0,,ATP_MAIN_underdog_40-44,ATP_MAIN_underdog_40-44,,,scalp,52,90,9.00,underdog,2026-04-26 12:50:31 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,29,0,,ATP_CHALL_underdog_25-29,ATP_CHALL_underdog_25-29,,,settle_loss,1,-280,-28.00,underdog,2026-04-26 01:00:45 AM ET
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,54,0,,WTA_CHALL_leader_50-54,WTA_CHALL_leader_50-54,,,settle_loss,1,-530,-53.00,leader,2026-04-26 01:09:15 AM ET
