cell,ticker,entry_mid,entry_bid,side,last_mid,exit_c,target,scalp_phase,theta_pregame,theta_early,gamma_excursion_pct,vega,pregame_min,total_min,n_snapshots
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BROGAK-GAK,50.0,4,loser,8.0,7,11,pregame,-0.0017,-0.3167,24.0,9.1,886,898,173
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27BRUKRA-KRA,50.5,16,loser,1.5,7,23,pregame,-0.0204,-0.5000,29.7,12.4,883,909,176
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27CECMIC-CEC,50.0,6,winner,94.5,7,13,pregame,0.0502,,,5.7,886,774,149
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27CECMIC-MIC,50.0,6,loser,1.5,7,13,pregame,-0.0547,,,6.3,886,779,150
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27DEDHAR-DED,50.0,6,winner,92.5,7,13,pregame,0.0214,0.0333,110.0,5.4,888,1046,195
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27DEDHAR-HAR,50.0,6,loser,7.5,7,13,pregame,-0.0214,0.0000,110.0,5.7,888,1046,195
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ENGDJE-DJE,50.0,4,winner,98.5,7,11,pregame,0.0237,0.2000,61.0,4.3,886,954,179
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ENGDJE-ENG,50.0,4,loser,1.5,7,11,pregame,-0.0237,-0.1833,61.0,4.3,886,954,179
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27FONBAL-BAL,50.0,6,winner,94.0,7,13,pregame,0.0497,,,7.4,885,753,138
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27FONBAL-FON,50.0,6,loser,5.5,7,13,pregame,-0.0503,,,7.9,885,753,138
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GASUJV-GAS,50.0,6,winner,98.5,7,13,pregame,0.0535,0.0000,2.0,5.1,888,912,173
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GASUJV-UJV,50.0,5,loser,1.5,7,12,pregame,-0.0546,0.0000,2.0,10.3,888,912,175
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GENLOF-GEN,50.0,6,winner,98.5,7,13,pregame,0.0153,0.6333,60.0,6.6,885,941,174
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GENLOF-LOF,50.0,6,loser,3.0,7,13,pregame,-0.0164,-0.5667,53.0,6.1,885,936,173
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GIUPOU-GIU,50.0,5,winner,98.0,7,12,pregame,0.0543,,,10.4,885,806,148
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GIUPOU-POU,50.0,4,loser,2.0,7,11,pregame,-0.0543,,,10.4,885,806,148
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GUESAR-GUE,50.0,4,winner,92.5,7,11,pregame,0.0418,-0.0500,3.0,16.1,886,895,171
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GUESAR-SAR,50.0,4,loser,7.5,7,11,pregame,-0.0423,0.0667,4.0,16.4,886,895,171
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GULKLO-GUL,50.0,7,winner,98.0,7,14,pregame,0.0543,,,3.9,884,777,149
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27GULKLO-KLO,50.0,6,loser,1.5,7,13,pregame,-0.0548,,,4.2,884,782,151
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27LAJSAN-LAJ,50.0,6,winner,98.5,7,13,pregame,0.0549,,,4.5,884,819,159
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27LAJSAN-SAN,50.0,6,loser,1.5,7,13,pregame,-0.0549,,,5.3,884,819,159
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27LAREH-LA,50.0,4,loser,2.0,7,11,pregame,-0.0541,,,4.9,888,841,162
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27LAREH-REH,50.0,4,winner,98.0,7,11,pregame,0.0541,,,4.8,888,841,162
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27MARCUK-CUK,50.0,4,winner,95.0,7,11,pregame,0.0508,,,12.8,885,785,151
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27MARCUK-MAR,50.0,4,loser,4.0,7,11,pregame,-0.0520,,,9.8,885,785,151
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27MARKAL-KAL,50.0,4,loser,2.0,7,11,pregame,-0.0543,,,17.8,885,769,141
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27MARKAL-MAR,50.0,4,winner,98.0,7,11,pregame,0.0543,,,17.9,885,769,141
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27MOCCAM-CAM,50.0,7,winner,97.0,7,14,pregame,0.0532,,,4.3,884,823,160
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27MOCCAM-MOC,50.0,7,loser,3.5,7,14,pregame,-0.0526,,,4.2,884,823,160
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ORLVIT-ORL,50.0,7,winner,98.5,7,14,pregame,0.0548,,,4.0,884,751,146
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ORLVIT-VIT,50.0,7,loser,1.5,7,14,pregame,-0.0548,,,3.9,884,751,146
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27PIRHOU-HOU,50.0,6,loser,2.5,7,13,pregame,-0.0537,,,6.5,884,818,156
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27PIRHOU-PIR,50.0,6,winner,97.5,7,13,pregame,0.0537,,,6.0,884,818,156
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27ROCPOT-ROC,50.0,6,loser,1.5,7,13,pregame,-0.0550,,,12.5,882,777,150
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27SAKPIN-PIN,50.0,4,loser,1.5,7,11,pregame,-0.0548,,,21.7,885,723,129
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27SAKPIN-SAK,50.0,4,winner,98.5,7,11,pregame,0.0548,,,25.3,885,718,135
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27SEGFON-FON,50.0,4,loser,2.0,7,11,pregame,-0.0542,,,10.0,885,821,158
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27SEGFON-SEG,50.0,4,winner,98.0,7,11,pregame,0.0542,,,12.6,885,821,158
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27STAKRU-KRU,50.0,6,winner,98.5,7,13,pregame,0.0546,,,5.1,888,835,161
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27STAKRU-STA,50.0,6,loser,2.0,7,13,pregame,-0.0541,,,5.1,888,835,161
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27TAKSHI-SHI,50.0,6,winner,98.5,7,13,pregame,0.0548,,,5.3,884,808,157
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27TAKSHI-TAK,50.0,6,loser,2.5,7,13,pregame,-0.0537,,,5.6,884,803,156
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27WEBMON-MON,50.0,4,winner,97.0,7,11,pregame,0.0530,,,17.7,887,825,159
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR27WEBMON-WEB,50.0,4,loser,3.0,7,11,pregame,-0.0530,,,18.3,887,825,159
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28COUPOU-POU,50.0,4,loser,7.5,7,11,pregame,-0.2424,,,14.6,175,112,19
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28FAUMON-FAU,50.0,4,winner,94.5,7,11,pregame,0.0502,,,15.3,886,779,136
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28FAUMON-MON,50.0,4,loser,5.0,7,11,pregame,-0.0508,,,15.6,886,779,136
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28GADDUR-DUR,50.0,4,loser,2.0,7,11,pregame,-0.0253,0.1833,79.0,8.1,888,964,170
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28GADDUR-GAD,50.0,4,winner,98.0,7,11,pregame,0.0265,-0.1500,79.0,5.3,888,964,170
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28KOLJIA-KOL,51.5,50,winner,91.0,7,57,pregame,0.0447,,,6.6,883,874,155
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28KUZBLA-BLA,50.0,4,loser,2.5,7,11,pregame,0.0130,-0.7000,145.0,9.8,888,938,165
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28KUZBLA-KUZ,50.0,4,winner,97.5,7,11,pregame,-0.0118,0.7167,146.0,10.1,888,938,165
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28MOLSIN-MOL,50.0,5,winner,98.5,7,12,pregame,0.0546,,,7.2,888,816,142
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28MOLSIN-SIN,50.0,5,loser,2.0,7,12,pregame,-0.0541,,,7.2,888,816,142
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28SAFCRE-CRE,54.0,23,loser,9.0,7,30,pregame,-0.0509,,,7.9,885,804,141
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28SAIMRV-MRV,50.0,5,loser,2.5,7,12,pregame,-0.0535,,,7.8,888,811,141
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28SAIMRV-SAI,50.0,5,winner,96.5,7,12,pregame,0.0524,,,7.7,888,811,141
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28SHEADD-ADD,50.0,4,loser,3.5,7,11,pregame,-0.0525,,,4.7,886,764,133
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28SHEADD-SHE,50.0,4,winner,96.5,7,11,pregame,0.0525,,,5.0,886,764,132
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28TRADEJ-DEJ,50.0,1,winner,96.5,7,8,pregame,0.0524,,,8.6,888,844,149
ATP_CHALL_leader_50-54,KXATPCHALLENGERMATCH-26APR28TRADEJ-TRA,50.0,1,loser,3.5,7,8,pregame,-0.0524,,,8.6,888,844,149
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR21DOSGOM-DOS,55.0,54,winner,95.5,17,71,late_match,0.0088,-0.0333,70.9,7.3,285,396,78
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR21GUEKEN-GUE,57.0,56,loser,1.5,17,73,pregame,-0.2584,,,18.2,215,187,38
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR21RYBFEL-FEL,58.0,57,winner,96.5,17,74,early_match,-0.0466,0.8167,68.1,11.3,215,257,52
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR23ANDMAY-MAY,57.5,30,loser,3.5,17,47,pregame,-0.0518,-0.8167,42.6,7.3,888,913,169
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR23DJEVAV-DJE,56.5,46,loser,10.0,17,63,none,-0.0526,,,10.8,884,809,157
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR24JIAGUE-JIA,56.0,30,loser,7.0,17,47,pregame,-0.0553,,,11.8,886,842,168
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR26SANDON-DON,58.0,31,loser,8.0,17,48,pregame,-0.0409,-0.2333,12.1,7.7,880,888,168
ATP_CHALL_leader_55-59,KXATPCHALLENGERMATCH-26APR28SCHCHO-SCH,57.0,52,loser,5.5,17,69,none,-0.0582,,,11.5,885,860,152
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR20GIUFEN-GIU,64.0,63,winner,98.5,26,89,pregame,0.1062,,,9.3,325,66,14
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR21NEUBEN-BEN,63.5,63,winner,96.5,26,89,pregame,0.1270,,,6.0,260,152,31
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR22ALBGHI-ALB,63.0,41,loser,2.0,26,67,none,-0.0690,,,7.8,884,820,162
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR22BITCHA-CHA,62.5,31,winner,97.5,26,57,pregame,0.0063,0.0000,56.0,15.0,874,2719,522
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR26HURLOC-HUR,61.5,29,winner,98.0,26,55,pregame,0.0413,,,4.9,883,751,143
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,64.5,44,winner,97.5,26,70,pregame,0.0372,,,5.2,886,777,142
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR26KOFBAL-BAL,62.5,31,winner,98.5,26,57,pregame,0.0407,,,4.9,885,791,146
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR26OZDPOU-POU,61.0,29,winner,97.5,26,55,pregame,0.0413,,,9.7,885,863,166
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR26SANDON-SAN,62.5,60,winner,93.0,26,86,pregame,0.0176,0.2500,12.0,6.8,880,888,168
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR27MAZCAR-MAZ,62.5,40,loser,1.5,26,66,none,-0.0691,,,11.6,883,796,154
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR28NEUTSE-NEU,60.5,51,winner,95.5,26,77,pregame,0.0210,,0.0,5.2,883,885,157
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR28SVRGIL-SVR,63.0,58,winner,95.5,26,84,pregame,0.0370,,,7.0,879,870,157
ATP_CHALL_leader_60-64,KXATPCHALLENGERMATCH-26APR28TOPKRU-KRU,60.5,50,winner,95.5,26,76,pregame,-0.0006,1.1333,56.2,7.1,883,895,159
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR21BAXSIN-BAX,68.0,67,winner,93.5,17,84,pregame,0.0458,-0.0833,48.5,6.8,470,547,108
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR21SIMKWON-KWON,66.0,65,winner,98.5,17,82,late_match,0.0052,0.0167,55.3,3.5,865,2274,445
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR21WOLFAU-WOL,68.0,66,winner,97.5,17,83,mid_match,0.0047,0.1000,44.1,8.4,215,340,67
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR22ALBGHI-GHI,67.0,49,winner,98.5,17,66,pregame,0.0356,,,7.7,884,820,162
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR23GIUALK-ALK,68.0,66,winner,98.5,17,83,pregame,0.0397,,,6.7,768,762,140
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR24SVRCRE-SVR,67.5,57,winner,98.0,17,74,pregame,0.0344,,,5.5,887,776,155
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR26SVRGUE-SVR,68.5,67,loser,3.5,17,84,none,-0.0737,,,9.3,882,852,163
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR27MASDEL-MAS,68.5,58,winner,96.0,17,75,pregame,0.0311,,,5.7,885,812,158
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR27MAZCAR-CAR,67.5,50,winner,98.5,17,67,pregame,0.0351,,,7.7,883,796,154
ATP_CHALL_leader_65-69,KXATPCHALLENGERMATCH-26APR28SKADRO-DRO,69.0,66,winner,98.5,17,83,pregame,0.0333,,,4.5,885,804,141
ATP_CHALL_leader_70-74,KXATPCHALLENGERMATCH-26APR21CHUCHI-CHI,72.0,71,loser,2.5,19,90,none,0.0038,0.0000,108.3,6.2,795,2192,429
ATP_CHALL_leader_70-74,KXATPCHALLENGERMATCH-26APR21HARPUR-HAR,73.0,71,winner,98.5,19,90,pregame,0.1761,,,8.0,145,66,13
ATP_CHALL_leader_70-74,KXATPCHALLENGERMATCH-26APR24KWONHSU-KWON,72.0,70,winner,98.5,19,89,pregame,0.0300,,,5.2,883,787,157
ATP_CHALL_leader_70-74,KXATPCHALLENGERMATCH-26APR24SKAGHI-SKA,72.5,62,winner,98.0,19,81,pregame,0.0288,,,5.2,885,859,170
ATP_CHALL_leader_75-79,KXATPCHALLENGERMATCH-26APR21ANTKRU-KRU,79.0,78,winner,97.0,7,85,mid_match,-0.0691,-0.4000,86.1,16.6,145,232,47
ATP_CHALL_leader_75-79,KXATPCHALLENGERMATCH-26APR21MARTAB-TAB,76.5,76,winner,94.5,7,83,pregame,0.0552,0.0500,2.0,12.0,145,152,31
ATP_CHALL_leader_75-79,KXATPCHALLENGERMATCH-26APR21VAVMRV-VAV,77.5,77,winner,92.5,7,84,pregame,0.1431,,,12.2,105,81,17
ATP_CHALL_leader_75-79,KXATPCHALLENGERMATCH-26APR22SVRBER-SVR,77.0,64,winner,96.0,7,71,pregame,-0.0017,0.0000,67.5,3.9,887,2047,399
ATP_CHALL_leader_75-79,KXATPCHALLENGERMATCH-26APR27BRUKRA-BRU,79.5,74,winner,98.5,7,81,early_match,-0.0147,0.5000,18.9,12.1,883,904,175
ATP_CHALL_leader_75-79,KXATPCHALLENGERMATCH-26APR28SAFCRE-SAF,75.5,66,winner,90.5,7,73,pregame,0.0170,,,4.7,885,804,141
ATP_CHALL_leader_80-84,KXATPCHALLENGERMATCH-26APR21ONCSTR-ONC,80.0,79,winner,97.5,12,91,pregame,0.0546,,0.0,7.4,330,335,64
ATP_CHALL_leader_80-84,KXATPCHALLENGERMATCH-26APR21SINALK-ALK,80.0,79,winner,93.5,12,91,pregame,0.0530,,,6.0,255,152,31
ATP_CHALL_leader_80-84,KXATPCHALLENGERMATCH-26APR22MUKERE-ERE,83.0,81,winner,95.5,12,93,early_match,0.0073,0.3667,13.3,10.1,885,893,177
ATP_CHALL_leader_80-84,KXATPCHALLENGERMATCH-26APR26KLIBAS-BAS,83.0,81,winner,90.0,12,93,pregame,-0.0443,-0.1833,40.4,11.1,880,954,181
ATP_CHALL_leader_80-84,KXATPCHALLENGERMATCH-26APR27FRADAL-DAL,84.5,84,winner,98.5,12,96,pregame,0.0159,,,3.3,883,816,155
ATP_CHALL_leader_85-89,KXATPCHALLENGERMATCH-26APR20KUHFON-KUH,86.5,86,winner,97.0,6,92,pregame,0.0323,,,2.8,325,66,14
ATP_CHALL_leader_85-89,KXATPCHALLENGERMATCH-26APR22CREHER-HER,89.5,85,loser,1.5,6,91,none,-0.0430,0.0000,59.2,7.9,884,1099,218
ATP_CHALL_leader_85-89,KXATPCHALLENGERMATCH-26APR22KENNIS-NIS,89.5,85,loser,6.5,6,91,none,-0.0938,,,10.2,885,872,173
ATP_CHALL_leader_85-89,KXATPCHALLENGERMATCH-26APR22KOZHAR-KOZ,89.5,85,loser,5.5,6,91,none,-0.0948,,,10.1,886,836,166
ATP_CHALL_leader_85-89,KXATPCHALLENGERMATCH-26APR27ROCPOT-POT,89.5,85,winner,98.0,6,91,pregame,0.0096,,,3.3,882,772,149
ATP_CHALL_leader_85-89,KXATPCHALLENGERMATCH-26APR27SAKPOR-SAK,89.0,85,winner,95.5,6,91,pregame,0.0074,,,2.0,883,801,144
ATP_CHALL_underdog_10-14,KXATPCHALLENGERMATCH-26APR20KUHFON-FON,13.5,13,loser,2.5,35,48,none,-0.0339,,,2.8,325,66,14
ATP_CHALL_underdog_10-14,KXATPCHALLENGERMATCH-26APR21GEEBIT-BIT,12.5,11,winner,98.0,35,46,pregame,0.2061,,,14.4,415,391,77
ATP_CHALL_underdog_10-14,KXATPCHALLENGERMATCH-26APR22MUKERE-MUK,11.5,6,loser,5.0,35,41,pregame,0.0000,-0.3667,95.7,10.0,885,893,177
ATP_CHALL_underdog_15-19,KXATPCHALLENGERMATCH-26APR21ONCSTR-STR,19.5,19,loser,2.0,42,61,none,-0.0531,,0.0,7.6,330,335,66
ATP_CHALL_underdog_20-24,KXATPCHALLENGERMATCH-26APR21ANTKRU-ANT,21.0,20,loser,3.0,65,85,none,0.0622,0.4500,331.0,16.5,145,232,47
ATP_CHALL_underdog_20-24,KXATPCHALLENGERMATCH-26APR21MARTAB-MAR,24.5,24,loser,5.5,65,89,none,-0.0622,-0.0333,4.1,11.8,145,152,31
ATP_CHALL_underdog_20-24,KXATPCHALLENGERMATCH-26APR21SINALK-SIN,21.0,20,loser,6.5,65,85,none,-0.0569,,,6.4,255,152,31
ATP_CHALL_underdog_20-24,KXATPCHALLENGERMATCH-26APR21VAVMRV-MRV,22.5,22,loser,7.0,65,87,none,-0.1479,,,12.0,105,81,17
ATP_CHALL_underdog_25-29,KXATPCHALLENGERMATCH-26APR21CHUCHI-CHU,28.0,27,winner,96.5,18,45,late_match,-0.0050,0.0167,276.8,6.2,795,2192,429
