ticker,fill_price,first_price,bias,in_historical_events,he_first_ts,cell_by_fill_price,cell_by_first_price,cell_match,cell_at_fill_time_from_bot
KXATPCHALLENGERMATCH-26APR27GALSWE-SWE,43,,,NO,,ATP_CHALL_underdog_40-44,,N/A,ATP_CHALL_underdog_40-44
KXATPCHALLENGERMATCH-26APR27MATJAS-JAS,40,,,NO,,ATP_CHALL_underdog_40-44,,N/A,ATP_CHALL_underdog_40-44
KXATPCHALLENGERMATCH-26APR27LAJSAN-LAJ,72,,,NO,,ATP_CHALL_leader_70-74,,N/A,ATP_CHALL_leader_70-74
KXATPCHALLENGERMATCH-26APR27MILTOK-MIL,55,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXWTACHALLENGERMATCH-26APR27MIKLAN-MIK,43,,,NO,,WTA_CHALL_underdog_40-44,,N/A,WTA_CHALL_underdog_40-44
KXATPCHALLENGERMATCH-26APR27GALSWE-GAL,57,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXWTAMATCH-26APR27ANDBON-AND,83,,,NO,,WTA_MAIN_leader_80-84,,N/A,WTA_MAIN_leader_80-84
KXATPCHALLENGERMATCH-26APR27MASDEL-MAS,69,,,NO,,ATP_CHALL_leader_65-69,,N/A,ATP_CHALL_leader_65-69
KXATPCHALLENGERMATCH-26APR27BROGAK-BRO,39,,,NO,,ATP_CHALL_underdog_35-39,,N/A,ATP_CHALL_underdog_35-39
KXATPCHALLENGERMATCH-26APR27BERERH-ERH,55,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR27JORIAN-IAN,38,,,NO,,ATP_CHALL_underdog_35-39,,N/A,ATP_CHALL_underdog_35-39
KXATPCHALLENGERMATCH-26APR27ARNCAS-ARN,85,,,NO,,ATP_CHALL_leader_85-89,,N/A,ATP_CHALL_leader_85-89
KXWTAMATCH-26APR27BENBAP-BAP,31,,,NO,,WTA_MAIN_underdog_30-34,,N/A,WTA_MAIN_underdog_25-29
KXATPCHALLENGERMATCH-26APR27BOISIN-SIN,51,,,NO,,ATP_CHALL_leader_50-54,,N/A,ATP_CHALL_leader_50-54
KXATPCHALLENGERMATCH-26APR27KIRFUK-FUK,20,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPCHALLENGERMATCH-26APR27PIEWIS-PIE,52,,,NO,,ATP_CHALL_leader_50-54,,N/A,ATP_CHALL_leader_50-54
KXATPCHALLENGERMATCH-26APR27BRUKRA-BRU,74,,,NO,,ATP_CHALL_leader_70-74,,N/A,ATP_CHALL_leader_70-74
KXATPCHALLENGERMATCH-26APR27CERMOL-MOL,55,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR27WEBMON-WEB,12,,,NO,,ATP_CHALL_underdog_10-14,,N/A,ATP_CHALL_underdog_10-14
KXWTAMATCH-26APR27POTRYB-RYB,87,,,NO,,WTA_MAIN_leader_85-89,,N/A,WTA_MAIN_leader_85-89
KXATPCHALLENGERMATCH-26APR27CECMIC-MIC,35,,,NO,,ATP_CHALL_underdog_35-39,,N/A,ATP_CHALL_underdog_35-39
KXATPCHALLENGERMATCH-26APR28SAKDAL-SAK,64,,,NO,,ATP_CHALL_leader_60-64,,N/A,ATP_CHALL_leader_65-69
KXATPCHALLENGERMATCH-26APR28ORLPOL-POL,80,,,NO,,ATP_CHALL_leader_80-84,,N/A,ATP_CHALL_leader_80-84
KXATPCHALLENGERMATCH-26APR28SAKSEG-SEG,10,,,NO,,ATP_CHALL_underdog_10-14,,N/A,ATP_CHALL_underdog_10-14
KXATPCHALLENGERMATCH-26APR28BARPOT-BAR,56,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR28SCHCHO-SCH,57,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR28SAFCRE-CRE,23,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPCHALLENGERMATCH-26APR28OMAYEV-YEV,65,,,NO,,ATP_CHALL_leader_65-69,,N/A,ATP_CHALL_leader_65-69
KXATPCHALLENGERMATCH-26APR28WALCUI-WAL,78,,,NO,,ATP_CHALL_leader_75-79,,N/A,ATP_CHALL_leader_75-79
KXATPCHALLENGERMATCH-26APR28DONMEJ-MEJ,74,,,NO,,ATP_CHALL_leader_70-74,,N/A,ATP_CHALL_leader_70-74
KXATPCHALLENGERMATCH-26APR28REHCUE-REH,67,,,NO,,ATP_CHALL_leader_65-69,,N/A,ATP_CHALL_leader_65-69
KXATPCHALLENGERMATCH-26APR28KUZBLA-KUZ,49,,,NO,,ATP_CHALL_underdog_45-49,,N/A,ATP_CHALL_underdog_45-49
KXATPCHALLENGERMATCH-26APR28ARNCAR-ARN,47,,,NO,,ATP_CHALL_underdog_45-49,,N/A,ATP_CHALL_underdog_45-49
KXATPCHALLENGERMATCH-26APR28HERMAR-MAR,58,,,NO,,ATP_CHALL_leader_55-59,,N/A,ATP_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR28FAUMON-MON,74,,,NO,,ATP_CHALL_leader_70-74,,N/A,ATP_CHALL_leader_70-74
KXWTACHALLENGERMATCH-26APR28WERMAR-WER,59,,,NO,,WTA_CHALL_leader_55-59,,N/A,WTA_CHALL_leader_55-59
KXATPMATCH-26APR28MEDCOB-MED,54,,,NO,,ATP_MAIN_leader_50-54,,N/A,ATP_MAIN_leader_50-54
KXATPCHALLENGERMATCH-26APR28ARNCAR-CAR,53,,,NO,,ATP_CHALL_leader_50-54,,N/A,ATP_CHALL_leader_50-54
KXWTACHALLENGERMATCH-26APR28MINMAS-MIN,40,,,NO,,WTA_CHALL_underdog_40-44,,N/A,WTA_CHALL_underdog_40-44
KXATPCHALLENGERMATCH-26APR28FATPIN-PIN,52,,,NO,,ATP_CHALL_leader_50-54,,N/A,ATP_CHALL_leader_50-54
KXATPMATCH-26APR28MEDCOB-COB,46,,,NO,,ATP_MAIN_underdog_45-49,,N/A,ATP_MAIN_underdog_45-49
KXATPCHALLENGERMATCH-26APR28WAWOFN-WAW,39,,,NO,,ATP_CHALL_underdog_35-39,,N/A,ATP_CHALL_underdog_35-39
KXATPCHALLENGERMATCH-26APR28SVRGIL-GIL,37,,,NO,,ATP_CHALL_underdog_35-39,,N/A,ATP_CHALL_underdog_35-39
KXWTACHALLENGERMATCH-26APR28WANQUE-WAN,57,,,NO,,WTA_CHALL_leader_55-59,,N/A,WTA_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR28FORBAR-FOR,47,,,NO,,ATP_CHALL_underdog_45-49,,N/A,ATP_CHALL_underdog_45-49
KXWTACHALLENGERMATCH-26APR28TOMSOR-TOM,56,,,NO,,WTA_CHALL_leader_55-59,,N/A,WTA_CHALL_leader_55-59
KXATPCHALLENGERMATCH-26APR28ECHGAR-GAR,82,,,NO,,ATP_CHALL_leader_80-84,,N/A,ATP_CHALL_leader_80-84
KXATPMATCH-26APR28CERBLO-BLO,31,,,NO,,ATP_MAIN_underdog_30-34,,N/A,ATP_MAIN_underdog_30-34
KXATPCHALLENGERMATCH-26APR28FENMMO-MMO,79,,,NO,,ATP_CHALL_leader_75-79,,N/A,ATP_CHALL_leader_75-79
KXATPCHALLENGERMATCH-26APR28VISLAL-LAL,22,,,NO,,ATP_CHALL_underdog_20-24,,N/A,ATP_CHALL_underdog_20-24
KXATPCHALLENGERMATCH-26APR28GIUBIT-GIU,68,,,NO,,ATP_CHALL_leader_65-69,,N/A,ATP_CHALL_leader_65-69
KXATPCHALLENGERMATCH-26APR28STRBAX-STR,45,,,NO,,ATP_CHALL_underdog_45-49,,N/A,ATP_CHALL_underdog_45-49
KXATPMATCH-26APR28MENZVE-MEN,33,,,NO,,ATP_MAIN_underdog_30-34,,N/A,ATP_MAIN_underdog_30-34
KXATPCHALLENGERMATCH-26APR28GEEXIL-XIL,41,,,NO,,ATP_CHALL_underdog_40-44,,N/A,ATP_CHALL_underdog_40-44
