ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1783923806,2026-07-13 02:23:26 AM,22,4174,23,1839
1783923806,2026-07-13 02:23:26 AM,22,4974,23,1839
1783923920,2026-07-13 02:25:20 AM,22,4974,23,1838
1783923928,2026-07-13 02:25:28 AM,22,2589,23,1838
1783923928,2026-07-13 02:25:28 AM,22,3389,23,1838
1783923990,2026-07-13 02:26:30 AM,22,4173,23,1838
1783923990,2026-07-13 02:26:30 AM,22,4973,23,1838
1783924030,2026-07-13 02:27:10 AM,22,7472,23,1838
1783924035,2026-07-13 02:27:15 AM,22,7489,23,1831
1783924035,2026-07-13 02:27:15 AM,22,7489,23,1838
1783924038,2026-07-13 02:27:18 AM,22,7489,23,1831
1783924071,2026-07-13 02:27:51 AM,22,7472,23,1831
1783924072,2026-07-13 02:27:52 AM,22,4973,23,1831
1783924072,2026-07-13 02:27:52 AM,22,7472,23,1831
1783924073,2026-07-13 02:27:53 AM,22,4973,23,1831
1783924092,2026-07-13 02:28:12 AM,22,7472,23,1831
1783924113,2026-07-13 02:28:33 AM,22,5888,23,1831
1783924117,2026-07-13 02:28:37 AM,22,7472,23,1831
1783924240,2026-07-13 02:30:40 AM,22,5888,23,1831
1783924244,2026-07-13 02:30:44 AM,22,7472,23,1831
1783924283,2026-07-13 02:31:23 AM,22,4973,23,1831
1783924283,2026-07-13 02:31:23 AM,22,7472,23,1831
1783924366,2026-07-13 02:32:46 AM,22,5888,23,1831
1783924371,2026-07-13 02:32:51 AM,22,7471,23,1831
1783924457,2026-07-13 02:34:17 AM,22,7471,23,1838
1783924492,2026-07-13 02:34:52 AM,22,5088,23,1838
1783924492,2026-07-13 02:34:52 AM,22,5888,23,1838
1783924496,2026-07-13 02:34:56 AM,22,6672,23,1838
1783924496,2026-07-13 02:34:56 AM,22,7472,23,1838
1783924618,2026-07-13 02:36:58 AM,22,5088,23,1838
1783924618,2026-07-13 02:36:58 AM,22,5888,23,1838
1783924623,2026-07-13 02:37:03 AM,22,6672,23,1838
1783924623,2026-07-13 02:37:03 AM,22,7472,23,1838
1783924744,2026-07-13 02:39:04 AM,22,5088,23,1838
1783924744,2026-07-13 02:39:04 AM,22,5888,23,1838
1783924748,2026-07-13 02:39:08 AM,22,6672,23,1838
1783924748,2026-07-13 02:39:08 AM,22,7472,23,1838
1783924873,2026-07-13 02:41:13 AM,22,5088,23,1838
1783924873,2026-07-13 02:41:13 AM,22,5888,23,1838
1783924897,2026-07-13 02:41:37 AM,22,6672,23,1838
1783924897,2026-07-13 02:41:37 AM,22,7472,23,1838
1783925021,2026-07-13 02:43:41 AM,22,5088,23,1838
1783925021,2026-07-13 02:43:41 AM,22,5888,23,1838
1783925026,2026-07-13 02:43:46 AM,22,6671,23,1838
1783925026,2026-07-13 02:43:46 AM,22,7471,23,1838
1783925149,2026-07-13 02:45:49 AM,22,5088,23,1838
