category,c,regime,placement_minute,bid_offset_cents,expected_fill_rate,expected_net_roi_pct,fill_src
WTA_MAIN,72,r65_74,60,1,0.9018,7.0473,percell_dip
WTA_MAIN,73,r65_74,60,1,0.8894,7.0473,percell_dip
WTA_MAIN,74,r65_74,60,1,0.8733,7.0473,percell_dip
WTA_MAIN,75,r75_84,180,10,0.3219,6.0464,percell_dip
WTA_MAIN,76,r75_84,180,10,0.3114,6.0464,percell_dip
WTA_MAIN,77,r75_84,180,10,0.3194,6.0464,percell_dip
WTA_MAIN,78,r75_84,180,10,0.3184,6.0464,percell_dip
WTA_MAIN,79,r75_84,180,10,0.2993,6.0464,percell_dip
WTA_MAIN,80,r75_84,180,10,0.3185,6.0464,percell_dip
WTA_MAIN,81,r75_84,180,10,0.3334,6.0464,percell_dip
WTA_MAIN,82,r75_84,180,10,0.3582,6.0464,percell_dip
WTA_MAIN,83,r75_84,180,10,0.3761,6.0464,percell_dip
WTA_MAIN,84,r75_84,180,10,0.4262,6.0464,percell_dip
WTA_MAIN,85,r85_94,120,1,0.9374,4.7271,percell_dip
WTA_MAIN,86,r85_94,120,1,0.9284,4.7271,percell_dip
WTA_MAIN,87,r85_94,120,1,0.9163,4.7271,percell_dip
WTA_MAIN,88,r85_94,120,1,0.9173,4.7271,percell_dip
WTA_MAIN,89,r85_94,120,1,0.9112,4.7271,percell_dip
WTA_MAIN,90,r85_94,120,1,0.9012,4.7271,percell_dip
WTA_MAIN,91,r85_94,120,1,0.8857,4.7271,percell_dip
WTA_MAIN,92,r85_94,120,1,0.9011,4.7271,percell_dip
WTA_MAIN,93,r85_94,120,1,0.9086,4.7271,percell_dip
WTA_MAIN,94,r85_94,120,1,0.8995,4.7271,percell_dip
ATP_CHALL,5,r05_14,240,3,0.2946,82.0944,percell_dip
ATP_CHALL,6,r05_14,240,3,0.3306,82.0944,percell_dip
ATP_CHALL,7,r05_14,240,3,0.3337,82.0944,percell_dip
ATP_CHALL,8,r05_14,240,3,0.3671,82.0944,percell_dip
ATP_CHALL,9,r05_14,240,3,0.3808,82.0944,percell_dip
ATP_CHALL,10,r05_14,240,3,0.4183,82.0944,percell_dip
ATP_CHALL,11,r05_14,240,3,0.4203,82.0944,percell_dip
ATP_CHALL,12,r05_14,240,3,0.4386,82.0944,percell_dip
ATP_CHALL,13,r05_14,240,3,0.4345,82.0944,percell_dip
ATP_CHALL,14,r05_14,240,3,0.4263,82.0944,percell_dip
ATP_CHALL,15,r15_24,240,2,0.5587,45.5096,percell_dip
ATP_CHALL,16,r15_24,240,2,0.5709,45.5096,percell_dip
ATP_CHALL,17,r15_24,240,2,0.5649,45.5096,percell_dip
ATP_CHALL,18,r15_24,240,2,0.5601,45.5096,percell_dip
ATP_CHALL,19,r15_24,240,2,0.5633,45.5096,percell_dip
ATP_CHALL,20,r15_24,240,2,0.5912,45.5096,percell_dip
ATP_CHALL,21,r15_24,240,2,0.6006,45.5096,percell_dip
ATP_CHALL,22,r15_24,240,2,0.5922,45.5096,percell_dip
ATP_CHALL,23,r15_24,240,2,0.5758,45.5096,percell_dip
ATP_CHALL,24,r15_24,240,2,0.5836,45.5096,percell_dip
ATP_CHALL,25,r25_34,180,2,0.5896,17.5267,percell_dip
ATP_CHALL,26,r25_34,180,2,0.5929,17.5267,percell_dip
ATP_CHALL,27,r25_34,180,2,0.5548,17.5267,percell_dip
ATP_CHALL,28,r25_34,180,2,0.5629,17.5267,percell_dip
ATP_CHALL,29,r25_34,180,2,0.5745,17.5267,percell_dip
ATP_CHALL,30,r25_34,180,2,0.5843,17.5267,percell_dip
ATP_CHALL,31,r25_34,180,2,0.5763,17.5267,percell_dip
