category,c,regime,placement_minute,bid_offset_cents,prev_offset,envelope_off60,expected_fill_rate,expected_net_roi_pct,fill_src
WTA_MAIN,22,r15_24,180,1,1,3,0.581,42.1414,conservative
WTA_MAIN,23,r15_24,180,1,1,3,0.586,42.1414,conservative
WTA_MAIN,24,r15_24,180,1,1,3,0.586,42.1414,conservative
WTA_MAIN,25,r25_34,240,1,1,3,0.598,33.5019,conservative
WTA_MAIN,26,r25_34,240,1,1,3,0.596,33.5019,conservative
WTA_MAIN,27,r25_34,240,1,1,3,0.599,33.5019,conservative
WTA_MAIN,28,r25_34,240,1,1,3,0.593,33.5019,conservative
WTA_MAIN,29,r25_34,240,1,1,3,0.59,33.5019,conservative
WTA_MAIN,30,r25_34,240,1,1,3,0.596,33.5019,conservative
WTA_MAIN,31,r25_34,240,3,1,3,0.508,33.5019,conservative
WTA_MAIN,32,r25_34,240,1,1,3,0.589,33.5019,conservative
WTA_MAIN,33,r25_34,240,1,1,3,0.596,33.5019,conservative
WTA_MAIN,34,r25_34,240,1,1,3,0.584,33.5019,conservative
WTA_MAIN,35,r35_44,180,1,2,2,0.577,12.5439,conservative
WTA_MAIN,36,r35_44,180,1,2,2,0.588,12.5439,conservative
WTA_MAIN,37,r35_44,180,1,2,2,0.58,12.5439,conservative
WTA_MAIN,38,r35_44,180,1,2,2,0.581,12.5439,conservative
WTA_MAIN,39,r35_44,180,2,2,2,0.521,12.5439,conservative
WTA_MAIN,40,r35_44,180,2,2,2,0.528,12.5439,conservative
WTA_MAIN,41,r35_44,180,1,2,2,0.596,12.5439,conservative
WTA_MAIN,42,r35_44,180,1,2,3,0.608,12.5439,conservative
WTA_MAIN,43,r35_44,180,2,2,3,0.526,12.5439,conservative
WTA_MAIN,44,r35_44,180,2,2,3,0.518,12.5439,conservative
WTA_MAIN,45,r45_54,60,2,1,3,0.51,12.9992,conservative
WTA_MAIN,46,r45_54,60,2,1,3,0.512,12.9992,conservative
