ticker_idx,cell,regime,anchor,offset,match_start_ts
1576933,34,r25_34,34,2,1769544480.0
1551890,50,r45_54,50,2,1769544840.0
1551667,55,r55_64,55,4,1769544840.0
1599867,40,r35_44,40,5,1769544960.0
1600423,64,r55_64,64,1,1769544960.0
1564188,32,r25_34,32,2,1769546160.0
1592703,27,r25_34,27,2,1769546280.0
1593099,75,r75_84,75,1,1769546280.0
1587804,56,r55_64,56,2,1769546880.0
1557557,67,r65_74,67,2,1769551380.0
1557152,38,r35_44,38,3,1769551380.0
1556624,60,r55_64,60,2,1769552340.0
1556095,44,r35_44,44,4,1769552340.0
1595217,46,r45_54,46,2,1769553120.0
1580156,26,r25_34,26,2,1769560920.0
1580648,75,r75_84,75,2,1769560920.0
1577861,38,r35_44,38,4,1769561040.0
1560083,50,r45_54,50,4,1769562180.0
1560602,52,r45_54,52,1,1769562180.0
1573375,44,r35_44,44,2,1769569980.0
1604714,20,r15_24,20,3,1769573760.0
1554072,63,r55_64,63,1,1769575200.0
1554738,40,r35_44,40,2,1769575200.0
1617060,77,r75_84,77,2,1769587920.0
1647868,44,r35_44,44,2,1769588040.0
1647403,60,r55_64,60,3,1769588040.0
1648336,76,r75_84,76,4,1769588400.0
1648505,85,r85_94,85,3,1769588400.0
1632006,83,r75_84,83,1,1769591700.0
1606446,80,r75_84,80,3,1769592120.0
1636623,42,r35_44,42,2,1769594520.0
1636051,62,r55_64,62,4,1769594520.0
1642313,76,r75_84,76,1,1769595120.0
1641891,28,r25_34,28,2,1769595120.0
1622880,17,r15_24,17,2,1769595360.0
1608920,75,r75_84,75,2,1769599200.0
1609368,27,r25_34,27,2,1769599200.0
1639865,59,r55_64,59,2,1769601300.0
1640335,46,r45_54,46,4,1769601300.0
1635166,56,r55_64,56,1,1769601360.0
1635602,45,r45_54,45,1,1769601360.0
1637688,32,r25_34,32,2,1769602380.0
1637182,71,r65_74,71,1,1769602380.0
1631550,71,r65_74,71,2,1769604180.0
1630089,31,r25_34,31,1,1769604180.0
1631090,33,r25_34,33,2,1769604180.0
1621598,64,r55_64,64,2,1769604300.0
1621729,38,r35_44,38,2,1769604300.0
1621085,53,r45_54,53,2,1769605800.0
1620556,46,r45_54,46,1,1769605800.0
1620229,84,r75_84,84,3,1769608620.0
1620386,81,r75_84,81,3,1769608620.0
1613453,48,r45_54,48,1,1769609160.0
1649082,85,r85_94,85,2,1769609460.0
1648673,18,r15_24,18,1,1769609460.0
1638182,60,r55_64,60,1,1769609880.0
1638472,43,r35_44,43,2,1769609880.0
1612356,27,r25_34,27,1,1769610660.0
1611816,74,r65_74,74,1,1769610660.0
1632824,25,r25_34,25,1,1769611740.0
1633218,78,r75_84,78,1,1769611740.0
1622379,40,r35_44,40,2,1769611920.0
1621858,62,r55_64,62,2,1769611920.0
1619137,36,r35_44,36,2,1769612340.0
1619683,69,r65_74,69,2,1769612340.0
1613171,31,r25_34,31,2,1769615160.0
1612891,69,r65_74,69,2,1769615160.0
1626306,48,r45_54,48,5,1769620080.0
1624871,85,r85_94,85,3,1769620800.0
1625224,16,r15_24,16,2,1769620800.0
1627962,85,r85_94,85,1,1769624040.0
1628335,19,r15_24,19,1,1769624040.0
1644473,46,r45_54,46,1,1769624100.0
1629214,64,r55_64,64,2,1769624520.0
1628699,39,r35_44,39,1,1769624520.0
1629937,26,r25_34,26,2,1769625420.0
1642765,44,r35_44,44,2,1769626140.0
1643116,60,r55_64,60,2,1769626140.0
1633843,32,r25_34,32,2,1769628120.0
1633627,78,r75_84,78,5,1769628120.0
1611287,69,r65_74,69,3,1769628840.0
1610751,34,r25_34,34,3,1769628840.0
1614287,51,r45_54,51,1,1769629980.0
1614720,50,r45_54,50,1,1769629980.0
1650099,6,r05_14,6,2,1769631720.0
1618716,52,r45_54,52,2,1769632320.0
1618299,52,r45_54,52,3,1769632320.0
1643961,56,r55_64,56,2,1769633100.0
1643474,45,r45_54,45,2,1769633100.0
1626803,94,r85_94,94,1,1769636460.0
1627430,8,r05_14,8,2,1769636460.0
1646197,15,r15_24,15,3,1769638620.0
1640799,68,r65_74,68,3,1769640600.0
1641339,38,r35_44,38,2,1769640600.0
1638762,47,r45_54,47,4,1769642940.0
1646809,20,r15_24,20,2,1769644020.0
1647093,84,r75_84,84,3,1769644020.0
1615643,32,r25_34,32,2,1769649480.0
1607383,46,r45_54,46,2,1769658360.0
1609810,34,r25_34,34,2,1769659260.0
1608415,70,r65_74,70,3,1769662500.0
1675966,23,r15_24,23,5,1769680860.0
1676166,80,r75_84,80,1,1769680860.0
1660731,73,r65_74,73,1,1769680920.0
1661087,29,r25_34,29,1,1769680920.0
1660308,43,r35_44,43,2,1769682780.0
1668695,63,r55_64,63,1,1769685120.0
1668254,37,r35_44,37,2,1769685120.0
1662967,44,r35_44,44,2,1769686260.0
