c,final_target,cur_offset,incr_ev_c_per_leg,n,gated_to_current,D@T-240,D@T-180,D@T-120,D@T-90,D@T-60,D@T-40,D@T-30,D@T-20,D@T-10,D@T-5
71,7,7,0.0,5,1,7,7,7,7,7,5,4,3,2,1
72,7,7,0.0,16,1,7,7,7,7,7,5,4,3,2,1
73,7,7,0.0,7,1,7,7,7,7,7,5,4,3,2,1
74,7,7,0.0,21,1,7,7,7,7,7,5,4,3,2,1
75,8,12,0.0,9,0,8,8,8,8,8,5,4,3,2,1
76,9,12,0.0,18,0,9,9,9,9,9,6,5,3,2,1
77,10,12,0.0,8,0,10,10,10,10,10,7,5,3,2,1
78,11,12,0.0,16,0,11,11,11,11,11,7,6,4,2,1
79,12,12,0.0,7,1,12,12,12,12,12,8,6,4,2,1
80,12,12,0.0,9,1,12,12,12,12,12,8,6,4,2,1
81,12,12,0.0,3,1,12,12,12,12,12,8,6,4,2,1
82,12,12,0.0,11,1,12,12,12,12,12,8,6,4,2,1
83,12,12,0.0,2,1,12,12,12,12,12,8,6,4,2,1
84,12,12,0.0,9,1,12,12,12,12,12,8,6,4,2,1
85,11,2,0.0,1,0,11,11,11,11,11,7,6,4,2,1
86,10,2,0.0,6,0,10,10,10,10,10,7,5,3,2,1
87,9,2,0.0,4,0,9,9,9,9,9,6,5,3,2,1
88,8,2,0.0,6,0,8,8,8,8,8,5,4,3,2,1
89,7,2,0.0,2,0,7,7,7,7,7,5,4,3,2,1
90,6,2,0.0,6,0,6,6,6,6,6,4,3,2,1,1
91,5,2,0.0,1,0,5,5,5,5,5,4,3,2,1,1
92,4,2,0.0,4,0,4,4,4,4,4,3,2,2,1,1
93,3,2,0.0,3,0,3,3,3,3,3,2,2,2,1,1
94,2,2,0.667,21,0,2,2,2,2,2,2,1,1,1,1
