cell,n_matches,+1c,+2c,+3c,+4c,+5c,+6c,+7c,+8c,+9c,+10c,+11c,+12c,+13c,+14c,+15c,+16c,+17c,+18c,+19c,+20c,+21c,+22c,+23c,+24c,+25c,+26c,+27c,+28c,+29c,+30c,+31c,+32c,+33c,+34c,+35c,+36c,+37c,+38c,+39c,+40c,+41c,+42c,+43c,+44c,+45c,+46c,+47c,+48c,+49c,+50c,+51c,+52c,+53c,+54c,+55c,+56c,+57c,+58c,+59c,+60c,+61c,+62c,+63c,+64c,+65c,+66c,+67c,+68c,+69c,+70c
ATP_CHALL_underdog_35-39,24,0.09,0.17,0.26,0.34,0.43,0.51,0.60,0.36,0.44,0.52,0.60,0.50,0.40,0.28,0.16,0.04,0.10,-0.24,-0.18,-0.13,-0.49,-0.45,-0.40,-0.36,-0.31,-0.26,-0.22,-0.40,-0.36,-0.32,-0.28,-0.23,-0.44,-0.40,-0.62,-0.59,-0.55,-0.78,-0.75,-0.72,-0.68,-0.94,-0.91,-0.88,-0.85,-0.83,-0.80,-0.77,-0.74,-0.71,-0.68,-0.97,-0.95,-0.92,-0.90,-0.85,-0.83,-0.81,-0.79,-1.12,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44
ATP_CHALL_underdog_40-44,13,0.05,0.09,0.14,0.19,0.23,0.10,0.14,0.19,0.23,0.27,0.12,0.16,0.20,0.03,0.07,0.11,-0.07,-0.04,-0.01,0.02,0.05,0.09,0.12,-0.09,-0.06,-0.27,-0.25,-0.22,-0.20,-0.17,-0.15,-0.12,-0.10,-0.07,-0.32,-0.30,-0.28,-0.26,-0.23,-0.21,-0.19,-0.17,-0.15,-0.13,-0.11,-0.08,-0.38,-0.36,-0.34,-0.33,-0.31,-0.29,-0.26,-0.24,-0.23,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57
ATP_MAIN_leader_60-64,28,-0.57,-0.71,-0.62,-0.54,-0.45,-0.37,-0.28,-0.20,-0.11,-0.28,-0.20,-0.12,-0.04,-0.22,-0.42,-0.34,-0.27,-0.19,-0.41,-0.34,-0.27,-0.20,-0.43,-0.68,-0.61,-0.55,-0.49,-0.42,-0.36,-0.29,-0.23,-0.16,-0.42,-0.37,-0.98,-1.31,-1.28,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
ATP_MAIN_leader_65-69,18,-0.42,-0.36,-0.30,-0.25,-0.19,-0.65,-0.86,-0.81,-1.04,-1.00,-1.23,-1.19,-1.15,-1.11,-1.07,-1.03,-1.29,-1.25,-1.21,-1.18,-1.14,-1.11,-1.07,-1.36,-1.65,-1.62,-1.60,-1.57,-1.53,-1.50,-1.47,-1.46,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81,-1.81
ATP_MAIN_leader_70-74,9,0.03,0.06,0.10,0.13,0.16,-0.08,-0.05,-0.02,0.01,0.04,0.07,0.09,0.12,0.15,0.18,0.21,-0.07,-0.05,-0.02,0.00,0.03,0.05,0.08,0.10,-0.22,-0.19,-0.53,-0.85,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
ATP_MAIN_leader_75-79,9,0.03,0.06,-0.18,-0.16,-0.13,-0.10,-0.07,-0.04,-0.01,0.02,0.04,0.07,0.10,0.13,0.16,0.19,0.22,0.24,0.27,0.30,0.33,0.36,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
ATP_MAIN_underdog_20-24,11,-0.04,-0.01,-0.06,-0.03,0.00,0.03,0.06,0.10,0.13,0.16,0.19,0.23,0.26,0.29,0.32,0.22,0.10,0.13,0.15,0.18,0.20,0.23,0.25,0.11,0.13,-0.02,0.00,0.02,-0.15,-0.14,-0.31,-0.30,-0.29,-0.28,-0.27,-0.26,-0.25,-0.24,-0.23,-0.21,-0.20,-0.19,-0.18,-0.17,-0.16,-0.15,-0.14,-0.13,-0.12,-0.11,-0.10,-0.09,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.10,0.11
ATP_MAIN_underdog_25-29,8,0.03,0.06,0.09,0.11,0.14,0.06,0.08,-0.01,0.01,0.03,-0.21,-0.20,-0.18,-0.17,-0.15,-0.14,-0.12,-0.27,-0.26,-0.24,-0.23,-0.22,-0.21,-0.20,-0.19,-0.18,-0.17,-0.16,-0.15,-0.14,-0.13,-0.12,-0.11,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.03,-0.26,-0.25,-0.24,-0.24,-0.23,-0.48,-0.48,-0.48,-0.47,-0.47,-0.47,-0.46,-0.46,-0.46,-0.45,-0.45,-0.44,-0.44,-0.44,-0.43,-0.43,-0.43,-0.42,-0.42,-0.42,-0.41,-0.41,-0.41,-0.40,-0.40
ATP_MAIN_underdog_30-34,11,0.04,-0.16,-0.13,-0.10,-0.06,-0.03,0.00,0.03,-0.08,-0.06,-0.03,0.00,0.03,0.06,0.09,-0.05,-0.03,-0.00,-0.16,-0.14,-0.12,-0.09,-0.07,-0.05,-0.24,-0.22,-0.41,-0.39,-0.38,-0.37,-0.35,-0.34,-0.32,-0.31,-0.29,-0.28,-0.27,-0.25,-0.24,-0.22,-0.21,-0.19,-0.18,-0.17,-0.15,-0.14,-0.12,-0.11,-0.09,-0.08,-0.07,-0.05,-0.04,-0.02,-0.01,0.01,0.02,0.03,0.05,0.06,0.10,0.11,0.12,0.13,-0.21,-0.20,-0.19,-0.19,-0.19,-0.19
ATP_MAIN_underdog_35-39,16,0.06,-0.03,0.02,0.08,0.13,0.18,0.24,0.29,0.34,0.23,0.11,0.15,0.20,0.06,0.10,0.14,0.19,0.23,0.27,0.31,0.36,0.40,0.44,0.49,0.53,0.35,0.39,0.43,0.47,0.51,0.54,0.58,0.12,0.15,0.18,0.22,-0.01,0.01,0.04,0.07,0.10,-0.16,-0.13,-0.40,-0.38,-0.35,-0.33,-0.62,-0.60,-0.89,-0.88,-0.86,-0.85,-0.83,-0.82,-0.80,-0.79,-0.78,-0.76,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
ATP_MAIN_underdog_40-44,9,0.03,0.06,0.10,0.13,0.16,0.19,0.23,0.26,0.12,-0.04,-0.01,0.01,0.04,-0.13,-0.11,-0.09,-0.07,-0.05,-0.24,-0.22,-0.20,-0.18,-0.16,-0.15,-0.13,-0.11,-0.09,-0.07,-0.06,-0.04,-0.02,-0.00,0.01,0.03,0.05,0.07,0.09,0.10,0.12,0.14,0.16,0.18,0.19,0.21,0.23,0.25,0.26,0.28,0.30,0.32,0.34,0.35,0.37,0.39,0.41,0.42,0.09,-0.25,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59
WTA_MAIN_leader_55-59,6,-0.18,-0.16,-0.14,-0.34,-0.33,-0.31,-0.30,-0.28,-0.27,-0.25,-0.24,-0.23,-0.21,-0.20,-0.43,-0.42,-0.41,-0.40,-0.39,-0.38,-0.37,-0.36,-0.35,-0.34,-0.33,-0.32,-0.31,-0.29,-0.28,-0.27,-0.26,-0.25,-0.24,-0.23,-0.22,-0.21,-0.20,-0.19,-0.18,-0.17,-0.16,-0.14,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
WTA_MAIN_leader_60-64,7,0.02,-0.41,-0.39,-0.38,-0.59,-0.58,-0.57,-0.55,-0.54,-0.52,-0.51,-0.49,-0.48,-0.47,-0.45,-0.44,-0.42,-0.41,-0.39,-0.38,-0.37,-0.35,-0.34,-0.32,-0.31,-0.29,-0.28,-0.27,-0.25,-0.24,-0.22,-0.21,-0.19,-0.18,-0.16,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15
WTA_MAIN_leader_65-69,15,-0.43,-0.87,-0.83,-0.79,-0.75,-0.71,-0.67,-0.64,-0.60,-0.56,-0.52,-0.48,-0.44,-0.40,-0.36,-0.32,-0.28,-0.55,-0.51,-0.48,-0.44,-0.41,-0.37,-0.65,-0.62,-0.59,-0.89,-0.86,-0.83,-0.81,-0.77,-0.74,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73
WTA_MAIN_leader_70-74,11,-0.22,-0.18,-0.15,-0.11,-0.08,-0.04,-0.01,0.03,0.07,0.10,0.14,0.17,0.21,0.24,0.28,0.32,0.35,0.39,0.42,0.46,0.49,0.53,0.57,0.62,0.65,0.69,0.37,0.04,0.05,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30,-0.30
WTA_MAIN_leader_80-84,5,0.02,-0.26,-0.25,-0.23,-0.22,-0.21,-0.19,-0.18,-0.16,-0.15,-0.13,-0.12,-0.11,-0.09,-0.08,-0.06,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40,-0.40
WTA_MAIN_leader_85-89,5,0.06,0.08,0.09,0.11,0.12,0.13,0.15,0.16,0.18,0.19,0.21,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
WTA_MAIN_underdog_15-19,9,-0.03,0.00,0.03,0.06,0.01,0.03,0.06,0.08,0.11,0.13,0.06,-0.01,0.00,0.02,0.04,0.06,-0.05,-0.03,-0.02,-0.01,-0.13,-0.12,-0.11,-0.10,-0.09,-0.08,-0.07,-0.06,-0.05,-0.04,-0.02,-0.01,-0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39
WTA_MAIN_underdog_20-24,8,0.03,0.06,-0.10,-0.17,-0.15,-0.13,-0.12,-0.10,-0.20,-0.30,-0.29,-0.40,-0.39,-0.39,-0.38,-0.37,-0.36,-0.36,-0.35,-0.34,-0.34,-0.33,-0.32,-0.31,-0.31,-0.47,-0.47,-0.47,-0.46,-0.46,-0.46,-0.45,-0.45,-0.44,-0.44,-0.44,-0.43,-0.43,-0.43,-0.42,-0.42,-0.42,-0.41,-0.41,-0.41,-0.40,-0.40,-0.39,-0.39,-0.39,-0.38,-0.38,-0.38,-0.37,-0.37,-0.37,-0.36,-0.36,-0.36,-0.35,-0.35,-0.34,-0.34,-0.34,-0.33,-0.33,-0.33,-0.32,-0.32,-0.32
WTA_MAIN_underdog_25-29,9,-0.06,-0.03,-0.01,0.02,0.05,0.08,0.11,0.14,0.17,0.19,0.22,0.25,0.28,0.31,0.34,0.37,0.24,0.11,0.13,0.16,0.18,0.20,0.22,0.24,0.26,0.28,0.31,0.33,0.15,0.17,0.19,0.21,0.23,0.24,0.26,0.28,0.30,0.31,0.33,0.35,0.37,0.39,0.16,-0.07,-0.06,-0.05,-0.04,-0.03,-0.02,-0.28,-0.27,-0.27,-0.26,-0.25,-0.24,-0.24,-0.23,-0.22,-0.22,-0.21,-0.20,-0.19,-0.19,-0.18,-0.17,-0.17,-0.16,-0.15,-0.14,-0.14
WTA_MAIN_underdog_30-34,10,-0.08,-0.17,-0.14,-0.24,-0.21,-0.32,-0.30,-0.28,-0.26,-0.24,-0.21,-0.51,-0.49,-0.48,-0.46,-0.62,-0.61,-0.59,-0.58,-0.57,-0.56,-0.55,-0.54,-0.53,-0.52,-0.51,-0.50,-0.49,-0.48,-0.47,-0.46,-0.44,-0.43,-0.42,-0.41,-0.64,-0.64,-0.63,-0.62,-0.61,-0.61,-0.60,-0.59,-0.59,-0.58,-0.57,-0.56,-0.56,-0.55,-0.54,-0.54,-0.53,-0.52,-0.51,-0.51,-0.50,-0.49,-0.49,-0.48,-0.47,-0.46,-0.46,-0.45,-0.44,-0.43,-0.42,-0.42,-0.42,-0.42,-0.42
WTA_MAIN_underdog_35-39,9,-0.23,-0.20,-0.18,-0.15,-0.13,-0.10,-0.08,-0.05,-0.03,-0.00,0.02,0.05,0.07,0.10,0.12,0.15,0.17,0.20,0.22,0.25,0.27,0.30,0.32,0.35,0.37,0.40,0.42,0.45,0.47,0.50,0.52,0.55,0.57,0.10,-0.13,-0.12,-0.10,-0.09,-0.07,-0.06,-0.04,-0.03,-0.30,-0.29,-0.28,-0.27,-0.26,-0.25,-0.24,-0.23,-0.21,-0.20,-0.19,-0.18,-0.17,-0.16,-0.15,-0.14,-0.13,-0.12,-0.11,-0.10,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43
WTA_MAIN_underdog_40-44,13,-0.42,-0.53,-0.50,-0.64,-0.61,-0.58,-0.55,-0.52,-0.49,-0.47,-0.44,-0.41,-0.38,-0.35,-0.32,-0.29,-0.27,-0.24,-0.21,-0.18,-0.15,-0.12,-0.09,-0.07,-0.04,-0.01,0.02,0.05,0.08,0.11,0.13,0.16,0.19,-0.06,-0.03,-0.01,0.02,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.22,0.24,0.27,0.29,0.02,0.04,0.05,0.07,0.09,0.11,0.13,0.14,0.15,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
