fill_ts_ET,player,category,fill_cent,source,play_type,reference_source,real_start_source,scheduled_ET,real_ET,bucket,event
06:11:25,Chak Lam Coleman Wong,ATP_MAIN,58,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22WONGOJ
06:11:59,DOU?,ATP_MAIN,26,staircase,v4_reconciled,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CHIDOU
06:12:52,Ethan Quinn,ATP_MAIN,67,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22QUIROY
06:20:37,Corentin Moutet,ATP_MAIN,56,staircase,v4_reconciled,staircase,scheduled_fallback,06:30:00,,PREMARKET,KXATPMATCH-26JUN22MOUFUC
06:23:14,Michael Zheng,ATP_MAIN,68,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22SQUZHE
06:28:12,Roman Safiullin,ATP_MAIN,66,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22SAFMCC
06:28:37,MAN?,ATP_MAIN,33,engagement,v4_engagement_join,engagement_join,latch,08:00:00,08:21:07,PREMARKET,KXATPMATCH-26JUN22MANMAY
06:35:44,CHI?,ATP_MAIN,71,staircase,v4_resting_maker,staircase,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CHIDOU
06:44:05,Alex Barrena,ATP_MAIN,20,staircase,v4_reconciled,staircase,latch,07:30:00,08:29:01,PREMARKET,KXATPMATCH-26JUN22SKABAR
07:01:25,David Goffin,ATP_MAIN,57,engagement,v4_engagement_join,engagement_join,scheduled_fallback,07:30:00,,PREMARKET,KXATPMATCH-26JUN22GUEGOF
07:13:32,Sinja Kraus,WTA_MAIN,28,staircase,v4_resting_maker,staircase,scheduled_fallback,07:00:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22KRAKAL
07:15:10,Remy Bertola,ATP_MAIN,59,reconcile,v4_reconciled,engagement_join,scheduled_fallback,10:30:00,,PREMARKET,KXATPMATCH-26JUN22DRABER
07:15:10,SMI?,ATP_MAIN,81,reconcile,v4_reconciled,engagement_join,scheduled_fallback,06:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ANDSMI
07:15:55,SAI?,ATP_MAIN,13,staircase,v4_reconciled,staircase,scheduled_fallback,08:00:00,,PREMARKET,KXATPMATCH-26JUN22SAIKWON
07:21:52,KWON?,ATP_MAIN,85,engagement,v4_engagement_join,engagement_join,scheduled_fallback,08:00:00,,PREMARKET,KXATPMATCH-26JUN22SAIKWON
07:23:31,COM?,ATP_MAIN,67,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,PREMARKET,KXATPMATCH-26JUN22COMMOR
07:26:05,CRE?,ATP_CHALL,71,staircase,v4_resting_maker,staircase,latch,07:00:00,07:47:12,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22CRESAN
07:30:34,MOR?,ATP_MAIN,32,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22COMMOR
07:31:37,Antonia Ruzic,WTA_MAIN,58,staircase,v4_resting_maker,staircase,latch,07:30:00,07:46:13,CORRIDOR,KXWTAMATCH-26JUN22RUZMAR
07:31:56,Juan Pablo Ficovich,ATP_MAIN,36,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22SMIFIC
07:32:23,Alex Bolt,ATP_MAIN,53,fallback,v4_fallback_maker,engagement_join,latch,07:30:00,08:09:54,CORRIDOR,KXATPMATCH-26JUN22TARBOL
07:34:53,Keegan Smith,ATP_MAIN,62,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22SMIFIC
07:36:38,Nikoloz Basilashvili,ATP_MAIN,63,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BASYME
07:37:58,ZHO?,ATP_MAIN,57,engagement,v4_engagement_join,engagement_join,latch,09:00:00,09:27:24,PREMARKET,KXATPMATCH-26JUN22DENZHO
07:39:33,JAC?,ATP_MAIN,89,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BOSJAC
07:40:42,Gauthier Onclin,ATP_MAIN,86,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GIUONC
07:41:47,Andrea Guerrieri,ATP_MAIN,41,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GUEGOF
07:45:56,Lorenzo Giustino,ATP_MAIN,12,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22GIUONC
07:46:27,Alex Molcan,ATP_MAIN,44,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22MARMOL
07:46:33,Hamad Medjedovic,ATP_MAIN,73,reconcile,v4_reconciled,engagement_join,scheduled_fallback,10:00:00,,PREMARKET,KXATPMATCH-26JUN22KECMED
07:47:15,Yu Hsiou Hsu,ATP_MAIN,39,staircase,v4_resting_maker,staircase,latch,07:30:00,08:35:51,CORRIDOR,KXATPMATCH-26JUN22HSUSAK
07:47:47,Tristan Schoolkate,ATP_MAIN,64,staircase,v4_reconciled,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22MONSCH
07:48:28,BOS?,ATP_MAIN,10,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BOSJAC
07:49:47,Arthur Gea,ATP_MAIN,76,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BRAGEA
