category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,latch_diagnosis,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_CHALL,GUE?,26JUN22GUEGHE,,04:30:00,08:30:00,08:30:00,scheduled_fallback,B1_should_have_latched,54,57,3,54,57,57,3,,1,,55,58,3,55,58,58,3,,1,,55,57,2,55,57,57,2,,1,,5685,0,staircase:47->48->49->50->51->52->53,53
ATP_CHALL,HUE?,26JUN22HUEOLI,,07:00:00,11:00:00,11:00:00,scheduled_fallback,B1_should_have_latched,40,44,4,44,43,43,4,,-1,,53,65,12,53,64,64,12,,1,,60,60,0,60,60,60,0,,0,0.0,16,0,staircase:37->38->39->40->41->42->43,43
ATP_CHALL,OLI?,26JUN22HUEOLI,,07:00:00,11:00:00,11:00:00,scheduled_fallback,B1_should_have_latched,35,47,12,47,35,35,12,,-1,,57,79,22,57,77,77,22,,1,,,,,,,,,,NA,,0,0,engagement_join:32->39,
ATP_CHALL,LEI?,26JUN22LEITOS,,05:30:00,09:30:00,09:30:00,scheduled_fallback,B1_should_have_latched,63,64,1,63,64,64,1,,1,,67,67,0,67,67,67,0,,0,0.0,,,,,,,,,NA,,0,0,staircase:59->60->61->62,62
ATP_CHALL,TOS?,26JUN22LEITOS,,05:30:00,09:30:00,09:30:00,scheduled_fallback,B1_should_have_latched,32,35,3,32,35,35,3,,1,,36,37,1,37,36,36,1,,-1,,,,,,,,,,NA,,0,0,engagement_join:32->35,35
ATP_CHALL,MAR?,26JUN22MARRAD,,07:00:00,11:00:00,11:00:00,scheduled_fallback,B2_benign_no_start,38,40,2,39,38,38,2,,-1,,39,42,3,42,39,39,3,,-1,,,,,,,,,,NA,,0,0,,
ATP_CHALL,RAD?,26JUN22MARRAD,,07:00:00,11:00:00,11:00:00,scheduled_fallback,B2_benign_no_start,58,61,3,58,61,61,3,,1,,60,62,2,60,62,62,2,,1,,60,60,0,60,60,60,0,,0,0.0,1028,0,,
ATP_CHALL,BRO?,26JUN22MICBRO,,07:00:00,11:00:00,11:00:00,scheduled_fallback,B2_benign_no_start,7,29,22,29,9,9,22,,-1,,8,30,22,30,10,10,22,,-1,,7,29,22,29,10,10,22,,-1,,17225,9776,,
ATP_CHALL,MIC?,26JUN22MICBRO,,07:00:00,11:00:00,11:00:00,scheduled_fallback,B2_benign_no_start,69,92,23,69,89,89,23,,1,,70,93,23,70,90,90,23,,1,,70,93,23,70,91,91,23,,1,,33496,6464,,
ATP_CHALL,PAP?,26JUN22PAPSPE,,00:00:00,04:00:00,04:00:00,scheduled_fallback,B1_should_have_latched,79,82,3,79,82,82,3,,1,,82,83,1,83,83,83,1,,0,,83,83,0,83,83,83,0,,0,0.0,98,0,,79
ATP_CHALL,SPE?,26JUN22PAPSPE,,00:00:00,04:00:00,04:00:00,scheduled_fallback,B1_should_have_latched,17,18,1,17,17,17,1,,0,,18,20,2,19,20,20,2,,1,,17,19,2,19,19,19,2,,0,,591,57,,17
ATP_CHALL,BAS?,26JUN22PARBAS,,07:00:00,11:00:00,11:50:26,latch,latch,8,26,18,8,12,25,4,14,1,0.778,12,30,18,13,15,28,4,17,1,0.944,12,26,14,12,15,26,3,13,1,0.929,10459,103,engagement_join:8->12,
ATP_CHALL,PAR?,26JUN22PARBAS,,07:00:00,11:00:00,11:50:26,latch,latch,72,87,15,85,86,72,1,15,-1,1.0,73,90,17,89,88,74,3,16,-1,0.941,73,89,16,85,89,73,4,14,-1,0.875,176,2278,engagement_join:85->79->86->86->86,86
ATP_CHALL,POT?,26JUN22POTUES,,01:30:00,05:30:00,05:30:00,scheduled_fallback,B1_should_have_latched,74,75,1,74,74,74,1,,0,,76,77,1,76,77,77,1,,1,,77,77,0,77,77,77,0,,0,0.0,6,0,?:71->72->73,73
ATP_CHALL,UES?,26JUN22POTUES,,01:30:00,05:30:00,05:30:00,scheduled_fallback,B1_should_have_latched,24,26,2,25,26,26,2,,1,,26,28,2,26,27,27,2,,1,,,,,,,,,,NA,,0,0,?:26,26
ATP_CHALL,GIM?,26JUN22ROCGIM,,00:00:00,04:00:00,04:00:00,scheduled_fallback,B1_should_have_latched,16,16,0,16,16,16,0,,0,0.0,19,23,4,19,23,23,4,,1,,19,20,1,19,20,20,1,,1,,179,0,,16
ATP_CHALL,ROC?,26JUN22ROCGIM,,00:00:00,04:00:00,04:00:00,scheduled_fallback,B1_should_have_latched,81,82,1,81,81,81,1,,0,,85,87,2,85,87,87,2,,1,,85,86,1,85,86,86,1,,1,,187,0,,81
ATP_CHALL,SIM?,26JUN22SIMTOP,,03:00:00,07:00:00,08:08:04,latch,latch,39,43,4,40,40,40,1,4,0,1.0,40,44,4,41,41,41,0,4,0,1.0,39,42,3,41,41,41,0,3,0,1.0,1155,337,staircase:33->34->35->36->37->38->39,
ATP_CHALL,TOP?,26JUN22SIMTOP,,03:00:00,07:00:00,08:08:04,latch,latch,56,60,4,59,58,59,1,4,0,1.0,57,62,5,61,60,60,2,5,-1,1.0,57,61,4,61,60,58,2,4,-1,1.0,1032,844,staircase:54->55->56->57->58,58
ATP_CHALL,MON?,26JUN22SOTMON,,10:00:00,14:00:00,14:00:00,scheduled_fallback,B1_should_have_latched,14,15,1,14,15,15,1,,1,,16,17,1,17,16,16,1,,-1,,15,17,2,17,16,16,2,,-1,,22,1,engagement_join:14->15,15
ATP_CHALL,SOT?,26JUN22SOTMON,,10:00:00,14:00:00,14:00:00,scheduled_fallback,B1_should_have_latched,83,85,2,83,85,85,2,,1,,85,86,1,86,86,86,1,,0,,84,86,2,84,86,86,2,,1,,179,10,engagement_join:83->85,85
ATP_CHALL,KRU?,26JUN22TOBKRU,,03:00:00,07:00:00,07:00:00,scheduled_fallback,B1_should_have_latched,62,65,3,62,65,65,3,,1,,64,66,2,64,66,66,2,,1,,64,66,2,64,66,66,2,,1,,14212,50,staircase:57->58->59->60->61,61
ATP_CHALL,TOB?,26JUN22TOBKRU,,03:00:00,07:00:00,07:00:00,scheduled_fallback,B1_should_have_latched,35,36,1,36,35,35,1,,-1,,36,38,2,38,36,36,2,,-1,,,,,,,,,,NA,,0,0,staircase:30->31->32->33->34->35,35
ATP_CHALL,HER?,26JUN22TORHER,,10:00:00,14:00:00,14:00:00,scheduled_fallback,B1_should_have_latched,17,23,6,23,18,18,6,,-1,,19,25,6,24,19,19,6,,-1,,19,24,5,24,19,19,5,,-1,,645,167,engagement_join:23,23
ATP_CHALL,TOR?,26JUN22TORHER,,10:00:00,14:00:00,14:00:00,scheduled_fallback,B1_should_have_latched,75,82,7,77,82,82,7,,1,,77,83,6,78,83,83,6,,1,,77,83,6,77,82,82,6,,1,,1105,198,engagement_join:75->78,78
ATP_CHALL,RUB?,26JUN22TURRUB,,00:00:00,04:00:00,04:13:12,latch,latch,14,29,15,26,26,14,0,15,-1,1.0,16,36,20,28,29,16,2,20,-1,1.0,17,31,14,28,28,17,1,14,-1,1.0,896,298,,26
ATP_CHALL,TUR?,26JUN22TURRUB,,00:00:00,04:00:00,04:13:12,latch,latch,67,84,17,71,71,84,3,17,1,1.0,71,85,14,75,75,85,2,14,1,1.0,71,84,13,74,76,84,2,13,1,1.0,1187,184,,
ATP_CHALL,VIL?,26JUN22VILVIL2,,05:05:00,09:05:00,09:05:00,scheduled_fallback,B2_benign_no_start,7,8,1,7,8,8,1,,1,,94,95,1,95,94,94,1,,-1,,,,,,,,,,NA,,0,0,,
ATP_CHALL,VIL2?,26JUN22VILVIL2,,05:05:00,09:05:00,09:05:00,scheduled_fallback,B2_benign_no_start,5,6,1,6,5,5,1,,-1,,91,95,4,94,92,92,4,,-1,,,,,,,,,,NA,,0,0,,
ATP_CHALL,MAR?,26JUN22ZANMAR,,05:30:00,09:30:00,09:30:00,scheduled_fallback,B1_should_have_latched,34,37,3,35,37,37,3,,1,,38,39,1,39,39,39,1,,0,,38,38,0,38,38,38,0,,0,0.0,13,0,engagement_join:34->37,37
ATP_CHALL,ZAN?,26JUN22ZANMAR,,05:30:00,09:30:00,09:30:00,scheduled_fallback,B1_should_have_latched,60,63,3,60,61,61,3,,1,,64,65,1,65,64,64,1,,-1,,65,65,0,65,65,65,0,,0,0.0,18,0,staircase:54->55->56->57->58->59,59
ATP_MAIN,AND?,26JUN22ANDSMI,,02:00:00,06:00:00,06:00:00,scheduled_fallback,B1_should_have_latched,17,17,0,17,17,17,0,,0,0.0,18,19,1,19,18,18,1,,-1,,18,18,0,18,18,18,0,,0,0.0,93,0,engagement_join:17->17,17
ATP_MAIN,SMI?,26JUN22ANDSMI,,02:00:00,06:00:00,06:00:00,scheduled_fallback,B1_should_have_latched,81,84,3,81,84,84,3,,1,,83,85,2,83,85,85,2,,1,,83,83,0,83,83,83,0,,0,0.0,100,0,engagement_join:81->75->82->82->82,81
ATP_MAIN,ARN?,26JUN22ARNMAR,,06:00:00,10:00:00,10:00:00,scheduled_fallback,B1_should_have_latched,50,51,1,51,50,50,1,,-1,,52,53,1,52,52,52,1,,0,,51,52,1,52,51,51,1,,-1,,445,5,engagement_join:51->51,51
ATP_MAIN,MAR?,26JUN22ARNMAR,,06:00:00,10:00:00,10:00:00,scheduled_fallback,B1_should_have_latched,47,49,2,47,49,49,2,,1,,48,51,3,48,50,50,3,,1,,48,51,3,48,50,50,3,,1,,1401,0,engagement_join:47->49,49
ATP_MAIN,Nikoloz Basilashvili,26JUN22BASYME,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,63,63,0,63,63,63,0,,0,0.0,64,64,0,64,64,64,0,,0,0.0,64,64,0,64,64,64,0,,0,0.0,573,0,engagement_join:63->63,63
ATP_MAIN,Elias Ymer,26JUN22BASYME,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,36,38,2,37,38,38,2,,1,,38,40,2,38,39,39,2,,1,,38,40,2,38,40,40,2,,1,,1303,0,staircase:31->32->33->34->35->36,36
ATP_MAIN,Florent Bax,26JUN22BAXROD,,06:30:00,10:30:00,10:30:00,scheduled_fallback,B1_should_have_latched,10,11,1,11,10,10,1,,-1,,12,12,0,12,12,12,0,,0,0.0,12,12,0,12,12,12,0,,0,0.0,111,0,staircase:10,10
ATP_MAIN,Chris Rodesch,26JUN22BAXROD,,06:30:00,10:30:00,10:30:00,scheduled_fallback,B1_should_have_latched,88,88,0,88,88,88,0,,0,0.0,89,90,1,89,90,90,1,,1,,88,89,1,89,89,89,1,,0,,414,100,engagement_join:88->88,88
ATP_MAIN,Zizou Bergs,26JUN22BERMUN,,07:00:00,11:00:00,13:56:12,latch,latch,55,58,3,57,57,55,0,3,-1,1.0,56,59,3,58,58,56,0,3,-1,1.0,55,59,4,58,57,56,1,4,-1,1.0,24509,1236,engagement_join:57->57,57
ATP_MAIN,Jaume Munar,26JUN22BERMUN,,07:00:00,11:00:00,13:56:12,latch,latch,42,44,2,43,42,44,1,2,1,1.0,43,45,2,44,43,45,1,2,1,1.0,42,46,4,44,42,46,2,4,1,1.0,25181,2543,staircase:38->39->40->41->42->44,
ATP_MAIN,Ugo Blanchet,26JUN22BLABLA2,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B2_benign_no_start,66,69,3,69,66,66,3,,-1,,67,70,3,70,67,67,3,,-1,,64,69,5,68,67,67,5,,-1,,15,7144,staircase:65,65
ATP_MAIN,BLA2?,26JUN22BLABLA2,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B2_benign_no_start,30,31,1,30,31,31,1,,1,,31,32,1,31,32,32,1,,1,,31,32,1,31,32,32,1,,1,,1179,0,staircase:27->28,
ATP_MAIN,Darwin Blanch,26JUN22BLAJIA,,05:00:00,09:00:00,09:02:29,latch,latch,6,89,83,6,84,79,83,9,1,0.108,83,94,11,94,85,90,11,5,-1,0.455,83,90,7,84,84,90,7,5,1,0.714,1299,8271,staircase:5,
ATP_MAIN,Filip Cristian Jianu,26JUN22BLAJIA,,05:00:00,09:00:00,09:02:29,latch,latch,8,20,12,8,16,9,12,6,1,0.5,9,94,85,94,17,15,85,4,-1,0.047,11,25,14,25,15,13,14,1,-1,0.071,25112,6576,staircase:12->13,13
ATP_MAIN,BOS?,26JUN22BOSJAC,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,10,12,2,10,10,10,2,,0,,11,13,2,11,12,12,2,,1,,11,13,2,11,11,11,2,,0,,667,15,staircase:10,10
ATP_MAIN,JAC?,26JUN22BOSJAC,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,89,89,0,89,89,89,0,,0,0.0,90,90,0,90,90,90,0,,0,0.0,89,89,0,89,89,89,0,,0,0.0,0,365,engagement_join:89->89,89
ATP_MAIN,Tristan Boyer,26JUN22BOYOLI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,81,82,1,81,82,82,1,,1,,82,84,2,83,83,83,2,,0,,82,84,2,82,84,84,2,,1,,21,0,engagement_join:81->75->83->83->82->82->82,82
ATP_MAIN,Genaro Alberto Olivieri,26JUN22BOYOLI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,17,17,0,17,17,17,0,,0,0.0,18,19,1,18,19,19,1,,1,,18,19,1,19,18,18,1,,-1,,40,0,staircase:17,17
ATP_MAIN,Raul Brancaccio,26JUN22BRAGEA,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,23,24,1,23,24,24,1,,1,,24,25,1,24,25,25,1,,1,,24,24,0,24,24,24,0,,0,0.0,39,0,engagement_join:23->23,23
ATP_MAIN,Arthur Gea,26JUN22BRAGEA,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,76,76,0,76,76,76,0,,0,0.0,77,77,0,77,77,77,0,,0,0.0,77,77,0,77,77,77,0,,0,0.0,76,0,engagement_join:76->69->76->76->76,76
ATP_MAIN,Liam Broady,26JUN22BROHOL,,05:00:00,09:00:00,10:26:41,latch,latch,45,64,19,45,48,46,3,18,1,0.947,46,66,20,46,50,51,4,18,1,0.9,46,68,22,46,49,52,3,20,1,0.909,7797,1279,staircase:45->46,
ATP_MAIN,August Holmgren,26JUN22BROHOL,,05:00:00,09:00:00,10:26:41,latch,latch,33,53,20,53,50,47,3,19,-1,0.95,36,57,21,54,52,54,2,21,0,1.0,35,56,21,54,52,51,2,21,-1,1.0,18984,442,engagement_join:53,53
ATP_MAIN,BUD?,26JUN22BUDREI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,83,85,2,83,85,85,2,,1,,86,87,1,86,87,87,1,,1,,,,,,,,,,NA,,0,0,engagement_join:83->77->85->85->84->84->85->85->85,85
ATP_MAIN,REI?,26JUN22BUDREI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,13,14,1,14,14,14,1,,0,,15,16,1,16,16,16,1,,0,,15,16,1,16,15,15,1,,-1,,156,0,staircase:12->13,13
ATP_MAIN,Edas Butvilas,26JUN22BUTECH,,03:30:00,07:30:00,08:47:43,latch,latch,69,96,27,69,69,96,0,27,1,1.0,70,97,27,70,70,97,0,27,1,1.0,70,96,26,70,70,96,0,26,1,1.0,7663,2449,staircase:65->66->67->68->69,
ATP_MAIN,Moez Echargui,26JUN22BUTECH,,03:30:00,07:30:00,08:47:43,latch,latch,3,31,28,30,30,3,0,28,-1,1.0,4,33,29,31,31,4,0,29,-1,1.0,4,31,27,31,31,4,0,27,-1,1.0,2045,3517,engagement_join:30->30,30
ATP_MAIN,Gianluca Cadenasso,26JUN22CADCIN,,02:00:00,06:00:00,06:48:00,latch,latch,6,28,22,28,27,7,1,21,-1,0.955,7,29,22,29,28,9,1,22,-1,1.0,4,29,25,29,29,4,0,24,-1,0.96,1864,1818,engagement_join:28->27,27
ATP_MAIN,Federico Cina,26JUN22CADCIN,,02:00:00,06:00:00,06:48:00,latch,latch,69,93,24,69,72,91,4,22,1,0.917,70,94,24,70,74,93,4,20,1,0.833,70,96,26,70,70,96,0,21,1,0.808,3090,2771,staircase:65->66->67->68->69,
ATP_MAIN,CAR?,26JUN22CEBCAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,B1_should_have_latched,86,88,2,87,86,86,2,,-1,,88,89,1,88,88,88,1,,0,,87,88,1,88,88,88,1,,0,,1183,10,engagement_join:87,87
ATP_MAIN,CEB?,26JUN22CEBCAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,B1_should_have_latched,11,12,1,12,12,12,1,,0,,13,14,1,13,13,13,1,,0,,13,13,0,13,13,13,0,,0,0.0,38,0,staircase:11,11
ATP_MAIN,BAR?,26JUN22CECBAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,B1_should_have_latched,85,85,0,85,85,85,0,,0,0.0,86,87,1,87,86,86,1,,-1,,,,,,,,,,NA,,0,0,engagement_join:85->85,85
ATP_MAIN,CEC?,26JUN22CECBAR,,06:30:00,10:30:00,10:30:00,scheduled_fallback,B1_should_have_latched,13,13,0,13,13,13,0,,0,0.0,14,15,1,14,15,15,1,,1,,14,14,0,14,14,14,0,,0,0.0,37,0,staircase:12,12
ATP_MAIN,CHI?,26JUN22CHIDOU,,02:00:00,06:00:00,06:00:00,scheduled_fallback,B1_should_have_latched,71,72,1,71,72,72,1,,1,,72,73,1,72,73,73,1,,1,,72,73,1,72,73,73,1,,1,,221,0,staircase:67->68->69->70->71,71
ATP_MAIN,DOU?,26JUN22CHIDOU,,02:00:00,06:00:00,06:00:00,scheduled_fallback,B1_should_have_latched,26,27,1,27,27,27,1,,0,,27,29,2,29,28,28,2,,-1,,27,28,1,27,28,28,1,,1,,216,0,staircase:25->26,26
ATP_MAIN,Jan Choinski,26JUN22CHOPOP,,05:30:00,09:30:00,09:30:00,scheduled_fallback,B1_should_have_latched,32,33,1,33,32,32,1,,-1,,33,34,1,34,33,33,1,,-1,,32,34,2,34,33,33,2,,-1,,1178,102,engagement_join:32->32,32
ATP_MAIN,Alexei Popyrin,26JUN22CHOPOP,,05:30:00,09:30:00,09:30:00,scheduled_fallback,B1_should_have_latched,66,66,0,66,66,66,0,,0,0.0,67,68,1,67,67,67,1,,0,,66,68,2,67,67,67,2,,0,,1933,1270,staircase:63->64->65,65
ATP_MAIN,Jay Clarke,26JUN22CLAPEL,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,70,72,2,71,71,71,2,,0,,71,74,3,72,73,73,3,,1,,72,73,1,73,73,73,1,,0,,838,0,staircase:67->68->69->70->71,71
ATP_MAIN,Andrea Pellegrino,26JUN22CLAPEL,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,27,29,2,29,28,28,2,,-1,,29,30,1,30,29,29,1,,-1,,29,30,1,30,29,29,1,,-1,,1210,0,staircase:26->27->28,28
ATP_MAIN,Juan Manuel Cerundolo,26JUN22COLCER,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,19,21,2,20,19,19,2,,-1,,21,22,1,21,21,21,1,,0,,20,22,2,21,21,21,2,,0,,7241,848,staircase:18->19,19
ATP_MAIN,Raphael Collignon,26JUN22COLCER,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,79,80,1,79,79,79,1,,0,,80,81,1,80,81,81,1,,1,,80,81,1,80,81,81,1,,1,,294,0,staircase:74->75->76->77->78->79,79
ATP_MAIN,COM?,26JUN22COMMOR,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,57,69,12,67,64,64,12,,-1,,62,70,8,68,66,66,8,,-1,,63,70,7,68,64,64,7,,-1,,1801,478,staircase:63->64->65->66->67,67
ATP_MAIN,MOR?,26JUN22COMMOR,,03:30:00,07:30:00,07:30:00,scheduled_fallback,B1_should_have_latched,32,39,7,32,35,35,7,,1,,33,42,9,33,36,36,9,,1,,33,40,7,33,36,36,7,,1,,355,0,engagement_join:32->32,32
ATP_MAIN,Oliver Bonding,26JUN22CORBON,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,73,75,2,74,74,74,2,,0,,74,76,2,76,76,76,2,,0,,74,76,2,76,76,76,2,,0,,105,0,staircase:69->70->71->72->73,73
ATP_MAIN,Federico Coria,26JUN22CORBON,,05:00:00,09:00:00,09:00:00,scheduled_fallback,B1_should_have_latched,23,26,3,24,25,25,3,,1,,25,27,2,25,26,26,2,,1,,25,27,2,25,27,27,2,,1,,212,0,staircase:23->24,24
ATP_MAIN,Oliver Crawford,26JUN22CRAROD,YES,06:30:00,10:30:00,11:16:15,latch,latch,28,32,4,30,31,28,1,4,-1,1.0,30,33,3,32,32,33,1,3,1,1.0,29,32,3,32,32,32,1,3,0,1.0,983,77,engagement_join:30->31,31
ATP_MAIN,Jurij Rodionov,26JUN22CRAROD,YES,06:30:00,10:30:00,11:16:15,latch,latch,67,70,3,68,68,67,1,3,-1,1.0,68,71,3,69,70,71,2,3,1,1.0,67,72,5,69,70,72,3,4,1,0.8,6950,513,staircase:63->64->65->66->67,
ATP_MAIN,DEN?,26JUN22DENZHO,,05:00:00,09:00:00,09:27:24,latch,latch,40,48,8,41,42,46,3,8,1,1.0,42,49,7,42,44,47,3,6,1,0.857,42,48,6,42,44,47,3,6,1,1.0,9165,150,staircase:35->36->37->38->39->40,
ATP_MAIN,ZHO?,26JUN22DENZHO,,05:00:00,09:00:00,09:27:24,latch,latch,51,57,6,57,56,53,3,6,-1,1.0,52,59,7,59,57,54,3,7,-1,1.0,52,61,9,58,57,53,2,9,-1,1.0,7720,8870,engagement_join:57,57
ATP_MAIN,Terence Atmane,26JUN22DIAATM,,02:00:00,06:00:00,06:08:59,latch,latch,43,50,7,45,45,49,2,5,1,0.714,44,51,7,46,46,50,2,5,1,0.714,44,51,7,46,46,51,2,5,1,0.714,17061,2996,staircase:41->42->43->44,
ATP_MAIN,Gabriel Diallo,26JUN22DIAATM,,02:00:00,06:00:00,06:08:59,latch,latch,49,55,6,55,55,50,0,6,-1,1.0,50,57,7,56,56,51,1,6,-1,0.857,50,57,7,56,56,50,2,6,-1,0.857,9425,1448,staircase:54->55,55
