event,player,category,side,posted,filled,bucket,our_bid,fill_cent,fv_close_bid,fv_close_ask,fv_close_last,close_spread,fv_flag,fill_minus_fv_bid,fill_minus_fv_ask,fill_minus_fv_last,our_bid_minus_close_bid,direction,leg_status,last_price
KXATPMATCH-26JUN22ROCMEJ,Nicolas Mejia,ATP_MAIN,MEJ,True,True,POST,24,24,24,25,25,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22QUIROY,Ethan Quinn,ATP_MAIN,QUI,True,True,POST,67,67,68,69,69,1,fallback_last_at_sched,-1,-2,-2,-1,firm,filled,
KXATPMATCH-26JUN22QUIROY,Valentin Royer,ATP_MAIN,ROY,True,True,PREMARKET,33,33,31,33,33,2,fallback_last_at_sched,2,0,0,2,fade,filled,
KXATPMATCH-26JUN22PRAEVA,Prado Angelo J.,ATP_MAIN,PRA,True,True,POST,24,24,24,25,25,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22PRAEVA,Evans D.,ATP_MAIN,EVA,True,True,POST,75,75,75,77,76,2,fallback_last_at_sched,0,-2,-1,0,,filled,
KXATPMATCH-26JUN22PIRIVA,Zsombor Piros,ATP_MAIN,PIR,True,False,,65,,67,68,68,1,fallback_last_at_sched,,,,-2,flat,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22PIRIVA,Ivan Ivanov,ATP_MAIN,IVA,True,True,POST,31,31,31,32,32,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22PINTRU,Pinnington Jones J.,ATP_MAIN,PIN,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22PINTRU,Trungelliti M.,ATP_MAIN,TRU,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22NOGNAR,Rio Noguchi,ATP_MAIN,NOG,True,True,POST,38,38,38,40,40,2,5min_median,0,-2,-2,0,flat,filled,
KXATPMATCH-26JUN22NOGNAR,Luca Nardi,ATP_MAIN,NAR,True,True,POST,61,61,61,62,62,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22NEULAJ,Lukas Neumayer,ATP_MAIN,NEU,True,True,POST,52,52,52,53,53,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
KXATPMATCH-26JUN22NEULAJ,Dusan Lajovic,ATP_MAIN,LAJ,True,True,PREMARKET,49,49,48,50,51,2,5min_median,1,-1,-2,1,fade,filled,
KXATPMATCH-26JUN22NAPHAR,Stefano Napolitano,ATP_MAIN,NAP,True,True,PREMARKET,23,23,21,22,22,1,fallback_last_at_sched,2,1,1,2,fade,filled,
KXATPMATCH-26JUN22NAPHAR,Billy Harris,ATP_MAIN,HAR,True,False,,77,,79,81,81,2,fallback_last_at_sched,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22MOUFUC,Corentin Moutet,ATP_MAIN,MOU,True,True,PREMARKET,56,56,55,56,56,1,5min_median,1,0,0,1,fade,filled,
KXATPMATCH-26JUN22MOUFUC,Marton Fucsovics,ATP_MAIN,FUC,True,False,,42,,44,45,45,1,5min_median,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22MONSCH,Johannus Monday,ATP_MAIN,MON,True,True,POST,34,34,34,35,35,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22MONSCH,Tristan Schoolkate,ATP_MAIN,SCH,True,True,POST,64,64,65,66,65,1,fallback_last_at_sched,-1,-2,-1,-1,,filled,
KXATPMATCH-26JUN22MCDMEL,McDonald M.,ATP_MAIN,MCD,True,True,POST,95,95,95,97,95,2,fallback_last_at_sched,0,-2,0,0,flat,filled,
KXATPMATCH-26JUN22MCDMEL,Meligeni Rodrigues Alves F.,ATP_MAIN,MEL,True,False,,3,,5,6,6,1,fallback_last_at_sched,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22MATSAK,Anton Matusevich,ATP_MAIN,MAT,True,True,POST,42,42,43,44,44,1,fallback_last_at_sched,-1,-2,-2,-1,fade,filled,
KXATPMATCH-26JUN22MATSAK,Rei Sakamoto,ATP_MAIN,SAK,True,False,,55,,57,59,59,2,5min_median,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22MANMAY,Nicolas Moreno de Alboran,ATP_MAIN,MAN,True,True,PREMARKET,33,33,21,24,20,3,5min_median,12,9,13,12,fade,filled,
KXATPMATCH-26JUN22MANMAY,Harold Mayot,ATP_MAIN,MAY,True,False,,66,,80,81,81,1,5min_median,,,,-14,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22MAEBAS,Francesco Maestrelli,ATP_MAIN,MAE,True,True,PREMARKET,63,63,56,57,57,1,5min_median,7,6,6,7,fade,filled,
KXATPMATCH-26JUN22MAEBAS,Max Basing,ATP_MAIN,BAS,True,True,POST,37,37,42,44,45,2,5min_median,-5,-7,-8,-5,firm,filled,
KXATPMATCH-26JUN22LLAADD,Llamas Ruiz P.,ATP_MAIN,LLA,True,True,POST,79,79,79,80,80,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
KXATPMATCH-26JUN22LLAADD,Added D.,ATP_MAIN,ADD,True,True,POST,20,20,20,22,22,2,fallback_last_at_sched,0,-2,-2,0,firm,filled,
KXATPMATCH-26JUN22LAJPAV,Lajal M.,ATP_MAIN,LAJ,True,True,POST,73,73,74,76,74,2,fallback_last_at_sched,-1,-3,-1,-1,flat,filled,
KXATPMATCH-26JUN22LAJPAV,Pavlovic L.,ATP_MAIN,PAV,True,True,POST,27,27,27,28,28,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22KYMBUE,Jerome Kym,ATP_MAIN,KYM,True,True,POST,81,81,81,82,82,1,fallback_last_at_sched,0,-1,-1,0,,filled,
KXATPMATCH-26JUN22KYMBUE,Gonzalo Bueno,ATP_MAIN,BUE,True,True,POST,18,18,18,19,19,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22KECMED,Miomir Kecmanovic,ATP_MAIN,KEC,True,False,,35,,42,43,43,1,fallback_last_at_sched,,,,-7,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22KECMED,Hamad Medjedovic,ATP_MAIN,MED,True,True,PREMARKET,61,73,57,58,57,1,fallback_last_at_sched,16,15,16,4,fade,filled,
KXATPMATCH-26JUN22HSUSAK,Yu Hsiou Hsu,ATP_MAIN,HSU,True,True,POST,39,39,40,41,41,1,fallback_last_at_sched,-1,-2,-2,-1,flat,filled,
KXATPMATCH-26JUN22HSUSAK,Stefanos Sakellaridis,ATP_MAIN,SAK,True,False,,59,,59,60,60,1,fallback_last_at_sched,,,,0,flat,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22HERJUB,Pierre-Hugues Herbert,ATP_MAIN,HER,True,True,POST,56,56,56,57,58,1,fallback_last_at_sched,0,-1,-2,0,firm,filled,
KXATPMATCH-26JUN22HERJUB,Paul Jubb,ATP_MAIN,JUB,True,True,POST,43,43,43,46,45,3,5min_median,0,-3,-2,0,firm,filled,
KXATPMATCH-26JUN22GUEGOF,Andrea Guerrieri,ATP_MAIN,GUE,True,True,POST,41,41,44,46,46,2,fallback_last_at_sched,-3,-5,-5,-3,firm,filled,
KXATPMATCH-26JUN22GUEGOF,David Goffin,ATP_MAIN,GOF,True,True,PREMARKET,57,57,53,56,57,3,fallback_last_at_sched,4,1,0,4,flat,filled,
KXATPMATCH-26JUN22GOMTAB,Federico Agustin Gomez,ATP_MAIN,GOM,True,True,POST,34,34,34,35,35,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22GOMTAB,Clement Tabur,ATP_MAIN,TAB,True,False,,65,,67,68,68,1,fallback_last_at_sched,,,,-2,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22GLICOP,Daniil Glinka,ATP_MAIN,GLI,True,True,POST,53,53,56,58,58,2,5min_median,-3,-5,-5,-3,firm,filled,
KXATPMATCH-26JUN22GLICOP,Kimmer Coppejans,ATP_MAIN,COP,True,False,,43,,42,44,44,2,fallback_last_at_sched,,,,1,fade,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22GIUONC,Lorenzo Giustino,ATP_MAIN,GIU,True,True,POST,12,12,12,14,14,2,fallback_last_at_sched,0,-2,-2,0,flat,filled,
KXATPMATCH-26JUN22GIUONC,Gauthier Onclin,ATP_MAIN,ONC,True,True,POST,86,86,87,88,87,1,fallback_last_at_sched,-1,-2,-1,-1,firm,filled,
KXATPMATCH-26JUN22GENKOL,Tom Gentzsch,ATP_MAIN,GEN,True,True,POST,64,64,64,65,65,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
KXATPMATCH-26JUN22GENKOL,Zdenek Kolar,ATP_MAIN,KOL,True,True,POST,34,34,34,36,36,2,fallback_last_at_sched,0,-2,-2,0,fade,filled,
KXATPMATCH-26JUN22GAUMMO,Vilius Gaubas,ATP_MAIN,GAU,True,True,POST,33,33,33,34,34,1,fallback_last_at_sched,0,-1,-1,0,fade,filled,
KXATPMATCH-26JUN22GAUMMO,Michael Mmoh,ATP_MAIN,MMO,True,True,POST,65,65,65,66,65,1,fallback_last_at_sched,0,-1,0,0,firm,filled,
KXATPMATCH-26JUN22GASMID,Hugo Gaston,ATP_MAIN,GAS,True,True,POST,79,79,79,80,80,1,fallback_last_at_sched,0,-1,-1,0,firm,filled,
KXATPMATCH-26JUN22GASMID,Lautaro Midon,ATP_MAIN,MID,True,True,POST,21,21,21,22,22,1,fallback_last_at_sched,0,-1,-1,0,flat,filled,
KXATPMATCH-26JUN22FARGRE,Jaime Faria,ATP_MAIN,FAR,True,False,,81,,84,85,84,1,fallback_last_at_sched,,,,-3,firm,bid_unfilled_starved(no_sellflow<=bid),
KXATPMATCH-26JUN22FARGRE,Hugo Grenier,ATP_MAIN,GRE,True,True,PREMARKET,18,18,16,17,18,1,fallback_last_at_sched,2,1,0,2,fade,filled,
KXATPMATCH-26JUN22DRABER,Liam Draxl,ATP_MAIN,DRA,True,True,POST,40,40,43,45,44,2,fallback_last_at_sched,-3,-5,-4,-3,firm,filled,
KXATPMATCH-26JUN22DRABER,Remy Bertola,ATP_MAIN,BER,True,True,PREMARKET,59,59,55,56,56,1,fallback_last_at_sched,4,3,3,4,fade,filled,
KXATPMATCH-26JUN22DODFER,Matej Dodig,ATP_MAIN,DOD,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22DODFER,Frederico Ferreira Silva,ATP_MAIN,FER,False,False,,,,,,,,,,,,,,not_posted,
KXATPMATCH-26JUN22DJEHOU,Laslo Djere,ATP_MAIN,DJE,True,True,POST,76,76,76,77,76,1,fallback_last_at_sched,0,-1,0,0,fade,filled,
KXATPMATCH-26JUN22DJEHOU,Max Houkes,ATP_MAIN,HOU,True,True,POST,22,22,23,25,26,2,fallback_last_at_sched,-1,-3,-4,-1,firm,filled,
KXATPMATCH-26JUN22DIAGAL,Diaz Acosta F.,ATP_MAIN,DIA,True,True,POST,26,26,26,27,26,1,fallback_last_at_sched,0,-1,0,0,flat,filled,
KXATPMATCH-26JUN22DIAGAL,Galarneau A.,ATP_MAIN,GAL,True,True,POST,72,72,73,75,,2,no_trades,-1,-3,,-1,,filled,
