ts_ET,rodionov_best_ask,crawford_actual_fill_cent,running_pair_basis,basis_under_100
09:44:30,70,31,101,False
09:45:00,70,31,101,False
09:45:30,70,31,101,False
09:46:00,70,31,101,False
09:46:30,70,31,101,False
09:47:00,70,31,101,False
09:47:30,70,31,101,False
09:48:00,70,31,101,False
09:48:30,70,31,101,False
09:49:00,70,31,101,False
09:49:30,70,31,101,False
09:50:00,70,31,101,False
09:50:30,70,31,101,False
09:51:00,70,31,101,False
09:51:30,70,31,101,False
09:52:00,70,31,101,False
09:52:30,70,31,101,False
09:53:00,70,31,101,False
09:53:30,70,31,101,False
09:54:00,70,31,101,False
09:54:30,70,31,101,False
09:55:00,70,31,101,False
09:55:30,70,31,101,False
09:56:00,70,31,101,False
09:56:30,70,31,101,False
09:57:00,70,31,101,False
09:57:30,70,31,101,False
09:58:00,70,31,101,False
09:58:30,70,31,101,False
09:59:00,70,31,101,False
09:59:30,70,31,101,False
10:00:00,70,31,101,False
10:00:30,70,31,101,False
10:01:00,70,31,101,False
10:01:30,70,31,101,False
10:02:00,70,31,101,False
10:02:30,70,31,101,False
10:03:00,70,31,101,False
10:03:30,70,31,101,False
10:04:00,70,31,101,False
10:04:30,70,31,101,False
10:05:00,70,31,101,False
10:05:30,70,31,101,False
10:06:00,70,31,101,False
10:06:30,70,31,101,False
10:07:00,70,31,101,False
10:07:30,70,31,101,False
10:08:00,70,31,101,False
10:08:30,70,31,101,False
10:09:00,70,31,101,False
10:09:30,70,31,101,False
10:10:00,68,31,99,True
10:10:30,68,31,99,True
10:11:00,68,31,99,True
10:11:30,68,31,99,True
10:12:00,68,31,99,True
10:12:30,68,31,99,True
10:13:00,68,31,99,True
10:13:30,68,31,99,True
10:14:00,68,31,99,True
10:14:30,68,31,99,True
10:15:00,68,31,99,True
10:15:30,68,31,99,True
10:16:00,68,31,99,True
10:16:30,68,31,99,True
10:17:00,68,31,99,True
10:17:30,68,31,99,True
10:18:00,68,31,99,True
10:18:30,68,31,99,True
10:19:00,68,31,99,True
10:19:30,68,31,99,True
10:20:00,68,31,99,True
10:20:30,68,31,99,True
10:21:00,68,31,99,True
10:21:30,68,31,99,True
10:22:00,68,31,99,True
10:22:30,68,31,99,True
10:23:00,68,31,99,True
10:23:30,68,31,99,True
10:24:00,70,31,101,False
10:24:30,70,31,101,False
10:25:00,70,31,101,False
10:25:30,70,31,101,False
10:26:00,70,31,101,False
10:26:30,70,31,101,False
10:27:00,70,31,101,False
10:27:30,70,31,101,False
10:28:00,70,31,101,False
10:28:30,70,31,101,False
10:29:00,70,31,101,False
10:29:30,70,31,101,False
10:30:00,70,31,101,False
10:30:30,70,31,101,False
10:31:00,70,31,101,False
10:31:30,70,31,101,False
10:32:00,70,31,101,False
10:32:30,70,31,101,False
10:33:00,70,31,101,False
10:33:30,70,31,101,False
10:34:00,70,31,101,False
10:34:30,70,31,101,False
10:35:00,70,31,101,False
10:35:30,71,31,102,False
10:36:00,71,31,102,False
10:36:30,71,31,102,False
10:37:00,70,31,101,False
10:37:30,70,31,101,False
10:38:00,70,31,101,False
10:38:30,70,31,101,False
10:39:00,70,31,101,False
10:39:30,70,31,101,False
10:40:00,70,31,101,False
10:40:30,70,31,101,False
10:41:00,70,31,101,False
10:41:30,70,31,101,False
10:42:00,70,31,101,False
10:42:30,70,31,101,False
10:43:00,70,31,101,False
10:43:30,70,31,101,False
10:44:00,70,31,101,False
10:44:30,70,31,101,False
10:45:00,70,31,101,False
10:45:30,70,31,101,False
10:46:00,70,31,101,False
10:46:30,70,31,101,False
10:47:00,71,31,102,False
10:47:30,71,31,102,False
10:48:00,71,31,102,False
10:48:30,71,31,102,False
10:49:00,71,31,102,False
10:49:30,71,31,102,False
10:50:00,71,31,102,False
10:50:30,71,31,102,False
10:51:00,71,31,102,False
10:51:30,70,31,101,False
10:52:00,70,31,101,False
10:52:30,71,31,102,False
10:53:00,70,31,101,False
10:53:30,71,31,102,False
10:54:00,71,31,102,False
10:54:30,71,31,102,False
10:55:00,71,31,102,False
10:55:30,70,31,101,False
10:56:00,70,31,101,False
10:56:30,70,31,101,False
10:57:00,70,31,101,False
10:57:30,70,31,101,False
10:58:00,70,31,101,False
10:58:30,71,31,102,False
10:59:00,71,31,102,False
10:59:30,71,31,102,False
11:00:00,71,31,102,False
11:00:30,71,31,102,False
11:01:00,71,31,102,False
11:01:30,71,31,102,False
11:02:00,71,31,102,False
11:02:30,70,31,101,False
11:03:00,70,31,101,False
11:03:30,70,31,101,False
11:04:00,70,31,101,False
11:04:30,70,31,101,False
11:05:00,70,31,101,False
11:05:30,70,31,101,False
11:06:00,70,31,101,False
11:06:30,70,31,101,False
11:07:00,70,31,101,False
11:07:30,70,31,101,False
11:08:00,70,31,101,False
11:08:30,70,31,101,False
11:09:00,71,31,102,False
11:09:30,70,31,101,False
11:10:00,70,31,101,False
11:10:30,70,31,101,False
11:11:00,70,31,101,False
11:11:30,71,31,102,False
11:12:00,71,31,102,False
11:12:30,71,31,102,False
11:13:00,68,31,99,True
11:13:30,68,31,99,True
11:14:00,69,31,100,False
11:14:30,71,31,102,False
11:15:00,69,31,100,False
11:15:30,71,31,102,False
11:16:00,71,31,102,False
