day,fill_ts_ET,player,category,fill_cent,source,real_start_source,bucket,event
20260620,12:31:43,Parisca I.,ATP_CHALL,93,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21PARBRA
20260620,12:38:24,Basel V.,ATP_CHALL,45,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21BASPRI
20260620,12:57:36,Braga V.,ATP_CHALL,4,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21PARBRA
20260620,12:58:20,Parisca I.,ATP_CHALL,93,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21PARBRA
20260620,13:17:37,Price Pelaez S.,ATP_CHALL,54,staircase,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21BASPRI
20260620,13:59:49,Goity Zapico S.,ATP_CHALL,23,fallback,scheduled_fallback,PREMARKET,KXATPCHALLENGERMATCH-26JUN21GOIOLI
20260620,14:09:44,Goity Zapico S.,ATP_CHALL,23,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21GOIOLI
20260620,14:10:15,Oliveira N.,ATP_CHALL,78,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21GOIOLI
20260620,14:13:54,Braga B.,ATP_CHALL,7,resting_maker,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21HUEBRA
20260620,14:18:30,Huertas Del Pino A.,ATP_CHALL,90,resting_maker,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21HUEBRA
20260620,14:19:21,Huertas Del Pino A.,ATP_CHALL,90,resting_maker,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN21HUEBRA
20260622,02:52:31,SHN?,WTA_MAIN,66,engagement,latch,PREMARKET,KXWTAMATCH-26JUN20TAUSHN
20260622,03:50:27,JOV?,WTA_MAIN,74,engagement,scheduled_fallback,NO_SCHEDULE,KXWTAMATCH-26JUN20JOVWAN
20260622,04:04:22,Sperle J.,ATP_CHALL,17,engagement,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22PAPSPE
20260622,04:04:27,Ugo Carabelli C.,ATP_MAIN,31,staircase,latch,PREMARKET,KXATPMATCH-26JUN22PINUGO
20260622,04:09:38,Rubio Fierros A.,ATP_CHALL,26,engagement,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22TURRUB
20260622,04:10:22,Roca Batalla O.,ATP_CHALL,81,engagement,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22ROCGIM
20260622,04:10:37,Gima S.,ATP_CHALL,16,engagement,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22ROCGIM
20260622,04:13:16,McCabe J.,ATP_MAIN,33,engagement,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22SAFMCC
20260622,04:25:35,Napolitano S.,ATP_MAIN,23,engagement,latch,PREMARKET,KXATPMATCH-26JUN22NAPHAR
20260622,04:35:57,Papoe R.,ATP_CHALL,79,engagement,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22PAPSPE
20260622,05:26:48,FRE?,WTA_MAIN,28,resting_maker,scheduled_fallback,NO_SCHEDULE,KXWTAMATCH-26JUN20OSAFRE
20260622,05:28:39,Blanch D.,ATP_MAIN,65,staircase,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22BLABLA2
20260622,05:42:51,Makk P.,ATP_CHALL,19,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22BALMAK
20260622,05:44:08,Balshaw F.,ATP_CHALL,80,fallback,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22BALMAK
20260622,05:48:47,Valentin Royer,ATP_MAIN,33,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22QUIROY
20260622,05:50:41,Grenier H.,ATP_MAIN,18,reconcile,latch,PREMARKET,KXATPMATCH-26JUN22FARGRE
20260622,05:54:37,Anhelina Kalinina,WTA_MAIN,37,fallback,scheduled_fallback,PREMARKET,KXWTAMATCH-26JUN22SNIKAL
20260622,05:55:23,Yevseyev D.,ATP_CHALL,53,staircase,latch,CORRIDOR,KXATPCHALLENGERMATCH-26JUN22BARYEV
20260622,05:56:07,Uesugi K.,ATP_CHALL,26,reconcile,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22POTUES
20260622,05:56:31,Squire H.,ATP_MAIN,31,fallback,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22SQUZHE
20260622,05:57:48,Potenza L.,ATP_CHALL,73,staircase,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22POTUES
20260622,06:00:40,Andrade A.,ATP_MAIN,17,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22ANDSMI
20260622,06:03:42,Yunchaokete B.,ATP_MAIN,92,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22YUNDEL
20260622,06:06:13,Anhelina Kalinina,WTA_MAIN,37,fallback,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22SNIKAL
20260622,06:07:01,Ivanov I.,ATP_MAIN,31,fallback,latch,CORRIDOR,KXATPMATCH-26JUN22PIRIVA
20260622,06:07:41,Daria Snigur,WTA_MAIN,61,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22SNIKAL
20260622,06:08:04,Gomez F.,ATP_MAIN,34,fallback,latch,CORRIDOR,KXATPMATCH-26JUN22GOMTAB
20260622,06:08:05,Midon L.,ATP_MAIN,21,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22GASMID
20260622,06:08:08,Gabriel Diallo,ATP_MAIN,55,staircase,latch,CORRIDOR,KXATPMATCH-26JUN22DIAATM
20260622,06:08:28,Houkes M.,ATP_MAIN,22,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22DJEHOU
20260622,06:08:53,Pavlovic L.,ATP_MAIN,27,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22LAJPAV
20260622,06:09:19,Djere L.,ATP_MAIN,76,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22DJEHOU
20260622,06:09:23,Tereza Valentova,WTA_MAIN,73,fallback,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22KLUVAL
20260622,06:09:25,Matusevich A.,ATP_MAIN,42,staircase,latch,CORRIDOR,KXATPMATCH-26JUN22MATSAK
20260622,06:09:46,Gaston H.,ATP_MAIN,79,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22GASMID
20260622,06:10:15,Dellien H.,ATP_MAIN,7,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22YUNDEL
20260622,06:10:40,Gojo B.,ATP_MAIN,39,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22WONGOJ
20260622,06:10:43,Hannah Klugman,WTA_MAIN,26,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22KLUVAL
