category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_CHALL,BAS?,26JUN22PARBAS,,07:00:00,11:00:00,11:50:26,latch,8,26,18,,12,25,4,14,0,0.778,12,30,18,,15,28,4,17,0,0.944,12,26,14,,15,26,3,13,0,0.929,10459,103,engagement_join:8->12,
ATP_CHALL,PAR?,26JUN22PARBAS,,07:00:00,11:00:00,11:50:26,latch,72,87,15,,86,72,1,15,0,1.0,73,90,17,,88,74,3,16,0,0.941,73,89,16,,89,73,4,14,0,0.875,176,2278,engagement_join:85->79->86->86->86,86
ATP_CHALL,POT?,26JUN22POTUES,,01:30:00,05:30:00,05:30:00,scheduled_fallback,74,75,1,,74,74,1,,0,,76,77,1,,77,77,1,,0,,77,77,0,,77,77,0,,0,0.0,6,0,?:71->72->73,73
ATP_CHALL,UES?,26JUN22POTUES,,01:30:00,05:30:00,05:30:00,scheduled_fallback,24,26,2,,26,26,2,,0,,26,28,2,,27,27,2,,0,,,,,,,,,,0,,0,0,?:26,26
ATP_CHALL,GIM?,26JUN22ROCGIM,,00:00:00,04:00:00,04:00:00,scheduled_fallback,16,16,0,,16,16,0,,0,0.0,19,23,4,,23,23,4,,0,,19,20,1,,20,20,1,,0,,179,0,,16
ATP_CHALL,ROC?,26JUN22ROCGIM,,00:00:00,04:00:00,04:00:00,scheduled_fallback,81,82,1,,81,81,1,,0,,85,87,2,,87,87,2,,0,,85,86,1,,86,86,1,,0,,187,0,,81
ATP_CHALL,SIM?,26JUN22SIMTOP,,03:00:00,07:00:00,08:08:04,latch,39,43,4,,40,40,1,4,0,1.0,40,44,4,,41,41,0,4,0,1.0,39,42,3,,41,41,0,3,0,1.0,1155,337,staircase:33->34->35->36->37->38->39,
ATP_CHALL,TOP?,26JUN22SIMTOP,,03:00:00,07:00:00,08:08:04,latch,56,60,4,,58,59,1,4,0,1.0,57,62,5,,60,60,2,5,0,1.0,57,61,4,,60,58,2,4,0,1.0,1032,844,staircase:54->55->56->57->58,58
ATP_CHALL,MON?,26JUN22SOTMON,,10:00:00,14:00:00,14:00:00,scheduled_fallback,14,15,1,,15,15,1,,0,,16,17,1,,16,16,1,,0,,15,17,2,,16,16,2,,0,,22,1,engagement_join:14->15,15
ATP_CHALL,SOT?,26JUN22SOTMON,,10:00:00,14:00:00,14:00:00,scheduled_fallback,83,85,2,,85,85,2,,0,,85,86,1,,86,86,1,,0,,84,86,2,,86,86,2,,0,,179,10,engagement_join:83->85,85
