ts_ET,leg,phase,best_bid,best_ask,bid_depth,ask_depth,last_traded_price,last_traded_side,last_traded_size,our_bid
07:47:00.43,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:47:00.43,Oliver Crawford,window1,30,32,1084,6751,32,buy,119,30
07:47:32.22,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:47:46.51,Oliver Crawford,window1,30,32,1084,6751,32,buy,119,30
07:48:32.72,Jurij Rodionov,window1,68,69,2605,26,69,buy,3,64
07:48:32.72,Oliver Crawford,window1,30,31,1084,5977,32,buy,119,30
07:48:52.35,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:48:52.35,Oliver Crawford,window1,30,32,1084,6842,32,buy,119,30
07:49:15.59,Jurij Rodionov,window1,68,69,485,26,69,buy,3,64
07:49:15.59,Oliver Crawford,window1,30,32,1414,78,32,buy,119,30
07:49:39.39,Jurij Rodionov,window1,68,69,485,26,69,buy,3,64
07:50:44.50,Jurij Rodionov,window1,68,69,155,26,69,buy,3,64
07:50:44.50,Oliver Crawford,window1,30,32,1084,6842,32,buy,119,30
07:51:01.68,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:51:01.68,Oliver Crawford,window1,30,32,1084,6842,32,buy,119,30
07:51:22.66,Oliver Crawford,window1,30,32,1084,6842,32,buy,119,30
07:51:40.88,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:51:40.88,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:52:36.44,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:52:36.44,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:52:53.68,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:54:04.22,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:55:05.31,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:55:05.31,Oliver Crawford,window1,30,32,1414,1196,32,buy,119,30
07:55:20.12,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:55:20.12,Oliver Crawford,window1,30,32,1084,6526,32,buy,119,30
07:55:35.76,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:55:49.67,Jurij Rodionov,window1,68,69,485,26,69,buy,3,64
07:55:49.67,Oliver Crawford,window1,30,32,1414,62,32,buy,119,30
07:56:05.95,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:56:05.95,Oliver Crawford,window1,30,32,1414,1196,32,buy,119,30
07:56:34.26,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:56:34.26,Oliver Crawford,window1,30,32,1084,6496,32,buy,119,30
07:56:44.88,Oliver Crawford,window1,30,32,1414,62,32,buy,119,30
07:56:55.72,Jurij Rodionov,window1,68,69,485,26,69,buy,3,64
07:56:55.72,Oliver Crawford,window1,30,32,1414,62,32,buy,119,30
07:57:09.21,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:57:09.21,Oliver Crawford,window1,30,32,1414,1196,32,buy,119,30
07:57:21.61,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:57:21.61,Oliver Crawford,window1,30,32,1414,1196,32,buy,119,30
07:57:34.30,Oliver Crawford,window1,30,32,1084,6196,32,buy,119,30
07:57:45.54,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:57:45.54,Oliver Crawford,window1,30,32,1084,6751,32,buy,119,30
07:57:55.92,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:57:55.92,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:58:07.65,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:58:07.65,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:58:18.34,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:58:31.20,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:58:31.20,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:58:42.56,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:58:42.56,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:58:54.29,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:58:54.29,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:59:08.61,Jurij Rodionov,window1,68,69,1619,26,69,buy,3,64
07:59:08.61,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:59:22.43,Jurij Rodionov,window1,68,69,1634,26,69,buy,3,64
07:59:22.43,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:59:35.14,Oliver Crawford,window1,30,32,1084,6826,32,buy,119,30
07:59:59.23,Jurij Rodionov,window1,68,69,1634,26,69,buy,3,64
07:59:59.23,Oliver Crawford,window1,30,32,1084,7162,32,buy,119,30
08:00:17.82,Jurij Rodionov,window1,68,69,1634,26,69,buy,3,64
08:00:17.82,Oliver Crawford,window1,30,32,1414,1532,32,buy,119,30
08:01:11.48,Oliver Crawford,window1,30,32,1084,7162,32,buy,119,30
08:01:29.04,Jurij Rodionov,window1,68,69,1634,26,69,buy,3,64
08:01:29.04,Oliver Crawford,window1,30,32,1414,1532,32,buy,119,30
08:01:45.47,Jurij Rodionov,window1,68,69,1970,26,69,buy,3,64
08:01:45.47,Oliver Crawford,window1,30,32,1414,1196,32,buy,119,30
08:02:04.94,Jurij Rodionov,window1,68,69,1970,26,69,buy,3,64
08:02:04.94,Oliver Crawford,window1,30,32,1100,6526,32,buy,119,30
08:02:20.19,Jurij Rodionov,window1,68,69,1970,26,69,buy,3,64
08:02:20.19,Oliver Crawford,window1,30,32,1100,6526,32,buy,119,30
08:02:36.13,Jurij Rodionov,window1,68,69,2563,26,69,buy,3,64
08:02:36.13,Oliver Crawford,window1,30,32,4417,7404,32,buy,119,30
08:02:50.19,Jurij Rodionov,window1,68,69,2563,26,69,buy,3,64
08:02:50.19,Oliver Crawford,window1,30,32,4417,7404,32,buy,119,30
08:03:09.11,Jurij Rodionov,window1,68,69,2563,26,69,buy,3,64
08:03:09.11,Oliver Crawford,window1,30,32,4417,7404,32,buy,119,30
08:03:26.27,Jurij Rodionov,window1,68,69,2563,26,69,buy,3,64
08:03:26.27,Oliver Crawford,window1,30,31,4312,5957,32,buy,119,30
08:03:42.16,Jurij Rodionov,window1,68,69,2902,26,69,buy,3,64
08:03:42.16,Oliver Crawford,window1,30,32,4339,7346,32,buy,119,30
08:03:56.87,Jurij Rodionov,window1,68,69,2902,26,69,buy,3,64
08:03:56.87,Oliver Crawford,window1,30,32,4339,7346,32,buy,119,30
08:04:12.89,Jurij Rodionov,window1,68,69,2902,26,69,buy,3,64
08:04:12.89,Oliver Crawford,window1,30,32,4339,7346,32,buy,119,30
08:04:27.03,Jurij Rodionov,window1,68,69,2902,26,69,buy,3,64
08:04:27.03,Oliver Crawford,window1,30,32,4339,7390,32,buy,119,30
08:04:41.05,Jurij Rodionov,window1,68,69,2950,26,69,buy,3,64
08:04:56.41,Jurij Rodionov,window1,68,69,2950,26,69,buy,3,64
08:04:56.41,Oliver Crawford,window1,30,32,4376,7420,32,buy,119,30
08:05:12.98,Oliver Crawford,window1,30,32,4376,7420,32,buy,119,30
08:05:29.62,Jurij Rodionov,window1,68,69,1640,26,69,buy,3,64
08:05:29.62,Oliver Crawford,window1,30,32,1100,1526,32,buy,119,30
08:05:44.55,Jurij Rodionov,window1,68,69,2892,26,69,buy,3,64
08:05:44.55,Oliver Crawford,window1,30,32,4425,7325,32,buy,119,30
08:05:59.42,Oliver Crawford,window1,30,32,4425,7325,32,buy,119,30
08:06:15.30,Jurij Rodionov,window1,68,69,2892,26,69,buy,3,64
08:06:31.34,Jurij Rodionov,window1,68,69,2892,26,69,buy,3,64
08:06:31.34,Oliver Crawford,window1,30,32,4425,7325,32,buy,119,30
08:06:46.40,Jurij Rodionov,window1,68,69,2905,26,69,buy,3,64
08:06:46.40,Oliver Crawford,window1,30,32,4661,7322,32,buy,119,30
08:07:02.45,Oliver Crawford,window1,30,32,4661,7322,32,buy,119,30
08:07:19.66,Jurij Rodionov,window1,68,69,2905,26,69,buy,3,64
08:07:19.66,Oliver Crawford,window1,30,32,4661,7322,32,buy,119,30
08:07:38.72,Jurij Rodionov,window1,68,69,2905,26,69,buy,3,64
08:07:38.72,Oliver Crawford,window1,30,31,4661,987,32,buy,119,30
08:07:53.78,Jurij Rodionov,window1,68,69,2895,26,69,buy,3,64
08:07:53.78,Oliver Crawford,window1,30,32,4618,7370,32,buy,119,30
08:08:10.84,Jurij Rodionov,window1,68,69,2895,26,69,buy,3,64
08:08:10.84,Oliver Crawford,window1,30,32,4618,7370,32,buy,119,30
08:08:30.52,Jurij Rodionov,window1,68,69,2906,26,69,buy,3,64
08:08:30.52,Oliver Crawford,window1,30,32,4602,7380,32,buy,119,30
08:08:49.80,Oliver Crawford,window1,30,32,4602,7380,32,buy,119,30
08:10:25.02,Jurij Rodionov,window1,68,69,2216,26,69,buy,3,64
08:10:25.02,Oliver Crawford,window1,30,32,3669,1771,32,buy,119,30
08:10:42.39,Jurij Rodionov,window1,68,69,2216,26,69,buy,3,64
08:10:42.39,Oliver Crawford,window1,30,32,3669,1771,32,buy,119,30
08:10:58.82,Jurij Rodionov,window1,68,69,2216,26,69,buy,3,64
08:12:42.30,Jurij Rodionov,window1,68,69,2224,26,69,buy,3,64
08:12:42.30,Oliver Crawford,window1,30,32,3661,1779,32,buy,119,30
08:13:02.62,Jurij Rodionov,window1,68,69,2224,26,69,buy,3,64
08:13:25.70,Jurij Rodionov,window1,68,69,2224,26,69,buy,3,64
08:13:46.25,Jurij Rodionov,window1,68,69,2224,26,69,buy,3,64
08:15:39.16,Oliver Crawford,window1,30,32,4586,7960,32,buy,119,30
08:15:53.41,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:16:08.76,Oliver Crawford,window1,30,32,4586,7925,32,buy,119,30
08:16:25.20,Oliver Crawford,window1,30,32,4586,7954,32,buy,119,30
08:16:40.19,Oliver Crawford,window1,30,32,4586,7979,32,buy,119,30
08:16:54.05,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:16:54.05,Oliver Crawford,window1,30,32,4586,7963,32,buy,119,30
08:17:10.70,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:17:10.70,Oliver Crawford,window1,30,32,4586,7963,32,buy,119,30
08:17:27.01,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:17:27.01,Oliver Crawford,window1,30,32,4586,7963,32,buy,119,30
08:17:41.80,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:17:41.80,Oliver Crawford,window1,30,32,4586,7963,32,buy,119,30
08:17:56.89,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:17:56.89,Oliver Crawford,window1,30,32,4586,7947,32,buy,119,30
08:18:12.75,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:18:12.75,Oliver Crawford,window1,30,32,4586,7947,32,buy,119,30
08:18:28.71,Oliver Crawford,window1,30,32,4586,7947,32,buy,119,30
08:18:44.84,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:18:44.84,Oliver Crawford,window1,30,32,4586,7947,32,buy,119,30
08:19:04.31,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:19:04.31,Oliver Crawford,window1,30,32,4586,7947,32,buy,119,30
08:19:23.95,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:19:23.95,Oliver Crawford,window1,30,32,4586,7915,32,buy,119,30
08:19:42.66,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:19:42.66,Oliver Crawford,window1,30,32,4586,7915,32,buy,119,30
08:20:00.38,Jurij Rodionov,window1,68,69,3454,26,69,buy,3,64
08:20:00.38,Oliver Crawford,window1,30,32,4586,7915,32,buy,119,30
08:20:23.01,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:20:23.01,Oliver Crawford,window1,30,32,4586,7930,32,buy,119,30
08:20:41.86,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:20:41.86,Oliver Crawford,window1,30,32,4256,8282,32,buy,119,30
08:21:00.77,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:21:00.77,Oliver Crawford,window1,30,32,4586,7952,32,buy,119,30
08:21:19.16,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:21:19.16,Oliver Crawford,window1,30,32,4586,7952,32,buy,119,30
08:21:38.39,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:21:38.39,Oliver Crawford,window1,30,32,4586,7968,32,buy,119,30
08:21:56.11,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:21:56.11,Oliver Crawford,window1,30,32,4586,7968,32,buy,119,30
08:22:14.61,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:22:32.27,Oliver Crawford,window1,30,32,4586,7932,32,buy,119,30
08:22:48.27,Oliver Crawford,window1,30,32,4586,7932,32,buy,119,30
08:23:20.54,Oliver Crawford,window1,30,32,4586,7932,32,buy,119,30
08:23:37.01,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:23:37.01,Oliver Crawford,window1,30,32,4586,7932,32,buy,119,30
08:23:52.45,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:23:52.45,Oliver Crawford,window1,30,32,4586,7932,32,buy,119,30
08:24:12.43,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:24:12.43,Oliver Crawford,window1,30,32,4586,7980,32,buy,119,30
08:24:31.80,Oliver Crawford,window1,30,32,4586,7988,32,buy,119,30
08:24:49.93,Jurij Rodionov,window1,68,69,3447,26,69,buy,3,64
08:24:49.93,Oliver Crawford,window1,30,32,4586,7922,32,buy,119,30
08:25:10.15,Oliver Crawford,window1,30,32,4586,7938,32,buy,119,30
08:25:26.58,Jurij Rodionov,window1,68,69,2217,26,69,buy,3,64
08:25:26.58,Oliver Crawford,window1,30,32,3661,1779,32,buy,119,30
08:25:40.68,Jurij Rodionov,window1,68,69,2217,26,69,buy,3,64
08:26:11.43,Jurij Rodionov,window1,68,69,2217,26,69,buy,3,64
08:27:32.53,Oliver Crawford,window1,30,32,4585,7946,32,buy,119,30
08:27:47.52,Jurij Rodionov,window1,68,69,3473,26,69,buy,3,64
08:27:47.52,Oliver Crawford,window1,30,32,4585,7911,32,buy,119,30
08:28:04.96,Jurij Rodionov,window1,68,69,3473,26,69,buy,3,64
08:28:04.96,Oliver Crawford,window1,30,32,4585,7911,32,buy,119,30
08:28:24.42,Oliver Crawford,window1,30,32,4585,7911,32,buy,119,30
08:28:41.53,Oliver Crawford,window1,30,32,4585,7911,32,buy,119,30
08:29:38.33,Jurij Rodionov,window1,68,69,3473,26,69,buy,3,64
08:29:38.33,Oliver Crawford,window1,30,32,4585,7911,32,buy,119,30
08:29:56.10,Jurij Rodionov,window1,68,69,3473,26,69,buy,3,64
08:29:56.10,Oliver Crawford,window1,30,32,4585,7911,32,buy,119,30
08:30:17.78,Oliver Crawford,window1,30,32,4585,8311,32,buy,119,30
08:30:35.00,Jurij Rodionov,window1,68,69,3473,26,69,buy,3,64
08:30:35.00,Oliver Crawford,window1,30,32,4585,8320,32,buy,119,30
08:30:52.43,Jurij Rodionov,window1,68,69,3144,26,69,buy,3,64
08:30:52.43,Oliver Crawford,window1,30,32,4585,8494,32,buy,119,30
08:32:03.42,Jurij Rodionov,window1,68,69,3144,26,69,buy,3,64
08:32:33.69,Jurij Rodionov,window1,68,69,3144,26,69,buy,3,64
08:33:05.85,Oliver Crawford,window1,30,32,4585,8320,32,buy,119,30
08:33:20.35,Oliver Crawford,window1,30,32,4585,8794,32,buy,119,30
08:33:49.46,Oliver Crawford,window1,30,32,4585,8794,32,buy,119,30
08:34:50.93,Jurij Rodionov,window1,68,69,3618,26,69,buy,3,65
08:34:50.93,Oliver Crawford,window1,30,32,4585,8327,32,buy,119,30
08:35:07.60,Jurij Rodionov,window1,68,69,3597,26,69,buy,3,65
08:35:07.60,Oliver Crawford,window1,30,32,4585,8321,32,buy,119,30
08:35:22.65,Jurij Rodionov,window1,68,69,2341,26,69,buy,3,65
08:35:22.65,Oliver Crawford,window1,30,32,3661,2168,32,buy,119,30
08:35:38.71,Jurij Rodionov,window1,68,69,3586,26,69,buy,3,65
08:35:38.71,Oliver Crawford,window1,30,32,4327,8681,32,buy,119,30
08:35:57.33,Jurij Rodionov,window1,68,69,3586,26,69,buy,3,65
08:35:57.33,Oliver Crawford,window1,30,32,4657,8316,32,buy,119,30
08:36:16.95,Jurij Rodionov,window1,68,69,3586,26,69,buy,3,65
08:36:16.95,Oliver Crawford,window1,30,32,4657,8336,32,buy,119,30
08:36:34.37,Jurij Rodionov,window1,68,69,3586,26,69,buy,3,65
08:36:34.37,Oliver Crawford,window1,30,32,4657,8336,32,buy,119,30
08:36:50.52,Jurij Rodionov,window1,68,69,3597,26,69,buy,3,65
08:36:50.52,Oliver Crawford,window1,30,32,4657,8349,32,buy,119,30
08:37:08.03,Oliver Crawford,window1,30,32,4657,8386,32,buy,119,30
08:37:23.94,Jurij Rodionov,window1,68,69,3597,26,69,buy,3,65
08:37:23.94,Oliver Crawford,window1,30,32,4657,8334,32,buy,119,30
08:37:41.97,Jurij Rodionov,window1,68,69,3597,26,69,buy,3,65
08:37:41.97,Oliver Crawford,window1,30,32,4657,8334,32,buy,119,30
08:38:18.45,Oliver Crawford,window1,30,32,4657,8383,32,buy,119,30
08:38:56.63,Oliver Crawford,window1,30,32,4657,8383,32,buy,119,30
08:39:17.13,Jurij Rodionov,window1,68,69,3297,26,69,buy,3,65
08:39:17.13,Oliver Crawford,window1,30,32,4657,8365,32,buy,119,30
08:39:34.15,Jurij Rodionov,window1,68,69,3297,26,69,buy,3,65
08:39:34.15,Oliver Crawford,window1,30,32,4657,8338,32,buy,119,30
08:39:51.15,Oliver Crawford,window1,30,32,4657,8321,32,buy,119,30
08:40:11.56,Jurij Rodionov,window1,68,69,2052,26,69,buy,3,65
08:40:11.56,Oliver Crawford,window1,30,32,1331,2498,32,buy,119,30
08:40:29.42,Jurij Rodionov,window1,68,69,3338,26,69,buy,3,65
