ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 02:37:00 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,13,1,12,157,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:37:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,13,109,12,157,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:32 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,13,109,7,109,6,116,5,194,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:32 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,14,169,13,109,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:32 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,14,169,13,109,8,110,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:32 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,14,169,13,108,8,110,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:32 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,14,169,8,110,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:33 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,15,1,14,169,8,110,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:33 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,15,1,14,169,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:48:33 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,15,110,14,169,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,15,110,7,109,6,116,5,194,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,16,163,15,110,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,16,163,15,110,8,110,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,16,163,15,109,8,110,7,109,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 02:49:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,16,163,8,110,7,109,6,116,93,21,94,380,95,25,96,543,97,84,87.5
