episode_id,leg,side,peak_price_cents,peak_ts_et,peak_tminus_scheduled,peak_tminus_bell,trough_price_cents,trough_ts_et,trough_tminus_scheduled,trough_tminus_bell,resume_price_cents,resume_ts_et,resume_tminus_scheduled,resume_tminus_bell,depth_cents,seconds_peak_to_trough,seconds_at_trough_before_resume,seconds_peak_to_resume,full_recovery_ts_et,full_recovery_tminus_scheduled,full_recovery_tminus_bell
VRB_ask_0010,VRB,ask,75,2026-07-19T07:22:20-04:00,T-307.667,T-312.667,68,2026-07-19T07:23:15-04:00,T-306.750,T-311.750,75,2026-07-19T07:23:20-04:00,T-306.667,T-311.667,7,55.0,5.0,60.0,2026-07-19T07:23:20-04:00,T-306.667,T-311.667
VRB_ask_0011,VRB,ask,75,2026-07-19T07:23:20-04:00,T-306.667,T-311.667,68,2026-07-19T07:24:13-04:00,T-305.783,T-310.783,75,2026-07-19T07:24:20-04:00,T-305.667,T-310.667,7,53.0,7.0,60.0,2026-07-19T07:24:20-04:00,T-305.667,T-310.667
VRB_ask_0012,VRB,ask,75,2026-07-19T07:24:20-04:00,T-305.667,T-310.667,74,2026-07-19T07:24:52-04:00,T-305.133,T-310.133,75,2026-07-19T07:25:20-04:00,T-304.667,T-309.667,1,32.0,28.0,60.0,2026-07-19T07:25:20-04:00,T-304.667,T-309.667
VRB_ask_0013,VRB,ask,75,2026-07-19T07:25:20-04:00,T-304.667,T-309.667,74,2026-07-19T07:25:52-04:00,T-304.133,T-309.133,75,2026-07-19T07:26:20-04:00,T-303.667,T-308.667,1,32.0,28.0,60.0,2026-07-19T07:26:20-04:00,T-303.667,T-308.667
VRB_ask_0014,VRB,ask,75,2026-07-19T07:26:20-04:00,T-303.667,T-308.667,74,2026-07-19T07:26:51-04:00,T-303.150,T-308.150,75,2026-07-19T07:27:20-04:00,T-302.667,T-307.667,1,31.0,29.0,60.0,2026-07-19T07:27:20-04:00,T-302.667,T-307.667
VRB_ask_0015,VRB,ask,75,2026-07-19T07:27:20-04:00,T-302.667,T-307.667,68,2026-07-19T07:28:10-04:00,T-301.833,T-306.833,75,2026-07-19T07:28:20-04:00,T-301.667,T-306.667,7,50.0,10.0,60.0,2026-07-19T07:28:20-04:00,T-301.667,T-306.667
VRB_ask_0016,VRB,ask,75,2026-07-19T07:28:20-04:00,T-301.667,T-306.667,68,2026-07-19T07:29:11-04:00,T-300.817,T-305.817,75,2026-07-19T07:29:20-04:00,T-300.667,T-305.667,7,51.0,9.0,60.0,2026-07-19T07:29:20-04:00,T-300.667,T-305.667
VRB_ask_0017,VRB,ask,75,2026-07-19T07:29:20-04:00,T-300.667,T-305.667,69,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,70,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,6,51.0,0.0,51.0,2026-07-19T07:30:11-04:00,T-299.817,T-304.817
VRB_ask_0018,VRB,ask,75,2026-07-19T07:30:11-04:00,T-299.817,T-304.817,68,2026-07-19T07:30:17-04:00,T-299.717,T-304.717,75,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,7,6.0,523.0,529.0,2026-07-19T07:39:00-04:00,T-291.000,T-296.000
VRB_ask_0019,VRB,ask,75,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,74,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,75,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,1,0.0,0.0,0.0,2026-07-19T07:39:00-04:00,T-291.000,T-296.000
VRB_ask_0020,VRB,ask,75,2026-07-19T07:39:00-04:00,T-291.000,T-296.000,73,2026-07-19T07:39:32-04:00,T-290.467,T-295.467,75,2026-07-19T07:39:37-04:00,T-290.383,T-295.383,2,32.0,5.0,37.0,2026-07-19T07:39:37-04:00,T-290.383,T-295.383
VRB_bid_0003,VRB,bid,69,2026-07-19T07:39:32-04:00,T-290.467,T-295.467,67,2026-07-19T07:39:37-04:00,T-290.383,T-295.383,68,2026-07-19T07:40:27-04:00,T-289.550,T-294.550,2,5.0,50.0,55.0,2026-07-19T07:40:31-04:00,T-289.483,T-294.483
VRB_ask_0021,VRB,ask,75,2026-07-19T07:39:37-04:00,T-290.383,T-295.383,73,2026-07-19T07:40:31-04:00,T-289.483,T-294.483,74,2026-07-19T07:57:15-04:00,T-272.750,T-277.750,2,54.0,1004.0,1058.0,2026-07-19T07:57:24-04:00,T-272.600,T-277.600
NIK_ask_0002,NIK,ask,28,2026-07-19T07:51:22-04:00,T-278.633,T-283.633,27,2026-07-19T07:51:22-04:00,T-278.633,T-283.633,28,2026-07-19T07:56:23-04:00,T-273.617,T-278.617,1,0.0,301.0,301.0,2026-07-19T07:56:23-04:00,T-273.617,T-278.617
VRB_bid_0004,VRB,bid,74,2026-07-19T07:51:45-04:00,T-278.250,T-283.250,72,2026-07-19T07:52:15-04:00,T-277.750,T-282.750,73,2026-07-19T07:56:06-04:00,T-273.900,T-278.900,2,30.0,231.0,261.0,2026-07-19T10:41:15-04:00,T-108.750,T-113.750
NIK_bid_0004,NIK,bid,26,2026-07-19T07:51:51-04:00,T-278.150,T-283.150,24,2026-07-19T07:53:20-04:00,T-276.667,T-281.667,25,2026-07-19T07:53:51-04:00,T-276.150,T-281.150,2,89.0,31.0,120.0,2026-07-19T07:54:09-04:00,T-275.850,T-280.850
NIK_bid_0005,NIK,bid,26,2026-07-19T07:54:09-04:00,T-275.850,T-280.850,24,2026-07-19T07:55:21-04:00,T-274.650,T-279.650,25,2026-07-19T07:55:50-04:00,T-274.167,T-279.167,2,72.0,29.0,101.0,2026-07-19T07:56:08-04:00,T-273.867,T-278.867
VRB_bid_0005,VRB,bid,73,2026-07-19T07:56:06-04:00,T-273.900,T-278.900,72,2026-07-19T07:57:25-04:00,T-272.583,T-277.583,73,2026-07-19T08:01:10-04:00,T-268.833,T-273.833,1,79.0,225.0,304.0,2026-07-19T08:01:10-04:00,T-268.833,T-273.833
NIK_ask_0003,NIK,ask,28,2026-07-19T07:56:23-04:00,T-273.617,T-278.617,27,2026-07-19T08:51:52-04:00,T-218.133,T-223.133,28,2026-07-19T08:57:31-04:00,T-212.483,T-217.483,1,3329.0,339.0,3668.0,2026-07-19T08:57:31-04:00,T-212.483,T-217.483
NIK_bid_0006,NIK,bid,27,2026-07-19T07:56:23-04:00,T-273.617,T-278.617,24,2026-07-19T07:56:36-04:00,T-273.400,T-278.400,25,2026-07-19T07:56:36-04:00,T-273.400,T-278.400,3,13.0,0.0,13.0,2026-07-19T08:16:05-04:00,T-253.917,T-258.917
NIK_bid_0007,NIK,bid,26,2026-07-19T07:57:14-04:00,T-272.767,T-277.767,23,2026-07-19T07:57:22-04:00,T-272.633,T-277.633,24,2026-07-19T07:57:56-04:00,T-272.067,T-277.067,3,8.0,34.0,42.0,2026-07-19T08:04:14-04:00,T-265.767,T-270.767
VRB_ask_0022,VRB,ask,75,2026-07-19T07:57:24-04:00,T-272.600,T-277.600,74,2026-07-19T07:58:11-04:00,T-271.817,T-276.817,75,2026-07-19T07:59:24-04:00,T-270.600,T-275.600,1,47.0,73.0,120.0,2026-07-19T07:59:24-04:00,T-270.600,T-275.600
NIK_bid_0008,NIK,bid,24,2026-07-19T07:57:56-04:00,T-272.067,T-277.067,23,2026-07-19T07:59:20-04:00,T-270.667,T-275.667,24,2026-07-19T07:59:52-04:00,T-270.133,T-275.133,1,84.0,32.0,116.0,2026-07-19T07:59:52-04:00,T-270.133,T-275.133
VRB_ask_0023,VRB,ask,75,2026-07-19T07:59:24-04:00,T-270.600,T-275.600,73,2026-07-19T08:01:37-04:00,T-268.383,T-273.383,75,2026-07-19T08:01:40-04:00,T-268.333,T-273.333,2,133.0,3.0,136.0,2026-07-19T08:01:40-04:00,T-268.333,T-273.333
VRB_bid_0006,VRB,bid,73,2026-07-19T08:01:10-04:00,T-268.833,T-273.833,72,2026-07-19T08:01:37-04:00,T-268.383,T-273.383,73,2026-07-19T08:04:53-04:00,T-265.117,T-270.117,1,27.0,196.0,223.0,2026-07-19T08:04:53-04:00,T-265.117,T-270.117
VRB_ask_0024,VRB,ask,75,2026-07-19T08:01:40-04:00,T-268.333,T-273.333,74,2026-07-19T08:01:40-04:00,T-268.333,T-273.333,75,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,1,0.0,940.0,940.0,2026-07-19T08:17:20-04:00,T-252.667,T-257.667
NIK_bid_0009,NIK,bid,26,2026-07-19T08:04:14-04:00,T-265.767,T-270.767,23,2026-07-19T08:14:05-04:00,T-255.917,T-260.917,24,2026-07-19T08:14:05-04:00,T-255.917,T-260.917,3,591.0,0.0,591.0,2026-07-19T08:16:05-04:00,T-253.917,T-258.917
VRB_bid_0007,VRB,bid,73,2026-07-19T08:04:53-04:00,T-265.117,T-270.117,72,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,73,2026-07-19T08:18:26-04:00,T-251.567,T-256.567,1,747.0,66.0,813.0,2026-07-19T08:18:26-04:00,T-251.567,T-256.567
NIK_bid_0010,NIK,bid,27,2026-07-19T08:16:05-04:00,T-253.917,T-258.917,23,2026-07-19T08:22:16-04:00,T-247.733,T-252.733,24,2026-07-19T08:22:16-04:00,T-247.733,T-252.733,4,371.0,0.0,371.0,2026-07-19T08:28:16-04:00,T-241.733,T-246.733
VRB_ask_0025,VRB,ask,75,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,73,2026-07-19T08:17:20-04:00,T-252.667,T-257.667,74,2026-07-19T08:17:30-04:00,T-252.500,T-257.500,2,0.0,10.0,10.0,2026-07-19T08:22:24-04:00,T-247.600,T-252.600
VRB_bid_0008,VRB,bid,73,2026-07-19T08:18:26-04:00,T-251.567,T-256.567,72,2026-07-19T08:19:16-04:00,T-250.733,T-255.733,73,2026-07-19T08:20:50-04:00,T-249.167,T-254.167,1,50.0,94.0,144.0,2026-07-19T08:20:50-04:00,T-249.167,T-254.167
VRB_bid_0009,VRB,bid,73,2026-07-19T08:20:50-04:00,T-249.167,T-254.167,72,2026-07-19T08:22:25-04:00,T-247.583,T-252.583,73,2026-07-19T08:27:10-04:00,T-242.833,T-247.833,1,95.0,285.0,380.0,2026-07-19T08:27:10-04:00,T-242.833,T-247.833
NIK_bid_0011,NIK,bid,24,2026-07-19T08:22:16-04:00,T-247.733,T-252.733,23,2026-07-19T08:22:20-04:00,T-247.667,T-252.667,24,2026-07-19T08:22:55-04:00,T-247.083,T-252.083,1,4.0,35.0,39.0,2026-07-19T08:22:55-04:00,T-247.083,T-252.083
VRB_ask_0026,VRB,ask,75,2026-07-19T08:22:24-04:00,T-247.600,T-252.600,73,2026-07-19T08:24:15-04:00,T-245.750,T-250.750,75,2026-07-19T08:24:44-04:00,T-245.267,T-250.267,2,111.0,29.0,140.0,2026-07-19T08:24:44-04:00,T-245.267,T-250.267
NIK_bid_0012,NIK,bid,24,2026-07-19T08:22:55-04:00,T-247.083,T-252.083,23,2026-07-19T08:24:43-04:00,T-245.283,T-250.283,24,2026-07-19T08:24:54-04:00,T-245.100,T-250.100,1,108.0,11.0,119.0,2026-07-19T08:24:54-04:00,T-245.100,T-250.100
VRB_ask_0027,VRB,ask,75,2026-07-19T08:24:44-04:00,T-245.267,T-250.267,73,2026-07-19T08:25:22-04:00,T-244.633,T-249.633,75,2026-07-19T08:25:34-04:00,T-244.433,T-249.433,2,38.0,12.0,50.0,2026-07-19T08:25:34-04:00,T-244.433,T-249.433
NIK_bid_0013,NIK,bid,24,2026-07-19T08:24:54-04:00,T-245.100,T-250.100,23,2026-07-19T08:25:33-04:00,T-244.450,T-249.450,24,2026-07-19T08:25:55-04:00,T-244.083,T-249.083,1,39.0,22.0,61.0,2026-07-19T08:25:55-04:00,T-244.083,T-249.083
VRB_ask_0028,VRB,ask,75,2026-07-19T08:25:34-04:00,T-244.433,T-249.433,73,2026-07-19T08:26:21-04:00,T-243.650,T-248.650,75,2026-07-19T08:26:39-04:00,T-243.350,T-248.350,2,47.0,18.0,65.0,2026-07-19T08:26:39-04:00,T-243.350,T-248.350
NIK_bid_0014,NIK,bid,24,2026-07-19T08:25:55-04:00,T-244.083,T-249.083,23,2026-07-19T08:26:31-04:00,T-243.483,T-248.483,24,2026-07-19T08:27:05-04:00,T-242.917,T-247.917,1,36.0,34.0,70.0,2026-07-19T08:27:05-04:00,T-242.917,T-247.917
VRB_ask_0029,VRB,ask,75,2026-07-19T08:26:39-04:00,T-243.350,T-248.350,74,2026-07-19T08:27:10-04:00,T-242.833,T-247.833,75,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,1,31.0,65.0,96.0,2026-07-19T08:28:15-04:00,T-241.750,T-246.750
NIK_bid_0015,NIK,bid,24,2026-07-19T08:27:05-04:00,T-242.917,T-247.917,23,2026-07-19T08:27:27-04:00,T-242.550,T-247.550,24,2026-07-19T08:27:59-04:00,T-242.017,T-247.017,1,22.0,32.0,54.0,2026-07-19T08:27:59-04:00,T-242.017,T-247.017
VRB_bid_0010,VRB,bid,73,2026-07-19T08:27:10-04:00,T-242.833,T-247.833,72,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,73,2026-07-19T08:30:33-04:00,T-239.450,T-244.450,1,65.0,138.0,203.0,2026-07-19T08:30:33-04:00,T-239.450,T-244.450
VRB_ask_0030,VRB,ask,75,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,73,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,75,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,2,0.0,0.0,0.0,2026-07-19T08:28:15-04:00,T-241.750,T-246.750
VRB_ask_0031,VRB,ask,75,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,74,2026-07-19T08:28:15-04:00,T-241.750,T-246.750,75,2026-07-19T08:28:38-04:00,T-241.367,T-246.367,1,0.0,23.0,23.0,2026-07-19T08:28:38-04:00,T-241.367,T-246.367
NIK_bid_0016,NIK,bid,27,2026-07-19T08:28:16-04:00,T-241.733,T-246.733,23,2026-07-19T08:28:30-04:00,T-241.500,T-246.500,24,2026-07-19T08:28:59-04:00,T-241.017,T-246.017,4,14.0,29.0,43.0,2026-07-19T08:29:28-04:00,T-240.533,T-245.533
VRB_ask_0032,VRB,ask,75,2026-07-19T08:28:38-04:00,T-241.367,T-246.367,74,2026-07-19T08:29:23-04:00,T-240.617,T-245.617,75,2026-07-19T08:29:56-04:00,T-240.067,T-245.067,1,45.0,33.0,78.0,2026-07-19T08:29:56-04:00,T-240.067,T-245.067
NIK_bid_0017,NIK,bid,27,2026-07-19T08:29:28-04:00,T-240.533,T-245.533,24,2026-07-19T08:29:55-04:00,T-240.083,T-245.083,25,2026-07-19T08:30:40-04:00,T-239.333,T-244.333,3,27.0,45.0,72.0,2026-07-19T08:30:44-04:00,T-239.267,T-244.267
VRB_ask_0033,VRB,ask,75,2026-07-19T08:29:56-04:00,T-240.067,T-245.067,74,2026-07-19T08:30:32-04:00,T-239.467,T-244.467,75,2026-07-19T08:30:59-04:00,T-239.017,T-244.017,1,36.0,27.0,63.0,2026-07-19T08:30:59-04:00,T-239.017,T-244.017
VRB_bid_0011,VRB,bid,73,2026-07-19T08:30:33-04:00,T-239.450,T-244.450,72,2026-07-19T08:30:59-04:00,T-239.017,T-244.017,73,2026-07-19T08:31:16-04:00,T-238.733,T-243.733,1,26.0,17.0,43.0,2026-07-19T08:31:16-04:00,T-238.733,T-243.733
NIK_bid_0018,NIK,bid,27,2026-07-19T08:30:44-04:00,T-239.267,T-244.267,24,2026-07-19T08:30:58-04:00,T-239.033,T-244.033,25,2026-07-19T08:31:20-04:00,T-238.667,T-243.667,3,14.0,22.0,36.0,2026-07-19T08:31:20-04:00,T-238.667,T-243.667
VRB_ask_0034,VRB,ask,75,2026-07-19T08:30:59-04:00,T-239.017,T-244.017,74,2026-07-19T08:31:18-04:00,T-238.700,T-243.700,75,2026-07-19T08:31:53-04:00,T-238.117,T-243.117,1,19.0,35.0,54.0,2026-07-19T08:31:53-04:00,T-238.117,T-243.117
VRB_bid_0012,VRB,bid,73,2026-07-19T08:31:16-04:00,T-238.733,T-243.733,72,2026-07-19T08:32:24-04:00,T-237.600,T-242.600,73,2026-07-19T08:36:06-04:00,T-233.900,T-238.900,1,68.0,222.0,290.0,2026-07-19T08:36:06-04:00,T-233.900,T-238.900
NIK_bid_0019,NIK,bid,27,2026-07-19T08:31:20-04:00,T-238.667,T-243.667,23,2026-07-19T08:31:40-04:00,T-238.333,T-243.333,24,2026-07-19T08:31:55-04:00,T-238.083,T-243.083,4,20.0,15.0,35.0,2026-07-19T08:32:29-04:00,T-237.517,T-242.517
VRB_ask_0035,VRB,ask,75,2026-07-19T08:31:53-04:00,T-238.117,T-243.117,74,2026-07-19T08:32:25-04:00,T-237.583,T-242.583,75,2026-07-19T08:32:47-04:00,T-237.217,T-242.217,1,32.0,22.0,54.0,2026-07-19T08:32:47-04:00,T-237.217,T-242.217
NIK_bid_0020,NIK,bid,27,2026-07-19T08:32:29-04:00,T-237.517,T-242.517,23,2026-07-19T08:32:46-04:00,T-237.233,T-242.233,24,2026-07-19T08:32:55-04:00,T-237.083,T-242.083,4,17.0,9.0,26.0,2026-07-19T08:33:15-04:00,T-236.750,T-241.750
VRB_ask_0036,VRB,ask,75,2026-07-19T08:32:47-04:00,T-237.217,T-242.217,74,2026-07-19T08:33:12-04:00,T-236.800,T-241.800,75,2026-07-19T08:33:25-04:00,T-236.583,T-241.583,1,25.0,13.0,38.0,2026-07-19T08:33:25-04:00,T-236.583,T-241.583
NIK_bid_0021,NIK,bid,27,2026-07-19T08:33:15-04:00,T-236.750,T-241.750,23,2026-07-19T08:33:23-04:00,T-236.617,T-241.617,24,2026-07-19T08:33:50-04:00,T-236.167,T-241.167,4,8.0,27.0,35.0,2026-07-19T08:34:14-04:00,T-235.767,T-240.767
VRB_ask_0037,VRB,ask,75,2026-07-19T08:33:25-04:00,T-236.583,T-241.583,74,2026-07-19T08:34:10-04:00,T-235.833,T-240.833,75,2026-07-19T08:34:51-04:00,T-235.150,T-240.150,1,45.0,41.0,86.0,2026-07-19T08:34:51-04:00,T-235.150,T-240.150
NIK_bid_0022,NIK,bid,27,2026-07-19T08:34:14-04:00,T-235.767,T-240.767,24,2026-07-19T08:35:20-04:00,T-234.667,T-239.667,25,2026-07-19T08:35:54-04:00,T-234.100,T-239.100,3,66.0,34.0,100.0,2026-07-19T08:36:09-04:00,T-233.850,T-238.850
VRB_ask_0038,VRB,ask,75,2026-07-19T08:34:51-04:00,T-235.150,T-240.150,73,2026-07-19T08:34:51-04:00,T-235.150,T-240.150,74,2026-07-19T08:35:23-04:00,T-234.617,T-239.617,2,0.0,32.0,32.0,2026-07-19T08:35:23-04:00,T-234.617,T-239.617
VRB_ask_0039,VRB,ask,75,2026-07-19T08:35:23-04:00,T-234.617,T-239.617,74,2026-07-19T08:36:06-04:00,T-233.900,T-238.900,75,2026-07-19T08:37:24-04:00,T-232.600,T-237.600,1,43.0,78.0,121.0,2026-07-19T08:37:24-04:00,T-232.600,T-237.600
VRB_bid_0013,VRB,bid,73,2026-07-19T08:36:06-04:00,T-233.900,T-238.900,72,2026-07-19T08:37:25-04:00,T-232.583,T-237.583,73,2026-07-19T08:37:45-04:00,T-232.250,T-237.250,1,79.0,20.0,99.0,2026-07-19T08:37:45-04:00,T-232.250,T-237.250
NIK_bid_0023,NIK,bid,27,2026-07-19T08:36:09-04:00,T-233.850,T-238.850,24,2026-07-19T08:37:20-04:00,T-232.667,T-237.667,25,2026-07-19T08:37:50-04:00,T-232.167,T-237.167,3,71.0,30.0,101.0,2026-07-19T08:38:09-04:00,T-231.850,T-236.850
VRB_ask_0040,VRB,ask,75,2026-07-19T08:37:24-04:00,T-232.600,T-237.600,74,2026-07-19T08:38:07-04:00,T-231.883,T-236.883,75,2026-07-19T08:38:24-04:00,T-231.600,T-236.600,1,43.0,17.0,60.0,2026-07-19T08:38:24-04:00,T-231.600,T-236.600
VRB_bid_0014,VRB,bid,73,2026-07-19T08:37:45-04:00,T-232.250,T-237.250,72,2026-07-19T08:38:07-04:00,T-231.883,T-236.883,73,2026-07-19T08:38:26-04:00,T-231.567,T-236.567,1,22.0,19.0,41.0,2026-07-19T08:38:26-04:00,T-231.567,T-236.567
NIK_bid_0024,NIK,bid,26,2026-07-19T08:38:08-04:00,T-231.867,T-236.867,24,2026-07-19T08:38:09-04:00,T-231.850,T-236.850,27,2026-07-19T08:38:09-04:00,T-231.850,T-236.850,2,1.0,0.0,1.0,2026-07-19T08:38:09-04:00,T-231.850,T-236.850
NIK_bid_0025,NIK,bid,27,2026-07-19T08:38:09-04:00,T-231.850,T-236.850,24,2026-07-19T08:38:20-04:00,T-231.667,T-236.667,25,2026-07-19T08:38:51-04:00,T-231.150,T-236.150,3,11.0,31.0,42.0,2026-07-19T08:39:23-04:00,T-230.617,T-235.617
VRB_ask_0041,VRB,ask,75,2026-07-19T08:38:24-04:00,T-231.600,T-236.600,74,2026-07-19T08:39:11-04:00,T-230.817,T-235.817,75,2026-07-19T08:40:30-04:00,T-229.500,T-234.500,1,47.0,79.0,126.0,2026-07-19T08:40:30-04:00,T-229.500,T-234.500
VRB_bid_0015,VRB,bid,73,2026-07-19T08:38:26-04:00,T-231.567,T-236.567,72,2026-07-19T08:38:45-04:00,T-231.250,T-236.250,73,2026-07-19T08:39:11-04:00,T-230.817,T-235.817,1,19.0,26.0,45.0,2026-07-19T08:39:11-04:00,T-230.817,T-235.817
VRB_bid_0016,VRB,bid,73,2026-07-19T08:39:11-04:00,T-230.817,T-235.817,72,2026-07-19T08:40:30-04:00,T-229.500,T-234.500,73,2026-07-19T08:45:48-04:00,T-224.200,T-229.200,1,79.0,318.0,397.0,2026-07-19T08:45:48-04:00,T-224.200,T-229.200
NIK_bid_0026,NIK,bid,27,2026-07-19T08:39:23-04:00,T-230.617,T-235.617,24,2026-07-19T08:39:28-04:00,T-230.533,T-235.533,25,2026-07-19T08:39:28-04:00,T-230.533,T-235.533,3,5.0,0.0,5.0,2026-07-19T08:39:29-04:00,T-230.517,T-235.517
NIK_bid_0027,NIK,bid,27,2026-07-19T08:39:29-04:00,T-230.517,T-235.517,23,2026-07-19T08:40:33-04:00,T-229.450,T-234.450,24,2026-07-19T08:40:52-04:00,T-229.133,T-234.133,4,64.0,19.0,83.0,2026-07-19T09:12:17-04:00,T-197.717,T-202.717
VRB_ask_0042,VRB,ask,75,2026-07-19T08:40:30-04:00,T-229.500,T-234.500,74,2026-07-19T08:41:08-04:00,T-228.867,T-233.867,75,2026-07-19T08:41:09-04:00,T-228.850,T-233.850,1,38.0,1.0,39.0,2026-07-19T08:41:09-04:00,T-228.850,T-233.850
NIK_bid_0028,NIK,bid,24,2026-07-19T08:40:52-04:00,T-229.133,T-234.133,23,2026-07-19T08:41:09-04:00,T-228.850,T-233.850,25,2026-07-19T08:41:11-04:00,T-228.817,T-233.817,1,17.0,2.0,19.0,2026-07-19T08:41:11-04:00,T-228.817,T-233.817
