ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784165915,2026-07-15 09:38:35 PM,56,380,56,5
1784165917,2026-07-15 09:38:37 PM,56,243,56,5
1784165918,2026-07-15 09:38:38 PM,56,191,56,5
1784165920,2026-07-15 09:38:40 PM,56,150,56,5
1784165925,2026-07-15 09:38:45 PM,56,151,56,5
1784165957,2026-07-15 09:39:17 PM,56,1,56,5
1784165957,2026-07-15 09:39:17 PM,56,151,56,5
1784165973,2026-07-15 09:39:33 PM,56,1,56,5
1784166014,2026-07-15 09:40:14 PM,55,2095,56,5
1784166026,2026-07-15 09:40:26 PM,55,1735,56,5
1784166026,2026-07-15 09:40:26 PM,55,2095,56,5
1784166026,2026-07-15 09:40:26 PM,56,360,56,5
1784166038,2026-07-15 09:40:38 PM,56,532,56,5
1784166042,2026-07-15 09:40:42 PM,56,2107,56,5
1784166042,2026-07-15 09:40:42 PM,56,532,56,5
1784166043,2026-07-15 09:40:43 PM,56,2107,56,5
1784166043,2026-07-15 09:40:43 PM,56,2282,56,5
1784166055,2026-07-15 09:40:55 PM,56,2605,56,5
1784166063,2026-07-15 09:41:03 PM,56,2430,56,5
1784166063,2026-07-15 09:41:03 PM,56,2605,56,5
1784166063,2026-07-15 09:41:03 PM,57,1575,56,5
1784166064,2026-07-15 09:41:04 PM,57,1585,56,5
1784166064,2026-07-15 09:41:04 PM,57,1945,56,5
1784166126,2026-07-15 09:42:06 PM,57,2268,56,5
1784166139,2026-07-15 09:42:19 PM,57,2268,58,10
1784166156,2026-07-15 09:42:36 PM,57,2268,58,9
1784166193,2026-07-15 09:43:13 PM,57,2469,58,9
1784166193,2026-07-15 09:43:13 PM,57,2469,60,649
1784166193,2026-07-15 09:43:13 PM,57,2469,60,658
1784166193,2026-07-15 09:43:13 PM,58,175,60,658
1784166193,2026-07-15 09:43:13 PM,58,1750,60,658
1784166193,2026-07-15 09:43:13 PM,58,1760,60,658
1784166193,2026-07-15 09:43:13 PM,58,2120,60,658
