c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
23,3,180,54,0.1111111111111111
23,3,120,54,0.16666666666666666
23,3,90,54,0.2037037037037037
23,3,60,54,0.25925925925925924
23,3,40,54,0.2777777777777778
23,3,30,54,0.2962962962962963
23,3,20,54,0.42592592592592593
23,3,10,54,0.46296296296296297
23,3,5,54,0.5
23,3,2,54,0.5
23,3,1,54,0.5185185185185185
23,5,240,54,0.0
23,5,180,54,0.07407407407407407
23,5,120,54,0.12962962962962962
23,5,90,54,0.16666666666666666
23,5,60,54,0.2037037037037037
23,5,40,54,0.2222222222222222
23,5,30,54,0.25925925925925924
23,5,20,54,0.3148148148148148
23,5,10,54,0.35185185185185186
23,5,5,54,0.3888888888888889
23,5,2,54,0.3888888888888889
23,5,1,54,0.3888888888888889
23,8,240,54,0.0
23,8,180,54,0.05555555555555555
23,8,120,54,0.07407407407407407
23,8,90,54,0.07407407407407407
23,8,60,54,0.12962962962962962
23,8,40,54,0.14814814814814814
23,8,30,54,0.16666666666666666
23,8,20,54,0.2037037037037037
23,8,10,54,0.2037037037037037
23,8,5,54,0.2222222222222222
23,8,2,54,0.2222222222222222
23,8,1,54,0.2222222222222222
24,3,240,45,0.0
24,3,180,45,0.044444444444444446
24,3,120,45,0.06666666666666667
24,3,90,45,0.06666666666666667
24,3,60,45,0.08888888888888889
24,3,40,45,0.1111111111111111
24,3,30,45,0.15555555555555556
24,3,20,45,0.2222222222222222
24,3,10,45,0.24444444444444444
24,3,5,45,0.3111111111111111
24,3,2,45,0.3111111111111111
24,3,1,45,0.3111111111111111
24,5,240,45,0.0
24,5,180,45,0.022222222222222223
24,5,120,45,0.022222222222222223
24,5,90,45,0.044444444444444446
24,5,60,45,0.044444444444444446
24,5,40,45,0.08888888888888889
24,5,30,45,0.1111111111111111
24,5,20,45,0.13333333333333333
24,5,10,45,0.17777777777777778
24,5,5,45,0.2
24,5,2,45,0.2
24,5,1,45,0.2
24,8,240,45,0.0
24,8,180,45,0.022222222222222223
24,8,120,45,0.022222222222222223
24,8,90,45,0.022222222222222223
24,8,60,45,0.022222222222222223
24,8,40,45,0.06666666666666667
24,8,30,45,0.08888888888888889
24,8,20,45,0.08888888888888889
24,8,10,45,0.1111111111111111
24,8,5,45,0.17777777777777778
24,8,2,45,0.17777777777777778
24,8,1,45,0.17777777777777778
25,3,240,44,0.0
25,3,180,44,0.045454545454545456
25,3,120,44,0.11363636363636363
25,3,90,44,0.18181818181818182
25,3,60,44,0.18181818181818182
25,3,40,44,0.20454545454545456
25,3,30,44,0.22727272727272727
25,3,20,44,0.25
25,3,10,44,0.3181818181818182
25,3,5,44,0.38636363636363635
25,3,2,44,0.4090909090909091
25,3,1,44,0.4090909090909091
25,5,240,44,0.0
25,5,180,44,0.022727272727272728
25,5,120,44,0.06818181818181818
25,5,90,44,0.11363636363636363
25,5,60,44,0.11363636363636363
25,5,40,44,0.11363636363636363
25,5,30,44,0.13636363636363635
25,5,20,44,0.13636363636363635
25,5,10,44,0.18181818181818182
25,5,5,44,0.22727272727272727
25,5,2,44,0.22727272727272727
25,5,1,44,0.22727272727272727
25,8,240,44,0.0
25,8,180,44,0.0
25,8,120,44,0.0
25,8,90,44,0.022727272727272728
25,8,60,44,0.045454545454545456
25,8,40,44,0.09090909090909091
25,8,30,44,0.11363636363636363
25,8,20,44,0.11363636363636363
25,8,10,44,0.13636363636363635
25,8,5,44,0.13636363636363635
25,8,2,44,0.1590909090909091
25,8,1,44,0.1590909090909091
26,3,240,43,0.023255813953488372
26,3,180,43,0.16279069767441862
26,3,120,43,0.18604651162790697
26,3,90,43,0.20930232558139536
26,3,60,43,0.27906976744186046
26,3,40,43,0.3488372093023256
26,3,30,43,0.3488372093023256
26,3,20,43,0.37209302325581395
26,3,10,43,0.3953488372093023
26,3,5,43,0.3953488372093023
26,3,2,43,0.4186046511627907
26,3,1,43,0.4418604651162791
26,5,240,43,0.0
26,5,180,43,0.09302325581395349
26,5,120,43,0.11627906976744186
26,5,90,43,0.13953488372093023
26,5,60,43,0.18604651162790697
26,5,40,43,0.23255813953488372
26,5,30,43,0.23255813953488372
26,5,20,43,0.2558139534883721
26,5,10,43,0.2558139534883721
26,5,5,43,0.2558139534883721
26,5,2,43,0.3023255813953488
26,5,1,43,0.3023255813953488
26,8,240,43,0.0
26,8,180,43,0.046511627906976744
26,8,120,43,0.046511627906976744
26,8,90,43,0.046511627906976744
26,8,60,43,0.09302325581395349
26,8,40,43,0.16279069767441862
26,8,30,43,0.16279069767441862
26,8,20,43,0.20930232558139536
26,8,10,43,0.20930232558139536
26,8,5,43,0.20930232558139536
26,8,2,43,0.23255813953488372
26,8,1,43,0.23255813953488372
27,3,240,51,0.0
27,3,180,51,0.058823529411764705
27,3,120,51,0.1568627450980392
27,3,90,51,0.17647058823529413
27,3,60,51,0.23529411764705882
27,3,40,51,0.27450980392156865
27,3,30,51,0.3333333333333333
27,3,20,51,0.37254901960784315
27,3,10,51,0.39215686274509803
27,3,5,51,0.43137254901960786
27,3,2,51,0.5098039215686274
27,3,1,51,0.5098039215686274
27,5,240,51,0.0
27,5,180,51,0.0
27,5,120,51,0.0
27,5,90,51,0.0196078431372549
27,5,60,51,0.0784313725490196
27,5,40,51,0.11764705882352941
27,5,30,51,0.19607843137254902
27,5,20,51,0.19607843137254902
27,5,10,51,0.23529411764705882
27,5,5,51,0.23529411764705882
27,5,2,51,0.29411764705882354
27,5,1,51,0.29411764705882354
27,8,240,51,0.0
27,8,180,51,0.0
27,8,120,51,0.0
27,8,90,51,0.0
27,8,60,51,0.058823529411764705
27,8,40,51,0.058823529411764705
27,8,30,51,0.11764705882352941
27,8,20,51,0.11764705882352941
27,8,10,51,0.1568627450980392
27,8,5,51,0.1568627450980392
27,8,2,51,0.1568627450980392
27,8,1,51,0.1568627450980392
28,3,240,54,0.0
28,3,180,54,0.12962962962962962
28,3,120,54,0.16666666666666666
28,3,90,54,0.2037037037037037
28,3,60,54,0.2962962962962963
28,3,40,54,0.3148148148148148
28,3,30,54,0.3333333333333333
28,3,20,54,0.35185185185185186
28,3,10,54,0.4074074074074074
28,3,5,54,0.4444444444444444
28,3,2,54,0.48148148148148145
28,3,1,54,0.48148148148148145
28,5,240,54,0.0
28,5,180,54,0.09259259259259259
28,5,120,54,0.09259259259259259
28,5,90,54,0.09259259259259259
28,5,60,54,0.12962962962962962
28,5,40,54,0.14814814814814814
28,5,30,54,0.16666666666666666
28,5,20,54,0.16666666666666666
28,5,10,54,0.2222222222222222
28,5,5,54,0.24074074074074073
28,5,2,54,0.25925925925925924
28,5,1,54,0.25925925925925924
28,8,240,54,0.0
28,8,180,54,0.018518518518518517
28,8,120,54,0.018518518518518517
28,8,90,54,0.037037037037037035
28,8,60,54,0.07407407407407407
28,8,40,54,0.09259259259259259
28,8,30,54,0.09259259259259259
28,8,20,54,0.1111111111111111
28,8,10,54,0.18518518518518517
28,8,5,54,0.18518518518518517
28,8,2,54,0.2037037037037037
28,8,1,54,0.2037037037037037
29,3,240,45,0.0
29,3,180,45,0.0
29,3,120,45,0.0
29,3,90,45,0.044444444444444446
29,3,60,45,0.15555555555555556
29,3,40,45,0.24444444444444444
29,3,30,45,0.28888888888888886
29,3,20,45,0.3111111111111111
29,3,10,45,0.35555555555555557
29,3,5,45,0.35555555555555557
29,3,2,45,0.37777777777777777
29,3,1,45,0.37777777777777777
29,5,240,45,0.0
29,5,180,45,0.0
29,5,120,45,0.0
29,5,90,45,0.022222222222222223
29,5,60,45,0.1111111111111111
29,5,40,45,0.15555555555555556
29,5,30,45,0.15555555555555556
29,5,20,45,0.17777777777777778
29,5,10,45,0.2222222222222222
29,5,5,45,0.2222222222222222
29,5,2,45,0.24444444444444444
29,5,1,45,0.26666666666666666
29,8,240,45,0.0
29,8,180,45,0.0
29,8,120,45,0.0
29,8,90,45,0.0
29,8,60,45,0.1111111111111111
29,8,40,45,0.1111111111111111
29,8,30,45,0.1111111111111111
29,8,20,45,0.13333333333333333
29,8,10,45,0.15555555555555556
29,8,5,45,0.15555555555555556
29,8,2,45,0.15555555555555556
29,8,1,45,0.15555555555555556
30,3,240,45,0.0
30,3,180,45,0.17777777777777778
30,3,120,45,0.24444444444444444
30,3,90,45,0.26666666666666666
30,3,60,45,0.35555555555555557
30,3,40,45,0.35555555555555557
30,3,30,45,0.37777777777777777
30,3,20,45,0.4444444444444444
30,3,10,45,0.4666666666666667
30,3,5,45,0.5111111111111111
30,3,2,45,0.5333333333333333
30,3,1,45,0.5333333333333333
30,5,240,45,0.0
30,5,180,45,0.08888888888888889
30,5,120,45,0.13333333333333333
30,5,90,45,0.13333333333333333
30,5,60,45,0.17777777777777778
30,5,40,45,0.2
30,5,30,45,0.24444444444444444
30,5,20,45,0.28888888888888886
30,5,10,45,0.3111111111111111
30,5,5,45,0.3333333333333333
30,5,2,45,0.3333333333333333
30,5,1,45,0.3333333333333333
30,8,240,45,0.0
30,8,180,45,0.044444444444444446
30,8,120,45,0.06666666666666667
30,8,90,45,0.06666666666666667
30,8,60,45,0.13333333333333333
30,8,40,45,0.15555555555555556
30,8,30,45,0.17777777777777778
30,8,20,45,0.2
30,8,10,45,0.24444444444444444
30,8,5,45,0.26666666666666666
30,8,2,45,0.26666666666666666
30,8,1,45,0.26666666666666666
31,3,240,50,0.0
31,3,180,50,0.06
31,3,120,50,0.16
31,3,90,50,0.2
31,3,60,50,0.24
31,3,40,50,0.26
31,3,30,50,0.3
31,3,20,50,0.32
31,3,10,50,0.34
31,3,5,50,0.4
31,3,2,50,0.42
31,3,1,50,0.42
31,5,240,50,0.0
