anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
30,5,0.4142,25,0.0579,0.0074,0.0474,8,0.3445,0.0168,False,0.04,5.0,280
31,5,0.4176,26,0.0496,0.0027,0.0459,9,0.3216,0.0147,False,0.0433,9.0,275
32,5,0.4209,27,0.0486,0.0016,0.0464,10,0.3051,0.0134,False,0.0449,3.0,281
33,6,0.411,27,0.0486,0.0026,0.0449,11,0.2993,0.0139,False,0.0424,3.5,289
34,2,0.5136,32,0.0449,0.0045,0.0406,12,0.2878,0.0152,True,0.0361,4.5,297
35,3,0.4734,32,0.0449,0.0069,0.0372,12,0.2855,0.0119,True,0.0303,6.0,294
36,4,0.4379,32,0.0449,0.0061,0.037,12,0.2805,0.0102,True,0.0309,5.0,285
37,4,0.4185,33,0.0424,0.0061,0.0339,12,0.2728,0.0082,True,0.0278,7.0,274
38,4,0.4071,34,0.0361,0.0048,0.0292,6,0.3688,0.0076,False,0.0244,3.5,271
39,3,0.4366,36,0.0309,0.0042,0.0255,7,0.3438,0.0081,False,0.0213,5.0,266
40,3,0.4356,37,0.0278,0.0048,0.0216,8,0.3204,0.009,False,0.0168,5.0,264
41,3,0.4464,38,0.0244,0.0034,0.0202,9,0.3034,0.0085,False,0.0168,4.0,258
42,3,0.4504,39,0.0213,0.0018,0.0191,10,0.283,0.0078,False,0.0173,4.0,253
43,4,0.4076,39,0.0213,0.001,0.0199,11,0.2712,0.007,False,0.0189,7.5,233
44,0,0.6844,44,0.0224,0.0,0.0224,12,0.2631,0.0059,True,0.0224,6.0,222
45,0,0.6771,45,0.025,0.0,0.025,12,0.259,0.0045,True,0.025,6.0,208
46,0,0.6612,46,0.0275,0.0,0.0275,12,0.2652,0.0023,True,0.0275,11.5,194
47,0,0.6501,47,0.0291,0.0,0.0291,11,0.2843,0.0005,False,0.0291,6.0,185
48,0,0.6221,48,0.0401,0.0,0.0401,0,0.6221,0.0,False,0.0401,4.0,169
49,1,0.5339,48,0.0401,0.0003,0.0398,1,0.5339,0.0003,False,0.0395,3.5,174
50,0,0.6023,50,0.0418,0.0,0.0418,0,0.6023,0.0,False,0.0418,6.0,182
51,0,0.5962,51,0.0468,0.0,0.0468,0,0.5962,0.0,False,0.0468,11.0,197
52,0,0.5831,52,0.0508,0.0,0.0508,0,0.5831,0.0,False,0.0508,5.0,221
53,0,0.5782,53,0.053,0.0,0.053,0,0.5782,0.0,False,0.053,4.0,239
54,1,0.4808,53,0.053,0.0018,0.0511,1,0.4808,0.0018,False,0.0493,6.0,245
55,2,0.42,53,0.053,0.0021,0.0501,2,0.42,0.0021,False,0.048,6.0,258
56,0,0.5786,56,0.0517,0.0,0.0517,3,0.3888,0.0005,False,0.0517,7.0,259
57,1,0.5047,56,0.0517,0.0003,0.0514,4,0.3652,0.0007,False,0.0511,3.0,260
58,0,0.6073,58,0.0524,0.0,0.0524,5,0.3365,0.0002,False,0.0524,4.0,283
59,1,0.5221,58,0.0524,0.0004,0.052,6,0.308,0.0004,False,0.0516,4.0,277
60,0,0.6001,60,0.0549,0.0,0.0549,0,0.6001,0.0,False,0.0549,9.0,277
61,0,0.5853,61,0.0553,0.0,0.0553,0,0.5853,0.0,False,0.0553,6.5,279
62,0,0.5942,62,0.0557,0.0,0.0557,0,0.5942,0.0,False,0.0557,4.0,293
63,0,0.607,63,0.0561,0.0,0.0561,0,0.607,0.0,False,0.0561,7.0,298
64,0,0.6209,64,0.0602,0.0,0.0602,0,0.6209,0.0,False,0.0602,4.0,300
65,0,0.6398,65,0.0645,0.0,0.0645,0,0.6398,0.0,False,0.0645,11.5,293
66,0,0.6295,66,0.0739,0.0,0.0739,0,0.6295,0.0,False,0.0739,8.5,290
67,0,0.6312,67,0.0771,0.0,0.0771,0,0.6312,0.0,False,0.0771,4.0,283
68,0,0.6319,68,0.0826,0.0,0.0826,0,0.6319,0.0,False,0.0826,5.0,277
69,0,0.6337,69,0.0835,0.0,0.0835,0,0.6337,0.0,False,0.0835,4.5,273
70,0,0.6278,70,0.0861,0.0,0.0861,0,0.6278,0.0,False,0.0861,6.0,270
71,1,0.525,70,0.0861,0.0004,0.0857,1,0.525,0.0004,False,0.0853,11.0,264
72,2,0.4637,70,0.0861,0.0001,0.086,2,0.4637,0.0001,False,0.086,3.0,248
73,1,0.5088,72,0.086,0.0021,0.084,1,0.5088,0.0021,False,0.0819,8.0,247
74,2,0.458,72,0.086,0.0033,0.0821,2,0.458,0.0033,False,0.0787,14.0,244
75,3,0.421,72,0.086,0.0033,0.0814,3,0.421,0.0033,False,0.0781,8.5,238
76,3,0.422,73,0.0819,0.0034,0.0773,4,0.3941,0.0047,False,0.0739,22.0,228
77,2,0.5141,75,0.0781,0.0027,0.0755,5,0.3573,0.0047,False,0.0728,5.0,219
78,3,0.4513,75,0.0781,0.0034,0.074,6,0.3336,0.0051,False,0.0706,11.5,208
79,4,0.4121,75,0.0781,0.0032,0.0734,7,0.3084,0.0049,False,0.0702,11.5,194
80,4,0.4113,76,0.0739,0.0019,0.0712,8,0.2751,0.0046,False,0.0693,15.5,185
81,4,0.4072,77,0.0728,0.0044,0.0664,9,0.2456,0.0059,False,0.0621,5.0,176
82,2,0.4816,80,0.0693,0.0058,0.0631,10,0.21,0.006,False,0.0573,7.0,176
83,3,0.416,80,0.0693,0.0049,0.0624,11,0.1956,0.0056,False,0.0575,42.0,164
84,3,0.401,81,0.0621,0.003,0.0576,12,0.1749,0.0055,True,0.0547,38.0,152
85,2,0.441,83,0.0575,0.0034,0.0532,5,0.2851,0.0056,False,0.0498,32.0,149
86,2,0.4326,84,0.0547,0.0016,0.0526,6,0.2445,0.0045,False,0.051,27.0,144
87,1,0.4967,86,0.051,0.0057,0.0452,7,0.2033,0.0061,False,0.0394,20.0,138
88,2,0.4297,86,0.051,0.0069,0.0419,2,0.4297,0.0069,False,0.035,17.0,131
89,2,0.4237,87,0.0394,0.0025,0.0361,3,0.3527,0.0061,False,0.0336,9.0,126
90,2,0.4079,88,0.035,0.0016,0.0327,4,0.2906,0.0058,False,0.0311,20.0,116
91,2,0.4135,89,0.0336,0.0008,0.0324,5,0.2517,0.0049,False,0.0316,27.0,107
92,1,0.4741,91,0.0316,0.0011,0.0303,6,0.1977,0.0043,False,0.0292,10.5,99
93,1,0.4405,92,0.0292,0.0005,0.0285,7,0.1696,0.0039,False,0.0279,7.0,91
94,1,0.4263,93,0.0279,0.0013,0.0262,8,0.152,0.004,False,0.0249,22.5,83
