c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
6,90,3,2,1.0,1.0,5.0,0.0,22,0.09090909090909091,2,1.0,0.10429959769395071,327.3
6,90,4,3,1.0,0.6666666666666666,3.0,0.0,22,0.13636363636363635,3,1.0,0.09734481734170733,327.3
6,90,7,1,0.0,0.0,,27942.0,22,0.045454545454545456,1,0.43696770759403836,0.039247617789857414,327.3
6,120,-2,1,0.0,0.0,-2.0,0.0,19,0.05263157894736842,1,0.7415821734094956,0.15443737388273804,327.3
6,120,-1,4,1.0,0.25,0.25,4083.0,19,0.21052631578947367,4,0.8457091799971177,0.2969778094141257,327.3
6,120,0,10,1.0,0.7833333333333334,1.2833333333333334,3175.478787878788,19,0.5263157894736842,10,0.9317820741423244,0.6233298839873928,327.3
6,120,1,8,1.0,1.0,2.75,2471.6875,19,0.42105263157894735,8,1.0,0.3945469869097053,327.3
6,120,2,2,1.0,0.5,1.4999999999999996,0.0,19,0.10526315789473684,2,1.0,0.18164280307796812,327.3
6,120,3,2,1.0,1.0,3.5,2579.0,19,0.10526315789473684,2,1.0,0.08393021858632956,327.3
6,120,6,1,1.0,1.0,6.0,0.0,19,0.05263157894736842,1,1.0,0.05263157894736842,327.3
6,180,-4,2,1.0,0.5,0.5,0.0,35,0.05714285714285714,2,0.8279151017556118,0.050525109753412546,327.3
6,180,-3,2,1.0,0.5,1.0,931.5,35,0.05714285714285714,2,0.8506150449455921,0.11607027667938231,327.3
6,180,-2,7,0.6666666666666666,0.42857142857142855,0.5238095238095238,2773.1428571428573,35,0.2,7,0.7227012587199808,0.24099080619581537,327.3
6,180,-1,17,1.0,0.7058823529411765,1.2352941176470589,4964.35294117647,35,0.4857142857142857,17,0.9297996792077826,0.39907064619449706,327.3
6,180,0,21,1.0,0.9355158730158729,1.8234126984126984,3984.879100529101,35,0.6,21,0.9659288143333881,0.6670921219803431,327.3
6,180,1,16,0.9375,0.9375,2.6805555555555554,3914.003472222222,35,0.45714285714285713,16,0.9769997055425944,0.384689113415995,327.3
6,180,2,4,1.0,0.75,4.5,3041.5,35,0.11428571428571428,4,1.0,0.12130148689249061,327.3
6,180,3,5,1.0,0.8,4.6,2306.8,35,0.14285714285714285,5,1.0,0.15403949625964816,327.3
6,180,5,1,1.0,1.0,7.0,0.0,35,0.02857142857142857,1,1.0,0.02857142857142857,327.3
6,180,7,1,1.0,1.0,9.0,10438.0,35,0.02857142857142857,1,1.0,0.02857142857142857,327.3
6,240,-4,1,1.0,1.0,1.0,0.0,23,0.043478260869565216,1,1.0,0.04263347482414191,327.3
6,240,-3,2,0.5,0.5,0.5,3817.0,23,0.08695652173913043,2,0.7227119310548219,0.07388125689845615,327.3
6,240,-2,1,1.0,1.0,1.0,7478.0,23,0.043478260869565216,1,0.921783007594615,0.12262731311526871,327.3
6,240,-1,7,1.0,0.42857142857142855,0.5714285714285714,4558.047619047619,23,0.30434782608695654,7,0.8421060801065845,0.3263744885796018,327.3
6,240,0,13,1.0,0.9230769230769231,1.8153846153846156,4190.426495726496,23,0.5652173913043478,13,0.9947064908845544,0.5782226751463261,327.3
6,240,1,7,1.0,1.0,3.0,3578.333333333333,23,0.30434782608695654,7,1.0,0.44135358045681194,327.3
6,240,2,5,1.0,1.0,3.8,1162.4,23,0.21739130434782608,5,0.9382944930223095,0.15986174532543054,327.3
6,240,3,1,1.0,1.0,1.9999999999999991,3426.0,23,0.043478260869565216,1,1.0,0.04060698658506971,327.3
6,240,5,1,1.0,1.0,7.0,5372.0,23,0.043478260869565216,1,1.0,0.08203306099166538,327.3
6,240,8,1,1.0,1.0,6.999999999999999,3422.0,23,0.043478260869565216,1,1.0,0.043478260869565216,327.3
7,2,-2,1,0.0,0.0,-1.0,7133.0,4,0.25,1,0.33428081430431605,0.3028511766760885,425.7
7,2,0,2,0.0,0.0,-1.0000000000000004,14653.5,4,0.5,2,0.3935942388802985,0.3953086849944223,425.7
7,2,4,1,0.0,0.0,,7257.0,4,0.25,1,0.0,0.25,425.7
7,3,-3,1,0.0,0.0,-1.0,7096.0,5,0.2,1,0.0,0.22292548189938882,425.7
7,3,0,1,0.0,0.0,-8.881784197001252e-16,29024.0,5,0.2,1,0.6981905847516476,0.2937319025719639,425.7
7,3,2,2,1.0,1.0,1.9999999999999991,4071.5,5,0.4,2,1.0,0.4290772499153299,425.7
7,3,5,1,1.0,1.0,2.0,5810.0,5,0.2,1,1.0,0.19558994996032456,425.7
7,5,0,2,0.5,0.5,0.49999999999999956,14452.0,4,0.5,2,0.7926484448633365,0.4329208313656947,425.7
7,5,4,1,1.0,1.0,3.999999999999999,8133.0,4,0.25,1,1.0,0.25,425.7
7,5,5,1,1.0,1.0,2.0,5191.0,4,0.25,1,1.0,0.19179533308291982,425.7
7,5,6,1,1.0,1.0,5.999999999999999,7983.0,4,0.25,1,0.565970515970516,0.17487951237951238,425.7
7,7,-1,1,0.5,0.0,0.0,0.0,6,0.16666666666666666,1,0.4735849819552977,0.198828309844171,425.7
7,7,1,2,0.5,0.0,-0.5,6190.0,6,0.3333333333333333,2,0.5538094192167893,0.2498949264763686,425.7
