c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,minute_over_optimistic
20.0,13.0,33.0,286.0,1769.6,25.0,0.965034965034965,0.9684313272199532,0.8581263192076636,8.26228283812307,11.846153846153845,11.938480902108857,20.0,0.9684313272199532,0.8581263192076636,0.1103050080122896
21.0,15.0,36.0,302.0,1566.5,24.0,0.9701986754966887,0.9546312560904205,0.8530563694914269,9.621282891873856,13.927152317880793,13.34339296396585,21.0,0.9546312560904205,0.8530563694914269,0.10157488659899361
22.0,14.0,36.0,195.0,1627.0,26.0,0.9384615384615385,0.9566353466997413,0.859651439133879,8.936317225596337,11.784615384615384,12.425804458761343,22.0,0.9566353466997413,0.859651439133879,0.09698390756586228
23.0,14.0,37.0,100.0,1527.0,26.0,0.88,0.936684654476869,0.8550303231702252,8.625820387139651,9.56,11.614855660921044,23.0,0.936684654476869,0.8550303231702252,0.08165433130664379
24.0,12.0,36.0,79.0,1787.9,26.0,0.9113924050632911,0.9638920158875129,0.8720067810976903,7.4043229497774945,8.81012658227848,10.6845861387821,24.0,0.9638920158875129,0.8720067810976903,0.09188523478982269
25.0,13.0,38.0,349.0,1673.7,27.0,0.9828080229226361,0.9480140176916004,0.8546090041212372,7.434347122958943,12.346704871060174,10.978379405566331,25.0,0.9480140176916004,0.8546090041212372,0.09340501357036324
26.0,11.0,37.0,274.0,1997.2,27.0,0.9744525547445255,0.9647172979897194,0.8561133652273966,5.671713195664023,10.054744525547443,9.67412473937252,26.0,0.9647172979897194,0.8561133652273966,0.10860393276232283
27.0,11.0,38.0,567.0,2071.5,25.0,0.9876543209876543,0.9632292592554753,0.8507370663079424,5.227229415391514,10.53086419753086,9.572866328153468,27.0,0.9632292592554753,0.8507370663079424,0.11249219294753288
28.0,10.0,38.0,372.0,2415.0,25.0,0.9758064516129032,0.9764439254781176,0.8653461906002954,4.83667796021197,9.080645161290324,9.094489223223915,28.0,0.9764439254781176,0.8653461906002954,0.11109773487782226
29.0,11.0,40.0,312.0,2234.4,25.0,0.9423076923076923,0.9652267462292637,0.8506415177102752,5.026866981028621,8.692307692307692,9.609101406450593,29.0,0.9652267462292637,0.8506415177102752,0.11458522851898856
30.0,10.0,40.0,131.0,1836.2,25.0,0.8778625954198473,0.971298748269569,0.8515642171587663,4.031211077734632,5.114503816793894,8.85167139893659,30.0,0.971298748269569,0.8515642171587663,0.11973453111080268
31.0,9.0,40.0,455.0,1526.1,26.0,0.9824175824175824,0.9770820762365873,0.8586171822669875,3.3838100672306433,8.296703296703294,8.088405523689104,31.0,0.9770820762365873,0.8586171822669875,0.1184648939695998
32.0,9.0,41.0,203.0,1650.2,27.0,0.9655172413793104,0.9800078213391208,0.8583495094695976,3.310896595141913,7.586206896551726,8.194243852636419,32.0,0.9800078213391208,0.8583495094695976,0.12165831186952314
33.0,8.0,41.0,151.0,1722.8,26.0,0.9735099337748344,0.9555468422650968,0.8755317689035267,2.9351585014409225,6.913907284768211,9.01962027992727,33.0,0.9555468422650968,0.8755317689035267,0.0800150733615701
34.0,12.0,46.0,420.0,1878.2,26.0,0.9809523809523809,0.9274405479514571,0.8570694207537912,7.355749234759444,11.123809523809522,13.319127466155528,34.0,0.9274405479514571,0.8570694207537912,0.07037112719766592
