c,D,target_above,match_N,pooled_N,reach_spike_raw,reach_spike_pooled_match
9,23,32,3,46.1,0.6666666666666666,0.32580915777357233
9,24,33,3,46.1,0.6666666666666666,0.3063386464287804
9,25,34,3,46.1,0.6666666666666666,0.28798993308231075
9,26,35,3,46.1,0.6666666666666666,0.2519168113623505
9,27,36,3,46.1,0.6666666666666666,0.2519168113623505
9,28,37,3,46.1,0.3333333333333333,0.19052031917591744
9,29,38,3,46.1,0.3333333333333333,0.19052031917591744
9,30,39,3,46.1,0.3333333333333333,0.19052031917591744
10,1,11,8,46.5,0.875,0.8813816359594591
10,2,12,8,46.5,0.75,0.8141931351493914
10,3,13,8,46.5,0.75,0.7645529558042273
10,4,14,8,46.5,0.75,0.7125673486304208
10,5,15,8,46.5,0.75,0.6760295392034964
10,6,16,8,46.5,0.5,0.6330017708451076
10,7,17,8,46.5,0.5,0.5844636599977393
10,8,18,8,46.5,0.5,0.5844636599977393
10,9,19,8,46.5,0.5,0.5497249538449944
10,10,20,8,46.5,0.5,0.5497249538449944
10,11,21,8,46.5,0.5,0.5000847744998305
10,12,22,8,46.5,0.5,0.5000847744998305
10,13,23,8,46.5,0.5,0.5000847744998305
10,14,24,8,46.5,0.5,0.4828472928676387
10,15,25,8,46.5,0.5,0.4828472928676387
10,16,26,8,46.5,0.5,0.4526204739836479
10,17,27,8,46.5,0.5,0.4526204739836479
10,18,28,8,46.5,0.5,0.4526204739836479
10,19,29,8,46.5,0.5,0.4526204739836479
10,20,30,8,46.5,0.5,0.4526204739836479
10,21,31,8,46.5,0.5,0.40515617346746546
10,22,32,8,46.5,0.5,0.40515617346746546
10,23,33,8,46.5,0.5,0.3916205116612035
10,24,34,8,46.5,0.375,0.37010662748200895
10,25,35,8,46.5,0.375,0.35286914584981727
10,26,36,8,46.5,0.25,0.3003183753438077
10,27,37,8,46.5,0.25,0.3003183753438077
10,28,38,8,46.5,0.125,0.2337986511435138
10,29,39,8,46.5,0.125,0.2337986511435138
10,30,40,8,46.5,0.125,0.2337986511435138
11,1,12,10,49.7,0.9,0.8954308950198941
11,2,13,10,49.7,0.9,0.8208123824931135
11,3,14,10,49.7,0.8,0.7601853876087622
11,4,15,10,49.7,0.8,0.7236325477679157
11,5,16,10,49.7,0.8,0.7076909623540728
11,6,17,10,49.7,0.8,0.6718202089982948
11,7,18,10,49.7,0.6,0.6153994141051986
11,8,19,10,49.7,0.6,0.6032355384548117
11,9,20,10,49.7,0.5,0.5672336146211359
11,10,21,10,49.7,0.5,0.5672336146211359
11,11,22,10,49.7,0.4,0.5309343710375585
11,12,23,10,49.7,0.4,0.5309343710375585
11,13,24,10,49.7,0.4,0.5309343710375585
11,14,25,10,49.7,0.4,0.5150539985134012
11,15,26,10,49.7,0.4,0.5150539985134012
11,16,27,10,49.7,0.4,0.48059988631891915
11,17,28,10,49.7,0.4,0.48059988631891915
11,18,29,10,49.7,0.4,0.48059988631891915
11,19,30,10,49.7,0.4,0.48059988631891915
11,20,31,10,49.7,0.4,0.48059988631891915
11,21,32,10,49.7,0.4,0.4302654016002799
11,22,33,10,49.7,0.4,0.4302654016002799
11,23,34,10,49.7,0.4,0.414087709326221
11,24,35,10,49.7,0.4,0.39615233264833194
11,25,36,10,49.7,0.4,0.3802719601241747
11,26,37,10,49.7,0.3,0.3260373398627082
11,27,38,10,49.7,0.3,0.3260373398627082
11,28,39,10,49.7,0.3,0.2598049932228586
11,29,40,10,49.7,0.3,0.2598049932228586
11,30,41,10,49.7,0.3,0.2598049932228586
12,1,13,9,59.1,0.8888888888888888,0.921347870743462
12,2,14,9,59.1,0.8888888888888888,0.8078082145396674
12,3,15,9,59.1,0.8888888888888888,0.7357927290375736
12,4,16,9,59.1,0.6666666666666666,0.7019661621462996
12,5,17,9,59.1,0.6666666666666666,0.6744771385681553
12,6,18,9,59.1,0.6666666666666666,0.6438785990812537
12,7,19,9,59.1,0.6666666666666666,0.5845551304190791
12,8,20,9,59.1,0.6666666666666666,0.5705199832955224
12,9,21,9,59.1,0.6666666666666666,0.5421054413706701
12,10,22,9,59.1,0.6666666666666666,0.5421054413706701
12,11,23,9,59.1,0.6666666666666666,0.5111965146333479
12,12,24,9,59.1,0.6666666666666666,0.49816025011568976
12,13,25,9,59.1,0.6666666666666666,0.49816025011568976
12,14,26,9,59.1,0.6666666666666666,0.49816025011568976
12,15,27,9,59.1,0.6666666666666666,0.49816025011568976
12,16,28,9,59.1,0.5555555555555556,0.4396437883046083
12,17,29,9,59.1,0.5555555555555556,0.4396437883046083
12,18,30,9,59.1,0.5555555555555556,0.4396437883046083
12,19,31,9,59.1,0.5555555555555556,0.4396437883046083
12,20,32,9,59.1,0.5555555555555556,0.42660752378695016
12,21,33,9,59.1,0.4444444444444444,0.39416359101118514
12,22,34,9,59.1,0.4444444444444444,0.38112732649352693
12,23,35,9,59.1,0.4444444444444444,0.3655966771633991
12,24,36,9,59.1,0.4444444444444444,0.33726114290229003
12,25,37,9,59.1,0.4444444444444444,0.33726114290229003
12,26,38,9,59.1,0.4444444444444444,0.29105294642151713
