c,tbin,fill
37,140,0.6591605614044944
37,150,0.6802832396139017
37,160,0.6733038036511783
37,170,0.688471041257949
37,180,0.6710865336233409
37,190,0.6951208355591826
37,200,0.6952396178095483
37,210,0.7030544160711243
37,220,0.7155841856060362
37,230,0.7254337329439831
37,240,0.731452490496514
38,20,0.2581066164248251
38,30,0.44777316934698574
38,40,0.5335160550485102
38,50,0.5489833334378251
38,60,0.5843591588892467
38,70,0.6097318876207726
38,80,0.6413236962259841
38,90,0.6521594721138546
38,100,0.6659719035780026
38,110,0.6876775781654587
38,120,0.6783885384964556
38,130,0.7012249338332975
38,140,0.7051537612823889
38,150,0.7218679801703939
38,160,0.7157227296648059
38,170,0.7324215670876677
38,180,0.7160491445640801
38,190,0.7459825066547834
38,200,0.7481639027356848
38,210,0.7596415395234024
38,220,0.7701699915709804
38,230,0.7752362067114121
38,240,0.7720592373311614
39,20,0.2577856561952941
39,30,0.449924538830184
39,40,0.5378223886923335
39,50,0.5535403935967776
39,60,0.5982941747147928
39,70,0.6231268505229951
39,80,0.6477762195626483
39,90,0.6513822431343046
39,100,0.6655140052731989
39,110,0.6917698390673583
39,120,0.6900913989218488
39,130,0.7184377672496652
39,140,0.7256912729904418
39,150,0.7354252903998643
39,160,0.7307338591092184
39,170,0.7435079702015539
39,180,0.7288341880947143
39,190,0.7601214234229419
39,200,0.7647635008250376
39,210,0.7741322625296527
39,220,0.776438471091001
39,230,0.7801553980538021
39,240,0.773781775437417
40,20,0.26023771121235867
40,30,0.449688192462594
40,40,0.5374150588090957
40,50,0.551067460961907
40,60,0.6024409449874116
40,70,0.6331432261228231
40,80,0.6483117204270396
40,90,0.6593130362898888
40,100,0.6654797875449884
40,110,0.6970802291831963
40,120,0.6930200775389643
40,130,0.7245861406157508
40,140,0.7323492643864363
40,150,0.738883544926585
40,160,0.7384808414227059
40,170,0.7473190344162549
40,180,0.7281770601476756
40,190,0.7555895392725472
40,200,0.7615204800103054
40,210,0.7666681125645302
40,220,0.7573451122530248
40,230,0.7587383394308945
40,240,0.7476050958476879
41,20,0.28044007619574624
41,30,0.49279280521095264
41,40,0.574369974914447
41,50,0.5926014617682281
41,60,0.6386310016318103
41,70,0.6742371641337523
41,80,0.6812155353148728
41,90,0.6991226282915111
41,100,0.7090333128910723
41,110,0.7358287440808168
41,120,0.727661655198021
41,130,0.7553836854838952
41,140,0.763971775667541
41,150,0.7707870624212578
41,160,0.7755550835336559
41,170,0.7737133432484061
