c,tbin,dbucket,occ_N,fill_reach,deepen_frac,extra_dip,mean_vol,present_N,occupancy,match_N,fill_reach_pooled,occupancy_pooled,pooled_N
6,90,-4,1,1.0,1.0,1.0,0.0,17,0.058823529411764705,1,0.8225501734957099,0.05938610971769225,178.7
6,90,-3,1,1.0,1.0,2.0,0.0,17,0.058823529411764705,1,0.8946717452709064,0.1077832328857247,178.7
6,90,-2,4,0.9166666666666666,0.5,0.6666666666666667,24855.25,17,0.23529411764705882,4,0.9113035861841019,0.19963962306817395,178.7
6,90,-1,9,0.8611111111111112,0.5066137566137566,0.7566137566137566,37169.526455026455,17,0.5294117647058824,9,0.811309281184883,0.4805653998837134,178.7
6,90,0,11,0.9935064935064936,0.9025974025974026,1.505141916906623,68770.47300101859,17,0.6470588235294118,11,0.9273451431751408,0.6579033461063878,178.7
6,90,1,6,0.9722222222222223,0.9722222222222223,2.2575757575757573,23192.809523809523,17,0.35294117647058826,6,0.9459007847892686,0.27874150973664785,178.7
6,90,2,2,1.0,1.0,4.0,0.0,17,0.11764705882352941,2,1.0,0.09807265198094442,178.7
6,90,3,1,1.0,1.0,7.0,0.0,17,0.058823529411764705,1,1.0,0.08029438728729581,178.7
6,90,4,1,1.0,1.0,8.0,0.0,17,0.058823529411764705,1,1.0,0.04518772511648644,178.7
6,120,-4,1,1.0,1.0,1.0,0.0,19,0.05263157894736842,1,1.0,0.12395477935907011,178.7
6,120,-3,2,1.0,1.0,2.0,0.0,19,0.10526315789473684,2,1.0,0.15200863688831145,178.7
6,120,-2,2,1.0,0.5,1.5,11168.0,19,0.10526315789473684,2,0.8401316917755441,0.1682123515875782,178.7
6,120,-1,8,1.0,0.625,1.25,16528.125,19,0.42105263157894735,8,0.8925420284000161,0.384246027511237,178.7
6,120,0,14,1.0,1.0,1.6428571428571428,51583.71768707483,19,0.7368421052631579,14,0.990259257883594,0.7330729493730411,178.7
