c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
15,5,120,15,0.13333333333333333
15,5,90,15,0.13333333333333333
15,5,60,15,0.13333333333333333
15,5,40,15,0.13333333333333333
15,5,30,15,0.13333333333333333
15,5,20,15,0.2
15,5,10,15,0.2
15,5,5,15,0.26666666666666666
15,5,2,15,0.26666666666666666
15,5,1,15,0.26666666666666666
15,8,240,15,0.0
15,8,180,15,0.0
15,8,120,15,0.06666666666666667
15,8,90,15,0.06666666666666667
15,8,60,15,0.13333333333333333
15,8,40,15,0.13333333333333333
15,8,30,15,0.13333333333333333
15,8,20,15,0.2
15,8,10,15,0.2
15,8,5,15,0.2
15,8,2,15,0.2
15,8,1,15,0.2
16,3,240,6,0.0
16,3,180,6,0.0
16,3,120,6,0.0
16,3,90,6,0.0
16,3,60,6,0.16666666666666666
16,3,40,6,0.16666666666666666
16,3,30,6,0.3333333333333333
16,3,20,6,0.5
16,3,10,6,0.5
16,3,5,6,0.5
16,3,2,6,0.5
16,3,1,6,0.5
16,5,240,6,0.0
16,5,180,6,0.0
16,5,120,6,0.0
16,5,90,6,0.0
16,5,60,6,0.0
16,5,40,6,0.16666666666666666
16,5,30,6,0.16666666666666666
16,5,20,6,0.16666666666666666
16,5,10,6,0.16666666666666666
16,5,5,6,0.16666666666666666
16,5,2,6,0.16666666666666666
16,5,1,6,0.16666666666666666
16,8,240,6,0.0
16,8,180,6,0.0
16,8,120,6,0.0
16,8,90,6,0.0
16,8,60,6,0.0
16,8,40,6,0.0
16,8,30,6,0.16666666666666666
16,8,20,6,0.16666666666666666
16,8,10,6,0.16666666666666666
16,8,5,6,0.16666666666666666
16,8,2,6,0.16666666666666666
16,8,1,6,0.16666666666666666
17,3,240,8,0.0
17,3,180,8,0.0
17,3,120,8,0.125
17,3,90,8,0.125
17,3,60,8,0.125
17,3,40,8,0.25
17,3,30,8,0.25
17,3,20,8,0.25
17,3,10,8,0.25
17,3,5,8,0.375
17,3,2,8,0.375
17,3,1,8,0.375
17,5,240,8,0.0
17,5,180,8,0.0
17,5,120,8,0.125
17,5,90,8,0.125
17,5,60,8,0.125
17,5,40,8,0.25
17,5,30,8,0.25
17,5,20,8,0.25
17,5,10,8,0.25
17,5,5,8,0.375
17,5,2,8,0.375
17,5,1,8,0.375
17,8,240,8,0.0
17,8,180,8,0.0
17,8,120,8,0.0
17,8,90,8,0.0
17,8,60,8,0.0
17,8,40,8,0.125
17,8,30,8,0.125
17,8,20,8,0.125
17,8,10,8,0.125
17,8,5,8,0.125
17,8,2,8,0.125
17,8,1,8,0.125
18,3,240,8,0.0
18,3,180,8,0.125
18,3,120,8,0.125
18,3,90,8,0.125
18,3,60,8,0.125
18,3,40,8,0.25
18,3,30,8,0.375
18,3,20,8,0.375
18,3,10,8,0.375
18,3,5,8,0.375
18,3,2,8,0.375
18,3,1,8,0.375
18,5,240,8,0.0
18,5,180,8,0.0
18,5,120,8,0.0
18,5,90,8,0.0
18,5,60,8,0.0
18,5,40,8,0.125
18,5,30,8,0.25
18,5,20,8,0.25
18,5,10,8,0.25
18,5,5,8,0.25
18,5,2,8,0.25
18,5,1,8,0.25
18,8,240,8,0.0
18,8,180,8,0.0
18,8,120,8,0.0
18,8,90,8,0.0
18,8,60,8,0.0
18,8,40,8,0.125
18,8,30,8,0.125
18,8,20,8,0.125
18,8,10,8,0.125
18,8,5,8,0.125
18,8,2,8,0.125
18,8,1,8,0.125
19,3,240,10,0.0
19,3,180,10,0.0
19,3,120,10,0.0
19,3,90,10,0.1
19,3,60,10,0.1
19,3,40,10,0.3
19,3,30,10,0.3
19,3,20,10,0.3
19,3,10,10,0.3
19,3,5,10,0.3
19,3,2,10,0.3
19,3,1,10,0.3
19,5,240,10,0.0
19,5,180,10,0.0
19,5,120,10,0.0
19,5,90,10,0.0
19,5,60,10,0.0
19,5,40,10,0.1
19,5,30,10,0.2
19,5,20,10,0.2
19,5,10,10,0.2
19,5,5,10,0.2
19,5,2,10,0.2
19,5,1,10,0.2
19,8,240,10,0.0
19,8,180,10,0.0
19,8,120,10,0.0
19,8,90,10,0.0
19,8,60,10,0.0
19,8,40,10,0.1
19,8,30,10,0.1
19,8,20,10,0.2
19,8,10,10,0.2
19,8,5,10,0.2
19,8,2,10,0.2
19,8,1,10,0.2
20,3,240,7,0.0
20,3,180,7,0.0
20,3,120,7,0.0
20,3,90,7,0.0
20,3,60,7,0.0
20,3,40,7,0.0
20,3,30,7,0.0
20,3,20,7,0.0
20,3,10,7,0.14285714285714285
20,3,5,7,0.14285714285714285
20,3,2,7,0.14285714285714285
20,3,1,7,0.14285714285714285
20,5,240,7,0.0
20,5,180,7,0.0
20,5,120,7,0.0
20,5,90,7,0.0
20,5,60,7,0.0
20,5,40,7,0.0
20,5,30,7,0.0
20,5,20,7,0.0
20,5,10,7,0.0
20,5,5,7,0.14285714285714285
20,5,2,7,0.14285714285714285
20,5,1,7,0.14285714285714285
20,8,240,7,0.0
20,8,180,7,0.0
20,8,120,7,0.0
20,8,90,7,0.0
20,8,60,7,0.0
20,8,40,7,0.0
20,8,30,7,0.0
20,8,20,7,0.0
20,8,10,7,0.0
20,8,5,7,0.0
20,8,2,7,0.0
20,8,1,7,0.0
21,3,240,12,0.0
21,3,180,12,0.08333333333333333
21,3,120,12,0.08333333333333333
21,3,90,12,0.08333333333333333
21,3,60,12,0.08333333333333333
21,3,40,12,0.25
21,3,30,12,0.25
21,3,20,12,0.25
21,3,10,12,0.25
21,3,5,12,0.3333333333333333
21,3,2,12,0.3333333333333333
21,3,1,12,0.3333333333333333
21,5,240,12,0.0
21,5,180,12,0.08333333333333333
21,5,120,12,0.08333333333333333
21,5,90,12,0.08333333333333333
21,5,60,12,0.08333333333333333
21,5,40,12,0.16666666666666666
21,5,30,12,0.25
21,5,20,12,0.25
21,5,10,12,0.25
21,5,5,12,0.25
21,5,2,12,0.25
21,5,1,12,0.25
21,8,240,12,0.0
21,8,180,12,0.08333333333333333
21,8,120,12,0.08333333333333333
21,8,90,12,0.08333333333333333
21,8,60,12,0.08333333333333333
