anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
30,6,0.4411,24,0.1046,0.0084,0.094,6,0.4411,0.0084,False,0.0856,3.5,1040
31,7,0.4207,24,0.1046,0.0101,0.0907,7,0.4207,0.0101,False,0.0805,3.5,1027
32,7,0.4215,25,0.0973,0.0081,0.0862,8,0.3987,0.0106,False,0.078,3.5,1027
33,4,0.4768,29,0.0904,0.0091,0.0805,9,0.3804,0.0126,False,0.0714,2.0,1040
34,5,0.4494,29,0.0904,0.0113,0.0766,10,0.3577,0.0141,False,0.0653,3.0,1039
35,6,0.424,29,0.0904,0.0118,0.0744,11,0.3373,0.0142,False,0.0626,3.0,1035
36,6,0.4161,30,0.0856,0.0126,0.0679,12,0.3189,0.0157,True,0.0553,4.0,1033
37,6,0.4115,31,0.0805,0.0121,0.0632,8,0.3787,0.0149,False,0.051,3.0,1040
38,6,0.412,32,0.078,0.0113,0.062,9,0.3632,0.0144,False,0.0507,2.0,1037
39,6,0.4083,33,0.0714,0.0101,0.0568,10,0.3493,0.0153,False,0.0467,4.0,1030
40,6,0.4062,34,0.0653,0.0084,0.0531,11,0.3343,0.0153,False,0.0447,3.0,1012
41,6,0.4033,35,0.0626,0.0084,0.0501,12,0.319,0.0155,True,0.0417,3.5,1008
42,4,0.4422,38,0.0507,0.0054,0.0439,12,0.3162,0.0149,True,0.0385,3.0,1009
43,5,0.4087,38,0.0507,0.0046,0.044,12,0.3107,0.0128,True,0.0394,3.0,982
44,4,0.4249,40,0.0447,0.0035,0.04,12,0.3074,0.0128,True,0.0364,3.0,937
45,4,0.4286,41,0.0417,0.003,0.0377,12,0.3019,0.0111,True,0.0347,4.0,895
46,5,0.4003,41,0.0417,0.0023,0.0383,12,0.298,0.0087,True,0.036,4.0,846
47,0,0.6967,47,0.0447,0.0,0.0447,12,0.2978,0.0053,True,0.0447,4.0,800
48,0,0.6914,48,0.0539,0.0,0.0539,12,0.2942,0.0004,True,0.0539,4.0,746
49,0,0.6759,49,0.0654,0.0,0.0654,0,0.6759,0.0,False,0.0654,4.0,723
50,0,0.6847,50,0.0773,0.0,0.0773,0,0.6847,0.0,False,0.0773,4.0,763
51,0,0.6796,51,0.0817,0.0,0.0817,0,0.6796,0.0,False,0.0817,4.0,799
52,0,0.6709,52,0.0916,0.0,0.0916,0,0.6709,0.0,False,0.0916,4.5,875
53,0,0.6641,53,0.0976,0.0,0.0976,0,0.6641,0.0,False,0.0976,3.0,953
54,0,0.6514,54,0.0988,0.0,0.0988,0,0.6514,0.0,False,0.0988,5.0,1008
55,1,0.546,54,0.0988,0.0019,0.0972,1,0.546,0.0019,False,0.0953,4.0,1023
56,2,0.4837,54,0.0988,0.0025,0.0961,2,0.4837,0.0025,False,0.0935,4.0,1033
57,3,0.451,54,0.0988,0.0006,0.098,3,0.451,0.0006,False,0.0974,4.0,1058
58,4,0.4232,54,0.0988,0.0012,0.0972,4,0.4232,0.0012,False,0.096,5.0,1073
59,5,0.4038,54,0.0988,0.0024,0.0953,5,0.4038,0.0024,False,0.0929,4.0,1076
60,3,0.4671,57,0.0974,0.0045,0.0922,3,0.4671,0.0045,False,0.0877,3.0,1055
61,4,0.4396,57,0.0974,0.0044,0.0917,4,0.4396,0.0044,False,0.0873,4.0,1055
62,5,0.4191,57,0.0974,0.0032,0.093,8,0.3598,0.0032,False,0.0898,4.0,1061
63,5,0.4216,58,0.096,0.0026,0.0924,9,0.3452,0.0031,False,0.0898,5.5,1070
64,6,0.4004,58,0.096,0.0032,0.0913,7,0.3807,0.0035,False,0.0881,4.0,1049
65,0,0.6867,65,0.0947,0.0,0.0947,11,0.318,0.0013,False,0.0947,3.0,1037
66,0,0.6778,66,0.0951,0.0,0.0951,12,0.3103,0.0011,True,0.0951,4.0,1033
67,0,0.6742,67,0.0964,0.0,0.0964,10,0.3486,0.0004,False,0.0964,4.0,1015
68,1,0.5947,67,0.0964,0.0019,0.0951,1,0.5947,0.0019,False,0.0932,4.0,1014
69,2,0.5384,67,0.0964,0.0033,0.0935,2,0.5384,0.0033,False,0.0902,4.0,987
70,3,0.5007,67,0.0964,0.0045,0.0919,3,0.5007,0.0045,False,0.0873,4.0,972
71,4,0.4716,67,0.0964,0.0054,0.0903,4,0.4716,0.0054,False,0.0849,4.0,947
72,5,0.44,67,0.0964,0.0064,0.0882,5,0.44,0.0064,False,0.0817,3.5,949
73,6,0.4077,67,0.0964,0.0071,0.0861,6,0.4077,0.0071,False,0.079,3.0,940
74,6,0.4072,68,0.0932,0.0068,0.0833,7,0.3823,0.0076,False,0.0765,7.5,902
75,6,0.4,69,0.0902,0.0056,0.0818,8,0.3531,0.0071,False,0.0762,6.0,873
76,5,0.4136,71,0.0849,0.0041,0.0791,9,0.3289,0.007,False,0.075,3.5,851
77,5,0.4043,72,0.0817,0.0038,0.0762,10,0.3103,0.0074,False,0.0724,4.5,846
78,3,0.4683,75,0.0762,0.0023,0.0735,11,0.2869,0.0072,False,0.0712,8.0,819
79,4,0.4305,75,0.0762,0.0028,0.0724,12,0.2709,0.0073,True,0.0695,10.0,779
80,4,0.4325,76,0.075,0.0023,0.072,12,0.2632,0.0062,True,0.0697,4.0,750
81,4,0.4361,77,0.0724,0.0017,0.0702,12,0.257,0.0056,True,0.0685,8.5,718
82,5,0.4017,77,0.0724,0.0037,0.0669,12,0.2515,0.0061,True,0.0632,3.0,697
83,3,0.4605,80,0.0697,0.0043,0.0646,12,0.2397,0.0059,True,0.0603,7.0,663
84,4,0.4219,80,0.0697,0.0058,0.0618,12,0.2317,0.0059,True,0.0561,13.0,631
85,4,0.4204,81,0.0685,0.0071,0.0587,4,0.4204,0.0071,False,0.0516,10.0,598
86,4,0.4097,82,0.0632,0.0058,0.0549,5,0.3793,0.0074,False,0.0491,16.0,556
87,3,0.4292,84,0.0561,0.0044,0.0502,6,0.3403,0.0077,False,0.0459,10.5,537
88,3,0.418,85,0.0516,0.0031,0.0472,7,0.3041,0.0074,False,0.0441,8.0,497
89,3,0.4115,86,0.0491,0.0038,0.0437,8,0.2717,0.0078,False,0.0399,18.0,462
90,3,0.4003,87,0.0459,0.0032,0.041,9,0.2387,0.0073,False,0.0378,14.5,434
91,3,0.4007,88,0.0441,0.0036,0.0387,10,0.2181,0.0073,False,0.0351,16.0,400
92,3,0.4066,89,0.0399,0.0038,0.0343,11,0.1989,0.0076,False,0.0304,12.5,357
93,3,0.4017,90,0.0378,0.0039,0.032,12,0.1765,0.0071,True,0.0282,21.5,315
94,2,0.4437,92,0.0304,0.0027,0.0271,11,0.1848,0.0066,False,0.0245,22.0,281
