c,tbin,fill
21,40,0.6458464717994696
21,50,0.7260432368486329
21,60,0.6982676259966013
21,70,0.6740457390072699
21,80,0.6109751511469813
21,90,0.6163475464643694
21,100,0.6076323744006672
21,110,0.6216955895466081
21,120,0.6189273499992844
21,130,0.6026741720079153
21,140,0.5932680874416904
21,150,0.6602704464539423
21,160,0.6508253219662615
21,170,0.667942087258224
21,180,0.6981542518127885
21,190,0.597125264188404
21,200,0.5307476131449714
21,210,0.5611181203334091
21,220,0.5178366934513785
21,230,0.5358973792371946
21,240,0.7298211696471725
22,20,0.3328629399719104
22,30,0.5830432942172471
22,40,0.6624966908299313
22,50,0.7416319912686211
22,60,0.6963942440807221
22,70,0.6865641949196909
22,80,0.6153687757394235
22,90,0.6196894039010961
22,100,0.6270407137752367
22,110,0.6269373243945725
22,120,0.6338678328474247
22,130,0.5923048292546758
22,140,0.5986700659092778
22,150,0.6484894864079864
22,160,0.6452696264387447
22,170,0.6381770468859342
22,180,0.6703043380395383
22,190,0.5951979698987674
22,200,0.54757330350122
22,210,0.5761903317634112
22,220,0.5328899383120497
22,230,0.5766417748526381
22,240,0.7781139210588514
23,20,0.3088674828119072
23,30,0.5656552224371373
23,40,0.6522330949940844
23,50,0.7288740092619788
23,60,0.6925758616059327
23,70,0.6770320843826265
23,80,0.6096914580909011
23,90,0.6103437922233899
23,100,0.6269699862840545
23,110,0.5945584062740208
23,120,0.6056848570236574
23,130,0.5587006056829026
23,140,0.580848223405721
23,150,0.6327585687803494
23,160,0.6596622854889155
23,170,0.5942213780676239
23,180,0.6170610424403313
23,190,0.5811642821904294
23,200,0.5531366310004712
23,210,0.5559785816455124
23,220,0.5513495934959349
23,230,0.5904639230130512
23,240,0.749276449780255
24,20,0.2990218424350487
24,30,0.5447491034048109
24,40,0.6400630730089599
24,50,0.7100249153703065
24,60,0.6610092586210857
24,70,0.6603355492244382
24,80,0.5918774506035213
24,90,0.621071488019277
24,100,0.6330232972205128
24,110,0.5927708128812142
24,120,0.6113891803956603
24,130,0.5759533775401834
24,140,0.6123480664435068
24,150,0.6424046090093883
24,160,0.6810841424773839
24,170,0.6087410892788626
24,180,0.6249504486145154
24,190,0.614189818217453
24,200,0.6123035910490955
24,210,0.6079957673759555
24,220,0.6282950618853359
24,230,0.6613644916968527
24,240,0.8255613126079447
25,20,0.3090994223424068
25,30,0.5507426468224021
25,40,0.623974013232997
25,50,0.6943958882308435
25,60,0.6321362266792464
25,70,0.6576737142524317
25,80,0.6051707350339272
25,90,0.6201219114549967
25,100,0.6523513429341582
25,110,0.6297446488345667
25,120,0.6258210801680654
25,130,0.5622324186643062
25,140,0.5762930326185194
25,150,0.6071079165418788
25,160,0.6553761975751942
25,170,0.6019034103219656
25,180,0.6313383982134256
25,190,0.63819249624924
25,200,0.6416242891856009
25,210,0.6252381389935374
25,220,0.653983645522694
25,230,0.7242898688795848
25,240,0.8605884849342198
26,20,0.28429078767169985
26,30,0.499845806581489
26,40,0.565582405431185
26,50,0.6229182112439196
26,60,0.5571033742672891
26,70,0.6113772109040103
26,80,0.5872494318759964
26,90,0.6046351704602382
26,100,0.6260642032037781
26,110,0.6059845185573982
26,120,0.5791771895664244
26,130,0.5560865177718096
26,140,0.5543056919243801
26,150,0.5757786464206068
26,160,0.6667912207731747
26,170,0.6040983438199631
26,180,0.6266571278397478
26,190,0.6546133700315259
26,200,0.7261377166291838
26,210,0.6549244280275903
26,220,0.7742140336492472
26,230,0.8240535866667672
26,240,0.9041554236373448
27,20,0.2782253833525164
27,30,0.47207685426254115
27,40,0.5381341669600609
27,50,0.5923001794353465
27,60,0.5019497270382147
27,70,0.5567509280147379
27,80,0.5477543993245816
27,90,0.5738969540700926
27,100,0.5796003803386071
27,110,0.5622275150109828
27,120,0.543769841872617
27,130,0.5511084267655716
27,140,0.5998876150949741
27,150,0.6045011393802712
27,160,0.6793270551213357
27,170,0.6523012222368247
27,180,0.6197044910354494
27,190,0.641648414135883
27,200,0.7397752896353315
27,210,0.6779184424094451
27,220,0.8202550170056506
27,230,0.8297038409597688
27,240,0.8326835056789287
28,20,0.2969317181540009
28,30,0.46534305620513766
28,40,0.4805385666283387
28,50,0.526823225834431
28,60,0.4724818678974518
28,70,0.5151700540830325
28,80,0.5085278043499218
28,90,0.5187954074322769
28,100,0.524960481179722
28,110,0.5468346927360309
28,120,0.49638751623220995
28,130,0.5070888273467531
28,140,0.5508483017364454
28,150,0.5150994721640075
28,160,0.5838566492648357
28,170,0.5567024877362745
28,180,0.5412911099943218
28,190,0.5525131307539722
28,200,0.6367594497996317
28,210,0.5931462127589675
28,220,0.6563479685555399
28,230,0.7181186639787674
28,240,0.6875747607655501
29,20,0.28824241242924087
29,30,0.44474570997574747
29,40,0.49317017174807354
29,50,0.5392243374163093
29,60,0.4849568037392994
29,70,0.4817008200810105
29,80,0.5074329675302636
29,90,0.4811194581336622
29,100,0.5030879396417357
29,110,0.5588060764300974
29,120,0.5271414791337624
29,130,0.5512128574301445
29,140,0.6006705358652166
29,150,0.5943138566151884
29,160,0.6135046732176286
29,170,0.5966620809499673
29,180,0.5623390165247596
29,190,0.5546815155264864
29,200,0.6844226401650658
29,210,0.6550127576617644
29,220,0.6919233901065346
29,230,0.6820130914972663
29,240,0.6183737810689933
30,20,0.27346659148918107
30,30,0.44427533349311027
30,40,0.48172788227615265
30,50,0.5235117453783619
30,60,0.49742155573913116
30,70,0.46467073194928543
30,80,0.47676803743149426
30,90,0.45549517796899075
30,100,0.47458933000638653
30,110,0.5504938540808579
30,120,0.5142950371033104
30,130,0.5537441933568509
30,140,0.5912051741862319
30,150,0.5646067972715736
30,160,0.552367035423353
30,170,0.5460125407161333
30,180,0.5108667254498547
30,190,0.49415874773920265
30,200,0.6007766967646382
30,210,0.5999059044930606
30,220,0.6010813352139164
30,230,0.5991570058731442
30,240,0.5571802649659071
31,20,0.2712089214678604
31,30,0.4380258383844982
31,40,0.49955731528414765
31,50,0.5179492780816036
31,60,0.5195131966249132
31,70,0.46332864029808957
31,80,0.46752134668478823
31,90,0.4438910267190297
31,100,0.4658327034854555
31,110,0.5648936461910736
31,120,0.5076592186318938
31,130,0.5527370002124256
31,140,0.5696283323910478
31,150,0.5494271342741373
31,160,0.5302391995625139
31,170,0.5226308013703528
31,180,0.5213937746213171
31,190,0.5101828183665924
31,200,0.6077650424843788
31,210,0.6072843374918702
31,220,0.5694224766304302
31,230,0.5887813109408772
31,240,0.6129871210702619
32,20,0.2570501745262997
32,30,0.4399802865028256
32,40,0.541486726299161
32,50,0.5496825078707098
32,60,0.5505481072966295
32,70,0.4888430832124283
32,80,0.4938134079490361
32,90,0.4591269309824792
32,100,0.5056031070401936
32,110,0.6258510134125614
32,120,0.5707519930870312
32,130,0.6031945197358136
32,140,0.6110054932719262
32,150,0.6030422172926037
32,160,0.5900923268108881
32,170,0.5825334755302762
32,180,0.5777144704506838
32,190,0.5818210081625934
32,200,0.6615077331987903
32,210,0.6712610438512748
32,220,0.6448285490896907
32,230,0.6568870922911456
32,240,0.6871121177802945
33,20,0.2154010534800457
33,30,0.43384556772893546
33,40,0.5272343981463897
33,50,0.5476029274730434
33,60,0.545942722520798
33,70,0.4985730224505386
33,80,0.4790818942039665
33,90,0.45868586900380537
33,100,0.49798560168565636
33,110,0.5998986546862027
33,120,0.5308502426772643
33,130,0.5991701850944321
33,140,0.5861788424483192
33,150,0.5703062224458216
33,160,0.5431260807371705
33,170,0.5316899576195239
33,180,0.5389580195645499
33,190,0.5198979882505521
33,200,0.5953311729254953
33,210,0.5991854350749136
33,220,0.589731156047887
33,230,0.6305122963345309
33,240,0.6583017375412564
34,20,0.20015700291457542
34,30,0.4239272319696512
34,40,0.5326518737244343
34,50,0.5489669450147036
34,60,0.5163152139560273
34,70,0.48706715361683917
34,80,0.45378564516531106
34,90,0.45348391398566423
34,100,0.4806153147527957
34,110,0.5598228142611094
34,120,0.4826130301310129
