anchor_c,reliable_depth,reliable_fill,reliable_cost,reliable_roc_at_cost,reliable_roc_lift,reliable_combined_roc,aggr_depth,aggr_fill,aggr_lift,aggr_capped,roc_anchor,env_med_dip_bid,match_N
81,1,0.5012,80,0.073,0.0014,0.0716,12,0.1476,0.0035,True,0.0703,11.5,1005
82,2,0.4261,80,0.073,0.0023,0.0699,12,0.1495,0.0033,True,0.0677,9.5,985
83,2,0.435,81,0.0703,0.0028,0.0667,3,0.3738,0.0034,False,0.0639,8.5,946
84,2,0.4481,82,0.0677,0.004,0.0627,4,0.3324,0.0047,False,0.0587,8.0,896
85,2,0.4621,83,0.0639,0.005,0.058,5,0.2988,0.006,False,0.053,14.5,871
86,3,0.4013,83,0.0639,0.0065,0.0542,4,0.3499,0.007,False,0.0477,16.0,825
87,2,0.4591,85,0.053,0.0043,0.048,5,0.3058,0.0073,False,0.0437,19.0,800
88,2,0.445,86,0.0477,0.0029,0.0441,6,0.2725,0.0072,False,0.0411,8.0,748
89,2,0.4365,87,0.0437,0.0021,0.0411,7,0.2307,0.0066,False,0.039,25.0,701
90,2,0.4333,88,0.0411,0.0016,0.039,8,0.1923,0.0058,False,0.0374,18.5,658
91,2,0.434,89,0.039,0.001,0.0377,9,0.1656,0.0051,False,0.0367,14.5,610
92,2,0.4331,90,0.0374,0.0019,0.0349,10,0.1414,0.0049,False,0.033,20.0,535
93,2,0.4235,91,0.0367,0.0025,0.0333,10,0.1338,0.0044,False,0.0308,13.0,476
94,2,0.4141,92,0.033,0.0018,0.0305,11,0.1142,0.004,False,0.0287,14.0,396
