code,source,bell_epoch,bell_minus_w1_right_s,w1_right,violent_class,receipts_or_reason
26JUL12ZELFAL,TAPE_SIGNATURE,1783858380.0,-7020,1783865400,False,161
26JUL13AGABAR,TAPE_SIGNATURE,1783953540.0,-89,1783953629.018,False,204
26JUL13ALVKUM,TAPE_SIGNATURE,1783933140.0,18595,1783914544.659,False,181
26JUL13AMAHER,TAPE_SIGNATURE,1783929660.0,60,1783929600.414,False,662
26JUL13ARAZID,TAPE_SIGNATURE,1784020020.0,233,1784019786.826,False,347
26JUL13ARGTAG,TAPE_SIGNATURE,1783952400.0,-180,1783952580,False,264
26JUL13ARSDAL,MACHINE_RECEIPT,1783951500,0,1783951500,False,285
26JUL13ARSMAR,TAPE_SIGNATURE,1783981560.0,26775,1783954785.233,False,157
26JUL13AVAFET,TAPE_SIGNATURE,1783934400.0,240,1783934160,False,177
26JUL13AVDFEI,TAPE_SIGNATURE,1783948440.0,120,1783948320,False,299
26JUL13BADKAL,TAPE_SIGNATURE,1784041800.0,4920,1784036880,False,449
26JUL13BAIPRO,TAPE_SIGNATURE,1783957560.0,1700,1783955859.986,False,391
26JUL13BINFUE,TAPE_SIGNATURE,1783934520.0,1500,1783933020,False,203
26JUL13BLISAS,TAPE_SIGNATURE,1784053020.0,13320,1784039699.875,False,410
26JUL13BONSOR,TAPE_SIGNATURE,1783944900.0,3777,1783941123.01,False,454
26JUL13BOUGAN,TAPE_SIGNATURE,1783952160.0,360,1783951800,False,160
26JUL13BOUZHA,TAPE_SIGNATURE,1783983660.0,22380,1783961280,False,95
26JUL13BURLEP,MACHINE_RECEIPT,1783962600,0,1783962600,False,7
26JUL13BURPUT,TAPE_SIGNATURE,1783934100.0,-321,1783934420.948,False,250
26JUL13CHAJIM,TAPE_SIGNATURE,1783944360.0,327,1783944033.01,False,197
26JUL13CHOSUR,TAPE_SIGNATURE,1783956360.0,660,1783955700,False,199
26JUL13COLSKA,TAPE_SIGNATURE,1783946340.0,5520,1783940820,False,349
26JUL13CRIJEA,BELL_UNRESOLVED,,,1783940400,False,no sustained mirrored repricing regime found in the tape (quiet or capture-ended market)
26JUL13DONWES,TAPE_SIGNATURE,1783938960.0,37,1783938922.619,False,142
26JUL13FAUDAM,MACHINE_RECEIPT,1783942500,0,1783942500,False,6
26JUL13FORHUA,TAPE_SIGNATURE,1783938720.0,40940,1783897779.654,False,90
26JUL13FORMAK,TAPE_SIGNATURE,1783929960.0,16451,1783913508.632,False,503
26JUL13FORRAF,MACHINE_RECEIPT,1783955400,0,1783955400,False,175
26JUL13GASBAN,MACHINE_RECEIPT,1783962000,0,1783962000,False,5
26JUL13GIUALM,MACHINE_RECEIPT,1783960500,0,1783960500,False,5
26JUL13GJOCHI,TAPE_SIGNATURE,1783951680.0,159,1783951520.765,False,187
26JUL13GRABER,TAPE_SIGNATURE,1783932900.0,-639,1783933539.146,False,63
26JUL13GRAPAR,MACHINE_RECEIPT,1783966500,0,1783966500,False,9
26JUL13GREVAN,TAPE_SIGNATURE,1783967700.0,0,1783967700,False,258
26JUL13HERJAK,TAPE_SIGNATURE,1783953600.0,548,1783953051.655,False,130
26JUL13HODDAR,TAPE_SIGNATURE,1783960080.0,3660,1783956420,False,535
26JUL13HOLWAT,TAPE_SIGNATURE,1784044800.0,88244,1783956555.908,False,479
26JUL13INCSTE,TAPE_SIGNATURE,1783972860.0,3660,1783969200,False,917
26JUL13ITOKOR,MACHINE_RECEIPT,1784039700,0,1784039700,False,368
26JUL13JONPET,TAPE_SIGNATURE,1783934640.0,34950,1783899689.578,False,234
26JUL13JONSPI,TAPE_SIGNATURE,1783932060.0,28155,1783903905.228,False,270
26JUL13KABPER,MACHINE_RECEIPT,1783943700,0,1783943700,False,24
26JUL13KAWWAL,TAPE_SIGNATURE,1784050380.0,104621,1783945758.672,False,543
26JUL13KENSHE,TAPE_SIGNATURE,1783981260.0,22875,1783958385.163,False,3788
26JUL13KHOZHA,TAPE_SIGNATURE,1783937280.0,-163,1783937442.632,False,207
26JUL13KNUKUR,TAPE_SIGNATURE,1783953060.0,7237,1783945823.414,False,318
26JUL13KOTURG,TAPE_SIGNATURE,1783967940.0,137,1783967803.173,False,450
26JUL13KRASAL,TAPE_SIGNATURE,1783935600.0,-56,1783935656.061,False,121
26JUL13KRETOM,MACHINE_RECEIPT,1784039700,0,1784039700,False,8
26JUL13KRUMAR,TAPE_SIGNATURE,1783967400.0,600,1783966800,False,262
26JUL13KUDSAK,TAPE_SIGNATURE,1783960800.0,1440,1783959360,False,685
26JUL13KUMLAG,MACHINE_RECEIPT,1783960800,0,1783960800,False,14
26JUL13KUZNIJ,TAPE_SIGNATURE,1783940580.0,1255,1783939324.805,False,110
26JUL13LANMAL,TAPE_SIGNATURE,1783962780.0,1620,1783961160,False,363
26JUL13LANSHE,TAPE_SIGNATURE,1783965540.0,40792,1783924748.334,False,454
26JUL13LEPIBR,MACHINE_RECEIPT,1783944000,0,1783944000,False,6
26JUL13LINHON,TAPE_SIGNATURE,1783951260.0,-60,1783951320,False,90
26JUL13LIUIPE,TAPE_SIGNATURE,1783939080.0,460,1783938620.142,False,169
26JUL13MARMID,TAPE_SIGNATURE,1783933860.0,960,1783932900,False,140
26JUL13MATMIC,TAPE_SIGNATURE,1783962000.0,1080,1783960920,False,90
26JUL13MONANG,TAPE_SIGNATURE,1783954380.0,-720,1783955100,False,232
26JUL13MONMAS,MACHINE_RECEIPT,1784040300,0,1784040300,False,4
26JUL13MORBEJ,TAPE_SIGNATURE,1783958340.0,1620,1783956720,False,306
26JUL13MORFAN,TAPE_SIGNATURE,1783955400.0,0,1783955400,False,142
26JUL13MUNLEO,MACHINE_RECEIPT,1783965900,0,1783965900,False,153
26JUL13NAPBAL,TAPE_SIGNATURE,1783962180.0,1980,1783960200,False,524
26JUL13NOGBRO,MACHINE_RECEIPT,1783967700,0,1783967700,False,3
26JUL13OKATAR,TAPE_SIGNATURE,1783961220.0,27439,1783933781.293,False,296
26JUL13OUALIN,MACHINE_RECEIPT,1783960800,0,1783960800,False,47
26JUL13PALGON,MACHINE_RECEIPT,1783960800,0,1783960800,False,18
26JUL13PANFAL,TAPE_SIGNATURE,1783937940.0,515,1783937425.092,False,160
26JUL13PAPAND,TAPE_SIGNATURE,1783933620.0,81,1783933539.147,False,79
26JUL13PASKRU,TAPE_SIGNATURE,1783934340.0,1101,1783933238.509,False,199
26JUL13PENTHA,TAPE_SIGNATURE,1783945920.0,161,1783945758.673,False,200
26JUL13PERTOB,TAPE_SIGNATURE,1783966020.0,120,1783965900,False,443
26JUL13PODMAR,TAPE_SIGNATURE,1783953600.0,300,1783953300,False,380
26JUL13POLMIY,TAPE_SIGNATURE,1783961820.0,14647,1783947173.069,False,411
26JUL13PRICRI,TAPE_SIGNATURE,1783930260.0,9,1783930251.436,False,190
26JUL13PRIGAR,TAPE_SIGNATURE,1783895340.0,-41460,1783936800,False,123
26JUL13QUERUS,TAPE_SIGNATURE,1784019960.0,-148,1784020108.238,False,253
26JUL13RADIVA,MACHINE_RECEIPT,1783967100,0,1783967100,False,30
26JUL13RADREN,TAPE_SIGNATURE,1783932180.0,461,1783931718.629,False,107
26JUL13RAMNOH,TAPE_SIGNATURE,1783956300.0,600,1783955700,False,191
26JUL13REHJUS,TAPE_SIGNATURE,1783952640.0,9596,1783943043.677,False,355
26JUL13RINAST,TAPE_SIGNATURE,1783951440.0,-218,1783951657.962,False,156
26JUL13RISPOH,TAPE_SIGNATURE,1783939320.0,147,1783939172.616,False,199
26JUL13RODALK,TAPE_SIGNATURE,1783972740.0,960,1783971780,False,525
26JUL13ROMKUL,TAPE_SIGNATURE,1783938060.0,2449,1783935610.612,False,173
26JUL13ROZISO,MACHINE_RECEIPT,1783960200,0,1783960200,False,468
26JUL13SAINUG,TAPE_SIGNATURE,1783943280.0,982,1783942297.744,False,179
26JUL13SAKTON,MACHINE_RECEIPT,1784043600,0,1784043600,False,584
26JUL13SANDAN,MACHINE_RECEIPT,1783942500,0,1783942500,False,3
26JUL13SANLOP,TAPE_SIGNATURE,1783972800.0,900,1783971900,False,147
26JUL13SELYAN,TAPE_SIGNATURE,1783962240.0,4560,1783957680,False,629
26JUL13SHEGAL,TAPE_SIGNATURE,1784026260.0,73343,1783952916.603,False,411
26JUL13SHIHAR,TAPE_SIGNATURE,1783978800.0,14980,1783963820.315,False,93
26JUL13SHIHUA,TAPE_SIGNATURE,1783937280.0,479,1783936801.391,False,113
26JUL13TABROD,MACHINE_RECEIPT,1783937700,0,1783937700,False,6
26JUL13TABVIN,TAPE_SIGNATURE,1783936500.0,27227,1783909272.568,False,179
26JUL13TAUHIB,MACHINE_RECEIPT,1784046600,0,1784046600,False,5
26JUL13TAUTOM,BELL_UNRESOLVED,,,1783947600,False,no sustained mirrored repricing regime found in the tape (quiet or capture-ended market)
26JUL13TIKBEN,TAPE_SIGNATURE,1783952580.0,1482,1783951098.203,False,166
26JUL13TIMANN,TAPE_SIGNATURE,1784055780.0,88480,1783967299.786,False,408
26JUL13TROGEO,TAPE_SIGNATURE,1783951620.0,120,1783951500,False,208
26JUL13VALCOS,TAPE_SIGNATURE,1784057640.0,8940,1784048700,False,242
26JUL13VANLEE,TAPE_SIGNATURE,1783945800.0,24139,1783921660.683,False,226
26JUL13VILGAN,TAPE_SIGNATURE,1783929780.0,13609,1783916170.912,False,249
26JUL13VUKBRO,TAPE_SIGNATURE,1783993080.0,28500,1783964580,False,1272
26JUL13WINKIR,TAPE_SIGNATURE,1783960560.0,3669,1783956891.271,False,371
26JUL13WOLFEN,TAPE_SIGNATURE,1783988760.0,9906,1783978854.281,False,260
26JUL13WONTUN,TAPE_SIGNATURE,1783976160.0,15273,1783960887.317,False,1433
26JUL13YEVCAM,TAPE_SIGNATURE,1783934040.0,5028,1783929011.779,False,174
26JUL13YIBMAR,MACHINE_RECEIPT,1783959600,0,1783959600,False,10
26JUL13ZHEBOU,TAPE_SIGNATURE,1783953300.0,780,1783952520,False,395
26JUL13ZHUDLI,TAPE_SIGNATURE,1783961040.0,-60,1783961100,False,212
26JUL14ADDLEO,MACHINE_RECEIPT,1784051100,0,1784051100,False,132
26JUL14AKSVAL,TAPE_SIGNATURE,1784035740.0,960,1784034780,False,223
26JUL14ALCTAB,TAPE_SIGNATURE,1784017680.0,1234,1784016445.678,False,118
26JUL14ALMGRA,TAPE_SIGNATURE,1784041140.0,-720,1784041860,False,60
26JUL14AMAJAC,MACHINE_RECEIPT,1784047800,0,1784047800,False,4
26JUL14AVAUCH,TAPE_SIGNATURE,1784019900.0,198,1784019701.574,False,435
26JUL14BARKOL,MACHINE_RECEIPT,1784034600,0,1784034600,False,4
26JUL14BASFRI,MACHINE_RECEIPT,1784019600,0,1784019600,False,5
26JUL14BICMIY,TAPE_SIGNATURE,1784049360.0,27099,1784022260.992,False,315
26JUL14BLATOM,TAPE_SIGNATURE,1784082120.0,17342,1784064778.205,False,326
26JUL14BRAPIE,TAPE_SIGNATURE,1784046660.0,-343,1784047002.966,False,119
26JUL14BRUNIJ,MACHINE_RECEIPT,1784024700,0,1784024700,False,3
26JUL14BULPRI,TAPE_SIGNATURE,1784035680.0,300,1784035380,False,211
26JUL14CARVON,TAPE_SIGNATURE,1784038620.0,-180,1784038800,False,146
26JUL14CASGHI,MACHINE_RECEIPT,1784016300,0,1784016300,False,6
26JUL14CASSCH,TAPE_SIGNATURE,1784055180.0,60,1784055120,False,347
26JUL14CECBUR,MACHINE_RECEIPT,1784045100,0,1784045100,False,112
26JUL14CINHAL,MACHINE_RECEIPT,1784030400,0,1784030400,False,5
26JUL14CLAWES,MACHINE_RECEIPT,1784018100,0,1784018100,False,3
26JUL14COLPAL,TAPE_SIGNATURE,1784020260.0,660,1784019600,False,160
26JUL14CUIFAN,TAPE_SIGNATURE,1784041380.0,-600,1784041980,False,62
26JUL14DALMAY,TAPE_SIGNATURE,1784043780.0,60,1784043720,False,268
26JUL14DELXIL,TAPE_SIGNATURE,1784113860.0,64517,1784049342.914,False,161
26JUL14DENYEV,TAPE_SIGNATURE,1784026980.0,600,1784026380,False,147
26JUL14DIAMID,TAPE_SIGNATURE,1784023560.0,540,1784023020,False,111
26JUL14DILFAL,TAPE_SIGNATURE,1784034480.0,900,1784033580,False,184
26JUL14DRATRO,TAPE_SIGNATURE,1784072820.0,9974,1784062845.945,False,98
26JUL14EREPAV,MACHINE_RECEIPT,1784016300,0,1784016300,False,4
26JUL14FALYUA,TAPE_SIGNATURE,1784038740.0,300,1784038440,False,195
26JUL14FERZAN,MACHINE_RECEIPT,1784037900,0,1784037900,False,11
26JUL14FORGOR,TAPE_SIGNATURE,1784042880.0,2904,1784039976.295,False,103
26JUL14FRUGAO,TAPE_SIGNATURE,1784045340.0,780,1784044560,False,147
26JUL14FUEPRI,TAPE_SIGNATURE,1784031720.0,757,1784030962.614,False,101
26JUL14GALFOR,TAPE_SIGNATURE,1784019240.0,1140,1784018100,False,156
26JUL14GANZIN,TAPE_SIGNATURE,1784039100.0,21056,1784018044.373,False,203
26JUL14GENPET,TAPE_SIGNATURE,1784027280.0,-180,1784027460,False,100
26JUL14GLIJOH,TAPE_SIGNATURE,1784038080.0,36288,1784001792.297,False,344
26JUL14GOMMCD,MACHINE_RECEIPT,1784050200,0,1784050200,False,3
26JUL14GUIBON,TAPE_SIGNATURE,1784016540.0,11749,1784004791.232,False,265
26JUL14HENKRA,TAPE_SIGNATURE,1784019180.0,-420,1784019600,False,60
26JUL14HRUBUY,TAPE_SIGNATURE,1784047860.0,111,1784047748.642,False,117
26JUL14IATZVO,TAPE_SIGNATURE,1784040960.0,0,1784040960,False,141
26JUL14IMAMCC,TAPE_SIGNATURE,1784075460.0,12793,1784062666.519,False,663
26JUL14IVAGIU,TAPE_SIGNATURE,1784041560.0,20962,1784020598.034,False,136
