family,category,legs,depth_p25,depth_med,depth_p75,depth_p90,floorpos_p25,floorpos_med,floorpos_p75,early_kind,declare_f_med_or_still25,by025_or_still50,by05
LATE_BREAK_UP,ATP_CHALL,21,-1.0,0.0,2.0,2.0,0.17056477157963154,0.45795371453585465,0.8419357118866266,DIRECTIONAL,0.8125,19,24
LATE_BREAK_UP,ATP_MAIN,6,0.0,0.0,3.0,3.0,0.09808054841422789,0.17305385778937174,0.7998465274819921,DIRECTIONAL,0.125,50,50
LATE_BREAK_UP,WTA_CHALL,12,-1.0,0.0,0.0,1.5,0.46839042392014374,0.6852817591835434,0.8185847847741521,DIRECTIONAL,0.875,33,33
ONE_STEP_DOWN,ALL,53,6.0,8.0,9.0,13.0,0.5509364155938027,0.7776705874161259,0.9264920881867315,DIRECTIONAL,0.375,36,77
ONE_STEP_DOWN,ATP_CHALL,31,6.0,8.0,8.5,13.0,0.5843787286784885,0.8055909299107795,0.9264920881867315,DIRECTIONAL,0.4375,29,68
ONE_STEP_DOWN,ATP_MAIN,9,7.0,8.0,9.0,10.0,0.7660748241957334,0.8463258565067421,0.9801980499690465,DIRECTIONAL,0.375,44,89
ONE_STEP_DOWN,WTA_MAIN,11,6.0,8.0,10.0,13.0,0.3427841581702847,0.6441035693106719,0.7908191561100321,DIRECTIONAL,0.1875,55,100
ONE_STEP_UP,ALL,105,-4.0,-2.5,0.0,3.0,0.0855032296070273,0.234446993440822,0.5321310299136858,DIRECTIONAL,0.125,62,85
ONE_STEP_UP,ATP_CHALL,57,-5.0,-3.0,-2.0,0.0,0.10399040307284774,0.3599432035646692,0.677447140132483,DIRECTIONAL,0.375,46,74
ONE_STEP_UP,ATP_MAIN,19,-3.0,-1.0,3.0,4.0,0.05499397106229109,0.1994123888007964,0.42193479391941274,DIRECTIONAL,0.0625,79,95
ONE_STEP_UP,WTA_CHALL,7,-3.0,-3.0,-2.0,-1.5,0.2220749306655236,0.25397616101321446,0.27699351240965897,DIRECTIONAL,0.125,57,100
ONE_STEP_UP,WTA_MAIN,22,-2.5,0.0,3.0,4.0,0.03829581520482586,0.13079984082859955,0.234446993440822,DIRECTIONAL,0.0625,91,100
QUIET_WOBBLE,ALL,615,0.0,1.0,3.0,4.0,0.23560736849882166,0.5417192308835248,0.82507882778337,STILL,62,44,
QUIET_WOBBLE,ATP_CHALL,303,0.0,1.0,3.0,4.0,0.29214965845580626,0.6351055832706896,0.8728842953878608,STILL,70,52,
QUIET_WOBBLE,ATP_MAIN,72,0.0,2.0,3.5,5.0,0.17066108007504288,0.4516830086849275,0.7930072925522594,STILL,50,31,
QUIET_WOBBLE,WTA_CHALL,145,-0.5,0.5,2.0,3.0,0.1890106352478958,0.4494235095601874,0.7781915543410154,STILL,59,41,
QUIET_WOBBLE,WTA_MAIN,95,0.0,1.5,4.0,5.0,0.21965601705094895,0.4629098938269285,0.7069328409877683,STILL,48,29,
ROUND_TRIP,ALL,274,0.5,3.0,4.5,6.0,0.19385763034679787,0.47008799763511094,0.8169952425583451,STILL,16,6,
ROUND_TRIP,ATP_CHALL,103,1.0,3.0,4.5,6.5,0.282917006170357,0.5484484495140739,0.8867086263932389,STILL,25,7,
ROUND_TRIP,ATP_MAIN,82,0.5,3.0,5.0,5.0,0.16750164330508624,0.4269005955667239,0.7109647678612782,STILL,11,4,
ROUND_TRIP,WTA_CHALL,22,2.0,3.0,4.0,4.5,0.21104637448470615,0.6944693101808848,0.995809121616688,STILL,18,18,
ROUND_TRIP,WTA_MAIN,67,0.0,3.0,4.0,6.0,0.1662630329144978,0.35804839112093156,0.6675030989923033,STILL,9,3,
SLEEPER,ALL,127,-0.5,0.5,1.0,2.0,0.29377706085049476,0.5939128224679121,0.9329348003059319,STILL,94,89,
SLEEPER,ATP_CHALL,70,0.0,0.5,2.0,2.5,0.40471590150901204,0.8590746476211709,0.9769405503328863,STILL,95,87,
SLEEPER,ATP_MAIN,5,-1.0,0.0,0.0,2.0,0.11095900078296292,0.3971815965729178,0.5084566958924149,STILL,89,78,
SLEEPER,WTA_CHALL,44,-0.5,0.0,1.0,2.0,0.17901143125200603,0.5387803490113959,0.8260143090429247,STILL,96,96,
SLEEPER,WTA_MAIN,8,-2.0,-0.5,0.0,1.0,0.29377706085049476,0.40286405261217473,0.5812470139087649,STILL,91,82,
