code,cat,bell,margin,leg,census_A_epoch,census_B_epoch,census_sel_epoch,onset_tmin,runtime_onset_epoch,runtime_cand,runtime_passed_tmin,first_read_tmin,floor,floor_first_print_tmin,last_receipt_tmin,edge_tmin,runtime_vs_census
26JUL16FARRUU,ATP_MAIN,live_by_only,3,FAR,1784121581,1784168561,1784121581,277.0,1784121641,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,281.1,281.3,20,295.2,1461.2,1461.3,DIVERGES
26JUL16FARRUU,ATP_MAIN,live_by_only,3,RUU,1784121581,1784151101,1784121581,277.0,1784121641,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,278.2,278.2,77,532.6,387.9,1461.3,DIVERGES
26JUL16MERDRO,ATP_MAIN,exact,13,DRO,1784156734,1784207794,1784156734,133.0,1784156734,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,133.8,136.0,39,436.1,164.1,1032.4,agrees
26JUL16MERDRO,ATP_MAIN,exact,13,MER,1784156734,,1784156734,133.0,1784156734,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,133.4,133.4,48,141.2,1032.2,1032.4,agrees
26JUL17RINTSI,ATP_MAIN,live_by_only,7,RIN,1784218006,1784295886,1784218006,72.0,1784218006,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,72.8,72.8,36,1399.0,334.9,1441.2,agrees
26JUL17RINTSI,ATP_MAIN,live_by_only,7,TSI,1784218006,1784294686,1784218006,72.0,1784218006,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,72.8,72.8,57,89.8,1441.0,1441.2,agrees
26JUL17TABTIR,ATP_MAIN,exact,6,TAB,1784227471,1784289631,1784227471,38.0,1784227471,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,39.5,40.8,52,56.0,1214.0,1218.5,agrees
26JUL17TABTIR,ATP_MAIN,exact,6,TIR,1784227471,1784297371,1784227471,38.0,1784227471,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,38.0,38.0,42,379.1,157.4,1218.5,agrees
26JUL18HIPGIU,ATP_MAIN,live_by_only,4,GIU,1784350483,1784333743,1784333743,228.0,1784333743,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,228.2,228.7,74,384.0,753.9,754.3,agrees
26JUL18HIPGIU,ATP_MAIN,live_by_only,4,HIP,1784350483,1784332363,1784332363,205.0,1784332363,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,207.1,207.2,22,209.2,491.2,754.3,agrees
26JUL18JACDA,ATP_MAIN,live_by_only,3,DA,1784327854,,1784327854,181.0,1784327854,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,181.0,181.0,4,269.7,268.2,926.8,agrees
26JUL18JACDA,ATP_MAIN,live_by_only,3,JAC,1784327854,,1784327854,181.0,1784327854,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,181.2,181.2,93,201.7,925.8,926.8,agrees
26JUL12FEICHE,WTA_CHALL,exact,1,CHE,1783808800,1783844620,1783808800,5.0,1783833640,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,419.9,420.2,25,601.9,745.9,748.3,DIVERGES
26JUL12FEICHE,WTA_CHALL,exact,1,FEI,1783808800,1783836160,1783808800,5.0,1783833640,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,419.9,420.2,74,460.4,745.9,748.3,DIVERGES
26JUL12SAIETO,WTA_CHALL,schedule_only,2,ETO,1783846901,1783859381,1783846901,510.0,1783846901,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,511.8,511.8,1,747.6,723.3,888.3,agrees
26JUL12SAIETO,WTA_CHALL,schedule_only,2,SAI,1783846901,1783859501,1783846901,510.0,1783846901,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,512.9,513.3,97,717.9,762.7,888.3,agrees
