code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL17JONNOH,NOH,WTA_CHALL,26_50,FLAT_BOTH,,1.5,38,1784291345.8,0.767,False,,,,
26JUL17KREZHE,KRE,WTA_MAIN,ge76,DECOUPLED_SAME_DIRECTION,,-32.5,51,1784243183.5,0.1926,True,55,1784241665.46,1784231000,RISING
26JUL17KREZHE,ZHE,WTA_MAIN,26_50,DECOUPLED_SAME_DIRECTION,,-0.5,40,1784230336.1,0.0051,True,42,1784236977.388,1784231095,FALLING
26JUL17KUMBOO,BOO,ATP_CHALL,26_50,FLAT_BOTH,,-2.0,44,1784276709.0,0.1952,True,45,1784275032.068,1784275032,FALLING
26JUL17KUMBOO,KUM,ATP_CHALL,51_75,FLAT_BOTH,,2.5,53,1784273462.0,0.0396,False,,,1784275032,RISING
26JUL17LAJNOG,LAJ,ATP_CHALL,26_50,MIRRORED,CLIMBER,22.0,71,1784318506.7,0.2519,False,,,,
26JUL17LAJNOG,NOG,ATP_CHALL,26_50,MIRRORED,FALLER,-20.5,29,1784316337.6,0.1002,False,,,,
26JUL17NAGBON,BON,ATP_CHALL,26_50,FLAT_BOTH,,1.5,44,1784264858.2,0.6967,False,,,,
26JUL17NAGBON,NAG,ATP_CHALL,51_75,FLAT_BOTH,,-0.5,56,1784264166.0,0.8039,False,,,,
26JUL17NAPVIL,NAP,ATP_CHALL,51_75,FLAT_BOTH,,-2.0,58,1784297933.0,0.9905,False,,,1784297934,FALLING
26JUL17NAPVIL,VIL,ATP_CHALL,26_50,FLAT_BOTH,,2.0,41,1784294942.5,0.2067,False,,,1784297934,RISING
26JUL17NIJDEN,DEN,ATP_CHALL,ge76,FLAT_BOTH,,3.0,78,1784261360.7,0.1111,True,79,1784272181.596,1784271699,RISING
26JUL17NIJDEN,NIJ,ATP_CHALL,le25,FLAT_BOTH,,-2.5,20,1784274634.5,0.6944,True,20,1784274634.453,1784271699,FALLING
26JUL17OLIBUR,BUR,WTA_MAIN,51_75,MIRRORED,FALLER,-6.5,39,1784232394.7,0.244,True,44,1784272218.236,1784232839,RISING
26JUL17OLIBUR,OLI,WTA_MAIN,51_75,MIRRORED,CLIMBER,7.0,55,1784232831.3,0.2502,True,55,1784258841.803,1784232848,FALLING
26JUL17PARSAK,PAR,WTA_MAIN,26_50,FLAT_BOTH,,-2.0,23,1784290403.8,0.2562,True,23,1784297959.708,1784293531,FALLING
26JUL17PARSAK,SAK,WTA_MAIN,51_75,FLAT_BOTH,,2.5,76,1784293490.7,0.4304,True,76,1784294714.908,1784293491,FALLING
26JUL17PERSAN,PER,ATP_CHALL,26_50,FLAT_BOTH,,-1.0,,,,False,,,,
26JUL17PERSAN,SAN,ATP_CHALL,51_75,FLAT_BOTH,,1.5,60,1784303928.8,0.0893,False,,,,
26JUL17PUTSHE,PUT,WTA_MAIN,51_75,MIRRORED,CLIMBER,7.5,58,1784262326.3,0.3032,False,,,,
26JUL17PUTSHE,SHE,WTA_MAIN,51_75,MIRRORED,FALLER,-9.0,40,1784273123.9,0.5488,True,40,1784273123.906,1784265090,FALLING
26JUL17RINTSI,RIN,ATP_MAIN,26_50,MIRRORED,FALLER,-13.0,36,1784297624.3,0.9691,True,39,1784233812.161,1784219083,RISING
26JUL17RINTSI,TSI,ATP_MAIN,26_50,MIRRORED,CLIMBER,14.0,57,1784219075.2,0.013,False,,,1784219083,FALLING
