code,leg,bell_source,bell_epoch,floor_old,floor_pre_bell,close_old,close_pre_bell,credited,entry,fill_ts,fill_validity
26JUL12BARREI,BAR,TAPE_SIGNATURE,1784036280.0,63,63,63,63,False,,,
26JUL12BARREI,REI,TAPE_SIGNATURE,1784036280.0,31,31,34,34,False,,,
26JUL12BARVIS,BAR,TAPE_SIGNATURE,1784034540.0,84,84,85,85,False,,,
26JUL12BARVIS,VIS,TAPE_SIGNATURE,1784034540.0,,,,,False,,,
26JUL12BASABB,ABB,TAPE_SIGNATURE,1783871940.0,1,19,1,19,True,46,1783872803.549,POST_BELL_FILL
26JUL12BASABB,BAS,TAPE_SIGNATURE,1783871940.0,49,76,99,81,True,52,1783872724.19,POST_BELL_FILL
26JUL12BINGIL,BIN,TAPE_SIGNATURE,1783864320.0,85,85,85,85,False,,,
26JUL12BINGIL,GIL,TAPE_SIGNATURE,1783864320.0,15,15,15,15,False,,,
26JUL12BOOONC,BOO,TAPE_SIGNATURE,1784045640.0,20,20,24,24,True,23,1784007324.658,PRE_BELL_OK
26JUL12BOOONC,ONC,TAPE_SIGNATURE,1784045640.0,68,68,77,77,True,76,1783991375.136,PRE_BELL_OK
26JUL12BORKOU,BOR,MACHINE_RECEIPT,1784035500,75,75,77,77,False,,,
26JUL12BORKOU,KOU,MACHINE_RECEIPT,1784035500,24,24,24,24,False,,,
26JUL12BOSCOP,BOS,MACHINE_RECEIPT,1784018400,28,28,30,30,False,,,
26JUL12BOSCOP,COP,MACHINE_RECEIPT,1784018400,70,70,72,72,True,72,1783972530.934,PRE_BELL_OK
26JUL12BOSKOV,BOS,MACHINE_RECEIPT,1783847400,93,93,93,93,False,,,
26JUL12BOSKOV,KOV,MACHINE_RECEIPT,1783847400,6,6,8,8,False,,,
26JUL12BOUVIT,BOU,TAPE_SIGNATURE,1783865280.0,86,,99,,True,93,1783868412.108,POST_BELL_FILL
26JUL12BOUVIT,VIT,TAPE_SIGNATURE,1783865280.0,1,,1,,True,6,1783868793.397,POST_BELL_FILL
26JUL12BROBAR,BAR,MACHINE_RECEIPT,1784046300,20,20,22,22,True,23,1784008555.926,PRE_BELL_OK
26JUL12BROBAR,BRO,MACHINE_RECEIPT,1784046300,76,76,78,78,True,76,1783998520.541,PRE_BELL_OK
26JUL12BROGIU,BRO,TAPE_SIGNATURE,1783859520.0,14,,99,,True,43,1783864791.436,POST_BELL_FILL
26JUL12BROGIU,GIU,TAPE_SIGNATURE,1783859520.0,1,,1,,True,56,1783866244.719,POST_BELL_FILL
26JUL12BROHUA,BRO,TAPE_SIGNATURE,1783853880.0,63,63,67,67,False,,,
26JUL12BROHUA,HUA,TAPE_SIGNATURE,1783853880.0,31,31,37,37,True,37,1783851910.465,PRE_BELL_OK
26JUL12BRUGAD,BRU,BELL_UNRESOLVED,,45,45,46,46,False,,,
26JUL12BRUGAD,GAD,BELL_UNRESOLVED,,52,52,59,59,False,,,
26JUL12BUDPEL,BUD,TAPE_SIGNATURE,1784020140.0,45,45,45,45,True,45,1783857083.605,PRE_BELL_OK
26JUL12BUDPEL,PEL,TAPE_SIGNATURE,1784020140.0,53,53,54,54,True,53,1783869386.673,PRE_BELL_OK
26JUL12BUEMAR,BUE,TAPE_SIGNATURE,1783844760.0,1,,1,,True,31,1783850457.757,POST_BELL_FILL
26JUL12BUEMAR,MAR,TAPE_SIGNATURE,1783844760.0,68,,99,,True,68,1783850450.242,POST_BELL_FILL
26JUL12CALRAD,CAL,TAPE_SIGNATURE,1783888440.0,60,60,61,61,False,,,
26JUL12CALRAD,RAD,TAPE_SIGNATURE,1783888440.0,40,40,40,40,False,,,
26JUL12CARSAN,CAR,TAPE_SIGNATURE,1783864020.0,78,78,81,81,True,78,1783832414.107,PRE_BELL_OK
26JUL12CARSAN,SAN,TAPE_SIGNATURE,1783864020.0,19,19,21,21,True,20,1783834707.675,PRE_BELL_OK
26JUL12CECOLI,CEC,TAPE_SIGNATURE,1783868700.0,75,76,99,79,True,76,1783869724.799,POST_BELL_FILL
26JUL12CECOLI,OLI,TAPE_SIGNATURE,1783868700.0,1,23,1,25,True,23,1783868712.199,POST_BELL_FILL
26JUL12CERKOL,CER,TAPE_SIGNATURE,1784018220.0,71,71,76,76,True,71,1783800638.678,PRE_BELL_OK
26JUL12CERKOL,KOL,TAPE_SIGNATURE,1784018220.0,24,24,27,27,True,24,1783822216.46,PRE_BELL_OK
26JUL12CHAJON,CHA,TAPE_SIGNATURE,1783855500.0,29,41,29,41,False,,,
26JUL12CHAJON,JON,TAPE_SIGNATURE,1783855500.0,59,59,72,66,False,,,
26JUL12CHISEA,CHI,TAPE_SIGNATURE,1783854180.0,1,,1,,True,15,1783857336.74,POST_BELL_FILL
26JUL12CHISEA,SEA,TAPE_SIGNATURE,1783854180.0,82,,99,,True,84,1783857931.848,POST_BELL_FILL
26JUL12CHOBAS,BAS,TAPE_SIGNATURE,1784030160.0,38,38,38,38,True,38,1783918553.028,PRE_BELL_OK
26JUL12CHOBAS,CHO,TAPE_SIGNATURE,1784030160.0,60,60,62,62,True,61,1783850982.936,PRE_BELL_OK
26JUL12CHOGAS,CHO,MACHINE_RECEIPT,1783858500,60,60,62,62,False,,,
26JUL12CHOGAS,GAS,MACHINE_RECEIPT,1783858500,39,39,39,39,True,39,1783839089.683,PRE_BELL_OK
26JUL12CINHEM,CIN,TAPE_SIGNATURE,1783847460.0,63,67,99,70,True,71,1783827375.583,PRE_BELL_OK
26JUL12CINHEM,HEM,TAPE_SIGNATURE,1783847460.0,1,27,1,31,True,26,1783848724.701,POST_BELL_FILL
26JUL12CIRHUA,CIR,BELL_UNRESOLVED,,6,6,8,8,False,,,
26JUL12CIRHUA,HUA,BELL_UNRESOLVED,,95,95,95,95,False,,,
26JUL12CORDAN,COR,MACHINE_RECEIPT,1783858800,29,29,33,33,False,,,
26JUL12CORDAN,DAN,MACHINE_RECEIPT,1783858800,66,66,68,68,True,70,1783849037.27,PRE_BELL_OK
26JUL12CRIBAS,BAS,TAPE_SIGNATURE,1783852320.0,17,,24,,True,50,1783854096.643,POST_BELL_FILL
26JUL12CRIBAS,CRI,TAPE_SIGNATURE,1783852320.0,41,,77,,True,47,1783854239.404,POST_BELL_FILL
26JUL12DAHBAE,BAE,MACHINE_RECEIPT,1784041800,92,92,95,95,True,94,1783869241.746,PRE_BELL_OK
26JUL12DAHBAE,DAH,MACHINE_RECEIPT,1784041800,4,4,6,6,True,4,1783876782.882,PRE_BELL_OK
26JUL12DEGEE,DE,MACHINE_RECEIPT,1783949400,37,37,49,49,False,,,
26JUL12DEGEE,GEE,MACHINE_RECEIPT,1783949400,51,51,53,53,True,54,1783935024.272,PRE_BELL_OK
26JUL12DEJGAU,DEJ,TAPE_SIGNATURE,1783950840.0,64,64,67,67,True,66,1783872216.575,PRE_BELL_OK
26JUL12DEJGAU,GAU,TAPE_SIGNATURE,1783950840.0,33,33,33,33,False,,,
26JUL12DELMAK,DEL,TAPE_SIGNATURE,1783851900.0,1,5,1,10,True,5,1783852352.308,POST_BELL_FILL
26JUL12DELMAK,MAK,TAPE_SIGNATURE,1783851900.0,92,92,99,93,True,94,1783851619.793,PRE_BELL_OK
26JUL12DEVGON,DEV,MACHINE_RECEIPT,1783880700,30,30,32,32,False,,,
26JUL12DEVGON,GON,MACHINE_RECEIPT,1783880700,69,69,70,70,False,,,
26JUL12DIEMON,DIE,TAPE_SIGNATURE,1783854660.0,54,54,55,55,True,57,1783826142.501,PRE_BELL_OK
26JUL12DIEMON,MON,TAPE_SIGNATURE,1783854660.0,42,42,46,46,False,,,
26JUL12DODCAR,CAR,TAPE_SIGNATURE,1784037900.0,74,74,74,74,False,,,
26JUL12DODCAR,DOD,TAPE_SIGNATURE,1784037900.0,24,24,28,28,False,,,
26JUL12DODDEL,DEL,TAPE_SIGNATURE,1783851000.0,13,,99,,True,57,1783852614.384,POST_BELL_FILL
26JUL12DODDEL,DOD,TAPE_SIGNATURE,1783851000.0,1,,1,,True,27,1783853059.696,POST_BELL_FILL
26JUL12DROBLO,BLO,MACHINE_RECEIPT,1784055900,61,61,66,66,True,65,1783918065.88,PRE_BELL_OK
26JUL12DROBLO,DRO,MACHINE_RECEIPT,1784055900,33,33,35,35,True,34,1784055644.964,PRE_BELL_OK
26JUL12DROPIR,DRO,MACHINE_RECEIPT,1783872300,59,59,59,59,True,59,1783866638.932,PRE_BELL_OK
26JUL12DROPIR,PIR,MACHINE_RECEIPT,1783872300,40,40,42,42,False,,,
26JUL12DZUROC,DZU,MACHINE_RECEIPT,1783951500,43,43,45,45,True,46,1783897995.689,PRE_BELL_OK
26JUL12DZUROC,ROC,MACHINE_RECEIPT,1783951500,51,51,57,57,True,52,1783884328.682,PRE_BELL_OK
26JUL12ECHMUN,ECH,TAPE_SIGNATURE,1783883700.0,62,,85,,False,,,
26JUL12ECHMUN,MUN,TAPE_SIGNATURE,1783883700.0,1,,16,,True,17,1783886519.145,POST_BELL_FILL
26JUL12ERJBOS,BOS,TAPE_SIGNATURE,1783959180.0,18,18,18,18,True,18,1783922248.222,PRE_BELL_OK
26JUL12ERJBOS,ERJ,TAPE_SIGNATURE,1783959180.0,80,80,82,82,True,81,1783954574.395,PRE_BELL_OK
26JUL12FANBIG,BIG,TAPE_SIGNATURE,1783870980.0,62,62,69,69,False,,,
26JUL12FANBIG,FAN,TAPE_SIGNATURE,1783870980.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12FARWAW,FAR,MACHINE_RECEIPT,1784044200,65,65,67,67,True,66,1783871697.592,PRE_BELL_OK
26JUL12FARWAW,WAW,MACHINE_RECEIPT,1784044200,32,32,35,35,True,32,1783864457.463,PRE_BELL_OK
26JUL12FEAWAL,FEA,TAPE_SIGNATURE,1783881600.0,28,,29,,True,40,1783883356.961,POST_BELL_FILL
26JUL12FEAWAL,WAL,TAPE_SIGNATURE,1783881600.0,51,,72,,False,,,
26JUL12FEICHE,CHE,TAPE_SIGNATURE,1783854360.0,25,25,27,27,False,,,
26JUL12FEICHE,FEI,TAPE_SIGNATURE,1783854360.0,74,74,76,76,False,,,
26JUL12FELKEC,FEL,TAPE_SIGNATURE,1783938720.0,26,26,29,29,True,27,1783878681.418,PRE_BELL_OK
26JUL12FELKEC,KEC,TAPE_SIGNATURE,1783938720.0,70,70,72,72,True,71,1783867067.25,PRE_BELL_OK
26JUL12FETPIE,FET,TAPE_SIGNATURE,1783853880.0,33,33,35,35,True,35,1783811583.118,PRE_BELL_OK
26JUL12FETPIE,PIE,TAPE_SIGNATURE,1783853880.0,62,62,68,68,False,,,
26JUL12FORPAM,FOR,TAPE_SIGNATURE,1783843860.0,86,,99,,True,95,1783847856.457,POST_BELL_FILL
26JUL12FORPAM,PAM,TAPE_SIGNATURE,1783843860.0,1,,1,,True,2,1783848505.243,POST_BELL_FILL
26JUL12FUEROS,FUE,TAPE_SIGNATURE,1783862580.0,59,59,60,60,False,,,
26JUL12FUEROS,ROS,TAPE_SIGNATURE,1783862580.0,42,42,42,42,False,,,
26JUL12GANJAN,GAN,TAPE_SIGNATURE,1783843980.0,43,,99,,False,,,
26JUL12GANJAN,JAN,TAPE_SIGNATURE,1783843980.0,1,,1,,True,38,1783848215.838,POST_BELL_FILL
26JUL12GARPRI,GAR,TAPE_SIGNATURE,1783838760.0,55,,99,,False,,,
26JUL12GARPRI,PRI,TAPE_SIGNATURE,1783838760.0,1,,1,,True,33,1783841264.468,POST_BELL_FILL
26JUL12GEOMAG,GEO,TAPE_SIGNATURE,1783879680.0,14,14,26,17,True,18,1783879936.151,POST_BELL_FILL
26JUL12GEOMAG,MAG,TAPE_SIGNATURE,1783879680.0,75,85,75,85,True,80,1783880120.972,POST_BELL_FILL
26JUL12GIESHE,GIE,TAPE_SIGNATURE,1783880220.0,11,11,13,13,False,,,
26JUL12GIESHE,SHE,TAPE_SIGNATURE,1783880220.0,84,84,86,86,True,89,1783873294.892,PRE_BELL_OK
26JUL12GIUBAR,BAR,TAPE_SIGNATURE,1783876740.0,27,,33,,True,68,1783880243.703,POST_BELL_FILL
26JUL12GIUBAR,GIU,TAPE_SIGNATURE,1783876740.0,30,,68,,False,,,
26JUL12GUEGOM,GOM,TAPE_SIGNATURE,1783868460.0,42,,99,,False,,,
26JUL12GUEGOM,GUE,TAPE_SIGNATURE,1783868460.0,1,,1,,True,58,1783871821.009,POST_BELL_FILL
26JUL12GURDAL,DAL,TAPE_SIGNATURE,1783866120.0,83,90,99,90,True,89,1783866710.534,POST_BELL_FILL
26JUL12GURDAL,GUR,TAPE_SIGNATURE,1783866120.0,1,8,1,13,True,10,1783865765.905,PRE_BELL_OK
26JUL12GUTCAM,CAM,TAPE_SIGNATURE,1783852320.0,67,67,68,69,False,,,
26JUL12GUTCAM,GUT,TAPE_SIGNATURE,1783852320.0,33,33,33,34,False,,,
26JUL12HECISO,HEC,TAPE_SIGNATURE,1783872120.0,24,,24,,True,82,1783875210.332,POST_BELL_FILL
26JUL12HECISO,ISO,TAPE_SIGNATURE,1783872120.0,17,,80,,False,,,
26JUL12HERALM,ALM,TAPE_SIGNATURE,1783875900.0,53,,97,,False,,,
26JUL12HERALM,HER,TAPE_SIGNATURE,1783875900.0,1,,2,,True,30,1783880363.48,POST_BELL_FILL
26JUL12HERKAZ,HER,TAPE_SIGNATURE,1783846560.0,52,52,56,56,False,,,
26JUL12HERKAZ,KAZ,TAPE_SIGNATURE,1783846560.0,46,46,46,47,True,46,1783833104.571,PRE_BELL_OK
26JUL12HESKOT,HES,TAPE_SIGNATURE,1783865700.0,3,,8,,True,43,1783871650.127,POST_BELL_FILL
26JUL12HESKOT,KOT,TAPE_SIGNATURE,1783865700.0,41,,94,,True,56,1783871786.695,POST_BELL_FILL
26JUL12HIBTON,HIB,TAPE_SIGNATURE,1783865280.0,63,84,99,88,True,85,1783829587.542,PRE_BELL_OK
26JUL12HIBTON,TON,TAPE_SIGNATURE,1783865280.0,1,12,1,12,True,13,1783811860.383,PRE_BELL_OK
26JUL12HODYAS,HOD,TAPE_SIGNATURE,1783872600.0,75,85,99,89,True,86,1783871674.424,PRE_BELL_OK
26JUL12HODYAS,YAS,TAPE_SIGNATURE,1783872600.0,1,13,1,14,True,13,1783861435.581,PRE_BELL_OK
26JUL12HOHSUR,HOH,TAPE_SIGNATURE,1783886940.0,15,15,16,16,False,,,
26JUL12HOHSUR,SUR,TAPE_SIGNATURE,1783886940.0,85,85,85,85,False,,,
26JUL12HOUJOR,HOU,MACHINE_RECEIPT,1783959000,48,48,52,52,True,51,1783909942.213,PRE_BELL_OK
26JUL12HOUJOR,JOR,MACHINE_RECEIPT,1783959000,49,49,51,51,False,,,
26JUL12ITOMAN,ITO,TAPE_SIGNATURE,1783864980.0,76,79,99,79,True,77,1783865426.005,POST_BELL_FILL
26JUL12ITOMAN,MAN,TAPE_SIGNATURE,1783864980.0,1,20,1,20,True,19,1783865274.127,POST_BELL_FILL
26JUL12JACTRU,JAC,MACHINE_RECEIPT,1783960200,44,44,45,45,True,51,1783863807.953,PRE_BELL_OK
26JUL12JACTRU,TRU,MACHINE_RECEIPT,1783960200,46,46,56,56,True,48,1783875450.334,PRE_BELL_OK
26JUL12KARMAR,KAR,TAPE_SIGNATURE,1783889520.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12KARMAR,MAR,TAPE_SIGNATURE,1783889520.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12KHOVIG,KHO,BELL_UNRESOLVED,,99,99,99,99,False,,,
26JUL12KHOVIG,VIG,BELL_UNRESOLVED,,1,1,1,1,False,,,
26JUL12KOPPRI,KOP,MACHINE_RECEIPT,1783970100,24,24,28,28,True,29,1783915412.687,PRE_BELL_OK
26JUL12KOPPRI,PRI,MACHINE_RECEIPT,1783970100,64,64,74,74,True,70,1783919867.034,PRE_BELL_OK
26JUL12KOZIBR,IBR,MACHINE_RECEIPT,1783863600,89,89,91,91,True,89,1783863038.117,PRE_BELL_OK
26JUL12KOZIBR,KOZ,MACHINE_RECEIPT,1783863600,9,9,10,10,True,10,1783861812.296,PRE_BELL_OK
26JUL12KRALOR,KRA,MACHINE_RECEIPT,1783860600,95,95,95,95,False,,,
26JUL12KRALOR,LOR,MACHINE_RECEIPT,1783860600,4,4,6,6,True,4,1783856952.558,PRE_BELL_OK
26JUL12KRUFER,FER,TAPE_SIGNATURE,1783845420.0,1,,1,,True,21,1783848247.525,POST_BELL_FILL
26JUL12KRUFER,KRU,TAPE_SIGNATURE,1783845420.0,69,,99,,False,,,
26JUL12KULZAA,KUL,TAPE_SIGNATURE,1783839180.0,20,31,99,33,True,31,1783821153.427,PRE_BELL_OK
26JUL12KULZAA,ZAA,TAPE_SIGNATURE,1783839180.0,1,66,1,68,True,66,1783812612.565,PRE_BELL_OK
26JUL12KUMTUR,KUM,TAPE_SIGNATURE,1783877460.0,69,,99,,True,72,1783879324.437,POST_BELL_FILL
26JUL12KUMTUR,TUR,TAPE_SIGNATURE,1783877460.0,1,,1,,True,20,1783878883.447,POST_BELL_FILL
26JUL12KUZDE,DE,TAPE_SIGNATURE,1783860420.0,13,14,13,15,False,,,
26JUL12KUZDE,KUZ,TAPE_SIGNATURE,1783860420.0,86,86,88,87,False,,,
26JUL12LAGTEP,LAG,TAPE_SIGNATURE,1783881540.0,71,71,71,71,False,,,
26JUL12LAGTEP,TEP,TAPE_SIGNATURE,1783881540.0,32,32,32,32,False,,,
26JUL12LAJVAN,LAJ,MACHINE_RECEIPT,1783958400,43,43,45,45,True,50,1783855068.089,PRE_BELL_OK
26JUL12LAJVAN,VAN,MACHINE_RECEIPT,1783958400,49,49,58,58,True,49,1783851937.305,PRE_BELL_OK
26JUL12LANKOB,KOB,MACHINE_RECEIPT,1783887600,4,4,6,6,True,4,1783872662.085,PRE_BELL_OK
26JUL12LANKOB,LAN,MACHINE_RECEIPT,1783887600,92,92,94,94,True,93,1783886625.887,PRE_BELL_OK
26JUL12LEPBUR,BUR,TAPE_SIGNATURE,1783870920.0,20,20,24,24,True,25,1783838331.304,PRE_BELL_OK
26JUL12LEPBUR,LEP,TAPE_SIGNATURE,1783870920.0,70,70,77,77,True,70,1783831060.688,PRE_BELL_OK
26JUL12LINMAL,LIN,TAPE_SIGNATURE,1783874280.0,29,,99,,True,75,1783879305.538,POST_BELL_FILL
26JUL12LINMAL,MAL,TAPE_SIGNATURE,1783874280.0,1,,1,,True,13,1783878814.474,POST_BELL_FILL
26JUL12LIUPOP,LIU,MACHINE_RECEIPT,1783863300,85,85,87,87,True,86,1783860744.301,PRE_BELL_OK
26JUL12LIUPOP,POP,MACHINE_RECEIPT,1783863300,13,13,14,14,True,13,1783849577.37,PRE_BELL_OK
26JUL12MALTUR,MAL,MACHINE_RECEIPT,1783876500,49,49,49,49,False,,,
26JUL12MALTUR,TUR,MACHINE_RECEIPT,1783876500,46,46,50,50,True,48,1783869769.225,PRE_BELL_OK
26JUL12MARARS,ARS,TAPE_SIGNATURE,1783872360.0,16,35,70,38,True,40,1783866146.873,PRE_BELL_OK
26JUL12MARARS,MAR,TAPE_SIGNATURE,1783872360.0,32,59,41,62,True,55,1783876797.391,POST_BELL_FILL
26JUL12MARFOR,FOR,TAPE_SIGNATURE,1783867440.0,41,41,45,45,False,,,
26JUL12MARFOR,MAR,TAPE_SIGNATURE,1783867440.0,55,55,55,55,True,55,1783864733.425,PRE_BELL_OK
26JUL12MARHAN,HAN,TAPE_SIGNATURE,1784018400.0,68,68,78,78,False,,,
26JUL12MARHAN,MAR,TAPE_SIGNATURE,1784018400.0,25,25,25,25,True,31,1783806461.574,PRE_BELL_OK
26JUL12MAZGAN,GAN,TAPE_SIGNATURE,1783866060.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12MAZGAN,MAZ,TAPE_SIGNATURE,1783866060.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12MEJSOT,MEJ,TAPE_SIGNATURE,1783872660.0,72,,99,,True,79,1783876403.547,POST_BELL_FILL
26JUL12MEJSOT,SOT,TAPE_SIGNATURE,1783872660.0,1,,1,,True,14,1783877331.302,POST_BELL_FILL
26JUL12MICKUL,KUL,TAPE_SIGNATURE,1783870620.0,1,,1,,True,50,1783875346.085,POST_BELL_FILL
26JUL12MICKUL,MIC,TAPE_SIGNATURE,1783870620.0,16,,99,,True,41,1783875599.615,POST_BELL_FILL
26JUL12MIYKUZ,KUZ,TAPE_SIGNATURE,1783890480.0,35,35,37,37,False,,,
26JUL12MIYKUZ,MIY,TAPE_SIGNATURE,1783890480.0,60,60,66,66,True,63,1783883020.773,PRE_BELL_OK
26JUL12MOLDON,DON,TAPE_SIGNATURE,1783869660.0,11,11,11,11,False,,,
26JUL12MOLDON,MOL,TAPE_SIGNATURE,1783869660.0,,,,,False,,,
26JUL12MOLFAU,FAU,TAPE_SIGNATURE,1783860240.0,33,33,34,34,True,33,1783853688.266,PRE_BELL_OK
26JUL12MOLFAU,MOL,TAPE_SIGNATURE,1783860240.0,65,65,68,68,True,66,1783849338.96,PRE_BELL_OK
26JUL12MOLROY,MOL,TAPE_SIGNATURE,1784037900.0,58,58,59,59,True,59,1783996692.919,PRE_BELL_OK
26JUL12MOLROY,ROY,TAPE_SIGNATURE,1784037900.0,39,39,41,41,True,39,1783991334.468,PRE_BELL_OK
26JUL12MORNEP,MOR,TAPE_SIGNATURE,1783870200.0,70,71,99,78,True,71,1783848455.894,PRE_BELL_OK
26JUL12MORNEP,NEP,TAPE_SIGNATURE,1783870200.0,1,24,1,24,True,24,1783869038.24,PRE_BELL_OK
26JUL12MORPET,MOR,TAPE_SIGNATURE,1783869720.0,54,66,99,72,True,69,1783875489.92,POST_BELL_FILL
26JUL12MORPET,PET,TAPE_SIGNATURE,1783869720.0,1,28,1,30,True,30,1783869327.34,PRE_BELL_OK
26JUL12MULSHE,MUL,MACHINE_RECEIPT,1784039400,35,35,37,37,True,45,1783827701.48,PRE_BELL_OK
26JUL12MULSHE,SHE,MACHINE_RECEIPT,1784039400,54,54,64,64,False,,,
26JUL12NEUTOP,NEU,TAPE_SIGNATURE,1783868700.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12NEUTOP,TOP,TAPE_SIGNATURE,1783868700.0,,,,,,,,NO_ONSET_OR_TAPE
26JUL12OFNTIR,OFN,TAPE_SIGNATURE,1784020140.0,43,43,43,43,False,,,
26JUL12OFNTIR,TIR,TAPE_SIGNATURE,1784020140.0,51,51,61,61,False,,,
26JUL12OKAIPE,IPE,MACHINE_RECEIPT,1783857900,80,80,87,87,False,,,
26JUL12OKAIPE,OKA,MACHINE_RECEIPT,1783857900,16,16,16,16,False,,,
26JUL12OUAFER,FER,BELL_UNRESOLVED,,1,1,1,1,True,6,1783872663.879,BELL_UNRESOLVED
26JUL12OUAFER,OUA,BELL_UNRESOLVED,,93,93,99,99,False,,,
26JUL12PALCOL,COL,TAPE_SIGNATURE,1783853280.0,14,21,99,29,True,22,1783853592.081,POST_BELL_FILL
26JUL12PALCOL,PAL,TAPE_SIGNATURE,1783853280.0,1,71,1,71,True,71,1783853037.982,PRE_BELL_OK
26JUL12PALMAR,MAR,TAPE_SIGNATURE,1783882440.0,1,7,1,9,True,6,1783883587.03,POST_BELL_FILL
26JUL12PALMAR,PAL,TAPE_SIGNATURE,1783882440.0,90,93,98,94,False,,,
26JUL12PANYOR,PAN,TAPE_SIGNATURE,1783854300.0,80,,99,,True,96,1783858255.895,POST_BELL_FILL
26JUL12PANYOR,YOR,TAPE_SIGNATURE,1783854300.0,1,,1,,True,3,1783856178.138,POST_BELL_FILL
26JUL12PASKAS,KAS,TAPE_SIGNATURE,1783851780.0,49,49,49,49,False,,,
26JUL12PASKAS,PAS,TAPE_SIGNATURE,1783851780.0,50,50,52,52,False,,,
26JUL12PEAKIR,KIR,TAPE_SIGNATURE,1783889700.0,71,71,73,73,True,71,1783885806.05,PRE_BELL_OK
26JUL12PEAKIR,PEA,TAPE_SIGNATURE,1783889700.0,26,26,29,29,True,27,1783884448.984,PRE_BELL_OK
26JUL12PIETAB,PIE,TAPE_SIGNATURE,1783856760.0,59,68,63,69,True,72,1783858019.26,POST_BELL_FILL
26JUL12PIETAB,TAB,TAPE_SIGNATURE,1783856760.0,25,33,39,33,True,27,1783858460.708,POST_BELL_FILL
26JUL12POLKUH,KUH,MACHINE_RECEIPT,1783879200,15,15,20,20,True,18,1783879149.48,PRE_BELL_OK
26JUL12POLKUH,POL,MACHINE_RECEIPT,1783879200,80,80,85,85,False,,,
26JUL12POLVIN,POL,TAPE_SIGNATURE,1783856820.0,6,,6,,True,17,1783857992.594,POST_BELL_FILL
26JUL12POLVIN,VIN,TAPE_SIGNATURE,1783856820.0,81,,95,,True,82,1783859639.35,POST_BELL_FILL
26JUL12PRASAI,PRA,TAPE_SIGNATURE,1783868220.0,43,,99,,True,73,1783872691.039,POST_BELL_FILL
26JUL12PRASAI,SAI,TAPE_SIGNATURE,1783868220.0,1,,1,,True,26,1783872738.812,POST_BELL_FILL
26JUL12PRIBAL,BAL,TAPE_SIGNATURE,1783851900.0,1,,1,,True,1,1783853171.23,POST_BELL_FILL
26JUL12PRIBAL,PRI,TAPE_SIGNATURE,1783851900.0,98,,99,,False,,,
26JUL12PRIION,ION,TAPE_SIGNATURE,1783848540.0,4,4,6,5,True,11,1783813643.542,PRE_BELL_OK
26JUL12PRIION,PRI,TAPE_SIGNATURE,1783848540.0,88,88,95,95,True,88,1783815422.145,PRE_BELL_OK
26JUL12RAFAGU,AGU,TAPE_SIGNATURE,1783869000.0,33,92,65,94,True,80,1783871848.282,POST_BELL_FILL
