ts_epoch,ts_et,tminus_bell_s,bid_1,bid_1_sz,ask_1,ask_1_sz
1783992610,2026-07-13 09:30:10 PM,56732.9,81,1667,84,3326
1783992610,2026-07-13 09:30:10 PM,56732.9,81,1656,84,3326
1783992611,2026-07-13 09:30:11 PM,56731.9,81,1656,84,3346
1783992626,2026-07-13 09:30:26 PM,56716.9,81,1656,84,3347
1783992634,2026-07-13 09:30:34 PM,56708.9,81,1656,84,3327
1783992718,2026-07-13 09:31:58 PM,56624.9,81,1656,84,3326
1783992719,2026-07-13 09:31:59 PM,56623.9,81,1656,84,3384
1783992742,2026-07-13 09:32:22 PM,56600.9,81,1656,84,3326
1783992757,2026-07-13 09:32:37 PM,56585.9,81,1656,84,3384
1783992783,2026-07-13 09:33:03 PM,56559.9,81,1656,84,3326
1783992827,2026-07-13 09:33:47 PM,56515.9,81,1656,84,3384
1783992858,2026-07-13 09:34:18 PM,56484.9,81,1656,84,3326
1783992867,2026-07-13 09:34:27 PM,56475.9,81,1656,84,3384
1783992922,2026-07-13 09:35:22 PM,56420.9,81,1679,84,3384
1783992956,2026-07-13 09:35:56 PM,56386.9,81,1679,84,3326
1783992957,2026-07-13 09:35:57 PM,56385.9,81,1679,84,3372
1783993009,2026-07-13 09:36:49 PM,56333.9,81,1685,84,3372
1783993226,2026-07-13 09:40:26 PM,56116.9,81,1685,84,3371
1783993232,2026-07-13 09:40:32 PM,56110.9,81,1685,84,3372
1783993364,2026-07-13 09:42:44 PM,55978.9,81,1662,84,3372
1783993364,2026-07-13 09:42:44 PM,55978.9,81,1662,84,3326
1783993494,2026-07-13 09:44:54 PM,55848.9,81,1665,84,3326
1783993792,2026-07-13 09:49:52 PM,55550.9,81,1675,84,3326
1783993832,2026-07-13 09:50:32 PM,55510.9,81,1675,84,3325
1783993841,2026-07-13 09:50:41 PM,55501.9,81,1675,84,3326
1783993864,2026-07-13 09:51:04 PM,55478.9,81,1677,84,3326
1783994197,2026-07-13 09:56:37 PM,55145.9,81,1674,84,3326
1783994197,2026-07-13 09:56:37 PM,55145.9,81,1672,84,3326
1783994441,2026-07-13 10:00:41 PM,54901.9,81,1672,84,3325
1783994457,2026-07-13 10:00:57 PM,54885.9,81,1672,84,3326
1783994528,2026-07-13 10:02:08 PM,54814.9,81,1673,84,3326
1783994946,2026-07-13 10:09:06 PM,54396.9,81,1674,84,3326
1783995057,2026-07-13 10:10:57 PM,54285.9,81,1674,84,3325
1783995058,2026-07-13 10:10:58 PM,54284.9,81,1692,84,3325
1783995058,2026-07-13 10:10:58 PM,54284.9,81,1692,84,3347
1783995060,2026-07-13 10:11:00 PM,54282.9,81,1692,84,3325
1783995070,2026-07-13 10:11:10 PM,54272.9,81,1692,84,3326
