ts_et,ticker,price,count,taker_side
2026-04-18 04:32:49 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,19,yes
2026-04-18 04:32:49 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,2,yes
2026-04-18 04:32:57 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,42,40,yes
2026-04-18 04:32:57 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,400,yes
2026-04-18 04:32:57 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,108,yes
2026-04-18 04:33:00 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,1,yes
2026-04-18 04:33:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,290,yes
2026-04-18 04:33:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,12,yes
2026-04-18 04:33:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,50,yes
2026-04-18 04:33:03 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,95,yes
2026-04-18 04:33:10 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,22,yes
2026-04-18 04:33:28 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,152,yes
2026-04-18 04:33:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,44,yes
2026-04-18 04:33:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,85,yes
2026-04-18 04:33:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,400,yes
2026-04-18 04:33:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,50,yes
2026-04-18 04:33:40 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,53,yes
2026-04-18 04:33:51 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,80,yes
2026-04-18 04:33:55 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,33,yes
2026-04-18 04:33:58 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,285,yes
2026-04-18 04:33:58 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,27,yes
2026-04-18 04:34:00 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,15,yes
2026-04-18 04:34:06 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,7,yes
2026-04-18 04:34:06 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,210,yes
2026-04-18 04:34:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,189,yes
2026-04-18 04:34:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,120,yes
2026-04-18 04:34:09 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,6,yes
2026-04-18 04:34:46 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,22,yes
2026-04-18 04:35:06 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,17,yes
2026-04-18 04:35:13 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,353,yes
2026-04-18 04:35:13 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,90,yes
2026-04-18 04:35:15 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,67,yes
2026-04-18 04:35:16 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,242,yes
2026-04-18 04:35:16 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,204,yes
2026-04-18 04:35:23 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,195,yes
2026-04-18 04:35:23 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,1,yes
2026-04-18 04:35:23 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,27,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,372,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,37,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,14,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,43,13,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,735,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,1000,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,4,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,4,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,400,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,740,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,1000,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,1000,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,400,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,44,50,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,45,215,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,45,912,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,45,4,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,45,400,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,45,1000,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,45,413,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,339,yes
2026-04-18 04:35:32 PM,KXATPCHALLENGERMATCH-26APR18TABMMO-MMO,46,614,yes
